Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
13:57,,,,,"TURNOVER  by WILLIAMS,JAYSON",,,"TURNOVER  by WILLIAMS,JAYSON",1
13:57,"STEAL  by UGHOVWA,NICHOLAS",,,,,,,"STEAL  by UGHOVWA,NICHOLAS",1
13:42,"GOOD 3PTR by BROWN,BROCK",6,,9 (+3),,Mill 6-9 (-3),,"GOOD 3PTR by BROWN,BROCK",1
13:27,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
13:27,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
13:27,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
13:18,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
13:18,,,,,"STEAL  by JAMES,MAC",,,"STEAL  by JAMES,MAC",1
12:51,,6,,12 (+6),"GOOD 3PTR by ESSICK,JALEN",Rhodes 6-12 (-6),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
12:25,"GOOD JUMPER by URSIN,AARON",8,,12 (+4),,Mill 8-12 (-4),,"GOOD JUMPER by URSIN,AARON",1
12:08,"FOUL  by BROWN,BROCK",,,,,,,"FOUL  by BROWN,BROCK",1
12:08,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
12:08,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
12:08,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",1
12:08,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",1
12:08,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
12:08,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
11:52,,,,,"MISS JUMPER by COOK,JEREMIAH",,,"MISS JUMPER by COOK,JEREMIAH",1
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1
11:48,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
11:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:48,,,,,"MISS FT by ESSICK,JALEN",,,"MISS FT by ESSICK,JALEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:48,,8,,13 (+5),"GOOD FT by ESSICK,JALEN",Rhodes 8-13 (-5),,"GOOD FT by ESSICK,JALEN",1
11:32,"MISS LAYUP by WILLIAMS,CAMERON(in the paint)",,,,,,,"MISS LAYUP by WILLIAMS,CAMERON(in the paint)",1
--,"REBOUND OFF by WILLIAMS,CAMERON",,,,,,,"REBOUND OFF by WILLIAMS,CAMERON",1
11:27,"GOOD LAYUP by WILLIAMS,CAMERON(in the paint)",10,,13 (+3),,Mill 10-13 (-3),,"GOOD LAYUP by WILLIAMS,CAMERON(in the paint)",1
10:57,,,,,"MISS JUMPER by COOK,JEREMIAH",,,"MISS JUMPER by COOK,JEREMIAH",1
--,"REBOUND DEF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
10:48,"GOOD 3PTR by WILLIAMS,CAMERON",13,,13,,Mill 13-13 (0),,"GOOD 3PTR by WILLIAMS,CAMERON",1
10:34,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
10:34,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
10:34,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
10:19,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
10:19,"BLOCK  by UGHOVWA,NICHOLAS",,,,,,,"BLOCK  by UGHOVWA,NICHOLAS",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
10:08,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
