Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENT,Game Score,Team Indicator,Play,Period
13:26,,13 (+7),,6,"GOOD FT by WIGGINS,JOSEPH",CENT 13-6 (+7),,"GOOD FT by WIGGINS,JOSEPH",1
13:26,,13 (+6),,7,"GOOD FT by WIGGINS,JOSEPH",CENT 13-7 (+6),,"GOOD FT by WIGGINS,JOSEPH",1
13:26,,,,,"SUB IN by BAKER,TEVIN",,,"SUB IN by BAKER,TEVIN",1
13:26,,,,,"SUB OUT by JOHNSON,RALPH",,,"SUB OUT by JOHNSON,RALPH",1
12:55,"GOOD JUMPER by BROWN,BRYCE",15 (+8),,7,,MILLSAPS 15-7 (+8),,"GOOD JUMPER by BROWN,BRYCE",1
12:35,,,,,"MISS LAYUP by THOMAS,SETH",,,"MISS LAYUP by THOMAS,SETH",1
--,,,,,"REBOUND OFF by THOMAS,SETH",,,"REBOUND OFF by THOMAS,SETH",1
12:32,,,,,"MISS LAYUP by THOMAS,SETH",,,"MISS LAYUP by THOMAS,SETH",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
12:06,,,,,"FOUL  by BAKER,TEVIN",,,"FOUL  by BAKER,TEVIN",1
12:06,"MISS FT by WILLIAMS,CAMERON",,,,,,,"MISS FT by WILLIAMS,CAMERON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:06,"GOOD FT by WILLIAMS,CAMERON",16 (+9),,7,,MILLSAPS 16-7 (+9),,"GOOD FT by WILLIAMS,CAMERON",1
12:06,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
12:06,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
11:52,,,,,"MISS JUMPER by BEHR,JALEN",,,"MISS JUMPER by BEHR,JALEN",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
11:43,"MISS 3PTR by BROWN,BRYCE",,,,,,,"MISS 3PTR by BROWN,BRYCE",1
--,,,,,"REBOUND DEF by HALL,AJ",,,"REBOUND DEF by HALL,AJ",1
11:29,,,,,"TURNOVER  by THOMAS,SETH",,,"TURNOVER  by THOMAS,SETH",1
11:29,"STEAL  by BROWN,BRYCE",,,,,,,"STEAL  by BROWN,BRYCE",1
11:25,"GOOD LAYUP by BROWN,BRYCE(fastbreak)(in the paint)",18 (+11),,7,,MILLSAPS 18-7 (+11),,"GOOD LAYUP by BROWN,BRYCE(fastbreak)(in the paint)",1
11:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:23,,,,,"SUB IN by HOOTER,DYLAN",,,"SUB IN by HOOTER,DYLAN",1
11:23,,,,,"SUB IN by JOHNSON,RALPH",,,"SUB IN by JOHNSON,RALPH",1
11:23,,,,,"SUB IN by TAYLOR,JARRELL",,,"SUB IN by TAYLOR,JARRELL",1
11:23,,,,,"SUB OUT by THOMAS,SETH",,,"SUB OUT by THOMAS,SETH",1
11:23,,,,,"SUB OUT by BEHR,JALEN",,,"SUB OUT by BEHR,JALEN",1
11:23,,,,,"SUB OUT by WIGGINS,JOSEPH",,,"SUB OUT by WIGGINS,JOSEPH",1
11:11,,18 (+9),,9,"GOOD JUMPER by JOHNSON,RALPH",CENT 18-9 (+9),,"GOOD JUMPER by JOHNSON,RALPH",1
10:45,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",1
10:45,,,,,"STEAL  by HOOTER,DYLAN",,,"STEAL  by HOOTER,DYLAN",1
10:34,,,,,"TURNOVER  by HOOTER,DYLAN",,,"TURNOVER  by HOOTER,DYLAN",1
10:09,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by HALL,AJ",,,"REBOUND DEF by HALL,AJ",1
10:00,,,,,"MISS 3PTR by HOOTER,DYLAN",,,"MISS 3PTR by HOOTER,DYLAN",1
--,"REBOUND DEF by BROWN,BRYCE",,,,,,,"REBOUND DEF by BROWN,BRYCE",1
09:51,"TURNOVER  by BROWN,BRYCE",,,,,,,"TURNOVER  by BROWN,BRYCE",1
09:51,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",1
09:51,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
09:51,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",1
09:51,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
09:37,,18 (+6),,12,"GOOD 3PTR by HALL,AJ",CENT 18-12 (+6),,"GOOD 3PTR by HALL,AJ",1
09:13,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by BAKER,TEVIN",,,"REBOUND DEF by BAKER,TEVIN",1
09:06,,,,,"TURNOVER  by BAKER,TEVIN",,,"TURNOVER  by BAKER,TEVIN",1
09:05,"STEAL  by WILLIAMS,CAMERON",,,,,,,"STEAL  by WILLIAMS,CAMERON",1
09:02,"GOOD LAYUP by BROWN,BROCK(in the paint)",20 (+8),,12,,MILLSAPS 20-12 (+8),,"GOOD LAYUP by BROWN,BROCK(in the paint)",1
--,"ASSIST  by WILLIAMS,CAMERON",,,,,,,"ASSIST  by WILLIAMS,CAMERON",1
08:36,,20 (+6),,14,"GOOD LAYUP by HOOTER,DYLAN(in the paint)",CENT 20-14 (+6),,"GOOD LAYUP by HOOTER,DYLAN(in the paint)",1
--,,,,,"ASSIST  by BAKER,TEVIN",,,"ASSIST  by BAKER,TEVIN",1
08:08,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by HOOTER,DYLAN",,,"REBOUND DEF by HOOTER,DYLAN",1
07:56,,,,,"MISS JUMPER by HALL,AJ",,,"MISS JUMPER by HALL,AJ",1
--,"REBOUND DEF by BROWN,BROCK",,,,,,,"REBOUND DEF by BROWN,BROCK",1
07:36,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",1
07:36,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
07:36,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:36,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
07:36,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
07:36,,,,,"SUB IN by MINGO,KILE",,,"SUB IN by MINGO,KILE",1
07:36,,,,,"SUB OUT by BAKER,TEVIN",,,"SUB OUT by BAKER,TEVIN",1
07:15,,20 (+4),,16,"GOOD JUMPER by TAYLOR,JARRELL",CENT 20-16 (+4),,"GOOD JUMPER by TAYLOR,JARRELL",1
06:51,"GOOD 3PTR by WILLIAMS,CAMERON",23 (+7),,16,,MILLSAPS 23-16 (+7),,"GOOD 3PTR by WILLIAMS,CAMERON",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
