Time Remaining,SRSU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:26,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,"REBOUND DEF by GONZALEZ,ELI",,,,,,,"REBOUND DEF by GONZALEZ,ELI",1
19:05,"MISS 3PTR by PAREDES,JULIAN",,,,,,,"MISS 3PTR by PAREDES,JULIAN",1
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",1
18:50,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by DIXON,LOGAN",,,,,,,"REBOUND DEF by DIXON,LOGAN",1
18:31,"MISS 3PTR by DIXON,LOGAN",,,,,,,"MISS 3PTR by DIXON,LOGAN",1
--,"REBOUND OFF by PAREDES,JULIAN",,,,,,,"REBOUND OFF by PAREDES,JULIAN",1
18:27,"MISS LAYUP by PAREDES,JULIAN(in the paint)",,,,,,,"MISS LAYUP by PAREDES,JULIAN(in the paint)",1
--,"REBOUND OFF by PAREDES,JULIAN",,,,,,,"REBOUND OFF by PAREDES,JULIAN",1
18:22,"GOOD LAYUP by PAREDES,JULIAN(in the paint)",2 (+2),,0,,SRSU 2-0 (-2),,"GOOD LAYUP by PAREDES,JULIAN(in the paint)",1
18:07,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by GONZALEZ,ELI",,,,,,,"REBOUND DEF by GONZALEZ,ELI",1
17:49,"GOOD 3PTR by NELSON,TREY",5 (+5),,0,,SRSU 5-0 (-5),,"GOOD 3PTR by NELSON,TREY",1
--,"ASSIST  by GONZALEZ,ELI",,,,,,,"ASSIST  by GONZALEZ,ELI",1
17:29,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by DIXON,LOGAN",,,,,,,"REBOUND DEF by DIXON,LOGAN",1
17:19,"GOOD 3PTR by NELSON,TREY",8 (+8),,0,,SRSU 8-0 (-8),,"GOOD 3PTR by NELSON,TREY",1
--,"ASSIST  by GONZALEZ,ELI",,,,,,,"ASSIST  by GONZALEZ,ELI",1
16:57,,8 (+6),,2,"GOOD JUMPER by WATSON,DOUG",Mill 8-2 (-6),,"GOOD JUMPER by WATSON,DOUG",1
16:38,"MISS 3PTR by NELSON,TREY",,,,,,,"MISS 3PTR by NELSON,TREY",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
16:33,"FOUL  by NELSON,TREY",,,,,,,"FOUL  by NELSON,TREY",1
16:33,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
16:33,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",1
16:33,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
16:33,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
16:33,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",1
16:33,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
16:33,"SUB OUT by MARTINEZ,MITCHELL",,,,,,,"SUB OUT by MARTINEZ,MITCHELL",1
16:33,"SUB IN by MORRISON,LARRY",,,,,,,"SUB IN by MORRISON,LARRY",1
16:17,"FOUL  by GONZALEZ,ELI",,,,,,,"FOUL  by GONZALEZ,ELI",1
16:17,,,,,"MISS FT by WATSON,DOUG",,,"MISS FT by WATSON,DOUG",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:17,,8 (+5),,3,"GOOD FT by WATSON,DOUG",Mill 8-3 (-5),,"GOOD FT by WATSON,DOUG",1
15:50,"GOOD 3PTR by NELSON,TREY",11 (+8),,3,,SRSU 11-3 (-8),,"GOOD 3PTR by NELSON,TREY",1
--,"ASSIST  by GONZALEZ,ELI",,,,,,,"ASSIST  by GONZALEZ,ELI",1
15:31,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1
15:31,"STEAL  by GONZALEZ,ELI",,,,,,,"STEAL  by GONZALEZ,ELI",1
15:22,"GOOD JUMPER by PAREDES,JULIAN(in the paint)",13 (+10),,3,,SRSU 13-3 (-10),,"GOOD JUMPER by PAREDES,JULIAN(in the paint)",1
15:02,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
14:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:58,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
14:58,,,,,"SUB IN by CARTER,DYLAN",,,"SUB IN by CARTER,DYLAN",1
14:51,,,,,"TURNOVER  by BROWN,BRYCE",,,"TURNOVER  by BROWN,BRYCE",1
14:51,"STEAL  by GONZALEZ,ELI",,,,,,,"STEAL  by GONZALEZ,ELI",1
14:40,"MISS 3PTR by DIXON,LOGAN",,,,,,,"MISS 3PTR by DIXON,LOGAN",1
--,,,,,"REBOUND DEF by CARTER,DYLAN",,,"REBOUND DEF by CARTER,DYLAN",1
14:11,,,,,"TURNOVER  by ROTH,DREW",,,"TURNOVER  by ROTH,DREW",1
14:11,"STEAL  by PAREDES,JULIAN",,,,,,,"STEAL  by PAREDES,JULIAN",1
14:03,"GOOD LAYUP by PAREDES,JULIAN(fastbreak)(in the paint)",15 (+12),,3,,SRSU 15-3 (-12),,"GOOD LAYUP by PAREDES,JULIAN(fastbreak)(in the paint)",1
13:47,,,,,"TURNOVER  by BROWN,BRYCE",,,"TURNOVER  by BROWN,BRYCE",1
13:47,,,,,"SUB OUT by BROWN,BRYCE",,,"SUB OUT by BROWN,BRYCE",1
13:47,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
13:47,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",1
13:47,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
13:47,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
13:47,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
13:47,"SUB OUT by PAREDES,JULIAN",,,,,,,"SUB OUT by PAREDES,JULIAN",1
13:47,"SUB OUT by DIXON,LOGAN",,,,,,,"SUB OUT by DIXON,LOGAN",1
13:47,"SUB IN by BASS,DAVEONE",,,,,,,"SUB IN by BASS,DAVEONE",1
13:47,"SUB IN by SANCHEZ,GABE",,,,,,,"SUB IN by SANCHEZ,GABE",1
13:20,"GOOD 3PTR by BASS,DAVEONE",18 (+15),,3,,SRSU 18-3 (-15),,"GOOD 3PTR by BASS,DAVEONE",1
--,"ASSIST  by GONZALEZ,ELI",,,,,,,"ASSIST  by GONZALEZ,ELI",1
12:59,,,,,"MISS 3PTR by RUCKER,CAM",,,"MISS 3PTR by RUCKER,CAM",1
--,"REBOUND DEF by SANCHEZ,GABE",,,,,,,"REBOUND DEF by SANCHEZ,GABE",1
12:45,"TURNOVER  by NELSON,TREY",,,,,,,"TURNOVER  by NELSON,TREY",1
12:31,,,,,"MISS 3PTR by CARTER,DYLAN",,,"MISS 3PTR by CARTER,DYLAN",1
--,"REBOUND DEF by MORRISON,LARRY",,,,,,,"REBOUND DEF by MORRISON,LARRY",1
12:23,"MISS 3PTR by NELSON,TREY",,,,,,,"MISS 3PTR by NELSON,TREY",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
12:09,,,,,"MISS 3PTR by CARTER,DYLAN",,,"MISS 3PTR by CARTER,DYLAN",1
--,"REBOUND DEF by BASS,DAVEONE",,,,,,,"REBOUND DEF by BASS,DAVEONE",1
12:02,"MISS LAYUP by SANCHEZ,GABE(in the paint)",,,,,,,"MISS LAYUP by SANCHEZ,GABE(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
11:56,"FOUL  by MORRISON,LARRY",,,,,,,"FOUL  by MORRISON,LARRY",1
11:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:56,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
11:56,,,,,"SUB IN by BASS,DEVIN",,,"SUB IN by BASS,DEVIN",1
11:56,"SUB OUT by GONZALEZ,ELI",,,,,,,"SUB OUT by GONZALEZ,ELI",1
11:56,"SUB IN by JEMISON,CJ",,,,,,,"SUB IN by JEMISON,CJ",1
11:56,,18 (+14),,4,"GOOD FT by WILLIAMS,CAMERON",Mill 18-4 (-14),,"GOOD FT by WILLIAMS,CAMERON",1
11:56,,,,,"MISS FT by WILLIAMS,CAMERON",,,"MISS FT by WILLIAMS,CAMERON",1
--,"REBOUND DEF by MORRISON,LARRY",,,,,,,"REBOUND DEF by MORRISON,LARRY",1
11:35,"GOOD 3PTR by BASS,DAVEONE",21 (+17),,4,,SRSU 21-4 (-17),,"GOOD 3PTR by BASS,DAVEONE",1
--,"ASSIST  by NELSON,TREY",,,,,,,"ASSIST  by NELSON,TREY",1
11:13,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",1
11:13,"STEAL  by SANCHEZ,GABE",,,,,,,"STEAL  by SANCHEZ,GABE",1
11:04,"MISS 3PTR by SANCHEZ,GABE",,,,,,,"MISS 3PTR by SANCHEZ,GABE",1
--,"REBOUND OFF by MORRISON,LARRY",,,,,,,"REBOUND OFF by MORRISON,LARRY",1
10:57,"MISS JUMPER by NELSON,TREY",,,,,,,"MISS JUMPER by NELSON,TREY",1
--,,,,,"REBOUND DEF by BASS,DEVIN",,,"REBOUND DEF by BASS,DEVIN",1
10:36,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
10:36,"STEAL  by SANCHEZ,GABE",,,,,,,"STEAL  by SANCHEZ,GABE",1
10:30,"MISS LAYUP by SANCHEZ,GABE(in the paint)",,,,,,,"MISS LAYUP by SANCHEZ,GABE(in the paint)",1
--,,,,,"REBOUND DEF by BASS,DEVIN",,,"REBOUND DEF by BASS,DEVIN",1
10:17,,,,,"TURNOVER  by RUCKER,CAM",,,"TURNOVER  by RUCKER,CAM",1
10:17,"STEAL  by SANCHEZ,GABE",,,,,,,"STEAL  by SANCHEZ,GABE",1
10:13,"MISS LAYUP by SANCHEZ,GABE(in the paint)",,,,,,,"MISS LAYUP by SANCHEZ,GABE(in the paint)",1
10:13,,,,,"BLOCK  by BASS,DEVIN",,,"BLOCK  by BASS,DEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:13,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
10:13,,,,,"SUB OUT by CARTER,DYLAN",,,"SUB OUT by CARTER,DYLAN",1
10:13,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
10:13,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
10:13,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",1
10:13,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
10:13,"SUB OUT by NELSON,TREY",,,,,,,"SUB OUT by NELSON,TREY",1
10:13,"SUB OUT by MORRISON,LARRY",,,,,,,"SUB OUT by MORRISON,LARRY",1
10:13,"SUB IN by DIXON,LOGAN",,,,,,,"SUB IN by DIXON,LOGAN",1
10:13,"SUB IN by IBARRA,OMAR",,,,,,,"SUB IN by IBARRA,OMAR",1
10:03,"MISS 3PTR by IBARRA,OMAR",,,,,,,"MISS 3PTR by IBARRA,OMAR",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
09:44,,,,,"MISS 3PTR by EVANS,CHRISTIAN",,,"MISS 3PTR by EVANS,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:33,,,,,"TURNOVER  by RUCKER,CAM",,,"TURNOVER  by RUCKER,CAM",1
09:33,"STEAL  by JEMISON,CJ",,,,,,,"STEAL  by JEMISON,CJ",1
09:23,"MISS 3PTR by SANCHEZ,GABE",,,,,,,"MISS 3PTR by SANCHEZ,GABE",1
--,"REBOUND OFF by BASS,DAVEONE",,,,,,,"REBOUND OFF by BASS,DAVEONE",1
09:18,"GOOD LAYUP by BASS,DAVEONE(in the paint)",23 (+19),,4,,SRSU 23-4 (-19),,"GOOD LAYUP by BASS,DAVEONE(in the paint)",1
09:04,,,,,"TURNOVER  by RUCKER,CAM",,,"TURNOVER  by RUCKER,CAM",1
09:04,"STEAL  by SANCHEZ,GABE",,,,,,,"STEAL  by SANCHEZ,GABE",1
08:59,"GOOD LAYUP by JEMISON,CJ(fastbreak)(in the paint)",25 (+21),,4,,SRSU 25-4 (-21),,"GOOD LAYUP by JEMISON,CJ(fastbreak)(in the paint)",1
--,"ASSIST  by SANCHEZ,GABE",,,,,,,"ASSIST  by SANCHEZ,GABE",1
08:31,,25 (+19),,6,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",Mill 25-6 (-19),,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",1
08:11,"TURNOVER  by DIXON,LOGAN",,,,,,,"TURNOVER  by DIXON,LOGAN",1
08:11,,,,,"STEAL  by EVANS,CHRISTIAN",,,"STEAL  by EVANS,CHRISTIAN",1
08:08,,25 (+17),,8,"GOOD LAYUP by EVANS,CHRISTIAN(fastbreak)(in the paint)",Mill 25-8 (-17),,"GOOD LAYUP by EVANS,CHRISTIAN(fastbreak)(in the paint)",1
08:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
