Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,CC,Game Score,Team Indicator,Play,Period
18:18,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",1
18:04,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
18:04,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
17:54,"FOUL  by BROWN,BRYCE",,,,,,,"FOUL  by BROWN,BRYCE",1
17:54,,0,,1 (+1),"GOOD FT by CUNNINGHAM,SCOTT",CC 0-1 (-1),,"GOOD FT by CUNNINGHAM,SCOTT",1
17:54,,,,,"SUB OUT by KINNEY,SAM",,,"SUB OUT by KINNEY,SAM",1
17:54,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",1
17:54,,,,,"SUB IN by NISBET,WILL",,,"SUB IN by NISBET,WILL",1
17:54,,,,,"SUB IN by DITTMAN,KEVIN",,,"SUB IN by DITTMAN,KEVIN",1
17:54,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
17:54,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
17:54,,0,,2 (+2),"GOOD FT by CUNNINGHAM,SCOTT",CC 0-2 (-2),,"GOOD FT by CUNNINGHAM,SCOTT",1
17:41,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by DITTMAN,KEVIN",,,"REBOUND DEF by DITTMAN,KEVIN",1
17:26,,,,,"TURNOVER  by NISBET,WILL",,,"TURNOVER  by NISBET,WILL",1
17:26,"STEAL  by EVANS,CHRISTIAN",,,,,,,"STEAL  by EVANS,CHRISTIAN",1
17:22,,,,,"FOUL  by DITTMAN,KEVIN",,,"FOUL  by DITTMAN,KEVIN",1
17:22,"GOOD FT by EVANS,CHRISTIAN(fastbreak)",1,,2 (+1),,Mill 1-2 (-1),,"GOOD FT by EVANS,CHRISTIAN(fastbreak)",1
17:22,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",1
17:22,,,,,"SUB IN by ROUNAGHI,CHARLIE",,,"SUB IN by ROUNAGHI,CHARLIE",1
17:22,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
17:22,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
17:22,,,,,"SUB OUT by RUSSO,ALEX",,,"SUB OUT by RUSSO,ALEX",1
17:22,,,,,"SUB IN by RUEGG,SCOTT",,,"SUB IN by RUEGG,SCOTT",1
17:22,"MISS FT by EVANS,CHRISTIAN(fastbreak)",,,,,,,"MISS FT by EVANS,CHRISTIAN(fastbreak)",1
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",1
17:07,,,,,"MISS 3PTR by DITTMAN,KEVIN",,,"MISS 3PTR by DITTMAN,KEVIN",1
--,"REBOUND DEF by STEPHEN,SETH",,,,,,,"REBOUND DEF by STEPHEN,SETH",1
16:55,"MISS 3PTR by EVANS,CHRISTIAN",,,,,,,"MISS 3PTR by EVANS,CHRISTIAN",1
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",1
16:38,,1,,4 (+3),"GOOD JUMPER by RUEGG,SCOTT",CC 1-4 (-3),,"GOOD JUMPER by RUEGG,SCOTT",1
16:15,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",1
16:15,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
16:15,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
16:15,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
16:15,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
16:03,,1,,6 (+5),"GOOD JUMPER by ROMERO,EDGAR",CC 1-6 (-5),,"GOOD JUMPER by ROMERO,EDGAR",1
--,,,,,"ASSIST  by ROUNAGHI,CHARLIE",,,"ASSIST  by ROUNAGHI,CHARLIE",1
15:39,"GOOD 3PTR by GILLIHAN,NEWLON",4,,6 (+2),,Mill 4-6 (-2),,"GOOD 3PTR by GILLIHAN,NEWLON",1
--,"ASSIST  by EVANS,CHRISTIAN",,,,,,,"ASSIST  by EVANS,CHRISTIAN",1
15:18,,4,,9 (+5),"GOOD 3PTR by RUEGG,SCOTT",CC 4-9 (-5),,"GOOD 3PTR by RUEGG,SCOTT",1
--,,,,,"ASSIST  by ROUNAGHI,CHARLIE",,,"ASSIST  by ROUNAGHI,CHARLIE",1
15:02,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",1
14:54,,,,,"MISS LAYUP by ROUNAGHI,CHARLIE(in the paint)",,,"MISS LAYUP by ROUNAGHI,CHARLIE(in the paint)",1
14:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:53,,,,,"SUB OUT by NISBET,WILL",,,"SUB OUT by NISBET,WILL",1
14:53,,,,,"SUB OUT by ROMERO,EDGAR",,,"SUB OUT by ROMERO,EDGAR",1
14:53,,,,,"SUB OUT by DITTMAN,KEVIN",,,"SUB OUT by DITTMAN,KEVIN",1
14:53,,,,,"SUB IN by KINNEY,SAM",,,"SUB IN by KINNEY,SAM",1
14:53,,,,,"SUB IN by RUSSO,ALEX",,,"SUB IN by RUSSO,ALEX",1
14:53,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",1
14:53,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",1
14:53,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
14:53,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",1
14:53,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:42,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",1
14:31,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
14:24,,4,,11 (+7),"GOOD LAYUP by PRICE,ADRIAN(in the paint)",CC 4-11 (-7),,"GOOD LAYUP by PRICE,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by ROUNAGHI,CHARLIE",,,"ASSIST  by ROUNAGHI,CHARLIE",1
14:24,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
14:24,,,,,"MISS FT by PRICE,ADRIAN",,,"MISS FT by PRICE,ADRIAN",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
14:08,"TURNOVER  by BROWN,BROCK",,,,,,,"TURNOVER  by BROWN,BROCK",1
14:08,,,,,"STEAL  by ROUNAGHI,CHARLIE",,,"STEAL  by ROUNAGHI,CHARLIE",1
13:59,,4,,14 (+10),"GOOD 3PTR by RUEGG,SCOTT",CC 4-14 (-10),,"GOOD 3PTR by RUEGG,SCOTT",1
--,,,,,"ASSIST  by ROUNAGHI,CHARLIE",,,"ASSIST  by ROUNAGHI,CHARLIE",1
13:47,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",1
--,,,,,"REBOUND DEF by RUEGG,SCOTT",,,"REBOUND DEF by RUEGG,SCOTT",1
13:36,,,,,"MISS 3PTR by RUSSO,ALEX",,,"MISS 3PTR by RUSSO,ALEX",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
13:26,"GOOD JUMPER by WILLIAMS,CAMERON(in the paint)",6,,14 (+8),,Mill 6-14 (-8),,"GOOD JUMPER by WILLIAMS,CAMERON(in the paint)",1
13:25,,,,,"SUB OUT by RUSSO,ALEX",,,"SUB OUT by RUSSO,ALEX",1
13:25,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",1
13:25,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
13:25,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
13:25,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
13:25,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
13:10,,,,,"TURNOVER  by KINNEY,SAM",,,"TURNOVER  by KINNEY,SAM",1
12:53,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,"REBOUND OFF by EVANS,CHRISTIAN",,,,,,,"REBOUND OFF by EVANS,CHRISTIAN",1
12:49,"MISS LAYUP by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by EVANS,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",1
12:39,,,,,"MISS LAYUP by CUNNINGHAM,SCOTT(in the paint)",,,"MISS LAYUP by CUNNINGHAM,SCOTT(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:38,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
12:38,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
12:24,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,,,,,"REBOUND DEF by KINNEY,SAM",,,"REBOUND DEF by KINNEY,SAM",1
12:10,,6,,17 (+11),"GOOD 3PTR by KINNEY,SAM",CC 6-17 (-11),,"GOOD 3PTR by KINNEY,SAM",1
--,,,,,"ASSIST  by RUEGG,SCOTT",,,"ASSIST  by RUEGG,SCOTT",1
11:52,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",1
11:52,,,,,"BLOCK  by KINNEY,SAM",,,"BLOCK  by KINNEY,SAM",1
--,"REBOUND OFF by EVANS,CHRISTIAN",,,,,,,"REBOUND OFF by EVANS,CHRISTIAN",1
11:46,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",1
11:30,,,,,"MISS 3PTR by ROUNAGHI,CHARLIE",,,"MISS 3PTR by ROUNAGHI,CHARLIE",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
11:14,"MISS LAYUP by BROWN,BROCK(in the paint)",,,,,,,"MISS LAYUP by BROWN,BROCK(in the paint)",1
--,,,,,"REBOUND DEF by PRICE,ADRIAN",,,"REBOUND DEF by PRICE,ADRIAN",1
11:08,,,,,"MISS JUMPER by CUNNINGHAM,SCOTT(in the paint)",,,"MISS JUMPER by CUNNINGHAM,SCOTT(in the paint)",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
11:01,"MISS 3PTR by BROWN,BROCK",,,,,,,"MISS 3PTR by BROWN,BROCK",1
--,,,,,"REBOUND DEF by RUEGG,SCOTT",,,"REBOUND DEF by RUEGG,SCOTT",1
10:43,,6,,19 (+13),"GOOD LAYUP by RUEGG,SCOTT(in the paint)",CC 6-19 (-13),,"GOOD LAYUP by RUEGG,SCOTT(in the paint)",1
--,,,,,"ASSIST  by PRICE,ADRIAN",,,"ASSIST  by PRICE,ADRIAN",1
10:25,,,,,"FOUL  by PRICE,ADRIAN",,,"FOUL  by PRICE,ADRIAN",1
10:25,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:25,,,,,"SUB OUT by KINNEY,SAM",,,"SUB OUT by KINNEY,SAM",1
10:25,,,,,"SUB OUT by RUEGG,SCOTT",,,"SUB OUT by RUEGG,SCOTT",1
10:25,,,,,"SUB OUT by ROUNAGHI,CHARLIE",,,"SUB OUT by ROUNAGHI,CHARLIE",1
10:25,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",1
10:25,,,,,"SUB IN by ROMERO,EDGAR",,,"SUB IN by ROMERO,EDGAR",1
10:25,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",1
10:25,,,,,"SUB IN by DENNIS,DEANTE'",,,"SUB IN by DENNIS,DEANTE'",1
10:25,,,,,"SUB IN by DITTMAN,KEVIN",,,"SUB IN by DITTMAN,KEVIN",1
10:25,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",1
10:25,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
10:25,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
10:25,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
10:25,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
10:25,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",1
10:25,"GOOD FT by GILLIHAN,NEWLON",7,,19 (+12),,Mill 7-19 (-12),,"GOOD FT by GILLIHAN,NEWLON",1
10:25,"GOOD FT by GILLIHAN,NEWLON",8,,19 (+11),,Mill 8-19 (-11),,"GOOD FT by GILLIHAN,NEWLON",1
10:25,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
10:25,"SUB IN by BASS,DEVIN",,,,,,,"SUB IN by BASS,DEVIN",1
10:02,,8,,22 (+14),"GOOD 3PTR by CUNNINGHAM,SCOTT",CC 8-22 (-14),,"GOOD 3PTR by CUNNINGHAM,SCOTT",1
--,,,,,"ASSIST  by DENNIS,DEANTE'",,,"ASSIST  by DENNIS,DEANTE'",1
09:47,,,,,"FOUL  by CUNNINGHAM,SCOTT",,,"FOUL  by CUNNINGHAM,SCOTT",1
09:36,"GOOD 3PTR by BASS,DEVIN",11,,22 (+11),,Mill 11-22 (-11),,"GOOD 3PTR by BASS,DEVIN",1
--,"ASSIST  by BROWN,BRYCE",,,,,,,"ASSIST  by BROWN,BRYCE",1
09:16,,,,,"MISS JUMPER by PHILIO,DEVIN(in the paint)",,,"MISS JUMPER by PHILIO,DEVIN(in the paint)",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
09:07,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by ROMERO,EDGAR",,,"REBOUND DEF by ROMERO,EDGAR",1
08:46,,11,,24 (+13),"GOOD JUMPER by CUNNINGHAM,SCOTT(in the paint)",CC 11-24 (-13),,"GOOD JUMPER by CUNNINGHAM,SCOTT(in the paint)",1
08:40,"FOUL  by BROWN,BRYCE",,,,,,,"FOUL  by BROWN,BRYCE",1
08:40,"TURNOVER  by BROWN,BRYCE",,,,,,,"TURNOVER  by BROWN,BRYCE",1
08:40,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",1
08:40,,,,,"SUB IN by ROUNAGHI,CHARLIE",,,"SUB IN by ROUNAGHI,CHARLIE",1
08:24,,,,,"MISS JUMPER by DITTMAN,KEVIN(in the paint)",,,"MISS JUMPER by DITTMAN,KEVIN(in the paint)",1
--,"REBOUND DEF by BASS,DEVIN",,,,,,,"REBOUND DEF by BASS,DEVIN",1
08:12,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
08:12,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",1
08:12,,,,,"SUB OUT by DENNIS,DEANTE'",,,"SUB OUT by DENNIS,DEANTE'",1
08:12,,,,,"SUB OUT by DITTMAN,KEVIN",,,"SUB OUT by DITTMAN,KEVIN",1
08:12,,,,,"SUB IN by KINNEY,SAM",,,"SUB IN by KINNEY,SAM",1
08:12,,,,,"SUB IN by RUEGG,SCOTT",,,"SUB IN by RUEGG,SCOTT",1
08:12,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
08:12,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
07:55,,,,,"MISS JUMPER by RUEGG,SCOTT",,,"MISS JUMPER by RUEGG,SCOTT",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
07:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:49,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",1
07:49,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",1
07:49,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
07:49,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
07:38,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",1
07:21,,,,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",1
--,"REBOUND DEF by BASS,DEVIN",,,,,,,"REBOUND DEF by BASS,DEVIN",1
07:09,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",1
--,,,,,"REBOUND DEF by KINNEY,SAM",,,"REBOUND DEF by KINNEY,SAM",1
06:50,,,,,"MISS JUMPER by ROMERO,EDGAR",,,"MISS JUMPER by ROMERO,EDGAR",1
--,"REBOUND DEF by BASS,DEVIN",,,,,,,"REBOUND DEF by BASS,DEVIN",1
06:37,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by PRICE,ADRIAN",,,"REBOUND DEF by PRICE,ADRIAN",1
06:22,,,,,"MISS 3PTR by RUEGG,SCOTT",,,"MISS 3PTR by RUEGG,SCOTT",1
--,,,,,"REBOUND OFF by RUEGG,SCOTT",,,"REBOUND OFF by RUEGG,SCOTT",1
06:18,,11,,26 (+15),"GOOD JUMPER by RUEGG,SCOTT",CC 11-26 (-15),,"GOOD JUMPER by RUEGG,SCOTT",1
06:05,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",1
06:05,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
06:05,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
06:05,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
06:03,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by ROMERO,EDGAR",,,"REBOUND DEF by ROMERO,EDGAR",1
05:46,,,,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",1
--,,,,,"REBOUND OFF by KINNEY,SAM",,,"REBOUND OFF by KINNEY,SAM",1
05:41,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",1
05:41,,,,,"SUB IN by MAGNUS,LEO",,,"SUB IN by MAGNUS,LEO",1
05:41,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
05:41,"SUB IN by DYAS,CHANDLER",,,,,,,"SUB IN by DYAS,CHANDLER",1
05:38,,,,,"MISS 3PTR by RUEGG,SCOTT",,,"MISS 3PTR by RUEGG,SCOTT",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
05:32,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
--,,,,,"REBOUND DEF by KINNEY,SAM",,,"REBOUND DEF by KINNEY,SAM",1
05:16,,,,,"MISS 3PTR by ROUNAGHI,CHARLIE",,,"MISS 3PTR by ROUNAGHI,CHARLIE",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
05:00,"GOOD 3PTR by RUCKER,CAM",14,,26 (+12),,Mill 14-26 (-12),,"GOOD 3PTR by RUCKER,CAM",1
--,"ASSIST  by DYAS,CHANDLER",,,,,,,"ASSIST  by DYAS,CHANDLER",1
04:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:57,,,,,"SUB OUT by ROUNAGHI,CHARLIE",,,"SUB OUT by ROUNAGHI,CHARLIE",1
04:57,,,,,"SUB IN by RUSSO,ALEX",,,"SUB IN by RUSSO,ALEX",1
04:43,"FOUL  by DYAS,CHANDLER",,,,,,,"FOUL  by DYAS,CHANDLER",1
04:43,,14,,27 (+13),"GOOD FT by RUSSO,ALEX",CC 14-27 (-13),,"GOOD FT by RUSSO,ALEX",1
04:43,,,,,"SUB OUT by RUEGG,SCOTT",,,"SUB OUT by RUEGG,SCOTT",1
04:43,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",1
04:43,,14,,28 (+14),"GOOD FT by RUSSO,ALEX",CC 14-28 (-14),,"GOOD FT by RUSSO,ALEX",1
04:40,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
04:40,,,,,"STEAL  by ROMERO,EDGAR",,,"STEAL  by ROMERO,EDGAR",1
04:40,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
04:40,,,,,"MISS FT by ROMERO,EDGAR(fastbreak)",,,"MISS FT by ROMERO,EDGAR(fastbreak)",1
--,"REBOUND DEF by BASS,DEVIN",,,,,,,"REBOUND DEF by BASS,DEVIN",1
04:24,,,,,"FOUL  by KINNEY,SAM",,,"FOUL  by KINNEY,SAM",1
04:24,"MISS FT by WATSON,DOUG",,,,,,,"MISS FT by WATSON,DOUG",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:24,,,,,"SUB OUT by RUSSO,ALEX",,,"SUB OUT by RUSSO,ALEX",1
04:24,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",1
04:24,"SUB OUT by DYAS,CHANDLER",,,,,,,"SUB OUT by DYAS,CHANDLER",1
04:24,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
04:24,"MISS FT by WATSON,DOUG",,,,,,,"MISS FT by WATSON,DOUG",1
--,,,,,"REBOUND DEF by KINNEY,SAM",,,"REBOUND DEF by KINNEY,SAM",1
04:07,,,,,"MISS JUMPER by ROMERO,EDGAR(in the paint)",,,"MISS JUMPER by ROMERO,EDGAR(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:06,,,,,"SUB OUT by ROMERO,EDGAR",,,"SUB OUT by ROMERO,EDGAR",1
04:06,,,,,"SUB IN by RUSSO,ALEX",,,"SUB IN by RUSSO,ALEX",1
04:06,"SUB OUT by BASS,DEVIN",,,,,,,"SUB OUT by BASS,DEVIN",1
04:06,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
03:48,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by CUNNINGHAM,SCOTT",,,"REBOUND DEF by CUNNINGHAM,SCOTT",1
03:40,,14,,31 (+17),"GOOD 3PTR by KINNEY,SAM(fastbreak)",CC 14-31 (-17),,"GOOD 3PTR by KINNEY,SAM(fastbreak)",1
--,,,,,"ASSIST  by CUNNINGHAM,SCOTT",,,"ASSIST  by CUNNINGHAM,SCOTT",1
03:22,"MISS JUMPER by GILLIHAN,NEWLON",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,"REBOUND DEF by MAGNUS,LEO",,,"REBOUND DEF by MAGNUS,LEO",1
03:11,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
