Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
16:46,,8 (+6),,2,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",Mill 8-2 (-6),,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",1
--,,,,,"ASSIST  by BROWN,BROCK",,,"ASSIST  by BROWN,BROCK",1
16:22,"GOOD 3PTR by PAGE,SAM",11 (+9),,2,,Hunt 11-2 (-9),,"GOOD 3PTR by PAGE,SAM",1
--,"ASSIST  by TONEY,CALEB",,,,,,,"ASSIST  by TONEY,CALEB",1
16:10,,11 (+6),,5,"GOOD 3PTR by BROWN,BROCK",Mill 11-5 (-6),,"GOOD 3PTR by BROWN,BROCK",1
--,,,,,"ASSIST  by UGHOVWA,NICHOLAS",,,"ASSIST  by UGHOVWA,NICHOLAS",1
15:50,"GOOD 3PTR by PAGE,SAM",14 (+9),,5,,Hunt 14-5 (-9),,"GOOD 3PTR by PAGE,SAM",1
--,"ASSIST  by TONEY,CALEB",,,,,,,"ASSIST  by TONEY,CALEB",1
15:32,"FOUL  by TONEY,CALEB",,,,,,,"FOUL  by TONEY,CALEB",1
15:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:32,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
15:32,,,,,"SUB OUT by BROWN,BROCK",,,"SUB OUT by BROWN,BROCK",1
15:32,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
15:32,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
15:32,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",1
15:32,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",1
15:32,"SUB OUT by MADISON,DAMIEN",,,,,,,"SUB OUT by MADISON,DAMIEN",1
15:32,"SUB OUT by PAGE,SAM",,,,,,,"SUB OUT by PAGE,SAM",1
15:32,"SUB OUT by JOHNSON,JUSTIN",,,,,,,"SUB OUT by JOHNSON,JUSTIN",1
15:32,"SUB OUT by TONEY,CALEB",,,,,,,"SUB OUT by TONEY,CALEB",1
15:32,"SUB OUT by BOHLING,DYLAN",,,,,,,"SUB OUT by BOHLING,DYLAN",1
15:32,"SUB IN by DAVIS,KEONDRE",,,,,,,"SUB IN by DAVIS,KEONDRE",1
15:32,"SUB IN by GARDNER,MAX",,,,,,,"SUB IN by GARDNER,MAX",1
15:32,"SUB IN by JOHNSON,HORACE",,,,,,,"SUB IN by JOHNSON,HORACE",1
15:32,"SUB IN by JOHNS,NATE",,,,,,,"SUB IN by JOHNS,NATE",1
15:32,"SUB IN by GOOLESBY,TATE",,,,,,,"SUB IN by GOOLESBY,TATE",1
15:20,,14 (+7),,7,"GOOD LAYUP by WILLIAMS,CAMERON(in the paint)",Mill 14-7 (-7),,"GOOD LAYUP by WILLIAMS,CAMERON(in the paint)",1
15:20,"FOUL  by JOHNS,NATE",,,,,,,"FOUL  by JOHNS,NATE",1
15:20,,,,,"MISS FT by WILLIAMS,CAMERON",,,"MISS FT by WILLIAMS,CAMERON",1
--,"REBOUND DEF by JOHNSON,HORACE",,,,,,,"REBOUND DEF by JOHNSON,HORACE",1
14:59,"TURNOVER  by JOHNS,NATE",,,,,,,"TURNOVER  by JOHNS,NATE",1
14:59,,,,,"STEAL  by EVANS,CHRISTIAN",,,"STEAL  by EVANS,CHRISTIAN",1
14:48,,14 (+4),,10,"GOOD 3PTR by UGHOVWA,NICHOLAS",Mill 14-10 (-4),,"GOOD 3PTR by UGHOVWA,NICHOLAS",1
--,,,,,"ASSIST  by EVANS,CHRISTIAN",,,"ASSIST  by EVANS,CHRISTIAN",1
14:33,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
14:33,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
14:33,,,,,"SUB IN by BASS,DEVIN",,,"SUB IN by BASS,DEVIN",1
14:24,"MISS JUMPER by GARDNER,MAX(in the paint)",,,,,,,"MISS JUMPER by GARDNER,MAX(in the paint)",1
--,,,,,"REBOUND DEF by STEPHEN,SETH",,,"REBOUND DEF by STEPHEN,SETH",1
14:12,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
13:59,"MISS 3PTR by JOHNS,NATE",,,,,,,"MISS 3PTR by JOHNS,NATE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:56,"SUB OUT by JOHNS,NATE",,,,,,,"SUB OUT by JOHNS,NATE",1
13:56,"SUB IN by TAYLOR,WILLIE",,,,,,,"SUB IN by TAYLOR,WILLIE",1
13:56,,,,,"SUB OUT by BASS,DEVIN",,,"SUB OUT by BASS,DEVIN",1
13:56,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
13:42,,,,,"MISS JUMPER by WILLIAMS,CAMERON",,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
13:26,"TURNOVER  by JOHNSON,HORACE",,,,,,,"TURNOVER  by JOHNSON,HORACE",1
13:26,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
13:26,,,,,"SUB IN by DYAS,CHANDLER",,,"SUB IN by DYAS,CHANDLER",1
13:26,"SUB OUT by JOHNSON,HORACE",,,,,,,"SUB OUT by JOHNSON,HORACE",1
13:26,"SUB OUT by GOOLESBY,TATE",,,,,,,"SUB OUT by GOOLESBY,TATE",1
