Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD JUMPER by FITCH,CARL",Hend 0-2 (-2),,"GOOD JUMPER by FITCH,CARL",1
19:22,"MISS JUMPER by URSIN,AARON(in the paint)",,,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
19:07,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
18:50,"MISS 3PTR by BROWN,BRYCE",,,,,,,"MISS 3PTR by BROWN,BRYCE",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:35,,0,,4 (+4),"GOOD JUMPER by COMAN,SEAN(in the paint)",Hend 0-4 (-4),,"GOOD JUMPER by COMAN,SEAN(in the paint)",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
18:20,"GOOD JUMPER by URSIN,AARON",2,,4 (+2),,Mill 2-4 (-2),,"GOOD JUMPER by URSIN,AARON",1
18:00,,2,,7 (+5),"GOOD 3PTR by STANLEY,SETH",Hend 2-7 (-5),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
17:41,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
17:22,"FOUL  by HOGAN,TJ",,,,,,,"FOUL  by HOGAN,TJ",1
17:22,,2,,8 (+6),"GOOD FT by STANLEY,SETH",Hend 2-8 (-6),,"GOOD FT by STANLEY,SETH",1
17:22,,2,,9 (+7),"GOOD FT by STANLEY,SETH",Hend 2-9 (-7),,"GOOD FT by STANLEY,SETH",1
17:07,"MISS JUMPER by URSIN,AARON",,,,,,,"MISS JUMPER by URSIN,AARON",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
16:52,,,,,"MISS JUMPER by CONRAD,ALEX(in the paint)",,,"MISS JUMPER by CONRAD,ALEX(in the paint)",1
16:52,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
16:41,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
16:41,,,,,"MISS JUMPER by COMAN,SEAN(in the paint)",,,"MISS JUMPER by COMAN,SEAN(in the paint)",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
16:36,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
16:20,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
16:20,"GOOD FT by WATSON,DOUG",3,,9 (+6),,Mill 3-9 (-6),,"GOOD FT by WATSON,DOUG",1
16:20,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
16:20,"GOOD FT by WATSON,DOUG",4,,9 (+5),,Mill 4-9 (-5),,"GOOD FT by WATSON,DOUG",1
16:20,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
16:20,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",1
16:20,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",1
16:08,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by BROWN,BROCK",,,,,,,"REBOUND DEF by BROWN,BROCK",1
15:54,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",1
--,"REBOUND OFF by BROWN,BRYCE",,,,,,,"REBOUND OFF by BROWN,BRYCE",1
15:48,"GOOD LAYUP by BROWN,BRYCE(in the paint)",6,,9 (+3),,Mill 6-9 (-3),,"GOOD LAYUP by BROWN,BRYCE(in the paint)",1
15:34,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
15:20,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
15:09,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS(in the paint)",,,"MISS JUMPER by RASBERRY JR.,DARVIS(in the paint)",1
--,"REBOUND DEF by BROWN,BROCK",,,,,,,"REBOUND DEF by BROWN,BROCK",1
14:47,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
