Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Miss,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by THOMPSON,TRADAVIS",,,"REBOUND DEF by THOMPSON,TRADAVIS",1
09:34,,18,,24 (+6),"GOOD JUMPER by BOSTON,BRANDON(fastbreak)",Miss 18-24 (-6),,"GOOD JUMPER by BOSTON,BRANDON(fastbreak)",1
--,,,,,"ASSIST  by THOMPSON,TRADAVIS",,,"ASSIST  by THOMPSON,TRADAVIS",1
09:19,,,,,"FOUL  by SMITH,GALEN",,,"FOUL  by SMITH,GALEN",1
09:19,,,,,"SUB OUT by BERZAT,LAMONT",,,"SUB OUT by BERZAT,LAMONT",1
09:19,,,,,"SUB IN by MILLER,MILES",,,"SUB IN by MILLER,MILES",1
09:19,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
09:19,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
09:14,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",1
--,,,,,"REBOUND DEF by MILLER,MILES",,,"REBOUND DEF by MILLER,MILES",1
09:06,,,,,"MISS JUMPER by BOSTON,BRANDON",,,"MISS JUMPER by BOSTON,BRANDON",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
08:38,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by COWART JR.,ANTONIO",,,"REBOUND DEF by COWART JR.,ANTONIO",1
08:19,,,,,"TURNOVER  by SMITH,GALEN",,,"TURNOVER  by SMITH,GALEN",1
08:19,"STEAL  by DYAS,CHANDLER",,,,,,,"STEAL  by DYAS,CHANDLER",1
08:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:19,,,,,"SUB OUT by COWART JR.,ANTONIO",,,"SUB OUT by COWART JR.,ANTONIO",1
08:19,,,,,"SUB IN by JORDAN,JUDAH",,,"SUB IN by JORDAN,JUDAH",1
08:19,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",1
08:19,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
08:11,"GOOD JUMPER by WATSON,DOUG(fastbreak)",20,,24 (+4),,Mill 20-24 (-4),,"GOOD JUMPER by WATSON,DOUG(fastbreak)",1
07:41,,,,,"MISS LAYUP by BOSTON,BRANDON(in the paint)",,,"MISS LAYUP by BOSTON,BRANDON(in the paint)",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
07:35,"GOOD JUMPER by WILLIAMS,CAMERON",22,,24 (+2),,Mill 22-24 (-2),,"GOOD JUMPER by WILLIAMS,CAMERON",1
07:19,,22,,26 (+4),"GOOD JUMPER by MILLER,MILES",Miss 22-26 (-4),,"GOOD JUMPER by MILLER,MILES",1
07:04,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:03,,,,,"SUB OUT by BOSTON,BRANDON",,,"SUB OUT by BOSTON,BRANDON",1
07:03,,,,,"SUB OUT by SMITH,GALEN",,,"SUB OUT by SMITH,GALEN",1
07:03,,,,,"SUB IN by JOVANOVIC,MARKO",,,"SUB IN by JOVANOVIC,MARKO",1
07:03,,,,,"SUB IN by JONES,ZACH",,,"SUB IN by JONES,ZACH",1
07:03,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
07:03,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
07:02,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
07:02,,,,,"STEAL  by MILLER,MILES",,,"STEAL  by MILLER,MILES",1
06:45,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
