Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,UAB,Game Score,Team Indicator,Play,Period
19:47,,,,,"MISS 3PTR by JOHNSON,JAMAL",,,"MISS 3PTR by JOHNSON,JAMAL",1
--,,,,,"REBOUND OFF by BUFFEN,KJ",,,"REBOUND OFF by BUFFEN,KJ",1
19:39,,0,,2 (+2),"GOOD JUMPER by BUFFEN,KJ(in the paint)",UAB 0-2 (-2),,"GOOD JUMPER by BUFFEN,KJ(in the paint)",1
19:29,"TURNOVER  by BROWN,BRYCE",,,,,,,"TURNOVER  by BROWN,BRYCE",1
19:29,,,,,"STEAL  by BUFFEN,KJ",,,"STEAL  by BUFFEN,KJ",1
19:12,,,,,"MISS 3PTR by WALKER,JORDAN",,,"MISS 3PTR by WALKER,JORDAN",1
--,,,,,"REBOUND OFF by BUFFEN,KJ",,,"REBOUND OFF by BUFFEN,KJ",1
19:06,,0,,4 (+4),"GOOD LAYUP by BUFFEN,KJ(in the paint)",UAB 0-4 (-4),,"GOOD LAYUP by BUFFEN,KJ(in the paint)",1
19:03,,,,,"FOUL  by WALKER,JORDAN",,,"FOUL  by WALKER,JORDAN",1
18:41,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,,,,,"REBOUND DEF by LEBLANC,JOSH",,,"REBOUND DEF by LEBLANC,JOSH",1
18:32,,,,,"TURNOVER  by JACKSON,QUAN",,,"TURNOVER  by JACKSON,QUAN",1
18:32,"STEAL  by WILLIAMS,CAMERON",,,,,,,"STEAL  by WILLIAMS,CAMERON",1
18:26,"GOOD JUMPER by WILLIAMS,CAMERON(fastbreak)",2,,4 (+2),,Mill 2-4 (-2),,"GOOD JUMPER by WILLIAMS,CAMERON(fastbreak)",1
17:56,,2,,6 (+4),"GOOD DUNK by BUFFEN,KJ(in the paint)",UAB 2-6 (-4),,"GOOD DUNK by BUFFEN,KJ(in the paint)",1
--,,,,,"ASSIST  by WALKER,JORDAN",,,"ASSIST  by WALKER,JORDAN",1
17:32,"MISS 3PTR by EVANS,CHRISTIAN",,,,,,,"MISS 3PTR by EVANS,CHRISTIAN",1
--,,,,,"REBOUND DEF by LEBLANC,JOSH",,,"REBOUND DEF by LEBLANC,JOSH",1
17:27,,2,,8 (+6),"GOOD JUMPER by JACKSON,QUAN(fastbreak)(in the paint)",UAB 2-8 (-6),,"GOOD JUMPER by JACKSON,QUAN(fastbreak)(in the paint)",1
17:27,"FOUL  by EVANS,CHRISTIAN",,,,,,,"FOUL  by EVANS,CHRISTIAN",1
17:27,,2,,9 (+7),"GOOD FT by JACKSON,QUAN(fastbreak)",UAB 2-9 (-7),,"GOOD FT by JACKSON,QUAN(fastbreak)",1
17:27,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",1
17:27,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
17:27,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
17:27,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
17:27,"MISS LAYUP by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by EVANS,CHRISTIAN(in the paint)",1
17:27,,,,,"BLOCK  by LEBLANC,JOSH",,,"BLOCK  by LEBLANC,JOSH",1
--,,,,,"REBOUND DEF by JACKSON,QUAN",,,"REBOUND DEF by JACKSON,QUAN",1
17:11,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
17:11,,,,,"MISS FT by LEBLANC,JOSH",,,"MISS FT by LEBLANC,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:11,,2,,10 (+8),"GOOD FT by LEBLANC,JOSH",UAB 2-10 (-8),,"GOOD FT by LEBLANC,JOSH",1
17:11,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
17:11,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
17:04,"MISS LAYUP by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by EVANS,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by BUFFEN,KJ",,,"REBOUND DEF by BUFFEN,KJ",1
17:04,,,,,"BLOCK  by LEBLANC,JOSH",,,"BLOCK  by LEBLANC,JOSH",1
16:46,,2,,12 (+10),"GOOD LAYUP by BUFFEN,KJ(in the paint)",UAB 2-12 (-10),,"GOOD LAYUP by BUFFEN,KJ(in the paint)",1
