Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS JUMPER by STEPHEN,SETH",,,"MISS JUMPER by STEPHEN,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:16,"MISS JUMPER by ELLIS,CHASE(in the paint)",,,,,,,"MISS JUMPER by ELLIS,CHASE(in the paint)",1
--,"REBOUND OFF by RUSCIANO,ROBBIE",,,,,,,"REBOUND OFF by RUSCIANO,ROBBIE",1
18:57,"MISS JUMPER by KRUEGER,JORDAN",,,,,,,"MISS JUMPER by KRUEGER,JORDAN",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
18:39,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
18:25,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
18:07,,,,,"MISS 3PTR by BROWN,BROCK",,,"MISS 3PTR by BROWN,BROCK",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
17:42,"MISS JUMPER by RUSCIANO,ROBBIE(in the paint)",,,,,,,"MISS JUMPER by RUSCIANO,ROBBIE(in the paint)",1
--,,,,,"REBOUND DEF by BROWN,BROCK",,,"REBOUND DEF by BROWN,BROCK",1
17:20,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
17:20,"STEAL  by JOHNSON,MICHAEL",,,,,,,"STEAL  by JOHNSON,MICHAEL",1
17:15,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
17:14,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",1
17:02,"MISS 3PTR by KRUEGER,JORDAN",,,,,,,"MISS 3PTR by KRUEGER,JORDAN",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
16:55,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND OFF by URSIN,AARON",,,"REBOUND OFF by URSIN,AARON",1
16:50,,,,,"MISS JUMPER by URSIN,AARON",,,"MISS JUMPER by URSIN,AARON",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
16:42,"MISS 3PTR by RUSCIANO,ROBBIE",,,,,,,"MISS 3PTR by RUSCIANO,ROBBIE",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
16:31,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
16:14,"GOOD JUMPER by HONROTH,OWEN(in the paint)",2 (+2),,0,,Berry 2-0 (-2),,"GOOD JUMPER by HONROTH,OWEN(in the paint)",1
15:49,,,,,"TURNOVER  by BROWN,BROCK",,,"TURNOVER  by BROWN,BROCK",1
15:49,"STEAL  by HONROTH,OWEN",,,,,,,"STEAL  by HONROTH,OWEN",1
15:44,"TURNOVER  by RUSCIANO,ROBBIE",,,,,,,"TURNOVER  by RUSCIANO,ROBBIE",1
15:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:44,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
15:44,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
15:44,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
15:44,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
15:44,"SUB OUT by KRUEGER,JORDAN",,,,,,,"SUB OUT by KRUEGER,JORDAN",1
15:44,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
15:44,"SUB IN by MCEWEN,DEVAN",,,,,,,"SUB IN by MCEWEN,DEVAN",1
15:44,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
15:31,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",1
--,,,,,"REBOUND OFF by STEPHEN,SETH",,,"REBOUND OFF by STEPHEN,SETH",1
15:26,,2,,2,"GOOD LAYUP by STEPHEN,SETH(in the paint)",Mill 2-2 (0),,"GOOD LAYUP by STEPHEN,SETH(in the paint)",1
15:05,"GOOD JUMPER by COSTAS,RILEY(in the paint)",4 (+2),,2,,Berry 4-2 (-2),,"GOOD JUMPER by COSTAS,RILEY(in the paint)",1
14:40,,,,,"TURNOVER  by BROWN,BROCK",,,"TURNOVER  by BROWN,BROCK",1
14:40,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
14:40,,,,,"SUB IN by BASS,DEVIN",,,"SUB IN by BASS,DEVIN",1
14:40,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
14:40,"SUB IN by CRAFT,JAKE",,,,,,,"SUB IN by CRAFT,JAKE",1
14:40,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",1
14:40,"STEAL  by JOHNSON,MICHAEL",,,,,,,"STEAL  by JOHNSON,MICHAEL",1
14:40,"GOOD JUMPER by JOHNSON,MICHAEL(fastbreak)(in the paint)",6 (+4),,2,,Berry 6-2 (-4),,"GOOD JUMPER by JOHNSON,MICHAEL(fastbreak)(in the paint)",1
14:26,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",1
13:58,,,,,"TURNOVER  by HOGAN,TJ",,,"TURNOVER  by HOGAN,TJ",1
13:58,"STEAL  by COSTAS,RILEY",,,,,,,"STEAL  by COSTAS,RILEY",1
13:45,"MISS JUMPER by COSTAS,RILEY",,,,,,,"MISS JUMPER by COSTAS,RILEY",1
--,,,,,"REBOUND DEF by BROWN,BROCK",,,"REBOUND DEF by BROWN,BROCK",1
13:34,,,,,"MISS 3PTR by HOGAN,TJ",,,"MISS 3PTR by HOGAN,TJ",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
13:24,"MISS JUMPER by ELLIS,CHASE(in the paint)",,,,,,,"MISS JUMPER by ELLIS,CHASE(in the paint)",1
13:24,,,,,"BLOCK  by BASS,DEVIN",,,"BLOCK  by BASS,DEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:24,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
13:24,,,,,"SUB OUT by BROWN,BROCK",,,"SUB OUT by BROWN,BROCK",1
13:24,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",1
13:24,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
13:24,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
13:24,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
13:24,"SUB IN by CARTER,COLBY",,,,,,,"SUB IN by CARTER,COLBY",1
13:24,"SUB IN by CLARK,BRYCE",,,,,,,"SUB IN by CLARK,BRYCE",1
13:12,"GOOD JUMPER by CRAFT,JAKE",8 (+6),,2,,Berry 8-2 (-6),,"GOOD JUMPER by CRAFT,JAKE",1
--,"ASSIST  by MCEWEN,DEVAN",,,,,,,"ASSIST  by MCEWEN,DEVAN",1
13:03,"FOUL  by MCEWEN,DEVAN",,,,,,,"FOUL  by MCEWEN,DEVAN",1
13:03,,8 (+5),,3,"GOOD FT by HOGAN,TJ",Mill 8-3 (-5),,"GOOD FT by HOGAN,TJ",1
13:03,,8 (+4),,4,"GOOD FT by HOGAN,TJ",Mill 8-4 (-4),,"GOOD FT by HOGAN,TJ",1
13:03,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",1
13:03,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
12:47,"TURNOVER  by CRAFT,JAKE",,,,,,,"TURNOVER  by CRAFT,JAKE",1
12:29,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,"REBOUND DEF by CARTER,COLBY",,,,,,,"REBOUND DEF by CARTER,COLBY",1
12:19,"TURNOVER  by MCEWEN,DEVAN",,,,,,,"TURNOVER  by MCEWEN,DEVAN",1
12:19,,,,,"STEAL  by BASS,DEVIN",,,"STEAL  by BASS,DEVIN",1
12:19,"FOUL  by CARTER,COLBY",,,,,,,"FOUL  by CARTER,COLBY",1
12:19,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
12:19,"SUB IN by BENHAM,BRAXTON",,,,,,,"SUB IN by BENHAM,BRAXTON",1
11:59,,,,,"MISS 3PTR by RUCKER,CAM",,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND OFF by BASS,DEVIN",,,"REBOUND OFF by BASS,DEVIN",1
11:55,,,,,"MISS LAYUP by BASS,DEVIN(in the paint)",,,"MISS LAYUP by BASS,DEVIN(in the paint)",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
11:51,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",1
--,"REBOUND DEF by CLARK,BRYCE",,,,,,,"REBOUND DEF by CLARK,BRYCE",1
11:46,"FOUL  by BENHAM,BRAXTON",,,,,,,"FOUL  by BENHAM,BRAXTON",1
11:46,"TURNOVER  by BENHAM,BRAXTON",,,,,,,"TURNOVER  by BENHAM,BRAXTON",1
11:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:29,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,,,,,"REBOUND OFF by BASS,DEVIN",,,"REBOUND OFF by BASS,DEVIN",1
11:21,,8 (+2),,6,"GOOD LAYUP by BASS,DEVIN(in the paint)",Mill 8-6 (-2),,"GOOD LAYUP by BASS,DEVIN(in the paint)",1
11:17,,,,,"FOUL  by RUCKER,CAM",,,"FOUL  by RUCKER,CAM",1
11:09,"GOOD JUMPER by BENHAM,BRAXTON(in the paint)",10 (+4),,6,,Berry 10-6 (-4),,"GOOD JUMPER by BENHAM,BRAXTON(in the paint)",1
--,"ASSIST  by CRAFT,JAKE",,,,,,,"ASSIST  by CRAFT,JAKE",1
10:49,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by CARTER,COLBY",,,,,,,"REBOUND DEF by CARTER,COLBY",1
10:23,"TURNOVER  by CLARK,BRYCE",,,,,,,"TURNOVER  by CLARK,BRYCE",1
