Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,HUNTINGD,Game Score,Team Indicator,Play,Period
19:45,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",1
19:06,,,,,"MISS 3PTR by JOHNSON,JUSTIN",,,"MISS 3PTR by JOHNSON,JUSTIN",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
18:57,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",1
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",1
18:49,,,,,"FOUL  by MADISON,DAMIEN",,,"FOUL  by MADISON,DAMIEN",1
18:44,"MISS LAYUP by GILLIHAN,NEWLON",,,,,,,"MISS LAYUP by GILLIHAN,NEWLON",1
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",1
18:34,,,,,"MISS 3PTR by PAGE,SAM",,,"MISS 3PTR by PAGE,SAM",1
--,,,,,"REBOUND OFF by BOHLING,DYLAN",,,"REBOUND OFF by BOHLING,DYLAN",1
18:27,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
18:27,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
18:27,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
18:18,,0,,2 (+2),"GOOD JUMPER by MADISON,DAMIEN",HUNTINGD 0-2 (-2),,"GOOD JUMPER by MADISON,DAMIEN",1
17:53,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,"REBOUND OFF by BUSH,RODREEKAS",,,,,,,"REBOUND OFF by BUSH,RODREEKAS",1
17:49,"GOOD LAYUP by BUSH,RODREEKAS(in the paint)",2,,2,,MILLSAPS 2-2 (0),,"GOOD LAYUP by BUSH,RODREEKAS(in the paint)",1
17:28,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,,,,,"REBOUND OFF by TONEY,CALEB",,,"REBOUND OFF by TONEY,CALEB",1
17:12,"MISS JUMPER by URSIN,AARON",,,,,,,"MISS JUMPER by URSIN,AARON",1
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",1
