Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:53,,0,,2 (+2),"GOOD JUMPER by WILLIAMS,CAMERON(in the paint)",Mill 0-2 (+2),,"GOOD JUMPER by WILLIAMS,CAMERON(in the paint)",1
--,,,,,"ASSIST  by EVANS,CHRISTIAN",,,"ASSIST  by EVANS,CHRISTIAN",1
19:36,"MISS LAYUP by CARTER,LEVONDRE(in the paint)",,,,,,,"MISS LAYUP by CARTER,LEVONDRE(in the paint)",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
19:21,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:18,"FOUL  by CARTER,LEVONDRE",,,,,,,"FOUL  by CARTER,LEVONDRE",1
19:11,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:55,"TURNOVER  by MCMILLAN,MATTHEW",,,,,,,"TURNOVER  by MCMILLAN,MATTHEW",1
18:46,,,,,"TURNOVER  by BROWN,BROCK",,,"TURNOVER  by BROWN,BROCK",1
18:46,"STEAL  by RATLIFF,AROTHER",,,,,,,"STEAL  by RATLIFF,AROTHER",1
18:39,,,,,"FOUL  by EVANS,CHRISTIAN",,,"FOUL  by EVANS,CHRISTIAN",1
18:29,"MISS 3PTR by RATLIFF,AROTHER",,,,,,,"MISS 3PTR by RATLIFF,AROTHER",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
18:13,,0,,5 (+5),"GOOD 3PTR by WATSON,DOUG",Mill 0-5 (+5),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by BROWN,BROCK",,,"ASSIST  by BROWN,BROCK",1
17:59,"TURNOVER  by COUCH,LUKE",,,,,,,"TURNOVER  by COUCH,LUKE",1
17:59,,,,,"STEAL  by EVANS,CHRISTIAN",,,"STEAL  by EVANS,CHRISTIAN",1
17:54,,,,,"MISS DUNK by EVANS,CHRISTIAN(in the paint)",,,"MISS DUNK by EVANS,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND OFF by WILLIAMS,CAMERON",,,"REBOUND OFF by WILLIAMS,CAMERON",1
17:52,,0,,7 (+7),"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",Mill 0-7 (+7),,"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",1
17:52,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",1
17:52,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
17:42,"MISS 3PTR by COUCH,LUKE",,,,,,,"MISS 3PTR by COUCH,LUKE",1
--,"REBOUND OFF by COUCH,LUKE",,,,,,,"REBOUND OFF by COUCH,LUKE",1
17:31,"MISS LAYUP by GIVENS,DONOVAN(in the paint)",,,,,,,"MISS LAYUP by GIVENS,DONOVAN(in the paint)",1
17:31,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:23,"MISS LAYUP by CARTER,LEVONDRE(in the paint)",,,,,,,"MISS LAYUP by CARTER,LEVONDRE(in the paint)",1
17:23,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
--,,,,,"REBOUND DEF by BROWN,BROCK",,,"REBOUND DEF by BROWN,BROCK",1
17:12,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",1
17:12,"STEAL  by RATLIFF,AROTHER",,,,,,,"STEAL  by RATLIFF,AROTHER",1
17:09,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",1
17:09,"GOOD FT by RATLIFF,AROTHER(fastbreak)",1,,7 (+6),,BU 1-7 (+6),,"GOOD FT by RATLIFF,AROTHER(fastbreak)",1
17:09,,,,,"SUB OUT by BROWN,BROCK",,,"SUB OUT by BROWN,BROCK",1
17:09,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",1
17:09,"SUB OUT by CARTER,LEVONDRE",,,,,,,"SUB OUT by CARTER,LEVONDRE",1
17:09,"SUB IN by WOMACK,NEHEMIAH",,,,,,,"SUB IN by WOMACK,NEHEMIAH",1
17:09,"GOOD FT by RATLIFF,AROTHER(fastbreak)",2,,7 (+5),,BU 2-7 (+5),,"GOOD FT by RATLIFF,AROTHER(fastbreak)",1
16:54,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND DEF by RATLIFF,AROTHER",,,,,,,"REBOUND DEF by RATLIFF,AROTHER",1
16:47,"MISS LAYUP by RATLIFF,AROTHER(in the paint)",,,,,,,"MISS LAYUP by RATLIFF,AROTHER(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
16:36,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by RATLIFF,AROTHER",,,,,,,"REBOUND DEF by RATLIFF,AROTHER",1
16:18,"MISS LAYUP by RATLIFF,AROTHER(in the paint)",,,,,,,"MISS LAYUP by RATLIFF,AROTHER(in the paint)",1
--,,,,,"REBOUND DEF by BROWN,BRYCE",,,"REBOUND DEF by BROWN,BRYCE",1
16:09,,2,,10 (+8),"GOOD 3PTR by BROWN,BRYCE",Mill 2-10 (+8),,"GOOD 3PTR by BROWN,BRYCE",1
15:48,"TURNOVER  by MCMILLAN,MATTHEW",,,,,,,"TURNOVER  by MCMILLAN,MATTHEW",1
15:48,,,,,"STEAL  by WILLIAMS,CAMERON",,,"STEAL  by WILLIAMS,CAMERON",1
15:41,,2,,12 (+10),"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",Mill 2-12 (+10),,"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",1
15:16,,,,,"FOUL  by BROWN,BRYCE",,,"FOUL  by BROWN,BRYCE",1
15:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:16,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
15:16,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
15:16,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
15:16,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
15:16,,,,,"SUB IN by DYAS,CHANDLER",,,"SUB IN by DYAS,CHANDLER",1
15:16,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
15:16,"SUB OUT by MCMILLAN,MATTHEW",,,,,,,"SUB OUT by MCMILLAN,MATTHEW",1
15:16,"SUB OUT by GIVENS,DONOVAN",,,,,,,"SUB OUT by GIVENS,DONOVAN",1
15:16,"SUB IN by MCWILLAMS,MARTAVIAN",,,,,,,"SUB IN by MCWILLAMS,MARTAVIAN",1
15:16,"SUB IN by BRANTLEY,JAY",,,,,,,"SUB IN by BRANTLEY,JAY",1
15:10,,,,,"FOUL  by BROWN,BRYCE",,,"FOUL  by BROWN,BRYCE",1
15:10,"GOOD FT by COUCH,LUKE",3,,12 (+9),,BU 3-12 (+9),,"GOOD FT by COUCH,LUKE",1
15:10,"GOOD FT by COUCH,LUKE",4,,12 (+8),,BU 4-12 (+8),,"GOOD FT by COUCH,LUKE",1
15:10,"SUB OUT by COUCH,LUKE",,,,,,,"SUB OUT by COUCH,LUKE",1
15:10,"SUB IN by BLACK,STEVEN",,,,,,,"SUB IN by BLACK,STEVEN",1
14:49,,4,,14 (+10),"GOOD JUMPER by BROWN,BRYCE",Mill 4-14 (+10),,"GOOD JUMPER by BROWN,BRYCE",1
14:34,"MISS 3PTR by RATLIFF,AROTHER",,,,,,,"MISS 3PTR by RATLIFF,AROTHER",1
--,"REBOUND OFF by BRANTLEY,JAY",,,,,,,"REBOUND OFF by BRANTLEY,JAY",1
14:27,"MISS JUMPER by RATLIFF,AROTHER",,,,,,,"MISS JUMPER by RATLIFF,AROTHER",1
--,,,,,"REBOUND DEF by DYAS,CHANDLER",,,"REBOUND DEF by DYAS,CHANDLER",1
14:16,,,,,"MISS LAYUP by BROWN,BRYCE(in the paint)",,,"MISS LAYUP by BROWN,BRYCE(in the paint)",1
14:16,"BLOCK  by BRANTLEY,JAY",,,,,,,"BLOCK  by BRANTLEY,JAY",1
--,"REBOUND DEF by RATLIFF,AROTHER",,,,,,,"REBOUND DEF by RATLIFF,AROTHER",1
14:04,"MISS JUMPER by MCWILLAMS,MARTAVIAN",,,,,,,"MISS JUMPER by MCWILLAMS,MARTAVIAN",1
--,,,,,"REBOUND DEF by STEPHEN,SETH",,,"REBOUND DEF by STEPHEN,SETH",1
13:58,,4,,17 (+13),"GOOD 3PTR by RUCKER,CAM",Mill 4-17 (+13),,"GOOD 3PTR by RUCKER,CAM",1
13:43,"MISS 3PTR by BRANTLEY,JAY",,,,,,,"MISS 3PTR by BRANTLEY,JAY",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
13:33,,,,,"MISS 3PTR by DYAS,CHANDLER",,,"MISS 3PTR by DYAS,CHANDLER",1
--,"REBOUND DEF by WOMACK,NEHEMIAH",,,,,,,"REBOUND DEF by WOMACK,NEHEMIAH",1
13:20,"TURNOVER  by BLACK,STEVEN",,,,,,,"TURNOVER  by BLACK,STEVEN",1
13:20,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
13:20,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
13:20,,,,,"SUB OUT by DYAS,CHANDLER",,,"SUB OUT by DYAS,CHANDLER",1
13:20,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
13:20,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
13:20,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
13:20,"SUB OUT by RATLIFF,AROTHER",,,,,,,"SUB OUT by RATLIFF,AROTHER",1
13:20,"SUB IN by ITUGBU,NATHANIEL",,,,,,,"SUB IN by ITUGBU,NATHANIEL",1
13:05,"FOUL  by BRANTLEY,JAY",,,,,,,"FOUL  by BRANTLEY,JAY",1
13:05,,4,,18 (+14),"GOOD FT by WILLIAMS,CAMERON",Mill 4-18 (+14),,"GOOD FT by WILLIAMS,CAMERON",1
13:05,,4,,19 (+15),"GOOD FT by WILLIAMS,CAMERON",Mill 4-19 (+15),,"GOOD FT by WILLIAMS,CAMERON",1
12:49,,,,,"FOUL  by RUCKER,CAM",,,"FOUL  by RUCKER,CAM",1
12:44,"FOUL  by ITUGBU,NATHANIEL",,,,,,,"FOUL  by ITUGBU,NATHANIEL",1
12:44,"TURNOVER  by ITUGBU,NATHANIEL",,,,,,,"TURNOVER  by ITUGBU,NATHANIEL",1
12:35,,,,,"MISS LAYUP by BROWN,BRYCE(in the paint)",,,"MISS LAYUP by BROWN,BRYCE(in the paint)",1
12:35,"BLOCK  by MCWILLAMS,MARTAVIAN",,,,,,,"BLOCK  by MCWILLAMS,MARTAVIAN",1
--,"REBOUND DEF by ITUGBU,NATHANIEL",,,,,,,"REBOUND DEF by ITUGBU,NATHANIEL",1
12:25,"MISS 3PTR by WOMACK,NEHEMIAH",,,,,,,"MISS 3PTR by WOMACK,NEHEMIAH",1
--,"REBOUND OFF by ITUGBU,NATHANIEL",,,,,,,"REBOUND OFF by ITUGBU,NATHANIEL",1
