Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,UCSCM,Game Score,Team Indicator,Play,Period
20:00,,,,,"SUB OUT by CRAIN,WILL",,,"SUB OUT by CRAIN,WILL",1
19:43,"TURNOVER  by NYAWATA,ANESU",,,,,,,"TURNOVER  by NYAWATA,ANESU",1
19:43,,,,,"STEAL  by CRAIN,WILL",,,"STEAL  by CRAIN,WILL",1
19:31,,,,,"TURNOVER  by WESTON,TRE",,,"TURNOVER  by WESTON,TRE",1
19:30,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
19:25,"MISS LAYUP by ASHBY,KENDRICK",,,,,,,"MISS LAYUP by ASHBY,KENDRICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:25,,,,,"BLOCK  by CREIGHTON,KYLE",,,"BLOCK  by CREIGHTON,KYLE",1
19:17,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by MARLOW,ADAM",,,"REBOUND DEF by MARLOW,ADAM",1
19:10,,,,,"TURNOVER  by MARLOW,ADAM",,,"TURNOVER  by MARLOW,ADAM",1
19:05,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",1
19:00,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",1
18:58,,,,,"STEAL  by CILIA,COREY",,,"STEAL  by CILIA,COREY",1
18:45,,,,,"MISS JUMPER by WESTON,TRE",,,"MISS JUMPER by WESTON,TRE",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
18:37,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",1
18:32,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
