Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,OGL,Game Score,Team Indicator,Play,Period
19:49,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
19:32,,0,,2 (+2),"GOOD LAYUP by HUGHES,JUSTIN(fastbreak)(in the paint)",OGL 0-2 (-2),,"GOOD LAYUP by HUGHES,JUSTIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ANDINO,GEORGE",,,"ASSIST  by ANDINO,GEORGE",1
19:21,"GOOD 3PTR by SULLIVAN,BRENNAN",3 (+1),,2,,RHO 3-2 (+1),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
19:10,,,,,"TURNOVER  by EDWARDS,JUSTIN",,,"TURNOVER  by EDWARDS,JUSTIN",1
19:09,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
19:06,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by WEIR,JJ",,,,,,,"REBOUND OFF by WEIR,JJ",1
18:56,"GOOD 3PTR by LOWRIE,ANDREW",6 (+4),,2,,RHO 6-2 (+4),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
18:43,,,,,"MISS LAYUP by EDWARDS,JUSTIN",,,"MISS LAYUP by EDWARDS,JUSTIN",1
--,,,,,"REBOUND OFF by INUNGU,TOM",,,"REBOUND OFF by INUNGU,TOM",1
18:39,,6 (+2),,4,"GOOD LAYUP by INUNGU,TOM(in the paint)",OGL 6-4 (+2),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
18:33,"MISS LAYUP by WEIR,JJ",,,,,,,"MISS LAYUP by WEIR,JJ",1
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",1
18:22,,,,,"TURNOVER  by ANDINO,GEORGE",,,"TURNOVER  by ANDINO,GEORGE",1
