Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,BER,Game Score,Team Indicator,Play,Period
17:16,"GOOD LAYUP by WEIR,JJ(in the paint)",8 (+3),,5,,RHO 8-5 (+3),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
17:10,,,,,"TURNOVER  by DENBESTEN,COLE",,,"TURNOVER  by DENBESTEN,COLE",1
17:08,"STEAL  by WEIR,JJ",,,,,,,"STEAL  by WEIR,JJ",1
17:07,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
16:58,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
16:48,"GOOD LAYUP by BERRY,BRYCE(in the paint)",10 (+5),,5,,RHO 10-5 (+5),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
16:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:31,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
16:31,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:31,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
16:31,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
16:31,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
16:31,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:31,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
16:31,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
16:31,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
16:31,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
16:31,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
16:31,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
16:30,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",1
16:30,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",1
16:30,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",1
16:30,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
16:23,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
16:23,"BLOCK  by GIROUX,PRESTON",,,,,,,"BLOCK  by GIROUX,PRESTON",1
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",1
16:17,,10 (+3),,7,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BER 10-7 (+3),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
15:51,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:49,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
15:49,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
15:49,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
15:49,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
15:49,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
15:49,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
15:49,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
15:49,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
15:49,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
15:49,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
15:42,,10 (+1),,9,"GOOD DUNK by KORN,LUKAS(in the paint)",BER 10-9 (+1),,"GOOD DUNK by KORN,LUKAS(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,CORY",,,"ASSIST  by JOHNSON,CORY",1
15:42,"FOUL  by HARRISON,IAN",,,,,,,"FOUL  by HARRISON,IAN",1
15:42,,10,,10,"GOOD FT by KORN,LUKAS",BER 10-10 (0),,"GOOD FT by KORN,LUKAS",1
15:35,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",1
15:32,"GOOD LAYUP by HARRISON,IAN(in the paint)",12 (+2),,10,,RHO 12-10 (+2),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
15:22,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
15:22,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
15:22,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
15:22,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
15:22,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
15:22,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
15:22,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
15:22,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
15:22,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
15:22,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
15:22,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
15:21,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
15:19,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",1
15:18,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
15:01,"MISS 3PTR by GEE,TYLER",,,,,,,"MISS 3PTR by GEE,TYLER",1
15:01,,,,,"BLOCK  by KORN,LUKAS",,,"BLOCK  by KORN,LUKAS",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
14:51,,12,,12,"GOOD LAYUP by KORN,LUKAS(in the paint)",BER 12-12 (0),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,CORY",,,"ASSIST  by JOHNSON,CORY",1
14:39,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",1
14:32,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",1
--,,,,,"REBOUND OFF by JONES,BLAKE",,,"REBOUND OFF by JONES,BLAKE",1
14:24,,12,,15 (+3),"GOOD 3PTR by MCCLOUD,ALTON",BER 12-15 (-3),,"GOOD 3PTR by MCCLOUD,ALTON",1
--,,,,,"ASSIST  by JOHNSON,CORY",,,"ASSIST  by JOHNSON,CORY",1
14:13,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
14:13,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
14:13,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
14:13,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
14:13,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
14:13,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
14:13,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
14:13,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
14:13,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
14:13,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
14:13,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
14:01,,12,,17 (+5),"GOOD LAYUP by KORN,LUKAS(in the paint)",BER 12-17 (-5),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,CALEB",,,"ASSIST  by JOHNSON,CALEB",1
13:40,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
13:37,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",1
13:37,"GOOD FT by GIROUX,PRESTON",13,,17 (+4),,RHO 13-17 (-4),,"GOOD FT by GIROUX,PRESTON",1
13:37,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,"REBOUND OFF by GALVIN,OWEN",,,,,,,"REBOUND OFF by GALVIN,OWEN",1
13:37,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
13:37,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
13:29,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
13:17,,13,,19 (+6),"GOOD LAYUP by MARDER,NICK(in the paint)",BER 13-19 (-6),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
13:17,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
13:17,,13,,20 (+7),"GOOD FT by MARDER,NICK",BER 13-20 (-7),,"GOOD FT by MARDER,NICK",1
13:17,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
13:17,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
13:17,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
13:17,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
13:17,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
13:17,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
13:17,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
13:17,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
13:17,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
13:17,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
13:17,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
13:17,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",1
13:07,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
13:07,,,,,"BLOCK  by KORN,LUKAS",,,"BLOCK  by KORN,LUKAS",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
13:03,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
13:03,"BLOCK  by ASHBY,KENDRICK",,,,,,,"BLOCK  by ASHBY,KENDRICK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:54,,,,,"MISS 3PTR by FORTE,MCCARTY",,,"MISS 3PTR by FORTE,MCCARTY",1
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",1
12:54,"FOUL  by DE FERIA,NICK",,,,,,,"FOUL  by DE FERIA,NICK",1
12:54,,13,,21 (+8),"GOOD FT by KORN,LUKAS",BER 13-21 (-8),,"GOOD FT by KORN,LUKAS",1
12:54,,13,,22 (+9),"GOOD FT by KORN,LUKAS",BER 13-22 (-9),,"GOOD FT by KORN,LUKAS",1
12:54,,,,,"SUB IN by SPALDING,TANNER",,,"SUB IN by SPALDING,TANNER",1
12:54,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
12:47,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
12:46,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",1
12:36,,,,,"MISS LAYUP by SPALDING,TANNER",,,"MISS LAYUP by SPALDING,TANNER",1
--,"REBOUND DEF by NESTLEHUTT,JAKE",,,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",1
12:28,"GOOD 3PTR by NESTLEHUTT,JAKE",16,,22 (+6),,RHO 16-22 (-6),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
12:14,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
12:12,"STEAL  by HARRISON,IAN",,,,,,,"STEAL  by HARRISON,IAN",1
11:59,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by SPALDING,TANNER",,,"REBOUND DEF by SPALDING,TANNER",1
11:56,,16,,24 (+8),"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BER 16-24 (-8),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
11:39,"MISS 3PTR by DE FERIA,NICK",,,,,,,"MISS 3PTR by DE FERIA,NICK",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
11:36,,16,,26 (+10),"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BER 16-26 (-10),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",1
11:36,"FOUL  by DE FERIA,NICK",,,,,,,"FOUL  by DE FERIA,NICK",1
11:36,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
11:36,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
11:36,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
11:36,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
11:36,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
11:36,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:36,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
11:36,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
11:36,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
11:36,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
11:36,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
11:32,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
11:32,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
11:32,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",1
11:32,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",1
