Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,WC,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by DE FERIA,NICK",,,,,,,"REBOUND OFF by DE FERIA,NICK",1
18:54,"GOOD 3PTR by DALTON,PRICE",3,,5 (+2),,RHO 3-5 (-2),,"GOOD 3PTR by DALTON,PRICE",1
--,"ASSIST  by DE FERIA,NICK",,,,,,,"ASSIST  by DE FERIA,NICK",1
18:38,,3,,7 (+4),"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",WC 3-7 (-4),,"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",1
--,,,,,"ASSIST  by HARRISON,JASE",,,"ASSIST  by HARRISON,JASE",1
18:31,"MISS 3PTR by DE FERIA,NICK",,,,,,,"MISS 3PTR by DE FERIA,NICK",1
--,,,,,"REBOUND DEF by HOWELL,TIM",,,"REBOUND DEF by HOWELL,TIM",1
18:07,,,,,"TURNOVER  by HARRISON,JASE",,,"TURNOVER  by HARRISON,JASE",1
18:06,"STEAL  by DALTON,PRICE",,,,,,,"STEAL  by DALTON,PRICE",1
18:04,"TURNOVER  by DALTON,PRICE",,,,,,,"TURNOVER  by DALTON,PRICE",1
18:04,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
18:04,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
18:04,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
18:04,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
18:04,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
18:04,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
18:04,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
18:04,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
18:04,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
18:04,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
18:04,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",1
18:04,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
18:04,,,,,"SUB OUT by BUTLER,AUSTIN",,,"SUB OUT by BUTLER,AUSTIN",1
18:04,,,,,"SUB OUT by WIGGINS,JOJO",,,"SUB OUT by WIGGINS,JOJO",1
17:55,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
17:55,,,,,"MISS FT by JACOBS-JONES,CEDRIC",,,"MISS FT by JACOBS-JONES,CEDRIC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:55,,,,,"MISS FT by JACOBS-JONES,CEDRIC",,,"MISS FT by JACOBS-JONES,CEDRIC",1
--,,,,,"REBOUND OFF by HEWITT,JOEY",,,"REBOUND OFF by HEWITT,JOEY",1
17:55,"FOUL  by GALVIN,OWEN",,,,,,,"FOUL  by GALVIN,OWEN",1
17:55,,3,,8 (+5),"GOOD FT by HEWITT,JOEY",WC 3-8 (-5),,"GOOD FT by HEWITT,JOEY",1
17:55,,,,,"MISS FT by HEWITT,JOEY",,,"MISS FT by HEWITT,JOEY",1
--,,,,,"REBOUND OFF by HARRISON,JASE",,,"REBOUND OFF by HARRISON,JASE",1
17:55,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",1
17:55,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
17:54,,,,,"TURNOVER  by HARRISON,JASE",,,"TURNOVER  by HARRISON,JASE",1
17:51,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
17:51,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
17:51,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
17:51,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
17:51,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
17:51,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
17:51,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
17:51,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
17:51,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
17:51,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
17:33,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
17:27,,3,,10 (+7),"GOOD LAYUP by KIRKLEY,JARON(in the paint)",WC 3-10 (-7),,"GOOD LAYUP by KIRKLEY,JARON(in the paint)",1
17:13,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:13,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",1
17:13,,,,,"SUB IN by BUTLER,AUSTIN",,,"SUB IN by BUTLER,AUSTIN",1
17:13,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",1
17:13,,,,,"SUB OUT by HARRISON,JASE",,,"SUB OUT by HARRISON,JASE",1
17:05,,,,,"MISS JUMPER by HEWITT,JOEY",,,"MISS JUMPER by HEWITT,JOEY",1
--,,,,,"REBOUND OFF by BUTLER,AUSTIN",,,"REBOUND OFF by BUTLER,AUSTIN",1
16:58,,3,,12 (+9),"GOOD JUMPER by HEWITT,JOEY",WC 3-12 (-9),,"GOOD JUMPER by HEWITT,JOEY",1
--,,,,,"ASSIST  by BUTLER,AUSTIN",,,"ASSIST  by BUTLER,AUSTIN",1
16:48,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND OFF by WEATHERFORD,MITCH",,,,,,,"REBOUND OFF by WEATHERFORD,MITCH",1
16:36,"GOOD LAYUP by DARST,DANIEL(in the paint)",5,,12 (+7),,RHO 5-12 (-7),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,"ASSIST  by ASHBY,KENDRICK",,,,,,,"ASSIST  by ASHBY,KENDRICK",1
16:31,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
16:31,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
16:31,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
16:31,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
16:31,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
16:31,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
16:31,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:31,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
16:31,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
16:31,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
16:31,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
16:31,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
16:31,,,,,"SUB OUT by KIRKLEY,JARON",,,"SUB OUT by KIRKLEY,JARON",1
16:25,,,,,"TURNOVER  by HEWITT,JOEY",,,"TURNOVER  by HEWITT,JOEY",1
16:24,"STEAL  by DALTON,PRICE",,,,,,,"STEAL  by DALTON,PRICE",1
16:21,"MISS LAYUP by DALTON,PRICE",,,,,,,"MISS LAYUP by DALTON,PRICE",1
16:21,,,,,"BLOCK  by BUTLER,AUSTIN",,,"BLOCK  by BUTLER,AUSTIN",1
--,,,,,"REBOUND DEF by BUTLER,AUSTIN",,,"REBOUND DEF by BUTLER,AUSTIN",1
16:15,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
16:09,,5,,14 (+9),"GOOD JUMPER by HOWELL,TIM",WC 5-14 (-9),,"GOOD JUMPER by HOWELL,TIM",1
16:02,"TURNOVER  by SAMSON,VAUGHN",,,,,,,"TURNOVER  by SAMSON,VAUGHN",1
15:59,,,,,"STEAL  by JACOBS-JONES,CEDRIC",,,"STEAL  by JACOBS-JONES,CEDRIC",1
15:58,,,,,"TURNOVER  by JACOBS-JONES,CEDRIC",,,"TURNOVER  by JACOBS-JONES,CEDRIC",1
15:57,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
15:57,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
15:57,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
15:57,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
15:57,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
15:57,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
15:57,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
15:57,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
15:57,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
15:57,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
15:57,,,,,"SUB IN by WIGGINS,JOJO",,,"SUB IN by WIGGINS,JOJO",1
15:57,,,,,"SUB IN by HARRISON,JASE",,,"SUB IN by HARRISON,JASE",1
15:57,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",1
15:57,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",1
15:57,,,,,"SUB OUT by MCDONALD,CHRISTIAN",,,"SUB OUT by MCDONALD,CHRISTIAN",1
15:57,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",1
15:52,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
--,"REBOUND OFF by WEIR,JJ",,,,,,,"REBOUND OFF by WEIR,JJ",1
15:46,"TURNOVER  by LOWRIE,ANDREW",,,,,,,"TURNOVER  by LOWRIE,ANDREW",1
15:44,,,,,"STEAL  by HARRISON,JASE",,,"STEAL  by HARRISON,JASE",1
15:39,,5,,16 (+11),"GOOD JUMPER by HOWELL,TIM(in the paint)",WC 5-16 (-11),,"GOOD JUMPER by HOWELL,TIM(in the paint)",1
--,,,,,"ASSIST  by BUTLER,AUSTIN",,,"ASSIST  by BUTLER,AUSTIN",1
15:34,,,,,"FOUL  by HOWELL,TIM",,,"FOUL  by HOWELL,TIM",1
15:34,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
15:34,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
15:34,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
15:34,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
15:34,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
15:30,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
15:27,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
15:10,,,,,"TURNOVER  by HARRISON,JASE",,,"TURNOVER  by HARRISON,JASE",1
14:57,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
14:56,,,,,"STEAL  by WIGGINS,JOJO",,,"STEAL  by WIGGINS,JOJO",1
14:53,,5,,18 (+13),"GOOD LAYUP by KIRKLEY,JARON(fastbreak)(in the paint)",WC 5-18 (-13),,"GOOD LAYUP by KIRKLEY,JARON(fastbreak)(in the paint)",1
14:43,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by BUTLER,AUSTIN",,,"REBOUND DEF by BUTLER,AUSTIN",1
14:35,,,,,"MISS LAYUP by BUTLER,AUSTIN",,,"MISS LAYUP by BUTLER,AUSTIN",1
--,"REBOUND DEF by ASHBY,KENDRICK",,,,,,,"REBOUND DEF by ASHBY,KENDRICK",1
14:18,"GOOD LAYUP by BERRY,BRYCE(in the paint)",7,,18 (+11),,RHO 7-18 (-11),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
14:08,,7,,20 (+13),"GOOD LAYUP by HARRISON,JASE(in the paint)",WC 7-20 (-13),,"GOOD LAYUP by HARRISON,JASE(in the paint)",1
14:00,"MISS 3PTR by ASHBY,KENDRICK",,,,,,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by KIRKLEY,JARON",,,"REBOUND DEF by KIRKLEY,JARON",1
13:51,,7,,22 (+15),"GOOD LAYUP by WIGGINS,JOJO(fastbreak)(in the paint)",WC 7-22 (-15),,"GOOD LAYUP by WIGGINS,JOJO(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HARRISON,JASE",,,"ASSIST  by HARRISON,JASE",1
13:46,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
13:46,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:46,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
13:46,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
13:46,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
13:46,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",1
13:46,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",1
13:46,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",1
13:46,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
13:46,,,,,"SUB OUT by WIGGINS,JOJO",,,"SUB OUT by WIGGINS,JOJO",1
13:46,,,,,"SUB OUT by BUTLER,AUSTIN",,,"SUB OUT by BUTLER,AUSTIN",1
13:46,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",1
13:46,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
13:34,"GOOD 3PTR by NYAWATA,ANESU",10,,22 (+12),,RHO 10-22 (-12),,"GOOD 3PTR by NYAWATA,ANESU",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
13:26,,10,,24 (+14),"GOOD LAYUP by HEWITT,JOEY(fastbreak)(in the paint)",WC 10-24 (-14),,"GOOD LAYUP by HEWITT,JOEY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by KIRKLEY,JARON",,,"ASSIST  by KIRKLEY,JARON",1
13:05,"MISS LAYUP by DE FERIA,NICK",,,,,,,"MISS LAYUP by DE FERIA,NICK",1
--,,,,,"REBOUND DEF by HEWITT,JOEY",,,"REBOUND DEF by HEWITT,JOEY",1
13:01,,,,,"MISS 3PTR by MCDONALD,CHRISTIAN",,,"MISS 3PTR by MCDONALD,CHRISTIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:55,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
12:55,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
12:55,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
12:55,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
12:55,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
12:55,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
12:55,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
12:55,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
12:55,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
12:55,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
12:55,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",1
12:55,,,,,"SUB OUT by HARRISON,JASE",,,"SUB OUT by HARRISON,JASE",1
12:46,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",1
--,,,,,"REBOUND OFF by JACOBS-JONES,CEDRIC",,,"REBOUND OFF by JACOBS-JONES,CEDRIC",1
12:35,,,,,"TURNOVER  by MCDONALD,CHRISTIAN",,,"TURNOVER  by MCDONALD,CHRISTIAN",1
12:33,"STEAL  by LOWRIE,ANDREW",,,,,,,"STEAL  by LOWRIE,ANDREW",1
12:21,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by STEWART,JACK",,,"REBOUND DEF by STEWART,JACK",1
12:15,,,,,"TURNOVER  by MCDONALD,CHRISTIAN",,,"TURNOVER  by MCDONALD,CHRISTIAN",1
12:12,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
12:05,"GOOD LAYUP by GEE,TYLER(in the paint)",12,,24 (+12),,RHO 12-24 (-12),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
12:05,,,,,"FOUL  by HEWITT,JOEY",,,"FOUL  by HEWITT,JOEY",1
12:05,"GOOD FT by GEE,TYLER",13,,24 (+11),,RHO 13-24 (-11),,"GOOD FT by GEE,TYLER",1
12:05,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:05,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
12:05,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
12:05,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
12:05,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
12:05,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
12:05,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
12:05,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
12:05,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
12:05,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
12:05,,,,,"SUB IN by OSBORNE,TREVOR",,,"SUB IN by OSBORNE,TREVOR",1
12:05,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
12:05,,,,,"SUB OUT by MCDONALD,CHRISTIAN",,,"SUB OUT by MCDONALD,CHRISTIAN",1
12:05,,,,,"SUB OUT by KIRKLEY,JARON",,,"SUB OUT by KIRKLEY,JARON",1
11:59,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
11:59,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:59,,,,,"MISS FT by HEWITT,JOEY",,,"MISS FT by HEWITT,JOEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:59,,13,,25 (+12),"GOOD FT by HEWITT,JOEY",WC 13-25 (-12),,"GOOD FT by HEWITT,JOEY",1
11:59,,,,,"SUB IN by BUTLER,AUSTIN",,,"SUB IN by BUTLER,AUSTIN",1
11:59,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",1
11:41,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by HOWELL,TIM",,,"REBOUND DEF by HOWELL,TIM",1
11:26,,13,,28 (+15),"GOOD 3PTR by OSBORNE,TREVOR",WC 13-28 (-15),,"GOOD 3PTR by OSBORNE,TREVOR",1
--,,,,,"ASSIST  by STEWART,JACK",,,"ASSIST  by STEWART,JACK",1
11:15,"GOOD 3PTR by SULLIVAN,BRENNAN",16,,28 (+12),,RHO 16-28 (-12),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
11:02,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
11:02,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
11:02,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:02,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
11:02,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
11:02,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:02,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
11:02,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
11:02,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
11:02,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:02,,,,,"SUB IN by HARVEY,ANDREW",,,"SUB IN by HARVEY,ANDREW",1
11:02,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",1
10:56,,16,,30 (+14),"GOOD JUMPER by HOWELL,TIM(in the paint)",WC 16-30 (-14),,"GOOD JUMPER by HOWELL,TIM(in the paint)",1
10:30,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
10:30,,,,,"BLOCK  by HARVEY,ANDREW",,,"BLOCK  by HARVEY,ANDREW",1
--,,,,,"REBOUND DEF by OSBORNE,TREVOR",,,"REBOUND DEF by OSBORNE,TREVOR",1
10:23,,16,,33 (+17),"GOOD 3PTR by STEWART,JACK",WC 16-33 (-17),,"GOOD 3PTR by STEWART,JACK",1
--,,,,,"ASSIST  by HOWELL,TIM",,,"ASSIST  by HOWELL,TIM",1
10:11,"TURNOVER  by DE FERIA,NICK",,,,,,,"TURNOVER  by DE FERIA,NICK",1
10:11,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
10:11,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
10:11,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
10:11,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
10:11,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
10:11,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
10:11,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
10:11,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
10:11,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
10:11,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
10:11,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",1
10:11,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
10:11,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",1
10:11,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
10:03,,,,,"MISS LAYUP by KIRKLEY,JARON",,,"MISS LAYUP by KIRKLEY,JARON",1
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",1
09:53,"GOOD 3PTR by DARST,DANIEL",19,,33 (+14),,RHO 19-33 (-14),,"GOOD 3PTR by DARST,DANIEL",1
09:41,,19,,36 (+17),"GOOD 3PTR by HEWITT,JOEY",WC 19-36 (-17),,"GOOD 3PTR by HEWITT,JOEY",1
--,,,,,"ASSIST  by BUTLER,AUSTIN",,,"ASSIST  by BUTLER,AUSTIN",1
