Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,DAL,Game Score,Team Indicator,Play,Period
19:52,"GOOD 3PTR by SULLIVAN,BRENNAN",3 (+3),,0,,RHO 3-0 (+3),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by LOWRIE,ANDREW",,,,,,,"ASSIST  by LOWRIE,ANDREW",1
19:33,,,,,"TURNOVER  by GONZALEZ,LORENZO",,,"TURNOVER  by GONZALEZ,LORENZO",1
19:31,"STEAL  by LOWRIE,ANDREW",,,,,,,"STEAL  by LOWRIE,ANDREW",1
19:31,"TURNOVER  by LOWRIE,ANDREW",,,,,,,"TURNOVER  by LOWRIE,ANDREW",1
19:21,,3 (+1),,2,"GOOD JUMPER by SARRAT,MICHAEL(in the paint)",DAL 3-2 (+1),,"GOOD JUMPER by SARRAT,MICHAEL(in the paint)",1
--,,,,,"ASSIST  by GIADOLOR,PRINCE",,,"ASSIST  by GIADOLOR,PRINCE",1
19:07,"GOOD 3PTR by BERRY,BRYCE",6 (+4),,2,,RHO 6-2 (+4),,"GOOD 3PTR by BERRY,BRYCE",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
18:55,,,,,"TURNOVER  by GONZALEZ,LORENZO",,,"TURNOVER  by GONZALEZ,LORENZO",1
18:51,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
18:49,"GOOD LAYUP by GEE,TYLER(in the paint)",8 (+6),,2,,RHO 8-2 (+6),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,"ASSIST  by LOWRIE,ANDREW",,,,,,,"ASSIST  by LOWRIE,ANDREW",1
18:35,,8 (+4),,4,"GOOD LAYUP by KAISER,TOM(fastbreak)(in the paint)",DAL 8-4 (+4),,"GOOD LAYUP by KAISER,TOM(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COLVIN,DARRIUS",,,"ASSIST  by COLVIN,DARRIUS",1
18:25,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
18:25,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
18:25,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
18:25,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
18:25,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
18:25,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
18:25,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
18:25,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
18:25,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
18:25,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
18:25,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
18:22,,,,,"MISS LAYUP by COLVIN,DARRIUS",,,"MISS LAYUP by COLVIN,DARRIUS",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
18:17,,8 (+2),,6,"GOOD TIPIN by KAISER,TOM(in the paint)",DAL 8-6 (+2),,"GOOD TIPIN by KAISER,TOM(in the paint)",1
18:03,"TURNOVER  by SAMSON,VAUGHN",,,,,,,"TURNOVER  by SAMSON,VAUGHN",1
18:02,,,,,"STEAL  by SARRAT,MICHAEL",,,"STEAL  by SARRAT,MICHAEL",1
17:49,,,,,"MISS LAYUP by KAISER,TOM",,,"MISS LAYUP by KAISER,TOM",1
17:49,"BLOCK  by GIROUX,PRESTON",,,,,,,"BLOCK  by GIROUX,PRESTON",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
17:42,,8,,8,"GOOD LAYUP by KAISER,TOM(in the paint)",DAL 8-8 (0),,"GOOD LAYUP by KAISER,TOM(in the paint)",1
17:32,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
17:32,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
17:32,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
17:32,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
17:32,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",1
17:32,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
17:32,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
17:32,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
17:32,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
17:32,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
17:32,,,,,"SUB IN by MACCALLUM,RORY",,,"SUB IN by MACCALLUM,RORY",1
17:32,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",1
17:30,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",1
--,"REBOUND OFF by NESTLEHUTT,JAKE",,,,,,,"REBOUND OFF by NESTLEHUTT,JAKE",1
17:25,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by COLVIN,DARRIUS",,,"REBOUND DEF by COLVIN,DARRIUS",1
17:16,,,,,"TURNOVER  by COLVIN,DARRIUS",,,"TURNOVER  by COLVIN,DARRIUS",1
17:14,"STEAL  by MCINTYRE,WILL",,,,,,,"STEAL  by MCINTYRE,WILL",1
17:12,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",10 (+2),,8,,RHO 10-8 (+2),,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",1
--,"ASSIST  by MCINTYRE,WILL",,,,,,,"ASSIST  by MCINTYRE,WILL",1
16:50,"FOUL  by MCINTYRE,WILL",,,,,,,"FOUL  by MCINTYRE,WILL",1
16:50,,10 (+1),,9,"GOOD FT by GIADOLOR,PRINCE",DAL 10-9 (+1),,"GOOD FT by GIADOLOR,PRINCE",1
16:50,,10,,10,"GOOD FT by GIADOLOR,PRINCE",DAL 10-10 (0),,"GOOD FT by GIADOLOR,PRINCE",1
16:50,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
16:50,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
16:50,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
16:50,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
16:50,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
16:50,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
16:50,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
16:50,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
16:50,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
16:50,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",1
16:50,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",1
16:50,,,,,"SUB IN by DELANGEL,JACOB",,,"SUB IN by DELANGEL,JACOB",1
16:50,,,,,"SUB OUT by COLVIN,DARRIUS",,,"SUB OUT by COLVIN,DARRIUS",1
16:50,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",1
16:42,"GOOD 3PTR by LOWRIE,ANDREW",13 (+3),,10,,RHO 13-10 (+3),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
16:31,,,,,"TURNOVER  by SARRAT,MICHAEL",,,"TURNOVER  by SARRAT,MICHAEL",1
16:29,"STEAL  by WEIR,JJ",,,,,,,"STEAL  by WEIR,JJ",1
16:23,"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",15 (+5),,10,,RHO 15-10 (+5),,"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",1
16:14,,,,,"TURNOVER  by GIADOLOR,PRINCE",,,"TURNOVER  by GIADOLOR,PRINCE",1
16:14,,,,,"FOUL  by GIADOLOR,PRINCE",,,"FOUL  by GIADOLOR,PRINCE",1
16:03,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by DELANGEL,JACOB",,,"REBOUND DEF by DELANGEL,JACOB",1
15:45,,,,,"MISS JUMPER by GIADOLOR,PRINCE",,,"MISS JUMPER by GIADOLOR,PRINCE",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
