Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,WIS,Game Score,Team Indicator,Play,Period
15:21,,,,,"SUB OUT by LUCAS,DEONDRE",,,"SUB OUT by LUCAS,DEONDRE",1
15:20,,0,,14 (+14),"GOOD LAYUP by MARTINEK,JACK(in the paint)",WIS 0-14 (-14),,"GOOD LAYUP by MARTINEK,JACK(in the paint)",1
--,,,,,"ASSIST  by MILLER,SEAN",,,"ASSIST  by MILLER,SEAN",1
15:12,"GOOD LAYUP by WEIR,JJ(in the paint)",2,,14 (+12),,RHO 2-14 (-12),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
15:03,,,,,"TURNOVER  by DUXBURY,ANDREW",,,"TURNOVER  by DUXBURY,ANDREW",1
15:02,"STEAL  by BERRY,BRYCE",,,,,,,"STEAL  by BERRY,BRYCE",1
14:59,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
14:48,,2,,16 (+14),"GOOD DUNK by WEIX,JOSH(fastbreak)(in the paint)",WIS 2-16 (-14),,"GOOD DUNK by WEIX,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARTINEK,JACK",,,"ASSIST  by MARTINEK,JACK",1
14:44,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
14:42,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
14:42,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
14:42,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
14:42,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
14:42,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
14:42,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
14:42,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
14:42,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
14:42,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
14:42,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
14:30,,,,,"MISS LAYUP by MARTINEK,JACK",,,"MISS LAYUP by MARTINEK,JACK",1
--,"REBOUND DEF by NESTLEHUTT,JAKE",,,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",1
14:21,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by MILLER,SEAN",,,"REBOUND DEF by MILLER,SEAN",1
14:11,,,,,"TURNOVER  by DIEKELMAN,GEORGE",,,"TURNOVER  by DIEKELMAN,GEORGE",1
13:51,"GOOD LAYUP by GALVIN,OWEN(in the paint)",4,,16 (+12),,RHO 4-16 (-12),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
13:39,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
13:39,,,,,"MISS FT by MCDONALD,KYLE",,,"MISS FT by MCDONALD,KYLE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:39,,,,,"MISS FT by MCDONALD,KYLE",,,"MISS FT by MCDONALD,KYLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:39,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
13:39,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
13:39,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:39,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
13:39,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
13:39,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
13:39,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
13:39,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
13:39,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
13:39,,,,,"SUB IN by SCHNEIDERMANN,JARED",,,"SUB IN by SCHNEIDERMANN,JARED",1
13:39,,,,,"SUB IN by DUFF,CHRIS",,,"SUB IN by DUFF,CHRIS",1
13:39,,,,,"SUB OUT by WEIX,JOSH",,,"SUB OUT by WEIX,JOSH",1
13:37,,,,,"FOUL  by SCHNEIDERMANN,JARED",,,"FOUL  by SCHNEIDERMANN,JARED",1
13:37,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:21,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by SCHNEIDERMANN,JARED",,,"REBOUND DEF by SCHNEIDERMANN,JARED",1
13:07,,4,,18 (+14),"GOOD LAYUP by DIEKELMAN,GEORGE(in the paint)",WIS 4-18 (-14),,"GOOD LAYUP by DIEKELMAN,GEORGE(in the paint)",1
12:37,"MISS 3PTR by DE FERIA,NICK",,,,,,,"MISS 3PTR by DE FERIA,NICK",1
--,,,,,"REBOUND DEF by DUXBURY,ANDREW",,,"REBOUND DEF by DUXBURY,ANDREW",1
12:26,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
12:26,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
12:26,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
12:26,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
12:26,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
12:26,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:26,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
12:26,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
12:26,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
12:26,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
12:26,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
12:26,,,,,"SUB IN by MILLER,SEAN",,,"SUB IN by MILLER,SEAN",1
12:26,,,,,"SUB IN by MARTINEK,JACK",,,"SUB IN by MARTINEK,JACK",1
12:26,,,,,"SUB OUT by MCDONALD,KYLE",,,"SUB OUT by MCDONALD,KYLE",1
12:26,,,,,"SUB OUT by DUXBURY,ANDREW",,,"SUB OUT by DUXBURY,ANDREW",1
12:19,,,,,"MISS LAYUP by MARTINEK,JACK",,,"MISS LAYUP by MARTINEK,JACK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:59,"MISS 3PTR by WEIR,JJ",,,,,,,"MISS 3PTR by WEIR,JJ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:56,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:56,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:56,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
11:56,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:56,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
11:56,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
11:56,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
11:56,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
11:56,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
11:56,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:56,,,,,"SUB IN by LUCAS,DEONDRE",,,"SUB IN by LUCAS,DEONDRE",1
11:56,,,,,"SUB IN by WEIX,JOSH",,,"SUB IN by WEIX,JOSH",1
11:56,,,,,"SUB OUT by SCHNEIDERMANN,JARED",,,"SUB OUT by SCHNEIDERMANN,JARED",1
11:56,,,,,"SUB OUT by DIEKELMAN,GEORGE",,,"SUB OUT by DIEKELMAN,GEORGE",1
11:55,"MISS 3PTR by GEE,TYLER",,,,,,,"MISS 3PTR by GEE,TYLER",1
--,,,,,"REBOUND DEF by MARTINEK,JACK",,,"REBOUND DEF by MARTINEK,JACK",1
11:48,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
11:46,,,,,"TURNOVER  by MILLER,SEAN",,,"TURNOVER  by MILLER,SEAN",1
11:37,"MISS LAYUP by DALTON,PRICE",,,,,,,"MISS LAYUP by DALTON,PRICE",1
11:37,,,,,"BLOCK  by MARTINEK,JACK",,,"BLOCK  by MARTINEK,JACK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:31,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",1
11:30,,,,,"STEAL  by DUFF,CHRIS",,,"STEAL  by DUFF,CHRIS",1
11:28,,,,,"TURNOVER  by DUFF,CHRIS",,,"TURNOVER  by DUFF,CHRIS",1
11:28,"STEAL  by GALVIN,OWEN",,,,,,,"STEAL  by GALVIN,OWEN",1
11:20,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by DUFF,CHRIS",,,"REBOUND DEF by DUFF,CHRIS",1
11:13,,4,,20 (+16),"GOOD DUNK by WEIX,JOSH(fastbreak)(in the paint)",WIS 4-20 (-16),,"GOOD DUNK by WEIX,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARTINEK,JACK",,,"ASSIST  by MARTINEK,JACK",1
11:00,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by DUFF,CHRIS",,,"REBOUND DEF by DUFF,CHRIS",1
10:47,,4,,22 (+18),"GOOD LAYUP by WEIX,JOSH(in the paint)",WIS 4-22 (-18),,"GOOD LAYUP by WEIX,JOSH(in the paint)",1
--,,,,,"ASSIST  by MILLER,SEAN",,,"ASSIST  by MILLER,SEAN",1
10:27,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",6,,22 (+16),,RHO 6-22 (-16),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
10:16,,6,,24 (+18),"GOOD DUNK by WEIX,JOSH(in the paint)",WIS 6-24 (-18),,"GOOD DUNK by WEIX,JOSH(in the paint)",1
--,,,,,"ASSIST  by MARTINEK,JACK",,,"ASSIST  by MARTINEK,JACK",1
10:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:14,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
10:14,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
10:14,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
10:14,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
10:14,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
10:14,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
10:14,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
10:14,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
10:14,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
10:14,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
10:05,"MISS LAYUP by ASHBY,KENDRICK",,,,,,,"MISS LAYUP by ASHBY,KENDRICK",1
10:05,,,,,"BLOCK  by WEIX,JOSH",,,"BLOCK  by WEIX,JOSH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:59,,,,,"MISS LAYUP by MARTINEK,JACK",,,"MISS LAYUP by MARTINEK,JACK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:57,,,,,"FOUL  by WEIX,JOSH",,,"FOUL  by WEIX,JOSH",1
09:54,"GOOD LAYUP by DARST,DANIEL(in the paint)",8,,24 (+16),,RHO 8-24 (-16),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
09:36,,8,,26 (+18),"GOOD JUMPER by WEIX,JOSH",WIS 8-26 (-18),,"GOOD JUMPER by WEIX,JOSH",1
--,,,,,"ASSIST  by MILLER,SEAN",,,"ASSIST  by MILLER,SEAN",1
09:25,,,,,"FOUL  by WEIX,JOSH",,,"FOUL  by WEIX,JOSH",1
09:25,"GOOD FT by DARST,DANIEL",9,,26 (+17),,RHO 9-26 (-17),,"GOOD FT by DARST,DANIEL",1
09:25,"GOOD FT by DARST,DANIEL",10,,26 (+16),,RHO 10-26 (-16),,"GOOD FT by DARST,DANIEL",1
09:25,,,,,"TURNOVER  by DUXBURY,ANDREW",,,"TURNOVER  by DUXBURY,ANDREW",1
09:25,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
09:25,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
09:25,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
09:25,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
09:25,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
09:25,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
09:25,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
09:25,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
09:25,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
09:25,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
09:25,,,,,"SUB IN by SCHNEIDERMANN,JARED",,,"SUB IN by SCHNEIDERMANN,JARED",1
09:25,,,,,"SUB IN by DUXBURY,ANDREW",,,"SUB IN by DUXBURY,ANDREW",1
09:25,,,,,"SUB IN by DIEKELMAN,GEORGE",,,"SUB IN by DIEKELMAN,GEORGE",1
09:25,,,,,"SUB OUT by LUCAS,DEONDRE",,,"SUB OUT by LUCAS,DEONDRE",1
09:25,,,,,"SUB OUT by DUFF,CHRIS",,,"SUB OUT by DUFF,CHRIS",1
09:25,,,,,"SUB OUT by WEIX,JOSH",,,"SUB OUT by WEIX,JOSH",1
09:24,"STEAL  by LOWRIE,ANDREW",,,,,,,"STEAL  by LOWRIE,ANDREW",1
09:21,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:14,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by SCHNEIDERMANN,JARED",,,"REBOUND DEF by SCHNEIDERMANN,JARED",1
09:05,,,,,"MISS LAYUP by MILLER,SEAN",,,"MISS LAYUP by MILLER,SEAN",1
09:05,"BLOCK  by BERRY,BRYCE",,,,,,,"BLOCK  by BERRY,BRYCE",1
--,"REBOUND DEF by HARRISON,IAN",,,,,,,"REBOUND DEF by HARRISON,IAN",1
08:54,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
08:54,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
08:54,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
08:54,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
08:54,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
08:54,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
08:54,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
08:54,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
08:54,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
