Time Remaining,CHI,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:53,,0,,3 (+3),"GOOD 3PTR by NYAWATA,ANESU",RHO 0-3 (+3),,"GOOD 3PTR by NYAWATA,ANESU",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
19:46,"GOOD DUNK by CRAWFORD,BLAINE(fastbreak)(in the paint)",2,,3 (+1),,CHI 2-3 (+1),,"GOOD DUNK by CRAWFORD,BLAINE(fastbreak)(in the paint)",1
--,"ASSIST  by PEREZ,WALLER",,,,,,,"ASSIST  by PEREZ,WALLER",1
19:25,,2,,5 (+3),"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",RHO 2-5 (+3),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
19:15,"TURNOVER  by KARRAS,NOAH",,,,,,,"TURNOVER  by KARRAS,NOAH",1
19:15,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
19:10,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
19:10,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
19:10,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
19:10,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
19:10,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
19:10,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
19:10,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
19:10,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
19:10,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
19:10,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
19:10,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
18:56,"MISS DUNK by CRAWFORD,BLAINE",,,,,,,"MISS DUNK by CRAWFORD,BLAINE",1
18:56,,,,,"BLOCK  by HARRISON,IAN",,,"BLOCK  by HARRISON,IAN",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
18:50,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by PEREZ,WALLER",,,,,,,"REBOUND DEF by PEREZ,WALLER",1
18:45,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
18:36,"MISS LAYUP by HOWARD,TYLER",,,,,,,"MISS LAYUP by HOWARD,TYLER",1
18:36,,,,,"BLOCK  by HARRISON,IAN",,,"BLOCK  by HARRISON,IAN",1
--,"REBOUND OFF by CRAWFORD,BLAINE",,,,,,,"REBOUND OFF by CRAWFORD,BLAINE",1
18:35,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
18:35,"MISS FT by CRAWFORD,BLAINE",,,,,,,"MISS FT by CRAWFORD,BLAINE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:35,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
18:35,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
18:35,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
18:35,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:35,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
18:35,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
18:35,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
18:35,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
18:35,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
18:35,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
18:35,"GOOD FT by CRAWFORD,BLAINE",3,,5 (+2),,CHI 3-5 (+2),,"GOOD FT by CRAWFORD,BLAINE",1
18:35,"SUB IN by FENLON,JAKE",,,,,,,"SUB IN by FENLON,JAKE",1
18:35,"SUB OUT by KARRAS,NOAH",,,,,,,"SUB OUT by KARRAS,NOAH",1
18:25,,,,,"TURNOVER  by NESTLEHUTT,JAKE",,,"TURNOVER  by NESTLEHUTT,JAKE",1
18:16,"GOOD DUNK by CRAWFORD,BLAINE(in the paint)",5,,5,,CHI 5-5 (0),,"GOOD DUNK by CRAWFORD,BLAINE(in the paint)",1
--,"ASSIST  by PEREZ,WALLER",,,,,,,"ASSIST  by PEREZ,WALLER",1
18:09,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
18:09,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
18:01,"MISS LAYUP by PEREZ,WALLER",,,,,,,"MISS LAYUP by PEREZ,WALLER",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
17:55,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by FENLON,JAKE",,,,,,,"REBOUND DEF by FENLON,JAKE",1
17:41,"GOOD LAYUP by PEREZ,WALLER(in the paint)",7 (+2),,5,,CHI 7-5 (-2),,"GOOD LAYUP by PEREZ,WALLER(in the paint)",1
--,"ASSIST  by HOWARD,TYLER",,,,,,,"ASSIST  by HOWARD,TYLER",1
17:28,"FOUL  by HOWARD,TYLER",,,,,,,"FOUL  by HOWARD,TYLER",1
17:28,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
17:28,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
17:28,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
17:28,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
17:28,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
17:28,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
17:28,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
17:28,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
17:28,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
17:28,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
17:28,"SUB OUT by VEACH,PORTER",,,,,,,"SUB OUT by VEACH,PORTER",1
17:28,"SUB OUT by GUSTAFSON,ALEX",,,,,,,"SUB OUT by GUSTAFSON,ALEX",1
17:28,"SUB OUT by SHEARMIRE,RYAN",,,,,,,"SUB OUT by SHEARMIRE,RYAN",1
17:28,"SUB OUT by COLANGELO,MATTIA",,,,,,,"SUB OUT by COLANGELO,MATTIA",1
17:28,"SUB OUT by SUSTACEK,SAM",,,,,,,"SUB OUT by SUSTACEK,SAM",1
17:28,"SUB IN by BARTHEL,COLLIN",,,,,,,"SUB IN by BARTHEL,COLLIN",1
17:28,"SUB IN by PEREZ,WALLER",,,,,,,"SUB IN by PEREZ,WALLER",1
17:28,"SUB IN by FENLON,JAKE",,,,,,,"SUB IN by FENLON,JAKE",1
17:28,"SUB IN by BAUM,JORDAN",,,,,,,"SUB IN by BAUM,JORDAN",1
17:28,"SUB IN by JACOBSEN,RYAN",,,,,,,"SUB IN by JACOBSEN,RYAN",1
17:20,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,"REBOUND OFF by ASHBY,KENDRICK",,,"REBOUND OFF by ASHBY,KENDRICK",1
17:18,,,,,"MISS LAYUP by ASHBY,KENDRICK",,,"MISS LAYUP by ASHBY,KENDRICK",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
17:17,,7,,7,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 7-7 (0),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
17:12,"GOOD 3PTR by FENLON,JAKE",10 (+3),,7,,CHI 10-7 (-3),,"GOOD 3PTR by FENLON,JAKE",1
--,"ASSIST  by BAUM,JORDAN",,,,,,,"ASSIST  by BAUM,JORDAN",1
16:33,,,,,"MISS LAYUP by DE FERIA,NICK",,,"MISS LAYUP by DE FERIA,NICK",1
16:33,"BLOCK  by FENLON,JAKE",,,,,,,"BLOCK  by FENLON,JAKE",1
--,,,,,"REBOUND OFF by DE FERIA,NICK",,,"REBOUND OFF by DE FERIA,NICK",1
16:30,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
--,"REBOUND DEF by PEREZ,WALLER",,,,,,,"REBOUND DEF by PEREZ,WALLER",1
16:26,"TURNOVER  by PEREZ,WALLER",,,,,,,"TURNOVER  by PEREZ,WALLER",1
16:26,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
16:26,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
16:26,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
16:26,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:26,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
16:26,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
16:26,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
16:26,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
16:26,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
16:26,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:16,,,,,"MISS LAYUP by BERRY,BRYCE",,,"MISS LAYUP by BERRY,BRYCE",1
16:16,"BLOCK  by BARTHEL,COLLIN",,,,,,,"BLOCK  by BARTHEL,COLLIN",1
--,"REBOUND DEF by JACOBSEN,RYAN",,,,,,,"REBOUND DEF by JACOBSEN,RYAN",1
15:59,"TURNOVER  by FENLON,JAKE",,,,,,,"TURNOVER  by FENLON,JAKE",1
15:58,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
15:55,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by WEIR,JJ",,,"REBOUND OFF by WEIR,JJ",1
15:53,,10 (+1),,9,"GOOD LAYUP by WEIR,JJ(in the paint)",RHO 10-9 (-1),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
15:40,"MISS LAYUP by FENLON,JAKE",,,,,,,"MISS LAYUP by FENLON,JAKE",1
--,"REBOUND OFF by PEREZ,WALLER",,,,,,,"REBOUND OFF by PEREZ,WALLER",1
15:38,"GOOD LAYUP by PEREZ,WALLER(in the paint)",12 (+3),,9,,CHI 12-9 (-3),,"GOOD LAYUP by PEREZ,WALLER(in the paint)",1
15:31,"FOUL  by JACOBSEN,RYAN",,,,,,,"FOUL  by JACOBSEN,RYAN",1
15:31,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:31,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:31,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
15:31,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
15:31,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:31,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
15:31,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
15:31,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
15:31,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:31,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
15:31,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
15:31,"SUB OUT by VEACH,PORTER",,,,,,,"SUB OUT by VEACH,PORTER",1
15:31,"SUB OUT by GUSTAFSON,ALEX",,,,,,,"SUB OUT by GUSTAFSON,ALEX",1
15:31,"SUB OUT by SHEARMIRE,RYAN",,,,,,,"SUB OUT by SHEARMIRE,RYAN",1
15:31,"SUB OUT by COLANGELO,MATTIA",,,,,,,"SUB OUT by COLANGELO,MATTIA",1
15:31,"SUB OUT by SUSTACEK,SAM",,,,,,,"SUB OUT by SUSTACEK,SAM",1
15:31,"SUB IN by SCHMITZ,COLE",,,,,,,"SUB IN by SCHMITZ,COLE",1
15:31,"SUB IN by KARRAS,NOAH",,,,,,,"SUB IN by KARRAS,NOAH",1
15:31,"SUB IN by BAUM,JORDAN",,,,,,,"SUB IN by BAUM,JORDAN",1
15:31,"SUB IN by JACKSON,JUSTIN",,,,,,,"SUB IN by JACKSON,JUSTIN",1
15:31,"SUB IN by JACOBSEN,RYAN",,,,,,,"SUB IN by JACOBSEN,RYAN",1
15:31,,12 (+1),,11,"GOOD LAYUP by DALTON,PRICE(in the paint)",RHO 12-11 (-1),,"GOOD LAYUP by DALTON,PRICE(in the paint)",1
15:18,"GOOD LAYUP by JACOBSEN,RYAN(in the paint)",14 (+3),,11,,CHI 14-11 (-3),,"GOOD LAYUP by JACOBSEN,RYAN(in the paint)",1
--,"ASSIST  by SCHMITZ,COLE",,,,,,,"ASSIST  by SCHMITZ,COLE",1
15:09,,,,,"TURNOVER  by NESTLEHUTT,JAKE",,,"TURNOVER  by NESTLEHUTT,JAKE",1
15:07,"STEAL  by JACOBSEN,RYAN",,,,,,,"STEAL  by JACOBSEN,RYAN",1
15:04,"GOOD LAYUP by JACOBSEN,RYAN(fastbreak)(in the paint)",16 (+5),,11,,CHI 16-11 (-5),,"GOOD LAYUP by JACOBSEN,RYAN(fastbreak)(in the paint)",1
14:56,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
14:53,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
14:53,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
14:53,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
14:53,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:53,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
14:53,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
14:53,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
14:53,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
14:53,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
14:53,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
14:53,"SUB IN by CRAWFORD,BLAINE",,,,,,,"SUB IN by CRAWFORD,BLAINE",1
14:53,"SUB OUT by JACOBSEN,RYAN",,,,,,,"SUB OUT by JACOBSEN,RYAN",1
14:43,"TURNOVER  by KARRAS,NOAH",,,,,,,"TURNOVER  by KARRAS,NOAH",1
14:32,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
14:30,"STEAL  by SCHMITZ,COLE",,,,,,,"STEAL  by SCHMITZ,COLE",1
14:22,"TURNOVER  by BAUM,JORDAN",,,,,,,"TURNOVER  by BAUM,JORDAN",1
14:21,,,,,"STEAL  by DE FERIA,NICK",,,"STEAL  by DE FERIA,NICK",1
14:06,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
