Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
16:44,,11 (+3),,8,"GOOD LAYUP by SULLIVAN,BRENNAN(fastbreak)(in the paint)",RHO 11-8 (-3),,"GOOD LAYUP by SULLIVAN,BRENNAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
16:30,"MISS LAYUP by ANDERSON,DYRON",,,,,,,"MISS LAYUP by ANDERSON,DYRON",1
16:30,,,,,"BLOCK  by NYAWATA,ANESU",,,"BLOCK  by NYAWATA,ANESU",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:30,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
16:30,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:30,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:30,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
16:30,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
16:30,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
16:30,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
16:30,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
16:30,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
16:30,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
16:29,"TURNOVER  by PRESSLEY,BRANDON",,,,,,,"TURNOVER  by PRESSLEY,BRANDON",1
16:21,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by YOUNG-BEASLEY,DJ",,,,,,,"REBOUND DEF by YOUNG-BEASLEY,DJ",1
16:00,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",13 (+5),,8,,BU 13-8 (-5),,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",1
--,"ASSIST  by ANDERSON,DYRON",,,,,,,"ASSIST  by ANDERSON,DYRON",1
15:51,,13 (+2),,11,"GOOD 3PTR by NESTLEHUTT,JAKE",RHO 13-11 (-2),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
15:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:47,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:47,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:47,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:47,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
15:47,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
15:47,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:47,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
15:47,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
15:47,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
15:47,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
15:47,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
15:47,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
