Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
10:42,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
10:42,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
10:33,"FOUL  by DAVIS,RON",,,,,,,"FOUL  by DAVIS,RON",1
10:33,,21,,22 (+1),"GOOD FT by LOWRIE,ANDREW",RHO 21-22 (+1),,"GOOD FT by LOWRIE,ANDREW",1
10:33,,21,,23 (+2),"GOOD FT by LOWRIE,ANDREW",RHO 21-23 (+2),,"GOOD FT by LOWRIE,ANDREW",1
10:28,"TURNOVER  by RICHARDSON,TERIK",,,,,,,"TURNOVER  by RICHARDSON,TERIK",1
10:15,,,,,"MISS LAYUP by WEIR,JJ",,,"MISS LAYUP by WEIR,JJ",1
--,,,,,"REBOUND OFF by LOWRIE,ANDREW",,,"REBOUND OFF by LOWRIE,ANDREW",1
10:05,,,,,"MISS LAYUP by BERRY,BRYCE",,,"MISS LAYUP by BERRY,BRYCE",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
09:57,"MISS LAYUP by ANDERSON,DYRON",,,,,,,"MISS LAYUP by ANDERSON,DYRON",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
09:50,,,,,"MISS LAYUP by DE FERIA,NICK",,,"MISS LAYUP by DE FERIA,NICK",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
09:45,"GOOD LAYUP by DAVIS,RON(fastbreak)(in the paint)",23,,23,,BU 23-23 (0),,"GOOD LAYUP by DAVIS,RON(fastbreak)(in the paint)",1
--,"ASSIST  by PRESSLEY,BRANDON",,,,,,,"ASSIST  by PRESSLEY,BRANDON",1
09:37,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by YOUNG-BEASLEY,DJ",,,,,,,"REBOUND DEF by YOUNG-BEASLEY,DJ",1
09:32,,,,,"FOUL  by DE FERIA,NICK",,,"FOUL  by DE FERIA,NICK",1
09:32,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
09:32,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
09:32,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
09:32,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
09:32,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
09:32,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
09:32,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
09:32,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
09:32,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
09:32,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
09:23,"MISS LAYUP by PRESSLEY,BRANDON",,,,,,,"MISS LAYUP by PRESSLEY,BRANDON",1
09:23,,,,,"BLOCK  by ASHBY,KENDRICK",,,"BLOCK  by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by ASHBY,KENDRICK",,,"REBOUND DEF by ASHBY,KENDRICK",1
09:16,,23,,25 (+2),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHO 23-25 (+2),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
08:57,"GOOD 3PTR by ANDERSON,DYRON",26 (+1),,25,,BU 26-25 (-1),,"GOOD 3PTR by ANDERSON,DYRON",1
--,"ASSIST  by DAVIS,RON",,,,,,,"ASSIST  by DAVIS,RON",1
08:47,,26,,28 (+2),"GOOD 3PTR by NYAWATA,ANESU",RHO 26-28 (+2),,"GOOD 3PTR by NYAWATA,ANESU",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
08:34,"TURNOVER  by YOUNG-BEASLEY,DJ",,,,,,,"TURNOVER  by YOUNG-BEASLEY,DJ",1
08:33,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
08:27,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
08:18,"GOOD JUMPER by RICHARDSON,TERIK(in the paint)",28,,28,,BU 28-28 (0),,"GOOD JUMPER by RICHARDSON,TERIK(in the paint)",1
--,"ASSIST  by DAVIS,RON",,,,,,,"ASSIST  by DAVIS,RON",1
08:11,"FOUL  by PRESSLEY,BRANDON",,,,,,,"FOUL  by PRESSLEY,BRANDON",1
08:11,"FOUL  by PRESSLEY,BRANDON",,,,,,,"FOUL  by PRESSLEY,BRANDON",1
08:11,"FOUL TECH by PRESSLEY,BRANDON",,,,,,,"FOUL TECH by PRESSLEY,BRANDON",1
08:11,,28,,29 (+1),"GOOD FT by SULLIVAN,BRENNAN",RHO 28-29 (+1),,"GOOD FT by SULLIVAN,BRENNAN",1
08:11,,28,,30 (+2),"GOOD FT by SULLIVAN,BRENNAN",RHO 28-30 (+2),,"GOOD FT by SULLIVAN,BRENNAN",1
08:11,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
08:11,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
08:11,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
08:11,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
08:11,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
08:11,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
08:11,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
08:11,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
08:11,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
08:11,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
08:11,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
08:11,"SUB OUT by DAVIS,RON",,,,,,,"SUB OUT by DAVIS,RON",1
08:11,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",1
08:11,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",1
08:11,"SUB OUT by COMENGE,CHRISTIAN",,,,,,,"SUB OUT by COMENGE,CHRISTIAN",1
08:11,"SUB IN by PATTERSON,KYLE",,,,,,,"SUB IN by PATTERSON,KYLE",1
08:11,"SUB IN by SIMPSON,DAVID",,,,,,,"SUB IN by SIMPSON,DAVID",1
08:11,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",1
08:11,"SUB IN by COLE,DAVID",,,,,,,"SUB IN by COLE,DAVID",1
08:11,"SUB IN by VAN HEERINGEN,GIAN",,,,,,,"SUB IN by VAN HEERINGEN,GIAN",1
08:11,,,,,"MISS FT by ASHBY,KENDRICK",,,"MISS FT by ASHBY,KENDRICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:11,,,,,"MISS FT by ASHBY,KENDRICK",,,"MISS FT by ASHBY,KENDRICK",1
--,"REBOUND DEF by COLE,DAVID",,,,,,,"REBOUND DEF by COLE,DAVID",1
08:05,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
08:05,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
08:00,"MISS 3PTR by SIMPSON,DAVID",,,,,,,"MISS 3PTR by SIMPSON,DAVID",1
--,,,,,"REBOUND DEF by DE FERIA,NICK",,,"REBOUND DEF by DE FERIA,NICK",1
07:46,,28,,33 (+5),"GOOD 3PTR by NESTLEHUTT,JAKE",RHO 28-33 (+5),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
07:39,"TURNOVER  by PATTERSON,KYLE",,,,,,,"TURNOVER  by PATTERSON,KYLE",1
07:39,"FOUL  by PATTERSON,KYLE",,,,,,,"FOUL  by PATTERSON,KYLE",1
07:39,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:39,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
07:39,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
07:39,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
07:39,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
07:39,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
07:39,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
07:39,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
07:39,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
07:39,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
07:39,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
07:37,,28,,35 (+7),"GOOD JUMPER by SULLIVAN,BRENNAN",RHO 28-35 (+7),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
07:27,"TURNOVER  by PRICE,VICTOR",,,,,,,"TURNOVER  by PRICE,VICTOR",1
07:25,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
07:17,,28,,37 (+9),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 28-37 (+9),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
07:10,"TURNOVER  by SIMPSON,DAVID",,,,,,,"TURNOVER  by SIMPSON,DAVID",1
07:09,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
07:07,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
07:07,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
07:07,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
07:07,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
07:07,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
07:07,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
07:07,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
07:07,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
07:07,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
07:07,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
07:07,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
07:07,"SUB OUT by DAVIS,RON",,,,,,,"SUB OUT by DAVIS,RON",1
07:07,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",1
07:07,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",1
07:07,"SUB OUT by COMENGE,CHRISTIAN",,,,,,,"SUB OUT by COMENGE,CHRISTIAN",1
07:07,"SUB IN by DAVIS,RON",,,,,,,"SUB IN by DAVIS,RON",1
07:07,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",1
07:07,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",1
07:07,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",1
07:07,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",1
07:03,,28,,39 (+11),"GOOD LAYUP by ASHBY,KENDRICK(fastbreak)(in the paint)",RHO 28-39 (+11),,"GOOD LAYUP by ASHBY,KENDRICK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
06:50,"MISS 3PTR by DAVIS,RON",,,,,,,"MISS 3PTR by DAVIS,RON",1
--,"REBOUND OFF by ANDERSON,DYRON",,,,,,,"REBOUND OFF by ANDERSON,DYRON",1
06:43,"TURNOVER  by YOUNG-BEASLEY,DJ",,,,,,,"TURNOVER  by YOUNG-BEASLEY,DJ",1
06:42,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
06:40,"FOUL  by YOUNG-BEASLEY,DJ",,,,,,,"FOUL  by YOUNG-BEASLEY,DJ",1
06:40,,28,,40 (+12),"GOOD FT by DARST,DANIEL",RHO 28-40 (+12),,"GOOD FT by DARST,DANIEL",1
06:40,,28,,41 (+13),"GOOD FT by DARST,DANIEL",RHO 28-41 (+13),,"GOOD FT by DARST,DANIEL",1
06:34,,,,,"FOUL  by DE FERIA,NICK",,,"FOUL  by DE FERIA,NICK",1
06:34,"MISS FT by PRESSLEY,BRANDON",,,,,,,"MISS FT by PRESSLEY,BRANDON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:34,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
06:34,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
06:34,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
06:34,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
06:34,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
06:34,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
06:34,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
06:34,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
06:34,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
06:34,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
06:34,"MISS FT by PRESSLEY,BRANDON",,,,,,,"MISS FT by PRESSLEY,BRANDON",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
06:25,,28,,44 (+16),"GOOD 3PTR by GALVIN,OWEN",RHO 28-44 (+16),,"GOOD 3PTR by GALVIN,OWEN",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
06:16,"TURNOVER  by YOUNG-BEASLEY,DJ",,,,,,,"TURNOVER  by YOUNG-BEASLEY,DJ",1
06:07,,28,,46 (+18),"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHO 28-46 (+18),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
05:57,"GOOD LAYUP by ANDERSON,DYRON(fastbreak)(in the paint)",30,,46 (+16),,BU 30-46 (+16),,"GOOD LAYUP by ANDERSON,DYRON(fastbreak)(in the paint)",1
--,"ASSIST  by RICHARDSON,TERIK",,,,,,,"ASSIST  by RICHARDSON,TERIK",1
05:57,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
05:57,"MISS FT by ANDERSON,DYRON",,,,,,,"MISS FT by ANDERSON,DYRON",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
05:50,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
05:50,"STEAL  by DAVIS,RON",,,,,,,"STEAL  by DAVIS,RON",1
05:45,"MISS JUMPER by RICHARDSON,TERIK",,,,,,,"MISS JUMPER by RICHARDSON,TERIK",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
05:42,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
05:42,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
05:42,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
05:42,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
05:42,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
05:42,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
05:42,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
05:42,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
05:42,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
05:42,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
05:42,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
05:42,"SUB OUT by DAVIS,RON",,,,,,,"SUB OUT by DAVIS,RON",1
05:42,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",1
05:42,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",1
05:42,"SUB OUT by COMENGE,CHRISTIAN",,,,,,,"SUB OUT by COMENGE,CHRISTIAN",1
05:42,"SUB IN by DAVIS,RON",,,,,,,"SUB IN by DAVIS,RON",1
05:42,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",1
05:42,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",1
05:42,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",1
05:42,"SUB IN by VAN HEERINGEN,GIAN",,,,,,,"SUB IN by VAN HEERINGEN,GIAN",1
05:27,"FOUL  by VAN HEERINGEN,GIAN",,,,,,,"FOUL  by VAN HEERINGEN,GIAN",1
05:27,,30,,47 (+17),"GOOD FT by HARRISON,IAN",RHO 30-47 (+17),,"GOOD FT by HARRISON,IAN",1
05:27,,30,,48 (+18),"GOOD FT by HARRISON,IAN",RHO 30-48 (+18),,"GOOD FT by HARRISON,IAN",1
05:05,"MISS 3PTR by PRICE,VICTOR",,,,,,,"MISS 3PTR by PRICE,VICTOR",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
04:56,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by VAN HEERINGEN,GIAN",,,,,,,"REBOUND DEF by VAN HEERINGEN,GIAN",1
04:42,"TURNOVER  by PRICE,VICTOR",,,,,,,"TURNOVER  by PRICE,VICTOR",1
04:42,"FOUL  by PRICE,VICTOR",,,,,,,"FOUL  by PRICE,VICTOR",1
04:42,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
04:42,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
04:42,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
04:42,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
04:42,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
04:42,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
04:42,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
04:42,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
04:42,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
04:42,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
04:36,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by YOUNG-BEASLEY,DJ",,,,,,,"REBOUND DEF by YOUNG-BEASLEY,DJ",1
04:24,"TURNOVER  by ANDERSON,DYRON",,,,,,,"TURNOVER  by ANDERSON,DYRON",1
04:24,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
04:20,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND DEF by VAN HEERINGEN,GIAN",,,,,,,"REBOUND DEF by VAN HEERINGEN,GIAN",1
04:06,"GOOD 3PTR by ANDERSON,DYRON",33,,48 (+15),,BU 33-48 (+15),,"GOOD 3PTR by ANDERSON,DYRON",1
--,"ASSIST  by DAVIS,RON",,,,,,,"ASSIST  by DAVIS,RON",1
03:51,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
03:50,"FOUL  by YOUNG-BEASLEY,DJ",,,,,,,"FOUL  by YOUNG-BEASLEY,DJ",1
03:50,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:50,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:50,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
03:50,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
03:50,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
03:50,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
03:50,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
03:50,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
03:50,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
03:50,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
03:50,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
03:50,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
03:50,"SUB OUT by DAVIS,RON",,,,,,,"SUB OUT by DAVIS,RON",1
03:50,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",1
03:50,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",1
03:50,"SUB OUT by COMENGE,CHRISTIAN",,,,,,,"SUB OUT by COMENGE,CHRISTIAN",1
03:50,"SUB IN by DURHAM,JONATHAN",,,,,,,"SUB IN by DURHAM,JONATHAN",1
03:50,"SUB IN by GIACOMINI,HUGO",,,,,,,"SUB IN by GIACOMINI,HUGO",1
03:50,"SUB IN by JONES,JUSTIN",,,,,,,"SUB IN by JONES,JUSTIN",1
03:50,"SUB IN by HODUM,RICK",,,,,,,"SUB IN by HODUM,RICK",1
03:50,"SUB IN by PITTMAN,JOHNNY",,,,,,,"SUB IN by PITTMAN,JOHNNY",1
03:50,,33,,49 (+16),"GOOD FT by GIROUX,PRESTON",RHO 33-49 (+16),,"GOOD FT by GIROUX,PRESTON",1
03:50,,33,,50 (+17),"GOOD FT by GIROUX,PRESTON",RHO 33-50 (+17),,"GOOD FT by GIROUX,PRESTON",1
03:50,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:50,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
03:39,"TURNOVER  by DURHAM,JONATHAN",,,,,,,"TURNOVER  by DURHAM,JONATHAN",1
03:36,,33,,53 (+20),"GOOD 3PTR by GEE,TYLER(fastbreak)",RHO 33-53 (+20),,"GOOD 3PTR by GEE,TYLER(fastbreak)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
03:25,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
03:25,"GOOD FT by JONES,JUSTIN",34,,53 (+19),,BU 34-53 (+19),,"GOOD FT by JONES,JUSTIN",1
03:25,"GOOD FT by JONES,JUSTIN",35,,53 (+18),,BU 35-53 (+18),,"GOOD FT by JONES,JUSTIN",1
03:18,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
03:18,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
03:18,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:18,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
03:18,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
03:18,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
03:18,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
03:18,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:18,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
03:18,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
03:18,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
03:18,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
03:10,"MISS 3PTR by DURHAM,JONATHAN",,,,,,,"MISS 3PTR by DURHAM,JONATHAN",1
--,,,,,"REBOUND DEF by LOWRIE,ANDREW",,,"REBOUND DEF by LOWRIE,ANDREW",1
03:01,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",1
--,"REBOUND DEF by HODUM,RICK",,,,,,,"REBOUND DEF by HODUM,RICK",1
02:54,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
02:54,"GOOD FT by HODUM,RICK",36,,53 (+17),,BU 36-53 (+17),,"GOOD FT by HODUM,RICK",1
