Time Remaining,WIL,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
18:59,"MISS LAYUP by JONES,CHRISTIAN",,,,,,,"MISS LAYUP by JONES,CHRISTIAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:59,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
18:59,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
18:59,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
18:59,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:59,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
18:59,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
18:59,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
18:59,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
18:59,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
18:59,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
18:48,,,,,"MISS LAYUP by ASHBY,KENDRICK",,,"MISS LAYUP by ASHBY,KENDRICK",1
--,,,,,"REBOUND OFF by ASHBY,KENDRICK",,,"REBOUND OFF by ASHBY,KENDRICK",1
18:43,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
18:43,"BLOCK  by CHATMAN,NOAH",,,,,,,"BLOCK  by CHATMAN,NOAH",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
18:34,,4,,5 (+1),"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",RHO 4-5 (+1),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
18:30,"TURNOVER  by JONES,CHRISTIAN",,,,,,,"TURNOVER  by JONES,CHRISTIAN",1
18:30,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
18:30,"FOUL  by JONES,CHRISTIAN",,,,,,,"FOUL  by JONES,CHRISTIAN",1
18:30,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:30,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
18:30,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
18:30,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
18:30,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:30,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
18:30,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
18:30,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
18:30,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
18:30,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
18:30,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
18:30,,4,,6 (+2),"GOOD FT by DARST,DANIEL",RHO 4-6 (+2),,"GOOD FT by DARST,DANIEL",1
18:30,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
18:30,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:28,"TURNOVER  by JONES,CHRISTIAN",,,,,,,"TURNOVER  by JONES,CHRISTIAN",1
18:27,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
18:26,,4,,8 (+4),"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHO 4-8 (+4),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
18:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
18:15,"TURNOVER  by PATRICK,WILL",,,,,,,"TURNOVER  by PATRICK,WILL",1
18:15,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
18:13,,4,,10 (+6),"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",RHO 4-10 (+6),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",1
18:02,"GOOD LAYUP by CHATMAN,NOAH(fastbreak)(in the paint)",6,,10 (+4),,WIL 6-10 (+4),,"GOOD LAYUP by CHATMAN,NOAH(fastbreak)(in the paint)",1
--,"ASSIST  by RUSSELL,ANDREW",,,,,,,"ASSIST  by RUSSELL,ANDREW",1
17:42,,6,,13 (+7),"GOOD 3PTR by LOWRIE,ANDREW",RHO 6-13 (+7),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
17:28,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
17:28,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
17:28,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
17:28,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
17:28,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
17:28,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
17:28,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
17:28,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
17:28,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
17:28,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
17:28,"SUB IN by GREENE,WILLIAM",,,,,,,"SUB IN by GREENE,WILLIAM",1
17:28,"SUB OUT by PATRICK,WILL",,,,,,,"SUB OUT by PATRICK,WILL",1
17:25,"MISS 3PTR by ILES,DJ",,,,,,,"MISS 3PTR by ILES,DJ",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
17:16,,6,,15 (+9),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 6-15 (+9),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
17:01,"GOOD LAYUP by CHATMAN,NOAH(fastbreak)(in the paint)",8,,15 (+7),,WIL 8-15 (+7),,"GOOD LAYUP by CHATMAN,NOAH(fastbreak)(in the paint)",1
--,"ASSIST  by ILES,DJ",,,,,,,"ASSIST  by ILES,DJ",1
17:01,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
17:01,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
17:01,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
17:01,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
17:01,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
17:01,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
17:01,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
17:01,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
17:01,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
17:01,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
17:01,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
17:01,"SUB IN by LEWIS,KEVIN",,,,,,,"SUB IN by LEWIS,KEVIN",1
17:01,"SUB OUT by JONES,CHRISTIAN",,,,,,,"SUB OUT by JONES,CHRISTIAN",1
17:01,"GOOD FT by CHATMAN,NOAH",9,,15 (+6),,WIL 9-15 (+6),,"GOOD FT by CHATMAN,NOAH",1
16:59,"SUB IN by HECKER,JORDAN",,,,,,,"SUB IN by HECKER,JORDAN",1
16:59,"SUB OUT by CHATMAN,NOAH",,,,,,,"SUB OUT by CHATMAN,NOAH",1
16:48,,9,,17 (+8),"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",RHO 9-17 (+8),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
16:36,"GOOD LAYUP by HECKER,JORDAN(fastbreak)(in the paint)",11,,17 (+6),,WIL 11-17 (+6),,"GOOD LAYUP by HECKER,JORDAN(fastbreak)(in the paint)",1
--,"ASSIST  by ILES,DJ",,,,,,,"ASSIST  by ILES,DJ",1
16:23,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND DEF by GREENE,WILLIAM",,,,,,,"REBOUND DEF by GREENE,WILLIAM",1
16:14,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
16:14,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
16:14,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
16:14,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:14,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:14,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
16:14,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
16:14,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
16:14,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
16:14,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:14,"SUB IN by SCOTT,NATHAN",,,,,,,"SUB IN by SCOTT,NATHAN",1
16:14,"SUB OUT by RUSSELL,ANDREW",,,,,,,"SUB OUT by RUSSELL,ANDREW",1
16:07,"MISS JUMPER by HECKER,JORDAN",,,,,,,"MISS JUMPER by HECKER,JORDAN",1
--,,,,,"REBOUND DEF by LOWRIE,ANDREW",,,"REBOUND DEF by LOWRIE,ANDREW",1
15:58,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by GREENE,WILLIAM",,,,,,,"REBOUND DEF by GREENE,WILLIAM",1
15:52,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
15:52,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:52,"SUB IN by SMITH,PAYTON",,,,,,,"SUB IN by SMITH,PAYTON",1
15:52,"SUB OUT by ILES,DJ",,,,,,,"SUB OUT by ILES,DJ",1
15:45,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
15:45,"GOOD FT by SCOTT,NATHAN",12,,17 (+5),,WIL 12-17 (+5),,"GOOD FT by SCOTT,NATHAN",1
15:45,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
15:45,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:45,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
15:45,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:45,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
15:45,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
15:45,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
15:45,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:45,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
15:45,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
15:45,"GOOD FT by SCOTT,NATHAN",13,,17 (+4),,WIL 13-17 (+4),,"GOOD FT by SCOTT,NATHAN",1
15:30,,13,,20 (+7),"GOOD 3PTR by NESTLEHUTT,JAKE",RHO 13-20 (+7),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
15:22,"MISS LAYUP by HECKER,JORDAN",,,,,,,"MISS LAYUP by HECKER,JORDAN",1
15:22,,,,,"BLOCK  by GEE,TYLER",,,"BLOCK  by GEE,TYLER",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
15:16,"FOUL  by SCOTT,NATHAN",,,,,,,"FOUL  by SCOTT,NATHAN",1
15:16,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
15:16,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:16,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
15:16,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:16,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
15:16,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
15:16,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
15:16,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:16,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
15:16,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
15:10,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by SCOTT,NATHAN",,,,,,,"REBOUND DEF by SCOTT,NATHAN",1
14:56,"GOOD JUMPER by SCOTT,NATHAN",15,,20 (+5),,WIL 15-20 (+5),,"GOOD JUMPER by SCOTT,NATHAN",1
--,"ASSIST  by SMITH,PAYTON",,,,,,,"ASSIST  by SMITH,PAYTON",1
14:40,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
14:40,"STEAL  by SCOTT,NATHAN",,,,,,,"STEAL  by SCOTT,NATHAN",1
14:40,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
14:40,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
14:40,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
14:40,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:40,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
14:40,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
14:40,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
14:40,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
14:40,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
14:40,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
14:29,"MISS 3PTR by HECKER,JORDAN",,,,,,,"MISS 3PTR by HECKER,JORDAN",1
--,"REBOUND OFF by LEWIS,KEVIN",,,,,,,"REBOUND OFF by LEWIS,KEVIN",1
14:19,"MISS JUMPER by GREENE,WILLIAM",,,,,,,"MISS JUMPER by GREENE,WILLIAM",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
14:01,,,,,"MISS LAYUP by BERRY,BRYCE",,,"MISS LAYUP by BERRY,BRYCE",1
--,"REBOUND DEF by SCOTT,NATHAN",,,,,,,"REBOUND DEF by SCOTT,NATHAN",1
13:47,"TURNOVER  by HECKER,JORDAN",,,,,,,"TURNOVER  by HECKER,JORDAN",1
13:46,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
13:44,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1
13:43,"STEAL  by GREENE,WILLIAM",,,,,,,"STEAL  by GREENE,WILLIAM",1
13:40,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:40,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
13:40,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
13:40,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
13:40,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:40,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
13:40,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
13:40,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
13:40,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
13:40,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
13:40,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:40,"SUB OUT by LEWIS,KEVIN",,,,,,,"SUB OUT by LEWIS,KEVIN",1
13:40,"SUB OUT by ILES,DJ",,,,,,,"SUB OUT by ILES,DJ",1
13:40,"SUB OUT by GREENE,WILLIAM",,,,,,,"SUB OUT by GREENE,WILLIAM",1
13:40,"SUB OUT by RUSSELL,ANDREW",,,,,,,"SUB OUT by RUSSELL,ANDREW",1
13:40,"SUB OUT by SCOTT,NATHAN",,,,,,,"SUB OUT by SCOTT,NATHAN",1
13:40,"SUB IN by LEWIS,KEVIN",,,,,,,"SUB IN by LEWIS,KEVIN",1
13:40,"SUB IN by SMITH,PAYTON",,,,,,,"SUB IN by SMITH,PAYTON",1
13:40,"SUB IN by GREENE,WILLIAM",,,,,,,"SUB IN by GREENE,WILLIAM",1
13:40,"SUB IN by RUSSELL,ANDREW",,,,,,,"SUB IN by RUSSELL,ANDREW",1
13:40,"SUB IN by CHATMAN,NOAH",,,,,,,"SUB IN by CHATMAN,NOAH",1
13:39,"FOUL  by SMITH,PAYTON",,,,,,,"FOUL  by SMITH,PAYTON",1
13:30,,15,,22 (+7),"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHO 15-22 (+7),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
13:30,"FOUL  by GREENE,WILLIAM",,,,,,,"FOUL  by GREENE,WILLIAM",1
13:30,"SUB OUT by LEWIS,KEVIN",,,,,,,"SUB OUT by LEWIS,KEVIN",1
13:30,"SUB OUT by ILES,DJ",,,,,,,"SUB OUT by ILES,DJ",1
13:30,"SUB OUT by GREENE,WILLIAM",,,,,,,"SUB OUT by GREENE,WILLIAM",1
13:30,"SUB OUT by RUSSELL,ANDREW",,,,,,,"SUB OUT by RUSSELL,ANDREW",1
13:30,"SUB OUT by SCOTT,NATHAN",,,,,,,"SUB OUT by SCOTT,NATHAN",1
13:30,"SUB IN by JONES,CHRISTIAN",,,,,,,"SUB IN by JONES,CHRISTIAN",1
13:30,"SUB IN by ILES,DJ",,,,,,,"SUB IN by ILES,DJ",1
13:30,"SUB IN by JONES,JORDAN",,,,,,,"SUB IN by JONES,JORDAN",1
13:30,"SUB IN by RUSSELL,ANDREW",,,,,,,"SUB IN by RUSSELL,ANDREW",1
13:30,"SUB IN by CHATMAN,NOAH",,,,,,,"SUB IN by CHATMAN,NOAH",1
13:30,,,,,"MISS FT by GALVIN,OWEN",,,"MISS FT by GALVIN,OWEN",1
--,"REBOUND DEF by RUSSELL,ANDREW",,,,,,,"REBOUND DEF by RUSSELL,ANDREW",1
13:23,"GOOD LAYUP by CHATMAN,NOAH(fastbreak)(in the paint)",17,,22 (+5),,WIL 17-22 (+5),,"GOOD LAYUP by CHATMAN,NOAH(fastbreak)(in the paint)",1
--,"ASSIST  by JONES,JORDAN",,,,,,,"ASSIST  by JONES,JORDAN",1
12:58,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
12:56,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
12:56,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:56,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
12:56,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:56,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
12:56,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:56,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:56,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:56,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
12:56,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:49,"TURNOVER  by JONES,JORDAN",,,,,,,"TURNOVER  by JONES,JORDAN",1
12:49,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
12:47,,17,,24 (+7),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 17-24 (+7),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
12:33,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
12:33,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:33,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
12:33,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:33,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
12:33,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:33,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
12:33,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
12:33,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
12:33,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
12:29,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
12:29,"GOOD FT by RUSSELL,ANDREW",18,,24 (+6),,WIL 18-24 (+6),,"GOOD FT by RUSSELL,ANDREW",1
12:29,"MISS FT by RUSSELL,ANDREW",,,,,,,"MISS FT by RUSSELL,ANDREW",1
--,,,,,"REBOUND DEF by LOWRIE,ANDREW",,,"REBOUND DEF by LOWRIE,ANDREW",1
12:22,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
12:22,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
12:22,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
12:22,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:22,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
12:22,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:22,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
12:22,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:22,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:22,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
12:22,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
