Time Remaining,OGL,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:51,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
19:50,"STEAL  by EDWARDS,JUSTIN",,,,,,,"STEAL  by EDWARDS,JUSTIN",1
19:50,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",1
19:47,,0,,2 (+2),"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHO 0-2 (+2),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
19:31,"TURNOVER  by LAWRENCE,CHRIS",,,,,,,"TURNOVER  by LAWRENCE,CHRIS",1
19:30,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
19:27,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
19:27,,0,,3 (+3),"GOOD FT by BERRY,BRYCE",RHO 0-3 (+3),,"GOOD FT by BERRY,BRYCE",1
19:27,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
19:27,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
19:27,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
19:27,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
19:27,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
19:27,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
19:27,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
19:27,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
19:27,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
19:27,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
19:27,,0,,4 (+4),"GOOD FT by BERRY,BRYCE",RHO 0-4 (+4),,"GOOD FT by BERRY,BRYCE",1
19:27,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
19:27,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
19:17,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
19:05,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
18:50,"GOOD LAYUP by INUNGU,TOM(in the paint)",2,,4 (+2),,OGL 2-4 (+2),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",1
18:43,,2,,7 (+5),"GOOD 3PTR by DARST,DANIEL",RHO 2-7 (+5),,"GOOD 3PTR by DARST,DANIEL",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
18:32,"TURNOVER  by HUGHES,JUSTIN",,,,,,,"TURNOVER  by HUGHES,JUSTIN",1
18:24,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
18:24,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
18:24,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:24,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
18:24,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
18:24,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
18:24,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
18:24,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
18:24,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
18:24,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
18:22,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
18:16,"MISS 3PTR by HUGHES,JUSTIN",,,,,,,"MISS 3PTR by HUGHES,JUSTIN",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
18:02,,2,,9 (+7),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 2-9 (+7),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
17:42,"MISS 3PTR by EDWARDS,JUSTIN",,,,,,,"MISS 3PTR by EDWARDS,JUSTIN",1
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",1
17:33,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
17:22,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
17:20,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
17:20,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
