Time Remaining,EAS,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:42,"TURNOVER  by QUILLAN,JORDAN",,,,,,,"TURNOVER  by QUILLAN,JORDAN",1
19:41,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
19:32,,,,,"TURNOVER  by ASHBY,KENDRICK",,,"TURNOVER  by ASHBY,KENDRICK",1
19:32,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
19:32,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
19:32,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
19:32,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
19:32,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
19:32,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
19:32,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
19:32,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
19:32,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
19:32,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
19:32,"TURNOVER  by QUILLAN,JORDAN",,,,,,,"TURNOVER  by QUILLAN,JORDAN",1
19:32,,,,,"STEAL  by HARRISON,IAN",,,"STEAL  by HARRISON,IAN",1
19:32,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
19:32,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND DEF by QUILLAN,JORDAN",,,,,,,"REBOUND DEF by QUILLAN,JORDAN",1
19:32,"TURNOVER  by QUILLAN,JORDAN",,,,,,,"TURNOVER  by QUILLAN,JORDAN",1
19:32,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
19:32,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,"REBOUND DEF by QUILLAN,JORDAN",,,,,,,"REBOUND DEF by QUILLAN,JORDAN",1
18:56,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
18:56,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
18:56,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
18:56,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:56,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
18:56,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
18:56,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
18:56,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
18:56,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
18:56,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
18:56,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
18:50,"GOOD LAYUP by GOSEY,JORDAN(fastbreak)(in the paint)",2 (+2),,0,,EAS 2-0 (-2),,"GOOD LAYUP by GOSEY,JORDAN(fastbreak)(in the paint)",1
--,"ASSIST  by AUGUSTINE,DYLAN",,,,,,,"ASSIST  by AUGUSTINE,DYLAN",1
18:36,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
