Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,UTD,Game Score,Team Indicator,Play,Period
19:01,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",4 (+3),,1,,RHO 4-1 (+3),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
18:51,,4 (+1),,3,"GOOD DUNK by KEOGH,REAGAN(in the paint)",UTD 4-3 (+1),,"GOOD DUNK by KEOGH,REAGAN(in the paint)",1
--,,,,,"ASSIST  by HATCHER,JON",,,"ASSIST  by HATCHER,JON",1
18:42,"MISS JUMPER by WEIR,JJ",,,,,,,"MISS JUMPER by WEIR,JJ",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
18:38,,,,,"TURNOVER  by HATCHER,JON",,,"TURNOVER  by HATCHER,JON",1
18:38,"STEAL  by WEIR,JJ",,,,,,,"STEAL  by WEIR,JJ",1
18:38,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
18:38,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
18:38,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
18:38,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
18:38,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
18:38,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
18:38,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
18:38,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
18:38,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
18:38,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
18:32,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
18:32,,,,,"STEAL  by KEOGH,REAGAN",,,"STEAL  by KEOGH,REAGAN",1
18:25,,,,,"MISS 3PTR by HATCHER,JON",,,"MISS 3PTR by HATCHER,JON",1
--,,,,,"REBOUND OFF by COULTER,KYLE",,,"REBOUND OFF by COULTER,KYLE",1
18:12,,4,,6 (+2),"GOOD 3PTR by COULTER,KYLE",UTD 4-6 (-2),,"GOOD 3PTR by COULTER,KYLE",1
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",1
17:56,,,,,"FOUL  by KEOGH,REAGAN",,,"FOUL  by KEOGH,REAGAN",1
17:56,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
17:56,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
17:56,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
17:56,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
17:56,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
17:56,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
17:56,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
17:56,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
17:56,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
17:56,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
17:54,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND OFF by DALTON,PRICE",,,,,,,"REBOUND OFF by DALTON,PRICE",1
17:51,,,,,"FOUL  by COULTER,KYLE",,,"FOUL  by COULTER,KYLE",1
17:37,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by HATCHER,JON",,,"REBOUND DEF by HATCHER,JON",1
17:24,,,,,"TURNOVER  by SMITH,BEN",,,"TURNOVER  by SMITH,BEN",1
17:18,,,,,"FOUL  by SMITH,BEN",,,"FOUL  by SMITH,BEN",1
17:18,,,,,"SUB IN by OGUNFEITIMI,DAPO",,,"SUB IN by OGUNFEITIMI,DAPO",1
17:18,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",,,"SUB IN by UNDERWOOD,DIMITRIUS",1
17:18,,,,,"SUB OUT by KEOGH,REAGAN",,,"SUB OUT by KEOGH,REAGAN",1
17:18,,,,,"SUB OUT by SMITH,BEN",,,"SUB OUT by SMITH,BEN",1
17:12,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
17:12,"TURNOVER  by DALTON,PRICE",,,,,,,"TURNOVER  by DALTON,PRICE",1
17:12,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
17:12,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
17:12,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
17:12,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
17:12,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
17:12,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
17:12,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
17:12,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
17:12,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
17:12,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
17:05,,,,,"TURNOVER  by HATCHER,JON",,,"TURNOVER  by HATCHER,JON",1
17:04,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
17:01,"MISS JUMPER by WEIR,JJ",,,,,,,"MISS JUMPER by WEIR,JJ",1
--,,,,,"REBOUND DEF by BANKS,CALEB",,,"REBOUND DEF by BANKS,CALEB",1
16:55,,4,,8 (+4),"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",UTD 4-8 (-4),,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",1
16:38,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
16:33,,,,,"MISS 3PTR by COULTER,KYLE",,,"MISS 3PTR by COULTER,KYLE",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
16:25,"MISS 3PTR by LOWRIE,ANDREW",,,,,,,"MISS 3PTR by LOWRIE,ANDREW",1
--,"REBOUND OFF by WEIR,JJ",,,,,,,"REBOUND OFF by WEIR,JJ",1
16:17,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
16:11,,4,,10 (+6),"GOOD LAYUP by OGUNFEITIMI,DAPO(in the paint)",UTD 4-10 (-6),,"GOOD LAYUP by OGUNFEITIMI,DAPO(in the paint)",1
--,,,,,"ASSIST  by HATCHER,JON",,,"ASSIST  by HATCHER,JON",1
16:03,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by COULTER,KYLE",,,"REBOUND DEF by COULTER,KYLE",1
16:00,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
16:00,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
16:00,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:00,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
16:00,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
16:00,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
16:00,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:00,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
16:00,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
16:00,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
16:00,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
15:58,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
15:58,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:56,"FOUL  by DE FERIA,NICK",,,,,,,"FOUL  by DE FERIA,NICK",1
15:56,,4,,11 (+7),"GOOD FT by BANKS,CALEB",UTD 4-11 (-7),,"GOOD FT by BANKS,CALEB",1
15:56,,4,,12 (+8),"GOOD FT by BANKS,CALEB",UTD 4-12 (-8),,"GOOD FT by BANKS,CALEB",1
15:56,,,,,"SUB IN by KEOGH,REAGAN",,,"SUB IN by KEOGH,REAGAN",1
15:56,,,,,"SUB OUT by COULTER,KYLE",,,"SUB OUT by COULTER,KYLE",1
15:40,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by BANKS,CALEB",,,"REBOUND DEF by BANKS,CALEB",1
15:28,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
15:28,,4,,13 (+9),"GOOD FT by HATCHER,JON",UTD 4-13 (-9),,"GOOD FT by HATCHER,JON",1
15:28,,4,,14 (+10),"GOOD FT by HATCHER,JON",UTD 4-14 (-10),,"GOOD FT by HATCHER,JON",1
15:18,,,,,"FOUL  by BANKS,CALEB",,,"FOUL  by BANKS,CALEB",1
15:17,"MISS 3PTR by DE FERIA,NICK",,,,,,,"MISS 3PTR by DE FERIA,NICK",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
15:11,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
15:11,,4,,15 (+11),"GOOD FT by BANKS,CALEB",UTD 4-15 (-11),,"GOOD FT by BANKS,CALEB",1
15:11,,4,,16 (+12),"GOOD FT by BANKS,CALEB",UTD 4-16 (-12),,"GOOD FT by BANKS,CALEB",1
15:11,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
15:11,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
15:11,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
15:11,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
15:11,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
15:11,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
15:11,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
15:11,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
15:11,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
15:11,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
14:58,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND OFF by DALTON,PRICE",,,,,,,"REBOUND OFF by DALTON,PRICE",1
14:53,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND OFF by DARST,DANIEL",,,,,,,"REBOUND OFF by DARST,DANIEL",1
14:49,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,"REBOUND DEF by OGUNFEITIMI,DAPO",,,"REBOUND DEF by OGUNFEITIMI,DAPO",1
14:47,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
14:47,,4,,17 (+13),"GOOD FT by OGUNFEITIMI,DAPO",UTD 4-17 (-13),,"GOOD FT by OGUNFEITIMI,DAPO",1
14:47,,4,,18 (+14),"GOOD FT by OGUNFEITIMI,DAPO",UTD 4-18 (-14),,"GOOD FT by OGUNFEITIMI,DAPO",1
14:47,,,,,"SUB IN by ALLEN,CURTIS",,,"SUB IN by ALLEN,CURTIS",1
14:47,,,,,"SUB OUT by HATCHER,JON",,,"SUB OUT by HATCHER,JON",1
14:36,"GOOD LAYUP by DARST,DANIEL(in the paint)",6,,18 (+12),,RHO 6-18 (-12),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,"ASSIST  by NYAWATA,ANESU",,,,,,,"ASSIST  by NYAWATA,ANESU",1
14:27,,,,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",1
--,,,,,"REBOUND OFF by ALLEN,CURTIS",,,"REBOUND OFF by ALLEN,CURTIS",1
14:23,,,,,"MISS LAYUP by ALLEN,CURTIS",,,"MISS LAYUP by ALLEN,CURTIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:22,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
14:22,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
14:22,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
14:22,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
14:22,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
14:22,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
14:22,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
14:22,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
14:22,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
14:22,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
14:13,,6,,20 (+14),"GOOD LAYUP by OGUNFEITIMI,DAPO(in the paint)",UTD 6-20 (-14),,"GOOD LAYUP by OGUNFEITIMI,DAPO(in the paint)",1
--,,,,,"ASSIST  by ALLEN,CURTIS",,,"ASSIST  by ALLEN,CURTIS",1
14:04,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND OFF by LOWRIE,ANDREW",,,,,,,"REBOUND OFF by LOWRIE,ANDREW",1
13:59,"MISS LAYUP by LOWRIE,ANDREW",,,,,,,"MISS LAYUP by LOWRIE,ANDREW",1
13:59,,,,,"BLOCK  by KEOGH,REAGAN",,,"BLOCK  by KEOGH,REAGAN",1
--,"REBOUND OFF by BERRY,BRYCE",,,,,,,"REBOUND OFF by BERRY,BRYCE",1
13:57,"GOOD LAYUP by BERRY,BRYCE(in the paint)",8,,20 (+12),,RHO 8-20 (-12),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
13:44,,,,,"TURNOVER  by OGUNFEITIMI,DAPO",,,"TURNOVER  by OGUNFEITIMI,DAPO",1
13:40,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
13:40,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
13:36,,8,,22 (+14),"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",UTD 8-22 (-14),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",1
13:27,"GOOD 3PTR by BERRY,BRYCE",11,,22 (+11),,RHO 11-22 (-11),,"GOOD 3PTR by BERRY,BRYCE",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
13:17,,11,,24 (+13),"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",UTD 11-24 (-13),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by OGUNFEITIMI,DAPO",,,"ASSIST  by OGUNFEITIMI,DAPO",1
13:03,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
12:55,,11,,26 (+15),"GOOD LAYUP by BANKS,CALEB(fastbreak)(in the paint)",UTD 11-26 (-15),,"GOOD LAYUP by BANKS,CALEB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
12:49,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
12:48,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
12:48,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
12:48,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
12:48,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
12:48,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
12:48,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
12:48,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
12:48,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
12:48,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
12:48,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
12:48,,,,,"SUB IN by BRAWNER,CLAY",,,"SUB IN by BRAWNER,CLAY",1
12:48,,,,,"SUB OUT by OGUNFEITIMI,DAPO",,,"SUB OUT by OGUNFEITIMI,DAPO",1
12:36,,,,,"MISS 3PTR by ALLEN,CURTIS",,,"MISS 3PTR by ALLEN,CURTIS",1
--,"REBOUND DEF by SAMSON,VAUGHN",,,,,,,"REBOUND DEF by SAMSON,VAUGHN",1
12:27,"GOOD 3PTR by GALVIN,OWEN",14,,26 (+12),,RHO 14-26 (-12),,"GOOD 3PTR by GALVIN,OWEN",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
12:17,,,,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
12:06,"MISS 3PTR by SAMSON,VAUGHN",,,,,,,"MISS 3PTR by SAMSON,VAUGHN",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
11:41,,,,,"FOUL  by HATCHER,JON",,,"FOUL  by HATCHER,JON",1
11:41,,,,,"TURNOVER  by HATCHER,JON",,,"TURNOVER  by HATCHER,JON",1
11:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:41,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
11:41,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:41,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
11:41,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
11:41,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
11:41,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
11:41,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
11:41,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
11:41,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
11:41,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
11:41,,,,,"SUB IN by HATCHER,JON",,,"SUB IN by HATCHER,JON",1
11:41,,,,,"SUB OUT by BANKS,CALEB",,,"SUB OUT by BANKS,CALEB",1
11:34,,,,,"FOUL  by BRAWNER,CLAY",,,"FOUL  by BRAWNER,CLAY",1
11:34,"MISS FT by LOVE,KERRY",,,,,,,"MISS FT by LOVE,KERRY",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
11:34,,,,,"SUB IN by BANKS,CALEB",,,"SUB IN by BANKS,CALEB",1
11:34,,,,,"SUB OUT by BRAWNER,CLAY",,,"SUB OUT by BRAWNER,CLAY",1
11:27,,,,,"TURNOVER  by HATCHER,JON",,,"TURNOVER  by HATCHER,JON",1
11:14,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
11:09,,,,,"TURNOVER  by KEOGH,REAGAN",,,"TURNOVER  by KEOGH,REAGAN",1
11:07,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
11:03,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",16,,26 (+10),,RHO 16-26 (-10),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",1
10:51,,,,,"MISS JUMPER by ALLEN,CURTIS",,,"MISS JUMPER by ALLEN,CURTIS",1
--,,,,,"REBOUND OFF by ALLEN,CURTIS",,,"REBOUND OFF by ALLEN,CURTIS",1
10:48,,16,,28 (+12),"GOOD LAYUP by ALLEN,CURTIS(in the paint)",UTD 16-28 (-12),,"GOOD LAYUP by ALLEN,CURTIS(in the paint)",1
10:38,"FOUL  by LOVE,KERRY",,,,,,,"FOUL  by LOVE,KERRY",1
10:38,"TURNOVER  by LOVE,KERRY",,,,,,,"TURNOVER  by LOVE,KERRY",1
10:38,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
10:38,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
10:38,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
10:38,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
10:38,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
10:38,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
10:38,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
10:38,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
10:38,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
10:38,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
10:38,,,,,"SUB IN by COULTER,KYLE",,,"SUB IN by COULTER,KYLE",1
10:38,,,,,"SUB IN by OGUNFEITIMI,DAPO",,,"SUB IN by OGUNFEITIMI,DAPO",1
10:38,,,,,"SUB OUT by KEOGH,REAGAN",,,"SUB OUT by KEOGH,REAGAN",1
10:38,,,,,"SUB OUT by UNDERWOOD,DIMITRIUS",,,"SUB OUT by UNDERWOOD,DIMITRIUS",1
10:31,,16,,30 (+14),"GOOD LAYUP by COULTER,KYLE(in the paint)",UTD 16-30 (-14),,"GOOD LAYUP by COULTER,KYLE(in the paint)",1
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",1
10:19,"MISS LAYUP by LOWRIE,ANDREW",,,,,,,"MISS LAYUP by LOWRIE,ANDREW",1
--,,,,,"REBOUND DEF by HATCHER,JON",,,"REBOUND DEF by HATCHER,JON",1
10:09,"FOUL  by DE FERIA,NICK",,,,,,,"FOUL  by DE FERIA,NICK",1
10:09,,16,,31 (+15),"GOOD FT by ALLEN,CURTIS",UTD 16-31 (-15),,"GOOD FT by ALLEN,CURTIS",1
10:09,,16,,32 (+16),"GOOD FT by ALLEN,CURTIS",UTD 16-32 (-16),,"GOOD FT by ALLEN,CURTIS",1
10:02,"GOOD 3PTR by DE FERIA,NICK",19,,32 (+13),,RHO 19-32 (-13),,"GOOD 3PTR by DE FERIA,NICK",1
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",1
