Time Remaining,BLU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHO 0-2 (+2),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
19:26,,,,,"FOUL  by DE FERIA,NICK",,,"FOUL  by DE FERIA,NICK",1
19:26,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
19:26,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
19:26,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
19:26,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
19:26,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
19:26,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
19:26,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
19:26,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
19:26,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
19:26,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
19:18,"GOOD JUMPER by RENNER,ANDREW(in the paint)",2,,2,,BLU 2-2 (0),,"GOOD JUMPER by RENNER,ANDREW(in the paint)",1
--,"ASSIST  by MAKSVYTIS,MARTIN",,,,,,,"ASSIST  by MAKSVYTIS,MARTIN",1
18:59,,2,,5 (+3),"GOOD 3PTR by BERRY,BRYCE",RHO 2-5 (+3),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
18:33,"GOOD 3PTR by ELCHERT,TREY",5,,5,,BLU 5-5 (0),,"GOOD 3PTR by ELCHERT,TREY",1
--,"ASSIST  by WENTLING,JARED",,,,,,,"ASSIST  by WENTLING,JARED",1
18:21,"FOUL  by RENNER,ANDREW",,,,,,,"FOUL  by RENNER,ANDREW",1
18:21,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
18:21,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
18:21,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
18:21,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:21,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
18:21,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
18:21,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
