Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:37,"GOOD 3PTR by BORN,CLAY",3 (+3),,0,,SEW 3-0 (-3),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
19:16,,3 (+1),,2,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 3-2 (-1),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
18:58,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
18:56,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
18:54,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
18:54,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
18:54,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
18:54,,,,,"SUB OUT by SCHUPP,WILL",,,"SUB OUT by SCHUPP,WILL",1
18:54,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
18:54,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
18:54,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
18:54,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
18:54,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
18:54,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
18:46,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",5 (+3),,2,,SEW 5-2 (-3),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
18:36,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
18:26,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND DEF by DE FERIA,NICK",,,"REBOUND DEF by DE FERIA,NICK",1
18:21,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
18:21,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
18:21,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
18:21,,,,,"SUB OUT by SCHUPP,WILL",,,"SUB OUT by SCHUPP,WILL",1
18:21,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
18:21,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
18:21,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
18:21,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
18:21,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
18:21,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
18:04,,5,,5,"GOOD 3PTR by LOWRIE,ANDREW",RHO 5-5 (0),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,,,,,"ASSIST  by GALVIN,OWEN",,,"ASSIST  by GALVIN,OWEN",1
17:44,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
17:42,,,,,"STEAL  by HARRISON,IAN",,,"STEAL  by HARRISON,IAN",1
17:24,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
16:52,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
16:52,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
16:52,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
16:52,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
16:52,,,,,"SUB OUT by SCHUPP,WILL",,,"SUB OUT by SCHUPP,WILL",1
16:52,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
16:52,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
16:52,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
16:52,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
16:52,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
16:52,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:52,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
16:52,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
16:52,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
16:52,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
16:52,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",1
16:52,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
16:52,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
16:52,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
16:52,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
16:52,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
16:41,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
16:40,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
16:35,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
16:34,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
16:31,,5,,7 (+2),"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",RHO 5-7 (+2),,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ASHBY,KENDRICK",,,"ASSIST  by ASHBY,KENDRICK",1
16:20,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",1
16:19,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
15:59,,,,,"MISS LAYUP by BERRY,BRYCE",,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND OFF by ASHBY,KENDRICK",,,"REBOUND OFF by ASHBY,KENDRICK",1
15:57,,,,,"MISS LAYUP by ASHBY,KENDRICK",,,"MISS LAYUP by ASHBY,KENDRICK",1
--,,,,,"REBOUND OFF by ASHBY,KENDRICK",,,"REBOUND OFF by ASHBY,KENDRICK",1
