Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,OGLETHOR,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",1
14:41,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
14:41,"SUB IN by WELLS,GAGE",,,,,,,"SUB IN by WELLS,GAGE",1
14:41,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
14:41,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
14:34,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
14:16,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",1
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",1
14:06,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
13:48,"MISS 3PTR by WELLS,GAGE",,,,,,,"MISS 3PTR by WELLS,GAGE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:45,,,,,"SUB IN by PALMER,CHRISTIAN",,,"SUB IN by PALMER,CHRISTIAN",1
13:45,,,,,"SUB IN by SWILLING,BRETT",,,"SUB IN by SWILLING,BRETT",1
13:45,,,,,"SUB IN by KRIVITZKIN,TYLER",,,"SUB IN by KRIVITZKIN,TYLER",1
13:45,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
13:45,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
13:45,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",1
13:31,,7,,14 (+7),"GOOD LAYUP by SWILLING,BRETT(in the paint)",OGLETHOR 7-14 (-7),,"GOOD LAYUP by SWILLING,BRETT(in the paint)",1
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",1
13:16,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",9,,14 (+5),,CENTRE 9-14 (-5),,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",1
12:54,,,,,"MISS JUMPER by KRIVITZKIN,TYLER",,,"MISS JUMPER by KRIVITZKIN,TYLER",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
12:31,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by SWILLING,BRETT",,,"REBOUND DEF by SWILLING,BRETT",1
12:12,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND OFF by SWILLING,BRETT",,,"REBOUND OFF by SWILLING,BRETT",1
12:00,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",1
12:00,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
12:00,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
12:00,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
12:00,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
11:57,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",1
11:55,"STEAL  by SMITH,RJ",,,,,,,"STEAL  by SMITH,RJ",1
11:52,"MISS LAYUP by SMITH,RJ",,,,,,,"MISS LAYUP by SMITH,RJ",1
--,,,,,"REBOUND DEF by PALMER,CHRISTIAN",,,"REBOUND DEF by PALMER,CHRISTIAN",1
11:34,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",1
11:34,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",1
11:34,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",1
11:19,,9,,16 (+7),"GOOD JUMPER by SWILLING,BRETT(in the paint)",OGLETHOR 9-16 (-7),,"GOOD JUMPER by SWILLING,BRETT(in the paint)",1
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",1
11:02,"MISS JUMPER by MOORE,CHEZ",,,,,,,"MISS JUMPER by MOORE,CHEZ",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
10:54,"MISS JUMPER by MOORE,CHEZ",,,,,,,"MISS JUMPER by MOORE,CHEZ",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
10:54,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",1
10:54,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",1
10:54,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
10:54,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",1
10:54,,,,,"SUB OUT by KRIVITZKIN,TYLER",,,"SUB OUT by KRIVITZKIN,TYLER",1
10:42,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",1
10:42,"MISS FT by SMITH,RJ",,,,,,,"MISS FT by SMITH,RJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:42,"GOOD FT by SMITH,RJ",10,,16 (+6),,CENTRE 10-16 (-6),,"GOOD FT by SMITH,RJ",1
10:42,"GOOD FT by SMITH,RJ",11,,16 (+5),,CENTRE 11-16 (-5),,"GOOD FT by SMITH,RJ",1
10:29,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
10:19,"GOOD LAYUP by WILSON,DREW(in the paint)",13,,16 (+3),,CENTRE 13-16 (-3),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
09:57,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",1
09:53,,13,,18 (+5),"GOOD JUMPER by EZIGBO,UBA(in the paint)",OGLETHOR 13-18 (-5),,"GOOD JUMPER by EZIGBO,UBA(in the paint)",1
09:38,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
09:36,,,,,"STEAL  by MURRAH,JACK",,,"STEAL  by MURRAH,JACK",1
09:31,,13,,21 (+8),"GOOD 3PTR by PALMER,CHRISTIAN",OGLETHOR 13-21 (-8),,"GOOD 3PTR by PALMER,CHRISTIAN",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
09:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:30,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
09:30,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
09:30,"SUB OUT by WELLS,GAGE",,,,,,,"SUB OUT by WELLS,GAGE",1
09:30,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
09:02,"GOOD LAYUP by MOORE,CHEZ(in the paint)",15,,21 (+6),,CENTRE 15-21 (-6),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
08:48,,15,,24 (+9),"GOOD 3PTR by CHAMBERS,DIMETRI",OGLETHOR 15-24 (-9),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
08:48,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
08:48,,15,,25 (+10),"GOOD FT by CHAMBERS,DIMETRI",OGLETHOR 15-25 (-10),,"GOOD FT by CHAMBERS,DIMETRI",1
08:36,"GOOD JUMPER by MOORE,CHEZ",17,,25 (+8),,CENTRE 17-25 (-8),,"GOOD JUMPER by MOORE,CHEZ",1
08:20,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",1
08:20,"BLOCK  by WILLIAMS,JALEN",,,,,,,"BLOCK  by WILLIAMS,JALEN",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
08:11,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",19,,25 (+6),,CENTRE 19-25 (-6),,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",1
08:03,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",1
07:59,"FOUL  by KNOCHELMANN,PETE",,,,,,,"FOUL  by KNOCHELMANN,PETE",1
07:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:59,,,,,"MISS FT by EZIGBO,UBA",,,"MISS FT by EZIGBO,UBA",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:59,,19,,26 (+7),"GOOD FT by EZIGBO,UBA",OGLETHOR 19-26 (-7),,"GOOD FT by EZIGBO,UBA",1
07:59,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",1
07:59,,,,,"SUB IN by SONE,CARLOS",,,"SUB IN by SONE,CARLOS",1
07:59,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",1
07:59,,,,,"SUB OUT by SWILLING,BRETT",,,"SUB OUT by SWILLING,BRETT",1
07:59,,,,,"SUB OUT by PALMER,CHRISTIAN",,,"SUB OUT by PALMER,CHRISTIAN",1
07:59,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",1
07:36,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",1
07:28,"GOOD 3PTR by RING,NOAH",22,,26 (+4),,CENTRE 22-26 (-4),,"GOOD 3PTR by RING,NOAH",1
--,"ASSIST  by MOORE,CHEZ",,,,,,,"ASSIST  by MOORE,CHEZ",1
07:08,,22,,28 (+6),"GOOD LAYUP by EZIGBO,UBA(in the paint)",OGLETHOR 22-28 (-6),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",1
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",1
06:53,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
06:40,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
06:21,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",1
06:17,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
06:17,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
06:17,"SUB IN by WELLS,GAGE",,,,,,,"SUB IN by WELLS,GAGE",1
06:17,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
06:17,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
06:05,,22,,30 (+8),"GOOD LAYUP by EZIGBO,UBA(in the paint)",OGLETHOR 22-30 (-8),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",1
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",1
05:56,,22,,32 (+10),"GOOD JUMPER by JENEI,RYAN",OGLETHOR 22-32 (-10),,"GOOD JUMPER by JENEI,RYAN",1
05:31,"GOOD JUMPER by WILSON,DREW(in the paint)",24,,32 (+8),,CENTRE 24-32 (-8),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
05:14,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by WELLS,GAGE",,,,,,,"REBOUND DEF by WELLS,GAGE",1
04:58,"MISS JUMPER by RING,NOAH",,,,,,,"MISS JUMPER by RING,NOAH",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
04:46,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
04:33,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",1
04:27,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:47,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
03:33,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",1
03:26,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",1
03:26,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:26,,,,,"SUB IN by SWILLING,BRETT",,,"SUB IN by SWILLING,BRETT",1
03:26,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
03:06,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
02:50,,24,,34 (+10),"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",OGLETHOR 24-34 (-10),,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",1
02:15,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
02:06,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",1
02:06,,,,,"MISS FT by SWILLING,BRETT",,,"MISS FT by SWILLING,BRETT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:06,,,,,"MISS FT by SWILLING,BRETT",,,"MISS FT by SWILLING,BRETT",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
01:48,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
01:46,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",1
01:41,,,,,"TURNOVER  by SONE,CARLOS",,,"TURNOVER  by SONE,CARLOS",1
01:19,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
01:12,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",1
01:12,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",1
01:12,,,,,"SUB OUT by SWILLING,BRETT",,,"SUB OUT by SWILLING,BRETT",1
01:04,"TURNOVER  by WELLS,GAGE",,,,,,,"TURNOVER  by WELLS,GAGE",1
01:03,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",1
01:01,,24,,36 (+12),"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OGLETHOR 24-36 (-12),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1
00:36,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
00:36,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
00:36,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
00:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:08,,24,,38 (+14),"GOOD LAYUP by FOSTER,LANE(in the paint)",OGLETHOR 24-38 (-14),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
00:00,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
19:38,"MISS JUMPER by WILSON,DREW",,,,,,,"MISS JUMPER by WILSON,DREW",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
19:29,,24,,41 (+17),"GOOD 3PTR by JENEI,RYAN",OGLETHOR 24-41 (-17),,"GOOD 3PTR by JENEI,RYAN",2
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",2
18:56,"MISS JUMPER by KNOCHELMANN,PETE",,,,,,,"MISS JUMPER by KNOCHELMANN,PETE",2
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",2
18:54,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",2
18:42,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",2
18:23,"MISS JUMPER by SMITH,RJ",,,,,,,"MISS JUMPER by SMITH,RJ",2
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",2
18:20,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
18:20,"GOOD FT by KNOCHELMANN,PETE",25,,41 (+16),,CENTRE 25-41 (-16),,"GOOD FT by KNOCHELMANN,PETE",2
18:20,"GOOD FT by KNOCHELMANN,PETE",26,,41 (+15),,CENTRE 26-41 (-15),,"GOOD FT by KNOCHELMANN,PETE",2
18:01,,26,,44 (+18),"GOOD 3PTR by SONE,CARLOS",OGLETHOR 26-44 (-18),,"GOOD 3PTR by SONE,CARLOS",2
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",2
17:49,"MISS LAYUP by MOORE,CHEZ",,,,,,,"MISS LAYUP by MOORE,CHEZ",2
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",2
17:44,"GOOD DUNK by SMITH,RJ(in the paint)",28,,44 (+16),,CENTRE 28-44 (-16),,"GOOD DUNK by SMITH,RJ(in the paint)",2
17:36,,28,,46 (+18),"GOOD LAYUP by EZIGBO,UBA(in the paint)",OGLETHOR 28-46 (-18),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",2
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",2
17:00,"MISS 3PTR by MOORE,CHEZ",,,,,,,"MISS 3PTR by MOORE,CHEZ",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:57,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
16:57,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
16:55,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,"REBOUND OFF by WILSON,DREW",,,,,,,"REBOUND OFF by WILSON,DREW",2
16:51,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",2
16:34,,,,,"MISS LAYUP by EZIGBO,UBA",,,"MISS LAYUP by EZIGBO,UBA",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
16:28,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
16:23,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",2
16:22,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
16:20,,28,,48 (+20),"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",OGLETHOR 28-48 (-20),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",2
16:08,"TURNOVER  by RING,NOAH",,,,,,,"TURNOVER  by RING,NOAH",2
16:07,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",2
16:03,,28,,51 (+23),"GOOD 3PTR by CHAMBERS,DIMETRI",OGLETHOR 28-51 (-23),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",2
16:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:43,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",2
15:43,,,,,"BLOCK  by CHAMBERS,DIMETRI",,,"BLOCK  by CHAMBERS,DIMETRI",2
--,"REBOUND OFF by WILSON,DREW",,,,,,,"REBOUND OFF by WILSON,DREW",2
15:37,"GOOD LAYUP by SMITH,RJ(in the paint)",30,,51 (+21),,CENTRE 30-51 (-21),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
--,"ASSIST  by WILLIAMS,JALEN",,,,,,,"ASSIST  by WILLIAMS,JALEN",2
15:21,,30,,53 (+23),"GOOD LAYUP by EZIGBO,UBA(in the paint)",OGLETHOR 30-53 (-23),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
14:55,"GOOD JUMPER by RING,NOAH(in the paint)",32,,53 (+21),,CENTRE 32-53 (-21),,"GOOD JUMPER by RING,NOAH(in the paint)",2
14:39,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
14:25,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",2
14:25,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:25,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
14:25,"SUB IN by WELLS,GAGE",,,,,,,"SUB IN by WELLS,GAGE",2
14:25,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
14:25,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
