Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
19:33,,0,,2 (+2),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 0-2 (+2),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
19:22,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
19:22,"GOOD FT by BROOKS,AUSTIN",1,,2 (+1),,Berry 1-2 (+1),,"GOOD FT by BROOKS,AUSTIN",1
19:22,"GOOD FT by BROOKS,AUSTIN",2,,2,,Berry 2-2 (0),,"GOOD FT by BROOKS,AUSTIN",1
18:54,,2,,4 (+2),"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",Centre 2-4 (+2),,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
18:27,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:20,,2,,6 (+4),"GOOD LAYUP by CRUMP,DAWSON(fastbreak)(in the paint)",Centre 2-6 (+4),,"GOOD LAYUP by CRUMP,DAWSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by KNOCHELMANN,PETE",,,"ASSIST  by KNOCHELMANN,PETE",1
18:04,"FOUL  by JOHNSON,MICHAEL",,,,,,,"FOUL  by JOHNSON,MICHAEL",1
18:04,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
17:53,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:51,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
17:43,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
17:43,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
17:35,"GOOD 3PTR by JONES,DREW",5,,6 (+1),,Berry 5-6 (+1),,"GOOD 3PTR by JONES,DREW",1
17:02,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
16:55,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
16:55,"STEAL  by JOHNSON,MICAH",,,,,,,"STEAL  by JOHNSON,MICAH",1
16:47,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
16:45,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
16:45,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
16:35,"FOUL  by WEHUNT,DAWSON",,,,,,,"FOUL  by WEHUNT,DAWSON",1
16:29,,5,,8 (+3),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 5-8 (+3),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
16:14,"MISS 3PTR by WEHUNT,DAWSON",,,,,,,"MISS 3PTR by WEHUNT,DAWSON",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
16:03,,,,,"TURNOVER  by WELLS,GAGE",,,"TURNOVER  by WELLS,GAGE",1
16:03,"STEAL  by JOHNSON,MICHAEL",,,,,,,"STEAL  by JOHNSON,MICHAEL",1
15:47,"MISS LAYUP by JONES,DREW(in the paint)",,,,,,,"MISS LAYUP by JONES,DREW(in the paint)",1
15:47,,,,,"BLOCK  by WILLIAMS,JALEN",,,"BLOCK  by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
15:31,,,,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",1
--,"REBOUND DEF by WEHUNT,DAWSON",,,,,,,"REBOUND DEF by WEHUNT,DAWSON",1
15:31,"MISS JUMPER by COSTAS,RILEY(in the paint)",,,,,,,"MISS JUMPER by COSTAS,RILEY(in the paint)",1
--,,,,,"REBOUND DEF by WELLS,GAGE",,,"REBOUND DEF by WELLS,GAGE",1
15:31,,,,,"TURNOVER  by WELLS,GAGE",,,"TURNOVER  by WELLS,GAGE",1
15:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:31,,,,,"SUB OUT by WELLS,GAGE",,,"SUB OUT by WELLS,GAGE",1
15:31,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
15:31,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
15:31,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
15:31,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
15:31,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
15:31,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",1
15:31,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
15:27,"MISS 3PTR by JONES,DREW",,,,,,,"MISS 3PTR by JONES,DREW",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
15:08,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
15:08,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
15:04,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
15:04,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
14:56,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
14:56,"SUB IN by ESTES,DJ",,,,,,,"SUB IN by ESTES,DJ",1
14:48,"MISS 3PTR by ESTES,DJ",,,,,,,"MISS 3PTR by ESTES,DJ",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
14:33,"FOUL  by JONES,DREW",,,,,,,"FOUL  by JONES,DREW",1
14:25,"FOUL  by ESTES,DJ",,,,,,,"FOUL  by ESTES,DJ",1
14:12,,5,,10 (+5),"GOOD JUMPER by CRUMP,DAWSON",Centre 5-10 (+5),,"GOOD JUMPER by CRUMP,DAWSON",1
13:55,"MISS 3PTR by JONES,DREW",,,,,,,"MISS 3PTR by JONES,DREW",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
