Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
15:45,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",2
15:40,"GOOD LAYUP by MOORE,CHEZ(in the paint)",45,,51 (+6),,CEN 45-51 (-6),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
15:34,"FOUL  by MOORE,CHEZ",,,,,,,"FOUL  by MOORE,CHEZ",2
15:34,,45,,52 (+7),"GOOD FT by CHAMBERS,DIMETRI",OUM 45-52 (-7),,"GOOD FT by CHAMBERS,DIMETRI",2
15:34,,45,,53 (+8),"GOOD FT by CHAMBERS,DIMETRI",OUM 45-53 (-8),,"GOOD FT by CHAMBERS,DIMETRI",2
15:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:34,"SUB IN by WELLS,GAGE",,,,,,,"SUB IN by WELLS,GAGE",2
15:34,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
15:34,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
15:34,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
15:34,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
15:34,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
15:15,"MISS JUMPER by RING,NOAH",,,,,,,"MISS JUMPER by RING,NOAH",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
14:55,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
14:46,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
14:44,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
14:42,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",2
14:39,"TURNOVER  by TAYLOR,MARSHALL",,,,,,,"TURNOVER  by TAYLOR,MARSHALL",2
14:35,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",2
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",2
14:30,,,,,"TURNOVER  by SONE,CARLOS",,,"TURNOVER  by SONE,CARLOS",2
14:20,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",2
14:11,,45,,55 (+10),"GOOD JUMPER by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUM 45-55 (-10),,"GOOD JUMPER by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
13:57,"TURNOVER  by WELLS,GAGE",,,,,,,"TURNOVER  by WELLS,GAGE",2
13:55,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",2
13:53,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
13:49,,45,,57 (+12),"GOOD LAYUP by FOSTER,LANE(in the paint)",OUM 45-57 (-12),,"GOOD LAYUP by FOSTER,LANE(in the paint)",2
13:49,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",2
13:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:49,,45,,58 (+13),"GOOD FT by FOSTER,LANE",OUM 45-58 (-13),,"GOOD FT by FOSTER,LANE",2
13:49,,,,,"SUB IN by SWILLING,BRETT",,,"SUB IN by SWILLING,BRETT",2
13:49,,,,,"SUB IN by KRIVITZKIN,TYLER",,,"SUB IN by KRIVITZKIN,TYLER",2
13:49,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
13:49,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
13:29,"MISS 3PTR by WELLS,GAGE",,,,,,,"MISS 3PTR by WELLS,GAGE",2
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",2
13:13,,,,,"MISS JUMPER by SWILLING,BRETT",,,"MISS JUMPER by SWILLING,BRETT",2
13:13,"BLOCK  by KNOCHELMANN,PETE",,,,,,,"BLOCK  by KNOCHELMANN,PETE",2
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",2
12:58,"TURNOVER  by KNOCHELMANN,PETE",,,,,,,"TURNOVER  by KNOCHELMANN,PETE",2
12:57,,,,,"STEAL  by KRIVITZKIN,TYLER",,,"STEAL  by KRIVITZKIN,TYLER",2
12:51,,,,,"MISS LAYUP by SWILLING,BRETT",,,"MISS LAYUP by SWILLING,BRETT",2
--,,,,,"REBOUND OFF by SWILLING,BRETT",,,"REBOUND OFF by SWILLING,BRETT",2
12:47,,,,,"MISS LAYUP by SWILLING,BRETT",,,"MISS LAYUP by SWILLING,BRETT",2
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",2
12:32,"GOOD JUMPER by WILSON,DREW(in the paint)",47,,58 (+11),,CEN 47-58 (-11),,"GOOD JUMPER by WILSON,DREW(in the paint)",2
12:24,,,,,"MISS JUMPER by SWILLING,BRETT",,,"MISS JUMPER by SWILLING,BRETT",2
12:24,"BLOCK  by KNOCHELMANN,PETE",,,,,,,"BLOCK  by KNOCHELMANN,PETE",2
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",2
12:16,"GOOD LAYUP by WILSON,DREW(in the paint)",49,,58 (+9),,CEN 49-58 (-9),,"GOOD LAYUP by WILSON,DREW(in the paint)",2
12:02,,49,,61 (+12),"GOOD 3PTR by SONE,CARLOS",OUM 49-61 (-12),,"GOOD 3PTR by SONE,CARLOS",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
11:17,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
11:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:17,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",2
11:17,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
11:17,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
11:17,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
11:17,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
11:17,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
11:17,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
11:17,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
11:17,,,,,"SUB IN by PALMER,CHRISTIAN",,,"SUB IN by PALMER,CHRISTIAN",2
11:17,,,,,"SUB OUT by SWILLING,BRETT",,,"SUB OUT by SWILLING,BRETT",2
11:17,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
11:17,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",2
10:54,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",2
--,,,,,"REBOUND OFF by PALMER,CHRISTIAN",,,"REBOUND OFF by PALMER,CHRISTIAN",2
10:38,,,,,"MISS JUMPER by KRIVITZKIN,TYLER",,,"MISS JUMPER by KRIVITZKIN,TYLER",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
10:30,"MISS JUMPER by MOORE,CHEZ",,,,,,,"MISS JUMPER by MOORE,CHEZ",2
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",2
10:26,"GOOD JUMPER by MOORE,CHEZ(in the paint)",51,,61 (+10),,CEN 51-61 (-10),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",2
10:23,,51,,63 (+12),"GOOD LAYUP by EZIGBO,UBA(fastbreak)(in the paint)",OUM 51-63 (-12),,"GOOD LAYUP by EZIGBO,UBA(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KRIVITZKIN,TYLER",,,"ASSIST  by KRIVITZKIN,TYLER",2
09:56,"MISS JUMPER by MOORE,CHEZ",,,,,,,"MISS JUMPER by MOORE,CHEZ",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
09:46,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
09:27,"GOOD JUMPER by SMITH,RJ",53,,63 (+10),,CEN 53-63 (-10),,"GOOD JUMPER by SMITH,RJ",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
09:07,"FOUL  by WELLS,GAGE",,,,,,,"FOUL  by WELLS,GAGE",2
09:07,,53,,64 (+11),"GOOD FT by PALMER,CHRISTIAN",OUM 53-64 (-11),,"GOOD FT by PALMER,CHRISTIAN",2
09:07,,,,,"MISS FT by PALMER,CHRISTIAN",,,"MISS FT by PALMER,CHRISTIAN",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
09:07,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
09:07,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
08:50,"MISS JUMPER by KNOCHELMANN,PETE",,,,,,,"MISS JUMPER by KNOCHELMANN,PETE",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
08:40,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",2
--,"REBOUND DEF by WELLS,GAGE",,,,,,,"REBOUND DEF by WELLS,GAGE",2
08:27,"GOOD JUMPER by WILSON,DREW(in the paint)",55,,64 (+9),,CEN 55-64 (-9),,"GOOD JUMPER by WILSON,DREW(in the paint)",2
08:11,,55,,67 (+12),"GOOD 3PTR by EZIGBO,UBA",OUM 55-67 (-12),,"GOOD 3PTR by EZIGBO,UBA",2
--,,,,,"ASSIST  by PALMER,CHRISTIAN",,,"ASSIST  by PALMER,CHRISTIAN",2
07:52,"MISS JUMPER by SMITH,RJ",,,,,,,"MISS JUMPER by SMITH,RJ",2
--,,,,,"REBOUND DEF by PALMER,CHRISTIAN",,,"REBOUND DEF by PALMER,CHRISTIAN",2
07:46,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",2
07:41,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
07:17,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
07:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:17,"MISS FT by WILLIAMS,JALEN",,,,,,,"MISS FT by WILLIAMS,JALEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:17,"GOOD FT by WILLIAMS,JALEN",56,,67 (+11),,CEN 56-67 (-11),,"GOOD FT by WILLIAMS,JALEN",2
07:17,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
07:17,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
07:17,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
07:17,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",2
07:17,,,,,"SUB IN by CONROY,DREW",,,"SUB IN by CONROY,DREW",2
07:17,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",2
07:17,,,,,"SUB OUT by PALMER,CHRISTIAN",,,"SUB OUT by PALMER,CHRISTIAN",2
07:17,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
07:17,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",2
07:17,,,,,"SUB OUT by KRIVITZKIN,TYLER",,,"SUB OUT by KRIVITZKIN,TYLER",2
07:01,,56,,70 (+14),"GOOD 3PTR by MURRAH,JACK",OUM 56-70 (-14),,"GOOD 3PTR by MURRAH,JACK",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
06:46,,,,,"FOUL  by CONROY,DREW",,,"FOUL  by CONROY,DREW",2
06:46,"MISS FT by TAYLOR,MARSHALL",,,,,,,"MISS FT by TAYLOR,MARSHALL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:46,"MISS FT by TAYLOR,MARSHALL",,,,,,,"MISS FT by TAYLOR,MARSHALL",2
--,,,,,"REBOUND DEF by CONROY,DREW",,,"REBOUND DEF by CONROY,DREW",2
06:46,,,,,"SUB IN by SONE,CARLOS",,,"SUB IN by SONE,CARLOS",2
06:46,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
06:38,,56,,73 (+17),"GOOD 3PTR by MURRAH,JACK",OUM 56-73 (-17),,"GOOD 3PTR by MURRAH,JACK",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
06:30,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
06:30,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:30,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
06:11,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
06:03,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
06:03,,56,,74 (+18),"GOOD FT by FOSTER,LANE",OUM 56-74 (-18),,"GOOD FT by FOSTER,LANE",2
06:03,,56,,75 (+19),"GOOD FT by FOSTER,LANE",OUM 56-75 (-19),,"GOOD FT by FOSTER,LANE",2
06:03,,,,,"SUB IN by KRIVITZKIN,TYLER",,,"SUB IN by KRIVITZKIN,TYLER",2
06:03,,,,,"SUB IN by GULLEY,TREVOR",,,"SUB IN by GULLEY,TREVOR",2
06:03,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",2
06:03,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
05:38,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",2
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",2
05:21,,,,,"TURNOVER  by GULLEY,TREVOR",,,"TURNOVER  by GULLEY,TREVOR",2
05:21,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
05:21,"SUB OUT by WELLS,GAGE",,,,,,,"SUB OUT by WELLS,GAGE",2
05:21,,,,,"SUB IN by PALMER,CHRISTIAN",,,"SUB IN by PALMER,CHRISTIAN",2
05:21,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",2
05:05,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",58,,75 (+17),,CEN 58-75 (-17),,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",2
05:05,,,,,"FOUL  by CONROY,DREW",,,"FOUL  by CONROY,DREW",2
05:05,"MISS FT by WILLIAMS,JALEN",,,,,,,"MISS FT by WILLIAMS,JALEN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:57,"TURNOVER  by KNOCHELMANN,PETE",,,,,,,"TURNOVER  by KNOCHELMANN,PETE",2
04:56,,,,,"STEAL  by PALMER,CHRISTIAN",,,"STEAL  by PALMER,CHRISTIAN",2
04:52,,,,,"TURNOVER  by MURRAH,JACK",,,"TURNOVER  by MURRAH,JACK",2
04:31,"MISS JUMPER by WILSON,DREW",,,,,,,"MISS JUMPER by WILSON,DREW",2
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",2
04:18,"MISS LAYUP by MOORE,CHEZ",,,,,,,"MISS LAYUP by MOORE,CHEZ",2
--,,,,,"REBOUND DEF by MURRAH,JACK",,,"REBOUND DEF by MURRAH,JACK",2
04:02,,,,,"MISS LAYUP by KRIVITZKIN,TYLER",,,"MISS LAYUP by KRIVITZKIN,TYLER",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
03:39,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by KRIVITZKIN,TYLER",,,"REBOUND DEF by KRIVITZKIN,TYLER",2
03:31,,,,,"MISS 3PTR by PALMER,CHRISTIAN",,,"MISS 3PTR by PALMER,CHRISTIAN",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
03:18,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
03:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:18,"SUB IN by WELLS,GAGE",,,,,,,"SUB IN by WELLS,GAGE",2
03:18,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
03:18,,,,,"SUB IN by FISCHER,DAVID",,,"SUB IN by FISCHER,DAVID",2
03:18,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",2
02:56,"FOUL  by KNOCHELMANN,PETE",,,,,,,"FOUL  by KNOCHELMANN,PETE",2
02:56,,58,,76 (+18),"GOOD FT by PALMER,CHRISTIAN",OUM 58-76 (-18),,"GOOD FT by PALMER,CHRISTIAN",2
02:56,,58,,77 (+19),"GOOD FT by PALMER,CHRISTIAN",OUM 58-77 (-19),,"GOOD FT by PALMER,CHRISTIAN",2
02:56,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
02:56,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
02:56,,,,,"SUB IN by BAILEY,FRANKLIN",,,"SUB IN by BAILEY,FRANKLIN",2
02:56,,,,,"SUB IN by EDWARDS,DEREK",,,"SUB IN by EDWARDS,DEREK",2
02:56,,,,,"SUB OUT by PALMER,CHRISTIAN",,,"SUB OUT by PALMER,CHRISTIAN",2
02:56,,,,,"SUB OUT by KRIVITZKIN,TYLER",,,"SUB OUT by KRIVITZKIN,TYLER",2
02:40,"MISS 3PTR by WELLS,GAGE",,,,,,,"MISS 3PTR by WELLS,GAGE",2
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",2
02:37,"MISS JUMPER by KNOCHELMANN,PETE",,,,,,,"MISS JUMPER by KNOCHELMANN,PETE",2
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",2
02:33,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by CONROY,DREW",,,"REBOUND DEF by CONROY,DREW",2
02:18,,,,,"MISS 3PTR by CONROY,DREW",,,"MISS 3PTR by CONROY,DREW",2
--,"REBOUND DEF by WELLS,GAGE",,,,,,,"REBOUND DEF by WELLS,GAGE",2
02:02,"MISS 3PTR by WELLS,GAGE",,,,,,,"MISS 3PTR by WELLS,GAGE",2
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",2
01:57,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",60,,77 (+17),,CEN 60-77 (-17),,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",2
01:57,"SUB IN by STEWART,BLAKE",,,,,,,"SUB IN by STEWART,BLAKE",2
01:57,"SUB IN by BLAIR,ANDY",,,,,,,"SUB IN by BLAIR,ANDY",2
01:57,"SUB IN by BRITT,WILL",,,,,,,"SUB IN by BRITT,WILL",2
01:57,"SUB IN by THOMAS,SETH",,,,,,,"SUB IN by THOMAS,SETH",2
01:57,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
01:57,"SUB OUT by WELLS,GAGE",,,,,,,"SUB OUT by WELLS,GAGE",2
01:57,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
01:57,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
01:55,,60,,80 (+20),"GOOD 3PTR by GULLEY,TREVOR",OUM 60-80 (-20),,"GOOD 3PTR by GULLEY,TREVOR",2
--,,,,,"ASSIST  by BAILEY,FRANKLIN",,,"ASSIST  by BAILEY,FRANKLIN",2
01:41,"MISS 3PTR by STEWART,BLAKE",,,,,,,"MISS 3PTR by STEWART,BLAKE",2
--,,,,,"REBOUND DEF by GULLEY,TREVOR",,,"REBOUND DEF by GULLEY,TREVOR",2
01:28,,,,,"MISS JUMPER by CONROY,DREW",,,"MISS JUMPER by CONROY,DREW",2
--,"REBOUND DEF by BLAIR,ANDY",,,,,,,"REBOUND DEF by BLAIR,ANDY",2
01:22,"MISS LAYUP by STEWART,BLAKE",,,,,,,"MISS LAYUP by STEWART,BLAKE",2
--,,,,,"REBOUND DEF by EDWARDS,DEREK",,,"REBOUND DEF by EDWARDS,DEREK",2
01:16,,,,,"MISS JUMPER by EDWARDS,DEREK",,,"MISS JUMPER by EDWARDS,DEREK",2
01:16,"BLOCK  by BRITT,WILL",,,,,,,"BLOCK  by BRITT,WILL",2
--,,,,,"REBOUND OFF by FISCHER,DAVID",,,"REBOUND OFF by FISCHER,DAVID",2
01:08,,60,,83 (+23),"GOOD 3PTR by GULLEY,TREVOR",OUM 60-83 (-23),,"GOOD 3PTR by GULLEY,TREVOR",2
--,,,,,"ASSIST  by FISCHER,DAVID",,,"ASSIST  by FISCHER,DAVID",2
00:45,"TURNOVER  by THOMAS,SETH",,,,,,,"TURNOVER  by THOMAS,SETH",2
00:31,,,,,"MISS 3PTR by BAILEY,FRANKLIN",,,"MISS 3PTR by BAILEY,FRANKLIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:10,,,,,"FOUL  by FISCHER,DAVID",,,"FOUL  by FISCHER,DAVID",2
00:10,"MISS FT by BLAIR,ANDY",,,,,,,"MISS FT by BLAIR,ANDY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:10,"MISS FT by BLAIR,ANDY",,,,,,,"MISS FT by BLAIR,ANDY",2
--,,,,,"REBOUND DEF by FISCHER,DAVID",,,"REBOUND DEF by FISCHER,DAVID",2
