Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:38,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",1
19:38,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:38,,0,,1 (+1),"GOOD FT by LITTLEFIELD,GEAREN",HENDRIX 0-1 (+1),,"GOOD FT by LITTLEFIELD,GEAREN",1
19:20,"MISS JUMPER by GIADOLOR,PRINCE",,,,,,,"MISS JUMPER by GIADOLOR,PRINCE",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
19:12,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",1
18:58,"GOOD 3PTR by COLVIN,DARRIUS",3 (+2),,1,,UDMBB 3-1 (-2),,"GOOD 3PTR by COLVIN,DARRIUS",1
--,"ASSIST  by GIADOLOR,PRINCE",,,,,,,"ASSIST  by GIADOLOR,PRINCE",1
18:46,,,,,"MISS JUMPER by BATCHELOR,BRYCE",,,"MISS JUMPER by BATCHELOR,BRYCE",1
--,,,,,"REBOUND OFF by SMITH,PRESTON",,,"REBOUND OFF by SMITH,PRESTON",1
18:42,,3,,4 (+1),"GOOD 3PTR by STEELE,AARON",HENDRIX 3-4 (+1),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
18:21,"GOOD JUMPER by SARRAT,MICHAEL",5 (+1),,4,,UDMBB 5-4 (-1),,"GOOD JUMPER by SARRAT,MICHAEL",1
--,"ASSIST  by GIADOLOR,PRINCE",,,,,,,"ASSIST  by GIADOLOR,PRINCE",1
18:19,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
18:19,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",1
18:19,"SUB IN by MACCALLUM,RORY",,,,,,,"SUB IN by MACCALLUM,RORY",1
18:19,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",1
18:02,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
18:02,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
18:02,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
17:45,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",7 (+3),,4,,UDMBB 7-4 (-3),,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",1
17:29,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",1
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",1
17:19,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",1
17:04,,7 (+1),,6,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HENDRIX 7-6 (-1),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
16:51,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
16:50,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",1
16:43,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",1
16:32,"MISS LAYUP by COLVIN,DARRIUS",,,,,,,"MISS LAYUP by COLVIN,DARRIUS",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
16:21,,7,,9 (+2),"GOOD 3PTR by BATCHELOR,BRYCE",HENDRIX 7-9 (+2),,"GOOD 3PTR by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
16:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:01,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",1
16:01,"SUB OUT by SARRAT,MICHAEL",,,,,,,"SUB OUT by SARRAT,MICHAEL",1
15:55,"TURNOVER  by GIADOLOR,PRINCE",,,,,,,"TURNOVER  by GIADOLOR,PRINCE",1
15:47,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
15:47,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
15:32,"GOOD 3PTR by GONZALEZ,LORENZO",10 (+1),,9,,UDMBB 10-9 (-1),,"GOOD 3PTR by GONZALEZ,LORENZO",1
--,"ASSIST  by GIADOLOR,PRINCE",,,,,,,"ASSIST  by GIADOLOR,PRINCE",1
15:14,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,"REBOUND DEF by GONZALEZ,LORENZO",,,,,,,"REBOUND DEF by GONZALEZ,LORENZO",1
14:57,"MISS 3PTR by COLVIN,DARRIUS",,,,,,,"MISS 3PTR by COLVIN,DARRIUS",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
14:43,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",1
14:35,"TURNOVER  by GONZALEZ,LORENZO",,,,,,,"TURNOVER  by GONZALEZ,LORENZO",1
14:33,,,,,"STEAL  by BATCHELOR,BRYCE",,,"STEAL  by BATCHELOR,BRYCE",1
14:11,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
14:10,"SUB IN by SARRAT,MICHAEL",,,,,,,"SUB IN by SARRAT,MICHAEL",1
14:10,"SUB IN by CANNON,XAVIER",,,,,,,"SUB IN by CANNON,XAVIER",1
14:10,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",1
14:10,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",1
14:10,"SUB OUT by GONZALEZ,LORENZO",,,,,,,"SUB OUT by GONZALEZ,LORENZO",1
14:10,"SUB OUT by GIADOLOR,PRINCE",,,,,,,"SUB OUT by GIADOLOR,PRINCE",1
14:10,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
14:10,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
14:10,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
14:10,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
14:10,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
14:10,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
14:10,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
14:10,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
13:56,"TURNOVER  by SARRAT,MICHAEL",,,,,,,"TURNOVER  by SARRAT,MICHAEL",1
13:56,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",1
13:56,"SUB OUT by MACCALLUM,RORY",,,,,,,"SUB OUT by MACCALLUM,RORY",1
13:42,,10,,12 (+2),"GOOD 3PTR by PARKER,BRYCE",HENDRIX 10-12 (+2),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",1
13:20,"TURNOVER  by CANNON,XAVIER",,,,,,,"TURNOVER  by CANNON,XAVIER",1
13:09,,,,,"MISS JUMPER by CRISWELL,SEAN",,,"MISS JUMPER by CRISWELL,SEAN",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
13:04,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by BEREZIN,SOLOMON",,,,,,,"REBOUND DEF by BEREZIN,SOLOMON",1
12:46,"GOOD JUMPER by BEREZIN,SOLOMON",12,,12,,UDMBB 12-12 (0),,"GOOD JUMPER by BEREZIN,SOLOMON",1
--,"ASSIST  by CALTON,EMMANUEL",,,,,,,"ASSIST  by CALTON,EMMANUEL",1
12:32,"FOUL  by CALTON,EMMANUEL",,,,,,,"FOUL  by CALTON,EMMANUEL",1
12:19,"FOUL  by CANNON,XAVIER",,,,,,,"FOUL  by CANNON,XAVIER",1
12:19,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
12:19,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
12:19,"SUB IN by MACCALLUM,RORY",,,,,,,"SUB IN by MACCALLUM,RORY",1
12:19,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",1
12:19,"SUB IN by GONZALEZ,LORENZO",,,,,,,"SUB IN by GONZALEZ,LORENZO",1
12:19,"SUB OUT by CANNON,XAVIER",,,,,,,"SUB OUT by CANNON,XAVIER",1
12:19,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",1
12:19,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",1
12:08,"MISS LAYUP by BEREZIN,SOLOMON",,,,,,,"MISS LAYUP by BEREZIN,SOLOMON",1
12:08,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
12:01,,12,,15 (+3),"GOOD 3PTR by PARKER,BRYCE(fastbreak)",HENDRIX 12-15 (+3),,"GOOD 3PTR by PARKER,BRYCE(fastbreak)",1
11:43,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
11:42,"GOOD JUMPER by SARRAT,MICHAEL",14,,15 (+1),,UDMBB 14-15 (+1),,"GOOD JUMPER by SARRAT,MICHAEL",1
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",1
11:29,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
11:29,"STEAL  by GONZALEZ,LORENZO",,,,,,,"STEAL  by GONZALEZ,LORENZO",1
11:25,"MISS LAYUP by COLVIN,DARRIUS",,,,,,,"MISS LAYUP by COLVIN,DARRIUS",1
11:25,,,,,"BLOCK  by CRISWELL,SEAN",,,"BLOCK  by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
11:15,"FOUL  by MACCALLUM,RORY",,,,,,,"FOUL  by MACCALLUM,RORY",1
11:15,,14,,16 (+2),"GOOD FT by CRISWELL,SEAN",HENDRIX 14-16 (+2),,"GOOD FT by CRISWELL,SEAN",1
11:15,,14,,17 (+3),"GOOD FT by CRISWELL,SEAN",HENDRIX 14-17 (+3),,"GOOD FT by CRISWELL,SEAN",1
11:15,"SUB IN by GIADOLOR,PRINCE",,,,,,,"SUB IN by GIADOLOR,PRINCE",1
11:15,"SUB OUT by BEREZIN,SOLOMON",,,,,,,"SUB OUT by BEREZIN,SOLOMON",1
11:10,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
11:10,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
11:10,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
11:00,"MISS JUMPER by MACCALLUM,RORY",,,,,,,"MISS JUMPER by MACCALLUM,RORY",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
10:54,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:37,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
10:19,,,,,"MISS JUMPER by PARKER,BRYCE",,,"MISS JUMPER by PARKER,BRYCE",1
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",1
10:10,"GOOD 3PTR by COLVIN,DARRIUS",17,,17,,UDMBB 17-17 (0),,"GOOD 3PTR by COLVIN,DARRIUS",1
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",1
09:59,"FOUL  by MACCALLUM,RORY",,,,,,,"FOUL  by MACCALLUM,RORY",1
09:59,,17,,18 (+1),"GOOD FT by PARKER,BRYCE",HENDRIX 17-18 (+1),,"GOOD FT by PARKER,BRYCE",1
09:59,,17,,19 (+2),"GOOD FT by PARKER,BRYCE",HENDRIX 17-19 (+2),,"GOOD FT by PARKER,BRYCE",1
09:59,"SUB IN by CANNON,XAVIER",,,,,,,"SUB IN by CANNON,XAVIER",1
09:59,"SUB OUT by MACCALLUM,RORY",,,,,,,"SUB OUT by MACCALLUM,RORY",1
09:59,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
09:59,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
09:59,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
09:59,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
09:59,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
09:59,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
09:37,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
09:37,"GOOD FT by SARRAT,MICHAEL",18,,19 (+1),,UDMBB 18-19 (+1),,"GOOD FT by SARRAT,MICHAEL",1
09:37,"GOOD FT by SARRAT,MICHAEL",19,,19,,UDMBB 19-19 (0),,"GOOD FT by SARRAT,MICHAEL",1
09:21,,19,,21 (+2),"GOOD JUMPER by STEELE,AARON",HENDRIX 19-21 (+2),,"GOOD JUMPER by STEELE,AARON",1
09:00,"MISS JUMPER by COLVIN,DARRIUS",,,,,,,"MISS JUMPER by COLVIN,DARRIUS",1
