Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:47,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
19:45,,,,,"STEAL  by KORN,LUKAS",,,"STEAL  by KORN,LUKAS",1
19:37,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
19:21,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1
19:17,"GOOD LAYUP by LINK,JACOB(in the paint)",2 (+2),,0,,HENDRIX 2-0 (+2),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
18:53,,,,,"MISS LAYUP by KORN,LUKAS",,,"MISS LAYUP by KORN,LUKAS",1
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",1
18:50,,2,,2,"GOOD LAYUP by KORN,LUKAS(in the paint)",BCM 2-2 (0),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1
18:21,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",1
--,,,,,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",1
18:15,,,,,"MISS LAYUP by DENBESTEN,COLE",,,"MISS LAYUP by DENBESTEN,COLE",1
18:15,"BLOCK  by ALDOUS,HANK",,,,,,,"BLOCK  by ALDOUS,HANK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:57,,,,,"MISS LAYUP by KORN,LUKAS",,,"MISS LAYUP by KORN,LUKAS",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
17:52,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",4 (+2),,2,,HENDRIX 4-2 (+2),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",1
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",1
17:32,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",1
17:30,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
17:28,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",6 (+4),,2,,HENDRIX 6-2 (+4),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
17:02,,6 (+1),,5,"GOOD 3PTR by MCCLOUD,ALTON",BCM 6-5 (+1),,"GOOD 3PTR by MCCLOUD,ALTON",1
16:48,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
16:46,,,,,"STEAL  by MCCLOUD,ALTON",,,"STEAL  by MCCLOUD,ALTON",1
16:38,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",1
16:14,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
16:03,,,,,"MISS LAYUP by KORN,LUKAS",,,"MISS LAYUP by KORN,LUKAS",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
15:55,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",1
15:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:55,"GOOD FT by ALDOUS,HANK",7 (+2),,5,,HENDRIX 7-5 (+2),,"GOOD FT by ALDOUS,HANK",1
15:55,"GOOD FT by ALDOUS,HANK",8 (+3),,5,,HENDRIX 8-5 (+3),,"GOOD FT by ALDOUS,HANK",1
