Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:49,"GOOD JUMPER by BAEHL,BRIAN",2 (+2),,0,,ACM 2-0 (-2),,"GOOD JUMPER by BAEHL,BRIAN",1
19:26,"FOUL  by IGBINOSA,STEPHEN",,,,,,,"FOUL  by IGBINOSA,STEPHEN",1
19:26,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:26,,2 (+1),,1,"GOOD FT by BATCHELOR,BRYCE",HENDRIX 2-1 (-1),,"GOOD FT by BATCHELOR,BRYCE",1
19:26,"GOOD JUMPER by SWISHER,JEREMY",4 (+3),,1,,ACM 4-1 (-3),,"GOOD JUMPER by SWISHER,JEREMY",1
19:20,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
19:17,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
18:49,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,"REBOUND OFF by FREET,AUSTIN",,,,,,,"REBOUND OFF by FREET,AUSTIN",1
18:44,"MISS LAYUP by FREET,AUSTIN",,,,,,,"MISS LAYUP by FREET,AUSTIN",1
--,"REBOUND OFF by IGBINOSA,STEPHEN",,,,,,,"REBOUND OFF by IGBINOSA,STEPHEN",1
18:38,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
18:38,"GOOD FT by IGBINOSA,STEPHEN",5 (+4),,1,,ACM 5-1 (-4),,"GOOD FT by IGBINOSA,STEPHEN",1
18:38,"GOOD FT by IGBINOSA,STEPHEN",6 (+5),,1,,ACM 6-1 (-5),,"GOOD FT by IGBINOSA,STEPHEN",1
18:28,"FOUL  by WELLS,AUSTIN",,,,,,,"FOUL  by WELLS,AUSTIN",1
18:28,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:28,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
18:26,"MISS LAYUP by SWISHER,JEREMY",,,,,,,"MISS LAYUP by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
17:28,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",1
17:28,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:28,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:08,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
16:47,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
16:34,"FOUL  by WELLS,AUSTIN",,,,,,,"FOUL  by WELLS,AUSTIN",1
16:20,,,,,"MISS JUMPER by GARRETT,TRAVIS",,,"MISS JUMPER by GARRETT,TRAVIS",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
16:11,"GOOD 3PTR by WELLS,AUSTIN",9 (+8),,1,,ACM 9-1 (-8),,"GOOD 3PTR by WELLS,AUSTIN",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
15:57,,9 (+6),,3,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 9-3 (-6),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
15:39,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
15:39,"SUB IN by WADE,JUSTIN",,,,,,,"SUB IN by WADE,JUSTIN",1
15:39,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",1
15:39,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
15:39,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
15:31,"MISS JUMPER by WADE,JUSTIN",,,,,,,"MISS JUMPER by WADE,JUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:24,"MISS JUMPER by SWISHER,JEREMY",,,,,,,"MISS JUMPER by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
15:01,"FOUL  by WELLS,AUSTIN",,,,,,,"FOUL  by WELLS,AUSTIN",1
15:01,"SUB IN by JOHNSON,PATRICK",,,,,,,"SUB IN by JOHNSON,PATRICK",1
15:01,"SUB OUT by WELLS,AUSTIN",,,,,,,"SUB OUT by WELLS,AUSTIN",1
14:57,,9 (+4),,5,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",HENDRIX 9-5 (-4),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",1
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",1
14:43,"MISS LAYUP by WADE,JUSTIN",,,,,,,"MISS LAYUP by WADE,JUSTIN",1
--,"REBOUND OFF by JOHNSON,PATRICK",,,,,,,"REBOUND OFF by JOHNSON,PATRICK",1
14:28,"GOOD JUMPER by BAEHL,BRIAN",11 (+6),,5,,ACM 11-5 (-6),,"GOOD JUMPER by BAEHL,BRIAN",1
14:04,"MISS LAYUP by BAEHL,BRIAN",,,,,,,"MISS LAYUP by BAEHL,BRIAN",1
--,"REBOUND OFF by FREET,AUSTIN",,,,,,,"REBOUND OFF by FREET,AUSTIN",1
13:57,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
13:57,"MISS FT by FREET,AUSTIN",,,,,,,"MISS FT by FREET,AUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:57,"GOOD FT by FREET,AUSTIN",12 (+7),,5,,ACM 12-5 (-7),,"GOOD FT by FREET,AUSTIN",1
13:57,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
13:57,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
13:41,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",1
13:41,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND OFF by CALAMESE,MICHAEL",,,"REBOUND OFF by CALAMESE,MICHAEL",1
13:41,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
13:41,"STEAL  by JOHNSON,PATRICK",,,,,,,"STEAL  by JOHNSON,PATRICK",1
13:41,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
13:41,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
13:41,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",14 (+9),,5,,ACM 14-5 (-9),,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",1
13:41,,,,,"MISS JUMPER by GARRETT,TRAVIS",,,"MISS JUMPER by GARRETT,TRAVIS",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
13:37,"MISS JUMPER by SWISHER,JEREMY",,,,,,,"MISS JUMPER by SWISHER,JEREMY",1
13:37,,,,,"BLOCK  by GARRETT,TRAVIS",,,"BLOCK  by GARRETT,TRAVIS",1
--,"REBOUND OFF by SWISHER,JEREMY",,,,,,,"REBOUND OFF by SWISHER,JEREMY",1
13:32,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:23,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
13:18,"SUB IN by FEIDER,JP",,,,,,,"SUB IN by FEIDER,JP",1
13:18,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",1
13:18,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
13:18,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
13:08,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
--,"REBOUND OFF by JOHNSON,PATRICK",,,,,,,"REBOUND OFF by JOHNSON,PATRICK",1
12:56,"TURNOVER  by FREET,AUSTIN",,,,,,,"TURNOVER  by FREET,AUSTIN",1
12:55,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",1
12:40,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",1
12:04,,,,,"MISS FT by PARKER,BRYCE",,,"MISS FT by PARKER,BRYCE",1
