Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
09:45,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
09:45,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",1
09:45,,,,,"SUB OUT by HUFFMAN,DEVIN",,,"SUB OUT by HUFFMAN,DEVIN",1
09:45,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
09:45,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
09:30,,20 (+5),,15,"GOOD LAYUP by INUNGU,TOM(in the paint)",OUM 20-15 (+5),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
08:55,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
08:55,,,,,"STEAL  by TURNER,MIKE",,,"STEAL  by TURNER,MIKE",1
08:50,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",1
08:50,,20 (+4),,16,"GOOD FT by TURNER,MIKE",OUM 20-16 (+4),,"GOOD FT by TURNER,MIKE",1
08:50,,20 (+3),,17,"GOOD FT by TURNER,MIKE",OUM 20-17 (+3),,"GOOD FT by TURNER,MIKE",1
08:35,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",1
08:35,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:35,"GOOD FT by ALDOUS,HANK",21 (+4),,17,,HENDRIX 21-17 (+4),,"GOOD FT by ALDOUS,HANK",1
08:35,,,,,"SUB IN by MCGRATH,JOSH",,,"SUB IN by MCGRATH,JOSH",1
08:35,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
08:22,,,,,"TURNOVER  by MCGRATH,JOSH",,,"TURNOVER  by MCGRATH,JOSH",1
08:21,"STEAL  by BATCHELOR,BRYCE",,,,,,,"STEAL  by BATCHELOR,BRYCE",1
08:12,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND OFF by BATCHELOR,BRYCE",,,,,,,"REBOUND OFF by BATCHELOR,BRYCE",1
08:09,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",1
08:09,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
08:09,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
08:07,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by HUGHES,JUSTIN",,,"REBOUND DEF by HUGHES,JUSTIN",1
07:35,,,,,"TURNOVER  by EDWARDS,JUSTIN",,,"TURNOVER  by EDWARDS,JUSTIN",1
07:34,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
07:32,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",23 (+6),,17,,HENDRIX 23-17 (+6),,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",1
07:30,,,,,"FOUL  by TURNER,MIKE",,,"FOUL  by TURNER,MIKE",1
07:30,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
07:30,"MISS FT by STEELE,AARON",,,,,,,"MISS FT by STEELE,AARON",1
--,,,,,"REBOUND DEF by PATRICK,DREW",,,"REBOUND DEF by PATRICK,DREW",1
07:30,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
07:30,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
07:30,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
07:30,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
07:30,,,,,"SUB IN by PATRICK,DREW",,,"SUB IN by PATRICK,DREW",1
07:30,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
07:30,,,,,"SUB OUT by TURNER,MIKE",,,"SUB OUT by TURNER,MIKE",1
07:30,,,,,"SUB OUT by MCGRATH,JOSH",,,"SUB OUT by MCGRATH,JOSH",1
07:10,,,,,"MISS 3PTR by PATRICK,DREW",,,"MISS 3PTR by PATRICK,DREW",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
07:02,"GOOD 3PTR by STEELE,AARON",26 (+9),,17,,HENDRIX 26-17 (+9),,"GOOD 3PTR by STEELE,AARON",1
06:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:58,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
06:58,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
06:33,,,,,"TURNOVER  by PATRICK,DREW",,,"TURNOVER  by PATRICK,DREW",1
06:33,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",1
06:33,,,,,"SUB IN by TURNER,MIKE",,,"SUB IN by TURNER,MIKE",1
06:33,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
06:33,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
06:33,,,,,"SUB OUT by PATRICK,DREW",,,"SUB OUT by PATRICK,DREW",1
06:33,,,,,"SUB OUT by EDWARDS,JUSTIN",,,"SUB OUT by EDWARDS,JUSTIN",1
06:06,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
06:05,,,,,"STEAL  by LAWRENCE,CHRIS",,,"STEAL  by LAWRENCE,CHRIS",1
05:52,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
05:51,,26 (+7),,19,"GOOD LAYUP by INUNGU,TOM(in the paint)",OUM 26-19 (+7),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
--,,,,,"ASSIST  by TURNER,MIKE",,,"ASSIST  by TURNER,MIKE",1
05:29,"GOOD 3PTR by SMITH,PRESTON",29 (+10),,19,,HENDRIX 29-19 (+10),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
05:11,,29 (+8),,21,"GOOD JUMPER by LAWRENCE,CHRIS(in the paint)",OUM 29-21 (+8),,"GOOD JUMPER by LAWRENCE,CHRIS(in the paint)",1
--,,,,,"ASSIST  by TURNER,MIKE",,,"ASSIST  by TURNER,MIKE",1
04:58,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
04:58,,,,,"STEAL  by TURNER,MIKE",,,"STEAL  by TURNER,MIKE",1
04:55,,29 (+6),,23,"GOOD LAYUP by TURNER,MIKE(fastbreak)(in the paint)",OUM 29-23 (+6),,"GOOD LAYUP by TURNER,MIKE(fastbreak)(in the paint)",1
04:31,,,,,"FOUL  by ANDINO,GEORGE",,,"FOUL  by ANDINO,GEORGE",1
04:31,"GOOD FT by SMITH,PRESTON",30 (+7),,23,,HENDRIX 30-23 (+7),,"GOOD FT by SMITH,PRESTON",1
04:31,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:31,"GOOD FT by SMITH,PRESTON",31 (+8),,23,,HENDRIX 31-23 (+8),,"GOOD FT by SMITH,PRESTON",1
04:31,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
04:31,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
04:31,,,,,"SUB IN by BOURDAGE,TAYLOR",,,"SUB IN by BOURDAGE,TAYLOR",1
04:31,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
04:12,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
03:59,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
03:59,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:46,,,,,"MISS 3PTR by HUGHES,JUSTIN",,,"MISS 3PTR by HUGHES,JUSTIN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
03:21,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND OFF by ALDOUS,HANK",,,,,,,"REBOUND OFF by ALDOUS,HANK",1
02:59,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by LAWRENCE,CHRIS",,,"REBOUND DEF by LAWRENCE,CHRIS",1
02:44,,31 (+6),,25,"GOOD JUMPER by TURNER,MIKE",OUM 31-25 (+6),,"GOOD JUMPER by TURNER,MIKE",1
02:19,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:53,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
01:53,,,,,"MISS FT by INUNGU,TOM",,,"MISS FT by INUNGU,TOM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:53,,,,,"MISS FT by INUNGU,TOM",,,"MISS FT by INUNGU,TOM",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
01:25,"GOOD JUMPER by LINK,JACOB(in the paint)",33 (+8),,25,,HENDRIX 33-25 (+8),,"GOOD JUMPER by LINK,JACOB(in the paint)",1
00:57,,,,,"MISS JUMPER by INUNGU,TOM",,,"MISS JUMPER by INUNGU,TOM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:55,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
00:55,,33 (+7),,26,"GOOD FT by TURNER,MIKE",OUM 33-26 (+7),,"GOOD FT by TURNER,MIKE",1
00:55,,33 (+6),,27,"GOOD FT by TURNER,MIKE",OUM 33-27 (+6),,"GOOD FT by TURNER,MIKE",1
00:55,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
00:55,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
00:55,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
00:55,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",1
00:55,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
00:55,,,,,"SUB OUT by BOURDAGE,TAYLOR",,,"SUB OUT by BOURDAGE,TAYLOR",1
00:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:30,"GOOD 3PTR by STEELE,AARON",36 (+9),,27,,HENDRIX 36-27 (+9),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
00:05,,,,,"MISS JUMPER by TURNER,MIKE",,,"MISS JUMPER by TURNER,MIKE",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
19:48,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",38 (+11),,27,,HENDRIX 38-27 (+11),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
19:34,,,,,"MISS LAYUP by PATRICK,DREW",,,"MISS LAYUP by PATRICK,DREW",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
19:14,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
18:57,,,,,"MISS JUMPER by HUGHES,JUSTIN",,,"MISS JUMPER by HUGHES,JUSTIN",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
18:47,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",2
18:41,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
18:41,,,,,"MISS FT by EDWARDS,JUSTIN",,,"MISS FT by EDWARDS,JUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:41,,38 (+10),,28,"GOOD FT by EDWARDS,JUSTIN",OUM 38-28 (+10),,"GOOD FT by EDWARDS,JUSTIN",2
18:23,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
18:16,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
18:06,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",40 (+12),,28,,HENDRIX 40-28 (+12),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
17:33,,40 (+10),,30,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",OUM 40-30 (+10),,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",2
17:07,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
17:06,,,,,"STEAL  by HUGHES,JUSTIN",,,"STEAL  by HUGHES,JUSTIN",2
17:03,,,,,"MISS LAYUP by EDWARDS,JUSTIN",,,"MISS LAYUP by EDWARDS,JUSTIN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
16:36,,40 (+8),,32,"GOOD LAYUP by INUNGU,TOM(in the paint)",OUM 40-32 (+8),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",2
16:18,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by PATRICK,DREW",,,"REBOUND DEF by PATRICK,DREW",2
16:07,,,,,"MISS JUMPER by PATRICK,DREW",,,"MISS JUMPER by PATRICK,DREW",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
15:48,"GOOD 3PTR by GARRETT,TRAVIS",43 (+11),,32,,HENDRIX 43-32 (+11),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
15:22,,,,,"TURNOVER  by LAWRENCE,CHRIS",,,"TURNOVER  by LAWRENCE,CHRIS",2
15:22,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",2
15:18,"MISS DUNK by ALDOUS,HANK",,,,,,,"MISS DUNK by ALDOUS,HANK",2
--,"REBOUND OFF by SMITH,PRESTON",,,,,,,"REBOUND OFF by SMITH,PRESTON",2
15:12,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by LAWRENCE,CHRIS",,,"REBOUND DEF by LAWRENCE,CHRIS",2
14:56,,,,,"MISS 3PTR by PATRICK,DREW",,,"MISS 3PTR by PATRICK,DREW",2
