Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
19:32,,0,,2 (+2),"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",SEW 0-2 (-2),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
19:04,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
18:49,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
18:36,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
18:27,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
18:27,"GOOD FT by LINK,JACOB",1,,2 (+1),,HENDRIX 1-2 (-1),,"GOOD FT by LINK,JACOB",1
18:27,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
18:16,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
18:16,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
18:13,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",3 (+1),,2,,HENDRIX 3-2 (+1),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
17:43,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
17:42,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
17:31,"GOOD 3PTR by ALDOUS,HANK",6 (+4),,2,,HENDRIX 6-2 (+4),,"GOOD 3PTR by ALDOUS,HANK",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
17:12,,6 (+2),,4,"GOOD JUMPER by STONE,BRODY",SEW 6-4 (+2),,"GOOD JUMPER by STONE,BRODY",1
16:55,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
16:38,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
16:38,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
16:37,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
16:25,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
16:21,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",8 (+4),,4,,HENDRIX 8-4 (+4),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
15:55,,8 (+1),,7,"GOOD 3PTR by WILLIAMS,JORDEN",SEW 8-7 (+1),,"GOOD 3PTR by WILLIAMS,JORDEN",1
15:32,"MISS JUMPER by LITTLEFIELD,GEAREN",,,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
15:06,,8,,9 (+1),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEW 8-9 (-1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
