Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:33,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
19:32,"STEAL  by FREET,AUSTIN",,,,,,,"STEAL  by FREET,AUSTIN",1
19:26,"TURNOVER  by FREET,AUSTIN",,,,,,,"TURNOVER  by FREET,AUSTIN",1
19:25,,,,,"STEAL  by BATCHELOR,BRYCE",,,"STEAL  by BATCHELOR,BRYCE",1
19:15,,0,,2 (+2),"GOOD JUMPER by GARRETT,TRAVIS",HENDRIX 0-2 (+2),,"GOOD JUMPER by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
19:02,"MISS 3PTR by WELLS,AUSTIN",,,,,,,"MISS 3PTR by WELLS,AUSTIN",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
18:46,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
18:37,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
18:28,,0,,4 (+4),"GOOD JUMPER by ALDOUS,HANK(fastbreak)(in the paint)",HENDRIX 0-4 (+4),,"GOOD JUMPER by ALDOUS,HANK(fastbreak)(in the paint)",1
18:15,"GOOD LAYUP by IGBINOSA,STEPHEN(fastbreak)(in the paint)",2,,4 (+2),,ACM 2-4 (+2),,"GOOD LAYUP by IGBINOSA,STEPHEN(fastbreak)(in the paint)",1
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",1
17:57,,2,,6 (+4),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 2-6 (+4),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
17:47,"GOOD LAYUP by IGBINOSA,STEPHEN(fastbreak)(in the paint)",4,,6 (+2),,ACM 4-6 (+2),,"GOOD LAYUP by IGBINOSA,STEPHEN(fastbreak)(in the paint)",1
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",1
17:23,,4,,8 (+4),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 4-8 (+4),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
17:02,"GOOD JUMPER by WELLS,AUSTIN",6,,8 (+2),,ACM 6-8 (+2),,"GOOD JUMPER by WELLS,AUSTIN",1
16:48,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
16:47,"STEAL  by IGBINOSA,STEPHEN",,,,,,,"STEAL  by IGBINOSA,STEPHEN",1
16:33,"MISS JUMPER by SWISHER,JEREMY",,,,,,,"MISS JUMPER by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
16:22,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",1
16:04,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
15:49,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",1
15:49,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:49,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:49,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
15:43,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
15:38,"TURNOVER  by IGBINOSA,STEPHEN",,,,,,,"TURNOVER  by IGBINOSA,STEPHEN",1
15:33,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
15:33,"BLOCK  by IGBINOSA,STEPHEN",,,,,,,"BLOCK  by IGBINOSA,STEPHEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:28,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
15:13,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
15:12,"STEAL  by BAEHL,BRIAN",,,,,,,"STEAL  by BAEHL,BRIAN",1
15:08,"MISS LAYUP by SWISHER,JEREMY",,,,,,,"MISS LAYUP by SWISHER,JEREMY",1
--,"REBOUND OFF by IGBINOSA,STEPHEN",,,,,,,"REBOUND OFF by IGBINOSA,STEPHEN",1
15:04,"GOOD TIPIN by IGBINOSA,STEPHEN(fastbreak)(in the paint)",8,,8,,ACM 8-8 (0),,"GOOD TIPIN by IGBINOSA,STEPHEN(fastbreak)(in the paint)",1
14:56,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
14:56,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
14:56,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
14:56,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
14:41,"MISS 3PTR by FREET,AUSTIN",,,,,,,"MISS 3PTR by FREET,AUSTIN",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
14:27,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
14:05,"MISS 3PTR by WELLS,AUSTIN",,,,,,,"MISS 3PTR by WELLS,AUSTIN",1
--,"REBOUND OFF by BAEHL,BRIAN",,,,,,,"REBOUND OFF by BAEHL,BRIAN",1
14:00,"GOOD LAYUP by BAEHL,BRIAN(in the paint)",10 (+2),,8,,ACM 10-8 (-2),,"GOOD LAYUP by BAEHL,BRIAN(in the paint)",1
13:42,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND OFF by SMITH,PRESTON",,,"REBOUND OFF by SMITH,PRESTON",1
13:38,"FOUL  by WELLS,AUSTIN",,,,,,,"FOUL  by WELLS,AUSTIN",1
13:38,,10 (+1),,9,"GOOD FT by SMITH,PRESTON",HENDRIX 10-9 (-1),,"GOOD FT by SMITH,PRESTON",1
13:38,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
13:38,"SUB IN by JOHNSON,PATRICK",,,,,,,"SUB IN by JOHNSON,PATRICK",1
13:38,"SUB IN by WADE,JUSTIN",,,,,,,"SUB IN by WADE,JUSTIN",1
13:38,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
13:38,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",1
13:38,"SUB OUT by WELLS,AUSTIN",,,,,,,"SUB OUT by WELLS,AUSTIN",1
13:38,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",1
13:38,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
13:38,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
13:14,,10,,11 (+1),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 10-11 (+1),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
12:51,"GOOD JUMPER by BAEHL,BRIAN",12 (+1),,11,,ACM 12-11 (-1),,"GOOD JUMPER by BAEHL,BRIAN",1
--,"ASSIST  by WADE,JUSTIN",,,,,,,"ASSIST  by WADE,JUSTIN",1
12:22,,,,,"MISS LAYUP by PARKER,BRYCE",,,"MISS LAYUP by PARKER,BRYCE",1
--,"REBOUND DEF by JOHNSON,PATRICK",,,,,,,"REBOUND DEF by JOHNSON,PATRICK",1
12:14,"MISS 3PTR by BAEHL,BRIAN",,,,,,,"MISS 3PTR by BAEHL,BRIAN",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
11:57,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by SMITH,PRESTON",,,"REBOUND OFF by SMITH,PRESTON",1
11:53,,12,,13 (+1),"GOOD TIPIN by SMITH,PRESTON(in the paint)",HENDRIX 12-13 (+1),,"GOOD TIPIN by SMITH,PRESTON(in the paint)",1
11:37,"MISS JUMPER by SWISHER,JEREMY",,,,,,,"MISS JUMPER by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",1
11:27,,12,,16 (+4),"GOOD 3PTR by STEELE,AARON",HENDRIX 12-16 (+4),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
10:58,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
10:58,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
10:58,"SUB IN by FREET,AUSTIN",,,,,,,"SUB IN by FREET,AUSTIN",1
10:58,"SUB IN by PASS,JOHN",,,,,,,"SUB IN by PASS,JOHN",1
10:58,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",1
10:58,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
10:58,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
10:58,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
10:52,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
10:52,,,,,"BLOCK  by SMITH,PRESTON",,,"BLOCK  by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
10:37,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
10:23,"MISS JUMPER by JOHNSON,PATRICK",,,,,,,"MISS JUMPER by JOHNSON,PATRICK",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
10:16,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
10:15,"STEAL  by PASS,JOHN",,,,,,,"STEAL  by PASS,JOHN",1
10:03,"MISS LAYUP by PASS,JOHN",,,,,,,"MISS LAYUP by PASS,JOHN",1
10:03,,,,,"BLOCK  by NOTLEY,CHANDLER",,,"BLOCK  by NOTLEY,CHANDLER",1
--,"REBOUND OFF by WADE,JUSTIN",,,,,,,"REBOUND OFF by WADE,JUSTIN",1
09:57,"GOOD TIPIN by WADE,JUSTIN(in the paint)",14,,16 (+2),,ACM 14-16 (+2),,"GOOD TIPIN by WADE,JUSTIN(in the paint)",1
