Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UTD,Game Score,Team Indicator,Play,Period
16:09,,,,,"MISS 3PTR by BANKS,CALEB",,,"MISS 3PTR by BANKS,CALEB",1
--,,,,,"REBOUND OFF by KEOGH,REAGAN",,,"REBOUND OFF by KEOGH,REAGAN",1
16:05,,,,,"MISS LAYUP by KEOGH,REAGAN",,,"MISS LAYUP by KEOGH,REAGAN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
15:55,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
15:52,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",4 (+1),,3,,HENDRIX 4-3 (+1),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",1
15:19,,,,,"MISS JUMPER by BANKS,CALEB",,,"MISS JUMPER by BANKS,CALEB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:16,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",,,"SUB IN by UNDERWOOD,DIMITRIUS",1
15:16,,,,,"SUB OUT by KEOGH,REAGAN",,,"SUB OUT by KEOGH,REAGAN",1
15:04,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by SMITH,BEN",,,"REBOUND DEF by SMITH,BEN",1
14:47,,,,,"MISS LAYUP by HATCHER,JON",,,"MISS LAYUP by HATCHER,JON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:45,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
14:45,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
14:32,,4,,5 (+1),"GOOD LAYUP by BANKS,CALEB(in the paint)",UTD 4-5 (-1),,"GOOD LAYUP by BANKS,CALEB(in the paint)",1
14:32,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
14:32,,,,,"MISS FT by BANKS,CALEB",,,"MISS FT by BANKS,CALEB",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
14:20,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",6 (+1),,5,,HENDRIX 6-5 (+1),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",1
14:02,,6,,8 (+2),"GOOD 3PTR by COULTER,KYLE",UTD 6-8 (-2),,"GOOD 3PTR by COULTER,KYLE",1
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",1
13:32,"GOOD LAYUP by LINK,JACOB(in the paint)",8,,8,,HENDRIX 8-8 (0),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
13:32,,,,,"FOUL  by COULTER,KYLE",,,"FOUL  by COULTER,KYLE",1
13:32,"GOOD FT by LINK,JACOB",9 (+1),,8,,HENDRIX 9-8 (+1),,"GOOD FT by LINK,JACOB",1
13:32,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
13:32,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
13:07,,9,,10 (+1),"GOOD LAYUP by UNDERWOOD,DIMITRIUS(in the paint)",UTD 9-10 (-1),,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(in the paint)",1
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",1
12:43,"GOOD JUMPER by ALDOUS,HANK(in the paint)",11 (+1),,10,,HENDRIX 11-10 (+1),,"GOOD JUMPER by ALDOUS,HANK(in the paint)",1
12:29,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
12:29,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
12:29,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
12:29,,,,,"SUB IN by OGUNFEITIMI,DAPO",,,"SUB IN by OGUNFEITIMI,DAPO",1
12:29,,,,,"SUB OUT by SMITH,BEN",,,"SUB OUT by SMITH,BEN",1
12:25,,,,,"MISS LAYUP by BANKS,CALEB",,,"MISS LAYUP by BANKS,CALEB",1
--,,,,,"REBOUND OFF by COULTER,KYLE",,,"REBOUND OFF by COULTER,KYLE",1
12:21,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
12:21,,11,,11,"GOOD FT by COULTER,KYLE",UTD 11-11 (0),,"GOOD FT by COULTER,KYLE",1
12:21,,11,,12 (+1),"GOOD FT by COULTER,KYLE",UTD 11-12 (-1),,"GOOD FT by COULTER,KYLE",1
12:02,,,,,"FOUL  by OGUNFEITIMI,DAPO",,,"FOUL  by OGUNFEITIMI,DAPO",1
12:02,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
12:02,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
11:54,"GOOD 3PTR by STEELE,AARON",14 (+2),,12,,HENDRIX 14-12 (+2),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by CRISWELL,SEAN",,,,,,,"ASSIST  by CRISWELL,SEAN",1
11:37,,,,,"MISS 3PTR by HATCHER,JON",,,"MISS 3PTR by HATCHER,JON",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
11:17,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,,,,,"REBOUND DEF by HATCHER,JON",,,"REBOUND DEF by HATCHER,JON",1
11:02,,,,,"FOUL  by COULTER,KYLE",,,"FOUL  by COULTER,KYLE",1
11:02,,,,,"TURNOVER  by COULTER,KYLE",,,"TURNOVER  by COULTER,KYLE",1
11:02,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:02,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
11:02,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
11:02,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
11:02,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
11:02,,,,,"SUB IN by KEOGH,REAGAN",,,"SUB IN by KEOGH,REAGAN",1
11:02,,,,,"SUB IN by SMITH,BEN",,,"SUB IN by SMITH,BEN",1
11:02,,,,,"SUB OUT by HATCHER,JON",,,"SUB OUT by HATCHER,JON",1
11:02,,,,,"SUB OUT by COULTER,KYLE",,,"SUB OUT by COULTER,KYLE",1
10:32,"GOOD JUMPER by CRISWELL,SEAN",16 (+4),,12,,HENDRIX 16-12 (+4),,"GOOD JUMPER by CRISWELL,SEAN",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
10:08,,16 (+1),,15,"GOOD 3PTR by OGUNFEITIMI,DAPO",UTD 16-15 (+1),,"GOOD 3PTR by OGUNFEITIMI,DAPO",1
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",1
09:47,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
09:34,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",1
09:21,,,,,"MISS LAYUP by SMITH,BEN",,,"MISS LAYUP by SMITH,BEN",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
09:14,"GOOD 3PTR by STEELE,AARON",19 (+4),,15,,HENDRIX 19-15 (+4),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by PARKER,BRYCE",,,,,,,"ASSIST  by PARKER,BRYCE",1
08:45,,19 (+2),,17,"GOOD JUMPER by UNDERWOOD,DIMITRIUS(in the paint)",UTD 19-17 (+2),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS(in the paint)",1
08:14,"MISS JUMPER by NOTLEY,CHANDLER",,,,,,,"MISS JUMPER by NOTLEY,CHANDLER",1
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",1
08:10,"GOOD 3PTR by STEELE,AARON",22 (+5),,17,,HENDRIX 22-17 (+5),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by CRISWELL,SEAN",,,,,,,"ASSIST  by CRISWELL,SEAN",1
07:46,,,,,"MISS JUMPER by SMITH,BEN",,,"MISS JUMPER by SMITH,BEN",1
--,,,,,"REBOUND OFF by KEOGH,REAGAN",,,"REBOUND OFF by KEOGH,REAGAN",1
07:43,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",1
07:43,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:43,,,,,"MISS FT by KEOGH,REAGAN",,,"MISS FT by KEOGH,REAGAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:43,,22 (+4),,18,"GOOD FT by KEOGH,REAGAN",UTD 22-18 (+4),,"GOOD FT by KEOGH,REAGAN",1
07:43,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
07:43,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
07:43,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
07:43,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
07:27,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
07:26,,,,,"STEAL  by SMITH,BEN",,,"STEAL  by SMITH,BEN",1
07:21,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
07:21,,22 (+3),,19,"GOOD FT by UNDERWOOD,DIMITRIUS",UTD 22-19 (+3),,"GOOD FT by UNDERWOOD,DIMITRIUS",1
07:21,,22 (+2),,20,"GOOD FT by UNDERWOOD,DIMITRIUS",UTD 22-20 (+2),,"GOOD FT by UNDERWOOD,DIMITRIUS",1
07:21,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
07:21,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
07:10,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
07:02,,,,,"MISS LAYUP by SMITH,BEN",,,"MISS LAYUP by SMITH,BEN",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
06:50,"GOOD LAYUP by PARKER,BRYCE(in the paint)",24 (+4),,20,,HENDRIX 24-20 (+4),,"GOOD LAYUP by PARKER,BRYCE(in the paint)",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
06:28,,,,,"MISS JUMPER by UNDERWOOD,DIMITRIUS",,,"MISS JUMPER by UNDERWOOD,DIMITRIUS",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
06:21,,,,,"FOUL  by UNDERWOOD,DIMITRIUS",,,"FOUL  by UNDERWOOD,DIMITRIUS",1
06:21,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
06:21,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
06:21,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",1
06:21,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
06:21,,,,,"SUB IN by HATCHER,JON",,,"SUB IN by HATCHER,JON",1
06:21,,,,,"SUB OUT by SMITH,BEN",,,"SUB OUT by SMITH,BEN",1
06:06,"GOOD 3PTR by PARKER,BRYCE",27 (+7),,20,,HENDRIX 27-20 (+7),,"GOOD 3PTR by PARKER,BRYCE",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
05:48,,,,,"MISS 3PTR by OGUNFEITIMI,DAPO",,,"MISS 3PTR by OGUNFEITIMI,DAPO",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
05:36,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
05:36,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
05:36,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
05:36,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
05:36,,,,,"SUB IN by ALLEN,CURTIS",,,"SUB IN by ALLEN,CURTIS",1
05:36,,,,,"SUB OUT by OGUNFEITIMI,DAPO",,,"SUB OUT by OGUNFEITIMI,DAPO",1
05:14,,27 (+5),,22,"GOOD JUMPER by ALLEN,CURTIS",UTD 27-22 (+5),,"GOOD JUMPER by ALLEN,CURTIS",1
--,,,,,"ASSIST  by KEOGH,REAGAN",,,"ASSIST  by KEOGH,REAGAN",1
04:55,"GOOD 3PTR by PARKER,BRYCE",30 (+8),,22,,HENDRIX 30-22 (+8),,"GOOD 3PTR by PARKER,BRYCE",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
04:26,,,,,"MISS 3PTR by HATCHER,JON",,,"MISS 3PTR by HATCHER,JON",1
--,,,,,"REBOUND OFF by KEOGH,REAGAN",,,"REBOUND OFF by KEOGH,REAGAN",1
04:20,,,,,"MISS 3PTR by ALLEN,CURTIS",,,"MISS 3PTR by ALLEN,CURTIS",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
04:06,"GOOD 3PTR by SMITH,PRESTON",33 (+11),,22,,HENDRIX 33-22 (+11),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by PARKER,BRYCE",,,,,,,"ASSIST  by PARKER,BRYCE",1
04:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:39,,,,,"MISS JUMPER by HATCHER,JON",,,"MISS JUMPER by HATCHER,JON",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
03:07,"GOOD LAYUP by LINK,JACOB(in the paint)",35 (+13),,22,,HENDRIX 35-22 (+13),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",1
02:48,,,,,"MISS 3PTR by BANKS,CALEB",,,"MISS 3PTR by BANKS,CALEB",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
02:30,"GOOD LAYUP by SMITH,PRESTON(in the paint)",37 (+15),,22,,HENDRIX 37-22 (+15),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
--,"ASSIST  by PARKER,BRYCE",,,,,,,"ASSIST  by PARKER,BRYCE",1
02:09,,,,,"MISS JUMPER by HATCHER,JON",,,"MISS JUMPER by HATCHER,JON",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
01:57,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
01:42,,,,,"MISS LAYUP by BANKS,CALEB",,,"MISS LAYUP by BANKS,CALEB",1
01:42,"BLOCK  by LITTLEFIELD,GEAREN",,,,,,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:42,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
01:42,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
01:34,,,,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",1
--,,,,,"REBOUND OFF by UNDERWOOD,DIMITRIUS",,,"REBOUND OFF by UNDERWOOD,DIMITRIUS",1
01:31,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
01:31,,37 (+14),,23,"GOOD FT by UNDERWOOD,DIMITRIUS",UTD 37-23 (+14),,"GOOD FT by UNDERWOOD,DIMITRIUS",1
01:31,,37 (+13),,24,"GOOD FT by UNDERWOOD,DIMITRIUS",UTD 37-24 (+13),,"GOOD FT by UNDERWOOD,DIMITRIUS",1
01:31,,,,,"SUB IN by BRAWNER,CLAY",,,"SUB IN by BRAWNER,CLAY",1
01:31,,,,,"SUB IN by FERRELL,XAVIER",,,"SUB IN by FERRELL,XAVIER",1
01:31,,,,,"SUB IN by SMITH,BEN",,,"SUB IN by SMITH,BEN",1
01:31,,,,,"SUB OUT by BANKS,CALEB",,,"SUB OUT by BANKS,CALEB",1
01:31,,,,,"SUB OUT by ALLEN,CURTIS",,,"SUB OUT by ALLEN,CURTIS",1
01:31,,,,,"SUB OUT by HATCHER,JON",,,"SUB OUT by HATCHER,JON",1
01:03,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",39 (+15),,24,,HENDRIX 39-24 (+15),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
00:44,,39 (+13),,26,"GOOD JUMPER by SMITH,BEN(in the paint)",UTD 39-26 (+13),,"GOOD JUMPER by SMITH,BEN(in the paint)",1
00:24,"MISS LAYUP by PARKER,BRYCE",,,,,,,"MISS LAYUP by PARKER,BRYCE",1
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",1
00:16,,,,,"MISS 3PTR by SMITH,BEN",,,"MISS 3PTR by SMITH,BEN",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
00:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:03,"MISS 3PTR by CALAMESE,MICHAEL",,,,,,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
19:50,"GOOD LAYUP by LINK,JACOB(in the paint)",41 (+15),,26,,HENDRIX 41-26 (+15),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
19:33,,41 (+13),,28,"GOOD LAYUP by COULTER,KYLE(in the paint)",UTD 41-28 (+13),,"GOOD LAYUP by COULTER,KYLE(in the paint)",2
--,,,,,"ASSIST  by BANKS,CALEB",,,"ASSIST  by BANKS,CALEB",2
19:14,,,,,"FOUL  by COULTER,KYLE",,,"FOUL  by COULTER,KYLE",2
19:14,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:14,"GOOD FT by LITTLEFIELD,GEAREN",42 (+14),,28,,HENDRIX 42-28 (+14),,"GOOD FT by LITTLEFIELD,GEAREN",2
19:08,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
19:08,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
19:08,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
18:59,,42 (+12),,30,"GOOD LAYUP by HATCHER,JON(in the paint)",UTD 42-30 (+12),,"GOOD LAYUP by HATCHER,JON(in the paint)",2
--,,,,,"ASSIST  by SMITH,BEN",,,"ASSIST  by SMITH,BEN",2
18:40,"GOOD LAYUP by ALDOUS,HANK(in the paint)",44 (+14),,30,,HENDRIX 44-30 (+14),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",2
18:24,,,,,"MISS 3PTR by COULTER,KYLE",,,"MISS 3PTR by COULTER,KYLE",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
18:13,,,,,"FOUL  by COULTER,KYLE",,,"FOUL  by COULTER,KYLE",2
18:13,"MISS FT by BATCHELOR,BRYCE",,,,,,,"MISS FT by BATCHELOR,BRYCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:13,"MISS FT by BATCHELOR,BRYCE",,,,,,,"MISS FT by BATCHELOR,BRYCE",2
--,,,,,"REBOUND DEF by HATCHER,JON",,,"REBOUND DEF by HATCHER,JON",2
18:13,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",,,"SUB IN by UNDERWOOD,DIMITRIUS",2
18:13,,,,,"SUB OUT by COULTER,KYLE",,,"SUB OUT by COULTER,KYLE",2
17:45,,,,,"MISS 3PTR by SMITH,BEN",,,"MISS 3PTR by SMITH,BEN",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
17:38,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",46 (+16),,30,,HENDRIX 46-30 (+16),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
17:22,,,,,"MISS 3PTR by HATCHER,JON",,,"MISS 3PTR by HATCHER,JON",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
17:10,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
17:10,,,,,"BLOCK  by SMITH,BEN",,,"BLOCK  by SMITH,BEN",2
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
16:58,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",2
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",2
16:50,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
16:50,,46 (+15),,31,"GOOD FT by BANKS,CALEB",UTD 46-31 (+15),,"GOOD FT by BANKS,CALEB",2
16:50,,,,,"MISS FT by BANKS,CALEB",,,"MISS FT by BANKS,CALEB",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
16:36,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND DEF by KEOGH,REAGAN",,,"REBOUND DEF by KEOGH,REAGAN",2
16:30,,,,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
16:21,"GOOD LAYUP by LINK,JACOB(in the paint)",48 (+17),,31,,HENDRIX 48-31 (+17),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",2
16:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:10,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
16:10,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
16:10,,,,,"SUB IN by FERRELL,XAVIER",,,"SUB IN by FERRELL,XAVIER",2
16:10,,,,,"SUB IN by RIEMENSCHNEIDER,MAX",,,"SUB IN by RIEMENSCHNEIDER,MAX",2
