Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UDMBB,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS JUMPER by KAISER,TOM",,,"MISS JUMPER by KAISER,TOM",1
--,,,,,"REBOUND OFF by COLVIN,DARRIUS",,,"REBOUND OFF by COLVIN,DARRIUS",1
19:38,,,,,"MISS 3PTR by GONZALEZ,LORENZO",,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
19:25,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2 (+2),,0,,HENDRIX 2-0 (+2),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
18:59,,2,,2,"GOOD JUMPER by KAISER,TOM(in the paint)",UDMBB 2-2 (0),,"GOOD JUMPER by KAISER,TOM(in the paint)",1
--,,,,,"ASSIST  by GARATE,VICTOR",,,"ASSIST  by GARATE,VICTOR",1
18:43,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
18:42,,,,,"STEAL  by GARATE,VICTOR",,,"STEAL  by GARATE,VICTOR",1
18:28,,2,,4 (+2),"GOOD JUMPER by COLVIN,DARRIUS(in the paint)",UDMBB 2-4 (-2),,"GOOD JUMPER by COLVIN,DARRIUS(in the paint)",1
18:05,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",4,,4,,HENDRIX 4-4 (0),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",1
17:46,,,,,"MISS JUMPER by GONZALEZ,LORENZO",,,"MISS JUMPER by GONZALEZ,LORENZO",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
17:35,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
17:30,,4,,6 (+2),"GOOD LAYUP by SARRAT,MICHAEL(fastbreak)(in the paint)",UDMBB 4-6 (-2),,"GOOD LAYUP by SARRAT,MICHAEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",1
17:30,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
17:30,,4,,7 (+3),"GOOD FT by SARRAT,MICHAEL",UDMBB 4-7 (-3),,"GOOD FT by SARRAT,MICHAEL",1
17:05,"MISS JUMPER by GARRETT,TRAVIS",,,,,,,"MISS JUMPER by GARRETT,TRAVIS",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
16:50,"MISS JUMPER by LITTLEFIELD,GEAREN",,,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
16:44,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",6,,7 (+1),,HENDRIX 6-7 (-1),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
16:44,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",1
16:44,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by SARRAT,MICHAEL",,,"REBOUND DEF by SARRAT,MICHAEL",1
16:25,,,,,"MISS 3PTR by SARRAT,MICHAEL",,,"MISS 3PTR by SARRAT,MICHAEL",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
16:22,,,,,"TURNOVER  by KAISER,TOM",,,"TURNOVER  by KAISER,TOM",1
16:20,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
16:17,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
16:09,,6,,10 (+4),"GOOD 3PTR by GARATE,VICTOR",UDMBB 6-10 (-4),,"GOOD 3PTR by GARATE,VICTOR",1
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",1
15:51,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",8,,10 (+2),,HENDRIX 8-10 (-2),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
15:29,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
15:29,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
15:29,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
15:29,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
15:29,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
15:29,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
15:29,,,,,"SUB IN by MACCALLUM,RORY",,,"SUB IN by MACCALLUM,RORY",1
15:29,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",1
15:21,,8,,12 (+4),"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",UDMBB 8-12 (-4),,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",1
--,,,,,"ASSIST  by GARATE,VICTOR",,,"ASSIST  by GARATE,VICTOR",1
15:14,,,,,"SUB IN by GIADOLOR,PRINCE",,,"SUB IN by GIADOLOR,PRINCE",1
15:14,,,,,"SUB OUT by GARATE,VICTOR",,,"SUB OUT by GARATE,VICTOR",1
15:05,,,,,"FOUL  by COLVIN,DARRIUS",,,"FOUL  by COLVIN,DARRIUS",1
15:05,"GOOD FT by BATCHELOR,BRYCE",9,,12 (+3),,HENDRIX 9-12 (-3),,"GOOD FT by BATCHELOR,BRYCE",1
15:05,"GOOD FT by BATCHELOR,BRYCE",10,,12 (+2),,HENDRIX 10-12 (-2),,"GOOD FT by BATCHELOR,BRYCE",1
14:46,,,,,"MISS JUMPER by GIADOLOR,PRINCE",,,"MISS JUMPER by GIADOLOR,PRINCE",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
14:36,"GOOD 3PTR by STEELE,AARON(fastbreak)",13 (+1),,12,,HENDRIX 13-12 (+1),,"GOOD 3PTR by STEELE,AARON(fastbreak)",1
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",1
14:20,,13,,14 (+1),"GOOD JUMPER by SARRAT,MICHAEL",UDMBB 13-14 (-1),,"GOOD JUMPER by SARRAT,MICHAEL",1
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",1
14:01,"GOOD 3PTR by STEELE,AARON",16 (+2),,14,,HENDRIX 16-14 (+2),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",1
13:48,,16,,16,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",UDMBB 16-16 (0),,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",1
13:35,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
13:35,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
