Time Remaining,JCUM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:27,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
19:18,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
19:03,"GOOD 3PTR by DAVID LINANE,JR",3 (+3),,0,,JCUM 3-0 (-3),,"GOOD 3PTR by DAVID LINANE,JR",1
--,"ASSIST  by KUCHAREWICZ,SIMON",,,,,,,"ASSIST  by KUCHAREWICZ,SIMON",1
18:52,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
18:52,"BLOCK  by KUCHAREWICZ,SIMON",,,,,,,"BLOCK  by KUCHAREWICZ,SIMON",1
--,"REBOUND DEF by DAVID LINANE,JR",,,,,,,"REBOUND DEF by DAVID LINANE,JR",1
18:43,"MISS 3PTR by DAVID LINANE,JR",,,,,,,"MISS 3PTR by DAVID LINANE,JR",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
18:15,,3 (+1),,2,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 3-2 (-1),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",1
18:03,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1
--,"REBOUND OFF by KUCHAREWICZ,SIMON",,,,,,,"REBOUND OFF by KUCHAREWICZ,SIMON",1
17:55,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",1
17:50,"MISS JUMPER by DAVID LINANE,JR",,,,,,,"MISS JUMPER by DAVID LINANE,JR",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
17:43,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
17:33,"SUB IN by CAPUTO,DOUG",,,,,,,"SUB IN by CAPUTO,DOUG",1
17:33,"SUB IN by CSUHRAN,MATTHEW",,,,,,,"SUB IN by CSUHRAN,MATTHEW",1
17:33,"SUB IN by VUYANCIH,ANTONIO",,,,,,,"SUB IN by VUYANCIH,ANTONIO",1
17:33,"SUB IN by BIDAR,NOAH",,,,,,,"SUB IN by BIDAR,NOAH",1
17:33,"SUB IN by CIRILLO,JOHN",,,,,,,"SUB IN by CIRILLO,JOHN",1
17:33,"SUB OUT by LUDLOW,TIM",,,,,,,"SUB OUT by LUDLOW,TIM",1
17:33,"SUB OUT by PAPICH,BRIAN",,,,,,,"SUB OUT by PAPICH,BRIAN",1
