Time Remaining,TLUMEN,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
16:46,"SUB OUT by KOUREMETIS,JORDAN",,,,,,,"SUB OUT by KOUREMETIS,JORDAN",1
16:34,,5,,11 (+6),"GOOD 3PTR by BATCHELOR,BRYCE",HENDRIX 5-11 (+6),,"GOOD 3PTR by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
16:14,"MISS LAYUP by JOWELL,HARRIS",,,,,,,"MISS LAYUP by JOWELL,HARRIS",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
16:02,,5,,13 (+8),"GOOD JUMPER by BATCHELOR,BRYCE",HENDRIX 5-13 (+8),,"GOOD JUMPER by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
15:35,"MISS 3PTR by BEHR,ZACH",,,,,,,"MISS 3PTR by BEHR,ZACH",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
15:22,,5,,16 (+11),"GOOD 3PTR by SMITH,PRESTON(fastbreak)",HENDRIX 5-16 (+11),,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
15:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:19,"SUB IN by CAGE,ALEX",,,,,,,"SUB IN by CAGE,ALEX",1
15:19,"SUB IN by GILLETTE,MATTHEW",,,,,,,"SUB IN by GILLETTE,MATTHEW",1
15:19,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
15:19,"SUB OUT by JOWELL,HARRIS",,,,,,,"SUB OUT by JOWELL,HARRIS",1
15:12,"MISS 3PTR by KOUREMETIS,JACOB",,,,,,,"MISS 3PTR by KOUREMETIS,JACOB",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
15:01,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
15:01,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
15:01,"SUB IN by WILLOUGHBY,JACKSON",,,,,,,"SUB IN by WILLOUGHBY,JACKSON",1
15:01,"SUB OUT by RAY,BLAKE",,,,,,,"SUB OUT by RAY,BLAKE",1
15:01,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
15:01,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
15:01,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
15:01,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
15:01,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
15:01,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
15:01,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
15:01,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
14:44,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",7,,16 (+9),,TLUMEN 7-16 (+9),,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",1
--,"ASSIST  by KOUREMETIS,JACOB",,,,,,,"ASSIST  by KOUREMETIS,JACOB",1
14:27,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
14:16,"MISS LAYUP by CAGE,ALEX",,,,,,,"MISS LAYUP by CAGE,ALEX",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:59,,,,,"MISS LAYUP by BATCHELOR,BRYCE",,,"MISS LAYUP by BATCHELOR,BRYCE",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
13:49,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
13:49,"GOOD FT by BEHR,ZACH",8,,16 (+8),,TLUMEN 8-16 (+8),,"GOOD FT by BEHR,ZACH",1
13:49,"MISS FT by BEHR,ZACH",,,,,,,"MISS FT by BEHR,ZACH",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
13:49,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
13:49,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
13:49,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
13:49,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
13:40,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
13:22,"GOOD LAYUP by BEHR,ZACH(in the paint)",10,,16 (+6),,TLUMEN 10-16 (+6),,"GOOD LAYUP by BEHR,ZACH(in the paint)",1
--,"ASSIST  by WILLOUGHBY,JACKSON",,,,,,,"ASSIST  by WILLOUGHBY,JACKSON",1
13:21,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
13:21,"GOOD FT by BEHR,ZACH",11,,16 (+5),,TLUMEN 11-16 (+5),,"GOOD FT by BEHR,ZACH",1
13:00,"FOUL  by KOUREMETIS,JACOB",,,,,,,"FOUL  by KOUREMETIS,JACOB",1
12:43,,11,,19 (+8),"GOOD 3PTR by STEELE,AARON",HENDRIX 11-19 (+8),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
12:22,"MISS JUMPER by GILLETTE,MATTHEW",,,,,,,"MISS JUMPER by GILLETTE,MATTHEW",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
12:10,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
12:10,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
12:10,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
11:42,"MISS JUMPER by KOUREMETIS,JACOB",,,,,,,"MISS JUMPER by KOUREMETIS,JACOB",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
11:35,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,"REBOUND DEF by CAGE,ALEX",,,,,,,"REBOUND DEF by CAGE,ALEX",1
11:26,"TURNOVER  by CAGE,ALEX",,,,,,,"TURNOVER  by CAGE,ALEX",1
11:26,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",1
11:13,,11,,21 (+10),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 11-21 (+10),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
11:00,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
11:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:00,"GOOD FT by WILLOUGHBY,JACKSON",12,,21 (+9),,TLUMEN 12-21 (+9),,"GOOD FT by WILLOUGHBY,JACKSON",1
11:00,"GOOD FT by WILLOUGHBY,JACKSON",13,,21 (+8),,TLUMEN 13-21 (+8),,"GOOD FT by WILLOUGHBY,JACKSON",1
11:00,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
11:00,"SUB IN by KOUREMETIS,JORDAN",,,,,,,"SUB IN by KOUREMETIS,JORDAN",1
11:00,"SUB IN by HAMILTON,SHAWN",,,,,,,"SUB IN by HAMILTON,SHAWN",1
11:00,"SUB OUT by KOUREMETIS,JACOB",,,,,,,"SUB OUT by KOUREMETIS,JACOB",1
11:00,"SUB OUT by CAGE,ALEX",,,,,,,"SUB OUT by CAGE,ALEX",1
11:00,"SUB OUT by BEHR,ZACH",,,,,,,"SUB OUT by BEHR,ZACH",1
11:00,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
11:00,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
11:00,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
11:00,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
10:48,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
10:29,"GOOD JUMPER by KOUREMETIS,JORDAN(in the paint)",15,,21 (+6),,TLUMEN 15-21 (+6),,"GOOD JUMPER by KOUREMETIS,JORDAN(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
10:28,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
10:28,"GOOD FT by KOUREMETIS,JORDAN",16,,21 (+5),,TLUMEN 16-21 (+5),,"GOOD FT by KOUREMETIS,JORDAN",1
10:03,,16,,23 (+7),"GOOD JUMPER by NOTLEY,CHANDLER(in the paint)",HENDRIX 16-23 (+7),,"GOOD JUMPER by NOTLEY,CHANDLER(in the paint)",1
09:52,"GOOD LAYUP by KOUREMETIS,JORDAN(fastbreak)(in the paint)",18,,23 (+5),,TLUMEN 18-23 (+5),,"GOOD LAYUP by KOUREMETIS,JORDAN(fastbreak)(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
09:39,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by WILLOUGHBY,JACKSON",,,,,,,"REBOUND DEF by WILLOUGHBY,JACKSON",1
09:30,"GOOD LAYUP by WILLOUGHBY,JACKSON(fastbreak)(in the paint)",20,,23 (+3),,TLUMEN 20-23 (+3),,"GOOD LAYUP by WILLOUGHBY,JACKSON(fastbreak)(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
09:17,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by KOUREMETIS,JORDAN",,,,,,,"REBOUND DEF by KOUREMETIS,JORDAN",1
09:09,"GOOD LAYUP by WILLOUGHBY,JACKSON(fastbreak)(in the paint)",22,,23 (+1),,TLUMEN 22-23 (+1),,"GOOD LAYUP by WILLOUGHBY,JACKSON(fastbreak)(in the paint)",1
--,"ASSIST  by KOUREMETIS,JORDAN",,,,,,,"ASSIST  by KOUREMETIS,JORDAN",1
08:44,"SUB IN by RAY,BLAKE",,,,,,,"SUB IN by RAY,BLAKE",1
08:44,"SUB OUT by WILLOUGHBY,JACKSON",,,,,,,"SUB OUT by WILLOUGHBY,JACKSON",1
08:44,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
08:44,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
08:44,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
08:44,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
08:44,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
08:44,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
08:29,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:12,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
08:03,,22,,26 (+4),"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",HENDRIX 22-26 (+4),,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
07:41,"GOOD JUMPER by KOUREMETIS,JORDAN",24,,26 (+2),,TLUMEN 24-26 (+2),,"GOOD JUMPER by KOUREMETIS,JORDAN",1
--,"ASSIST  by RAY,BLAKE",,,,,,,"ASSIST  by RAY,BLAKE",1
07:25,"FOUL  by HAMILTON,SHAWN",,,,,,,"FOUL  by HAMILTON,SHAWN",1
07:25,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:25,,24,,27 (+3),"GOOD FT by ALDOUS,HANK",HENDRIX 24-27 (+3),,"GOOD FT by ALDOUS,HANK",1
07:25,,24,,28 (+4),"GOOD FT by ALDOUS,HANK",HENDRIX 24-28 (+4),,"GOOD FT by ALDOUS,HANK",1
07:25,"SUB IN by JOWELL,HARRIS",,,,,,,"SUB IN by JOWELL,HARRIS",1
07:25,"SUB OUT by GILLETTE,MATTHEW",,,,,,,"SUB OUT by GILLETTE,MATTHEW",1
07:13,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
07:11,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",1
07:01,,24,,30 (+6),"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HENDRIX 24-30 (+6),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
06:37,"MISS 3PTR by HAMILTON,SHAWN",,,,,,,"MISS 3PTR by HAMILTON,SHAWN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
06:29,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
06:29,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
06:08,"SUB IN by BEHR,ZACH",,,,,,,"SUB IN by BEHR,ZACH",1
06:08,"SUB OUT by HAMILTON,SHAWN",,,,,,,"SUB OUT by HAMILTON,SHAWN",1
05:58,"TURNOVER  by JOWELL,HARRIS",,,,,,,"TURNOVER  by JOWELL,HARRIS",1
05:58,"FOUL  by JOWELL,HARRIS",,,,,,,"FOUL  by JOWELL,HARRIS",1
05:36,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
05:31,"TURNOVER  by RAY,BLAKE",,,,,,,"TURNOVER  by RAY,BLAKE",1
05:30,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
05:29,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by RAY,BLAKE",,,,,,,"REBOUND DEF by RAY,BLAKE",1
05:17,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
05:17,"GOOD FT by SULLIVAN,MICHAEL",25,,30 (+5),,TLUMEN 25-30 (+5),,"GOOD FT by SULLIVAN,MICHAEL",1
05:17,"MISS FT by SULLIVAN,MICHAEL",,,,,,,"MISS FT by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
05:08,,25,,33 (+8),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 25-33 (+8),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
04:59,"TURNOVER  by BEHR,ZACH",,,,,,,"TURNOVER  by BEHR,ZACH",1
04:53,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
04:50,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",1
04:40,,25,,35 (+10),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 25-35 (+10),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
04:40,"GOOD LAYUP by JOWELL,HARRIS(fastbreak)(in the paint)",27,,35 (+8),,TLUMEN 27-35 (+8),,"GOOD LAYUP by JOWELL,HARRIS(fastbreak)(in the paint)",1
04:40,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
04:40,"GOOD FT by JOWELL,HARRIS",28,,35 (+7),,TLUMEN 28-35 (+7),,"GOOD FT by JOWELL,HARRIS",1
04:29,"FOUL  by JOWELL,HARRIS",,,,,,,"FOUL  by JOWELL,HARRIS",1
04:29,,28,,36 (+8),"GOOD FT by ALDOUS,HANK",HENDRIX 28-36 (+8),,"GOOD FT by ALDOUS,HANK",1
04:29,,28,,37 (+9),"GOOD FT by ALDOUS,HANK",HENDRIX 28-37 (+9),,"GOOD FT by ALDOUS,HANK",1
04:29,"SUB IN by GILLETTE,MATTHEW",,,,,,,"SUB IN by GILLETTE,MATTHEW",1
04:29,"SUB OUT by JOWELL,HARRIS",,,,,,,"SUB OUT by JOWELL,HARRIS",1
04:19,"GOOD LAYUP by GILLETTE,MATTHEW(fastbreak)(in the paint)",30,,37 (+7),,TLUMEN 30-37 (+7),,"GOOD LAYUP by GILLETTE,MATTHEW(fastbreak)(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
04:05,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
04:05,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
04:05,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
04:05,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
04:05,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
03:46,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,"REBOUND OFF by RAY,BLAKE",,,,,,,"REBOUND OFF by RAY,BLAKE",1
03:44,"GOOD LAYUP by RAY,BLAKE(in the paint)",32,,37 (+5),,TLUMEN 32-37 (+5),,"GOOD LAYUP by RAY,BLAKE(in the paint)",1
03:29,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
03:17,"TURNOVER  by BEHR,ZACH",,,,,,,"TURNOVER  by BEHR,ZACH",1
03:17,"FOUL  by BEHR,ZACH",,,,,,,"FOUL  by BEHR,ZACH",1
03:17,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:05,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
03:05,"BLOCK  by BEHR,ZACH",,,,,,,"BLOCK  by BEHR,ZACH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:49,,32,,40 (+8),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 32-40 (+8),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
02:25,"MISS JUMPER by BEHR,ZACH",,,,,,,"MISS JUMPER by BEHR,ZACH",1
02:25,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",1
--,"REBOUND OFF by GILLETTE,MATTHEW",,,,,,,"REBOUND OFF by GILLETTE,MATTHEW",1
02:22,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",34,,40 (+6),,TLUMEN 34-40 (+6),,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",1
02:12,,34,,43 (+9),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 34-43 (+9),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
01:50,"TURNOVER  by BEHR,ZACH",,,,,,,"TURNOVER  by BEHR,ZACH",1
01:50,"FOUL  by BEHR,ZACH",,,,,,,"FOUL  by BEHR,ZACH",1
01:50,"SUB IN by HAMILTON,SHAWN",,,,,,,"SUB IN by HAMILTON,SHAWN",1
01:50,"SUB OUT by BEHR,ZACH",,,,,,,"SUB OUT by BEHR,ZACH",1
01:27,"FOUL  by RAY,BLAKE",,,,,,,"FOUL  by RAY,BLAKE",1
01:27,,34,,44 (+10),"GOOD FT by GARRETT,TRAVIS",HENDRIX 34-44 (+10),,"GOOD FT by GARRETT,TRAVIS",1
01:27,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
01:15,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
01:15,"GOOD FT by SULLIVAN,MICHAEL",35,,44 (+9),,TLUMEN 35-44 (+9),,"GOOD FT by SULLIVAN,MICHAEL",1
01:15,"GOOD FT by SULLIVAN,MICHAEL",36,,44 (+8),,TLUMEN 36-44 (+8),,"GOOD FT by SULLIVAN,MICHAEL",1
00:58,,36,,47 (+11),"GOOD 3PTR by GARRETT,TRAVIS",HENDRIX 36-47 (+11),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
00:43,"GOOD JUMPER by GILLETTE,MATTHEW",38,,47 (+9),,TLUMEN 38-47 (+9),,"GOOD JUMPER by GILLETTE,MATTHEW",1
--,"ASSIST  by RAY,BLAKE",,,,,,,"ASSIST  by RAY,BLAKE",1
00:16,"FOUL  by RAY,BLAKE",,,,,,,"FOUL  by RAY,BLAKE",1
00:16,,38,,48 (+10),"GOOD FT by CRISWELL,SEAN",HENDRIX 38-48 (+10),,"GOOD FT by CRISWELL,SEAN",1
00:16,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
00:16,"SUB IN by WILLOUGHBY,JACKSON",,,,,,,"SUB IN by WILLOUGHBY,JACKSON",1
00:16,"SUB OUT by RAY,BLAKE",,,,,,,"SUB OUT by RAY,BLAKE",1
00:16,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
