Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,MVC,Game Score,Team Indicator,Play,Period
19:54,,,,,"MISS 3PTR by SPICER,TYLER",,,"MISS 3PTR by SPICER,TYLER",1
--,,,,,"REBOUND OFF by SONGSTER,CALVIN",,,"REBOUND OFF by SONGSTER,CALVIN",1
19:37,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
19:28,,,,,"MISS JUMPER by NOKES,COLT",,,"MISS JUMPER by NOKES,COLT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:10,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1
18:55,"GOOD 3PTR by GARRETT,TRAVIS",3 (+3),,0,,HENDRIX 3-0 (+3),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by LITTLEFIELD,GEAREN",,,,,,,"ASSIST  by LITTLEFIELD,GEAREN",1
18:40,,,,,"TURNOVER  by HOPPA,DANTE",,,"TURNOVER  by HOPPA,DANTE",1
18:36,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
18:33,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",5 (+5),,0,,HENDRIX 5-0 (+5),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",1
18:18,,,,,"TURNOVER  by SONGSTER,CALVIN",,,"TURNOVER  by SONGSTER,CALVIN",1
18:16,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
18:15,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",7 (+7),,0,,HENDRIX 7-0 (+7),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
18:10,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
