Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
15:39,"GOOD JUMPER by AYERS,PERRY",4,,11 (+7),,CENTRE-M 4-11 (+7),,"GOOD JUMPER by AYERS,PERRY",1
15:26,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
15:26,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
15:26,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
15:26,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
15:26,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
15:26,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
15:26,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
15:26,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
15:26,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
15:26,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
15:26,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
15:21,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
15:18,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
14:53,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
14:53,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
14:44,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
14:31,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
14:24,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
14:24,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
14:24,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:24,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
14:24,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
14:20,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
14:02,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
13:52,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
13:43,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
13:33,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
13:28,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
13:28,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
13:28,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
13:28,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
13:10,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
12:59,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
12:59,"STEAL  by GRUBER,SAM",,,,,,,"STEAL  by GRUBER,SAM",1
12:40,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
12:40,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
12:40,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
12:40,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
12:40,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
12:40,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
12:40,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
12:40,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
12:40,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
12:26,"GOOD 3PTR by SCHMUCKER,ZACH",7,,11 (+4),,CENTRE-M 7-11 (+4),,"GOOD 3PTR by SCHMUCKER,ZACH",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
12:10,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
12:00,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
12:00,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
11:52,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
11:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:37,"GOOD LAYUP by AYERS,PERRY(in the paint)",9,,11 (+2),,CENTRE-M 9-11 (+2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
11:16,,9,,14 (+5),"GOOD 3PTR by LINK,JACOB",HENDRIX 9-14 (+5),,"GOOD 3PTR by LINK,JACOB",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
10:59,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
10:26,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:09,"MISS 3PTR by SCHMUCKER,ZACH",,,,,,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
09:53,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
09:41,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
09:37,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
09:37,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
09:37,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
09:37,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:37,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
09:37,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
09:37,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
09:15,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
09:15,"BLOCK  by GUMP,MATT",,,,,,,"BLOCK  by GUMP,MATT",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
09:08,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
09:08,"GOOD FT by AYERS,PERRY",10,,14 (+4),,CENTRE-M 10-14 (+4),,"GOOD FT by AYERS,PERRY",1
09:08,"GOOD FT by AYERS,PERRY",11,,14 (+3),,CENTRE-M 11-14 (+3),,"GOOD FT by AYERS,PERRY",1
09:08,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
09:08,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
09:08,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
09:08,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
09:08,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
09:08,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
08:54,,11,,16 (+5),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 11-16 (+5),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
08:38,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
08:22,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
08:22,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
08:22,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
08:09,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
07:55,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
07:54,,,,,"STEAL  by STEELE,AARON",,,"STEAL  by STEELE,AARON",1
07:53,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
07:52,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
07:49,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:44,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:29,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
07:26,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
07:26,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
07:26,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
07:14,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",1
07:10,"GOOD LAYUP by WALKER,ART(in the paint)",13,,16 (+3),,CENTRE-M 13-16 (+3),,"GOOD LAYUP by WALKER,ART(in the paint)",1
06:40,,13,,18 (+5),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HENDRIX 13-18 (+5),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
06:40,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
06:40,,13,,19 (+6),"GOOD FT by SMITH,PRESTON",HENDRIX 13-19 (+6),,"GOOD FT by SMITH,PRESTON",1
06:40,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
06:40,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
06:17,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
06:17,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
05:57,,13,,22 (+9),"GOOD 3PTR by LINK,JACOB",HENDRIX 13-22 (+9),,"GOOD 3PTR by LINK,JACOB",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
05:37,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
05:37,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
05:37,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
05:37,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
05:37,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
05:37,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
05:37,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
05:37,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
05:37,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
05:37,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
05:37,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
05:26,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
05:11,,,,,"MISS JUMPER by BATCHELOR,BRYCE",,,"MISS JUMPER by BATCHELOR,BRYCE",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
05:02,"MISS LAYUP by GRUBER,SAM",,,,,,,"MISS LAYUP by GRUBER,SAM",1
05:02,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
05:00,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
05:00,,13,,23 (+10),"GOOD FT by BATCHELOR,BRYCE",HENDRIX 13-23 (+10),,"GOOD FT by BATCHELOR,BRYCE",1
05:00,,13,,24 (+11),"GOOD FT by BATCHELOR,BRYCE",HENDRIX 13-24 (+11),,"GOOD FT by BATCHELOR,BRYCE",1
04:46,"GOOD JUMPER by AYERS,PERRY",15,,24 (+9),,CENTRE-M 15-24 (+9),,"GOOD JUMPER by AYERS,PERRY",1
--,"ASSIST  by SCHMUCKER,ZACH",,,,,,,"ASSIST  by SCHMUCKER,ZACH",1
04:28,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
04:21,"MISS LAYUP by GRUBER,SAM",,,,,,,"MISS LAYUP by GRUBER,SAM",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
04:18,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
04:18,,15,,25 (+10),"GOOD FT by SMITH,PRESTON",HENDRIX 15-25 (+10),,"GOOD FT by SMITH,PRESTON",1
04:18,,15,,26 (+11),"GOOD FT by SMITH,PRESTON",HENDRIX 15-26 (+11),,"GOOD FT by SMITH,PRESTON",1
04:18,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
04:18,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
04:18,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
04:18,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
04:02,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:59,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
03:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:59,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
03:59,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
03:47,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
03:47,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
03:25,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND OFF by PARKER,BRYCE",,,"REBOUND OFF by PARKER,BRYCE",1
03:21,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
03:20,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
03:15,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
03:15,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:15,"GOOD FT by AYERS,PERRY",16,,26 (+10),,CENTRE-M 16-26 (+10),,"GOOD FT by AYERS,PERRY",1
03:15,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
03:15,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
03:15,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
03:15,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
03:04,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
03:04,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
02:52,"GOOD 3PTR by WALKER,ART",19,,26 (+7),,CENTRE-M 19-26 (+7),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
02:30,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by CRISWELL,SEAN",,,"REBOUND OFF by CRISWELL,SEAN",1
02:23,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",1
02:19,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
02:19,,19,,27 (+8),"GOOD FT by ALDOUS,HANK",HENDRIX 19-27 (+8),,"GOOD FT by ALDOUS,HANK",1
02:19,,19,,28 (+9),"GOOD FT by ALDOUS,HANK",HENDRIX 19-28 (+9),,"GOOD FT by ALDOUS,HANK",1
02:19,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
02:19,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
02:08,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
01:45,,19,,31 (+12),"GOOD 3PTR by STEELE,AARON",HENDRIX 19-31 (+12),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
01:22,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
01:22,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
01:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:22,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
01:22,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
01:15,,19,,33 (+14),"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HENDRIX 19-33 (+14),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
01:01,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",21,,33 (+12),,CENTRE-M 21-33 (+12),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
00:43,,21,,35 (+14),"GOOD JUMPER by ALDOUS,HANK(in the paint)",HENDRIX 21-35 (+14),,"GOOD JUMPER by ALDOUS,HANK(in the paint)",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
00:21,"GOOD LAYUP by AYERS,PERRY(in the paint)",23,,35 (+12),,CENTRE-M 23-35 (+12),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
00:19,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
00:19,"GOOD FT by AYERS,PERRY",24,,35 (+11),,CENTRE-M 24-35 (+11),,"GOOD FT by AYERS,PERRY",1
00:19,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
00:19,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
00:19,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:19,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
00:04,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
19:47,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
19:44,,24,,38 (+14),"GOOD 3PTR by STEELE,AARON",HENDRIX 24-38 (+14),,"GOOD 3PTR by STEELE,AARON",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
19:26,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",2
