Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,CENTMB,Game Score,Team Indicator,Play,Period
19:36,,,,,"TURNOVER  by BOYD,KJ",,,"TURNOVER  by BOYD,KJ",1
19:19,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by BOYD,KJ",,,"REBOUND DEF by BOYD,KJ",1
19:09,,,,,"MISS JUMPER by WEAVER,DYLLON",,,"MISS JUMPER by WEAVER,DYLLON",1
--,,,,,"REBOUND OFF by TARANTOLO,MITCHELL",,,"REBOUND OFF by TARANTOLO,MITCHELL",1
18:45,,,,,"TURNOVER  by JOHNSON,REGIS",,,"TURNOVER  by JOHNSON,REGIS",1
18:43,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
18:38,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
18:38,,,,,"BLOCK  by WEAVER,DYLLON",,,"BLOCK  by WEAVER,DYLLON",1
--,,,,,"REBOUND DEF by BOYD,KJ",,,"REBOUND DEF by BOYD,KJ",1
18:26,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
18:21,,0,,2 (+2),"GOOD JUMPER by BOYD,KJ(in the paint)",CENTMB 0-2 (-2),,"GOOD JUMPER by BOYD,KJ(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,REGIS",,,"ASSIST  by JOHNSON,REGIS",1
18:10,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by BOYD,KJ",,,"REBOUND DEF by BOYD,KJ",1
18:05,,0,,4 (+4),"GOOD LAYUP by WEAVER,DYLLON(fastbreak)(in the paint)",CENTMB 0-4 (-4),,"GOOD LAYUP by WEAVER,DYLLON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BOYD,KJ",,,"ASSIST  by BOYD,KJ",1
17:50,"GOOD 3PTR by ALDOUS,HANK",3,,4 (+1),,HENDRIX 3-4 (-1),,"GOOD 3PTR by ALDOUS,HANK",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
17:42,,,,,"TURNOVER  by BOYD,KJ",,,"TURNOVER  by BOYD,KJ",1
17:41,"STEAL  by LITTLEFIELD,GEAREN",,,,,,,"STEAL  by LITTLEFIELD,GEAREN",1
17:30,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by JOHNSON,REGIS",,,"REBOUND DEF by JOHNSON,REGIS",1
17:07,,,,,"TURNOVER  by TARANTOLO,MITCHELL",,,"TURNOVER  by TARANTOLO,MITCHELL",1
17:07,,,,,"SUB IN by SAPP,JAMES",,,"SUB IN by SAPP,JAMES",1
17:07,,,,,"SUB OUT by TARANTOLO,MITCHELL",,,"SUB OUT by TARANTOLO,MITCHELL",1
16:57,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
16:45,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",5 (+1),,4,,HENDRIX 5-4 (+1),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
16:17,,5,,6 (+1),"GOOD JUMPER by SAPP,JAMES",CENTMB 5-6 (-1),,"GOOD JUMPER by SAPP,JAMES",1
--,,,,,"ASSIST  by KIRKENDOLL,TRAVION",,,"ASSIST  by KIRKENDOLL,TRAVION",1
15:53,,,,,"FOUL  by JOHNSON,REGIS",,,"FOUL  by JOHNSON,REGIS",1
15:53,"GOOD FT by ALDOUS,HANK",6,,6,,HENDRIX 6-6 (0),,"GOOD FT by ALDOUS,HANK",1
15:53,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by WEAVER,DYLLON",,,"REBOUND DEF by WEAVER,DYLLON",1
15:39,,6,,8 (+2),"GOOD JUMPER by KIRKENDOLL,TRAVION(in the paint)",CENTMB 6-8 (-2),,"GOOD JUMPER by KIRKENDOLL,TRAVION(in the paint)",1
--,,,,,"ASSIST  by WEAVER,DYLLON",,,"ASSIST  by WEAVER,DYLLON",1
15:27,,,,,"FOUL  by BOYD,KJ",,,"FOUL  by BOYD,KJ",1
15:21,"GOOD FT by LITTLEFIELD,GEAREN",7,,8 (+1),,HENDRIX 7-8 (-1),,"GOOD FT by LITTLEFIELD,GEAREN",1
15:21,"GOOD FT by LITTLEFIELD,GEAREN",8,,8,,HENDRIX 8-8 (0),,"GOOD FT by LITTLEFIELD,GEAREN",1
15:21,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
15:21,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
15:21,,,,,"SUB IN by GRAY,JERICHO",,,"SUB IN by GRAY,JERICHO",1
15:21,,,,,"SUB OUT by JOHNSON,REGIS",,,"SUB OUT by JOHNSON,REGIS",1
15:21,,,,,"SUB OUT by WEAVER,DYLLON",,,"SUB OUT by WEAVER,DYLLON",1
15:01,,,,,"TURNOVER  by KIRKENDOLL,TRAVION",,,"TURNOVER  by KIRKENDOLL,TRAVION",1
15:00,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
