Time Remaining,16BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
14:54,"GOOD LAYUP by GRAHAM,CHRIS(fastbreak)(in the paint)",6,,14 (+8),,16BSC-M 6-14 (+8),,"GOOD LAYUP by GRAHAM,CHRIS(fastbreak)(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
14:37,,6,,16 (+10),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HENDRIX 6-16 (+10),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
14:05,"TURNOVER  by GRAHAM,CHRIS",,,,,,,"TURNOVER  by GRAHAM,CHRIS",1
14:05,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
14:05,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
13:52,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
13:52,,,,,"MISS FT by NOTLEY,CHANDLER",,,"MISS FT by NOTLEY,CHANDLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:52,,6,,17 (+11),"GOOD FT by NOTLEY,CHANDLER",HENDRIX 6-17 (+11),,"GOOD FT by NOTLEY,CHANDLER",1
13:52,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
13:52,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
13:41,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
13:27,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
13:27,"GOOD FT by MOORE,KADEN",7,,17 (+10),,16BSC-M 7-17 (+10),,"GOOD FT by MOORE,KADEN",1
13:27,"MISS FT by MOORE,KADEN",,,,,,,"MISS FT by MOORE,KADEN",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
13:27,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
13:27,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
13:27,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
13:27,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
13:27,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
13:27,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
13:13,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
13:12,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
13:04,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",9,,17 (+8),,16BSC-M 9-17 (+8),,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",1
12:41,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
12:41,"BLOCK  by MOORE,KADEN",,,,,,,"BLOCK  by MOORE,KADEN",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
12:31,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
12:18,,,,,"MISS JUMPER by BATCHELOR,BRYCE",,,"MISS JUMPER by BATCHELOR,BRYCE",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
11:52,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",1
11:52,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:51,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:51,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
11:51,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
11:51,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
11:51,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
11:51,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
11:51,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
11:51,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
11:51,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
11:51,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
11:51,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
11:46,"MISS JUMPER by MCLEAN,JAMES",,,,,,,"MISS JUMPER by MCLEAN,JAMES",1
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",1
11:44,"MISS LAYUP by MCLEAN,JAMES",,,,,,,"MISS LAYUP by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
11:29,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by PARKER,BRYCE",,,"REBOUND OFF by PARKER,BRYCE",1
11:23,,9,,20 (+11),"GOOD 3PTR by GARRETT,TRAVIS",HENDRIX 9-20 (+11),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
10:59,"MISS JUMPER by MCLEAN,JAMES",,,,,,,"MISS JUMPER by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
10:53,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
10:53,,,,,"MISS FT by PARKER,BRYCE",,,"MISS FT by PARKER,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:53,,,,,"MISS FT by PARKER,BRYCE",,,"MISS FT by PARKER,BRYCE",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
10:53,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
10:53,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
10:53,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
10:53,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
10:34,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
10:34,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
10:34,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
10:32,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",1
10:20,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
09:59,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
09:52,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",11,,20 (+9),,16BSC-M 11-20 (+9),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
09:41,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
09:31,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
09:20,"FOUL  by PERKINS,ALEX",,,,,,,"FOUL  by PERKINS,ALEX",1
09:11,,11,,22 (+11),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 11-22 (+11),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
08:47,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
08:47,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
08:47,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
08:47,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
08:47,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
08:47,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
08:47,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
08:23,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
07:58,,11,,25 (+14),"GOOD 3PTR by PARKER,BRYCE",HENDRIX 11-25 (+14),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
07:27,"GOOD LAYUP by LEWIS,EVAN(in the paint)",13,,25 (+12),,16BSC-M 13-25 (+12),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
--,"ASSIST  by HARDIMAN,BEN",,,,,,,"ASSIST  by HARDIMAN,BEN",1
07:01,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
07:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:01,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
07:01,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
06:52,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
06:52,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
06:44,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
06:44,"GOOD FT by GRAHAM,CHRIS",14,,25 (+11),,16BSC-M 14-25 (+11),,"GOOD FT by GRAHAM,CHRIS",1
06:44,"GOOD FT by GRAHAM,CHRIS",15,,25 (+10),,16BSC-M 15-25 (+10),,"GOOD FT by GRAHAM,CHRIS",1
06:34,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
06:22,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
06:16,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
05:58,"MISS LAYUP by MCLEAN,JAMES",,,,,,,"MISS LAYUP by MCLEAN,JAMES",1
05:58,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:57,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
05:57,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
05:57,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
05:57,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
05:57,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
05:57,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
05:51,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:49,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
05:49,,15,,26 (+11),"GOOD FT by GARRETT,TRAVIS",HENDRIX 15-26 (+11),,"GOOD FT by GARRETT,TRAVIS",1
05:49,,15,,27 (+12),"GOOD FT by GARRETT,TRAVIS",HENDRIX 15-27 (+12),,"GOOD FT by GARRETT,TRAVIS",1
05:49,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
05:49,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
05:34,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
05:34,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
05:24,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
05:24,,15,,28 (+13),"GOOD FT by GARRETT,TRAVIS",HENDRIX 15-28 (+13),,"GOOD FT by GARRETT,TRAVIS",1
05:24,,15,,29 (+14),"GOOD FT by GARRETT,TRAVIS",HENDRIX 15-29 (+14),,"GOOD FT by GARRETT,TRAVIS",1
05:24,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
05:24,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
05:24,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
05:24,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
05:24,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
05:24,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
05:19,"MISS 3PTR by RUDAK,MATTY",,,,,,,"MISS 3PTR by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",1
05:02,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",1
04:39,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
04:38,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",1
04:23,,15,,32 (+17),"GOOD 3PTR by PARKER,BRYCE",HENDRIX 15-32 (+17),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
03:54,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
03:54,,,,,"BLOCK  by PARKER,BRYCE",,,"BLOCK  by PARKER,BRYCE",1
--,"REBOUND OFF by RUDAK,MATTY",,,,,,,"REBOUND OFF by RUDAK,MATTY",1
03:52,"GOOD LAYUP by RUDAK,MATTY(in the paint)",17,,32 (+15),,16BSC-M 17-32 (+15),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
03:18,,17,,34 (+17),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 17-34 (+17),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
02:58,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
02:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:58,"GOOD FT by LEWIS,EVAN",18,,34 (+16),,16BSC-M 18-34 (+16),,"GOOD FT by LEWIS,EVAN",1
02:58,"GOOD FT by LEWIS,EVAN",19,,34 (+15),,16BSC-M 19-34 (+15),,"GOOD FT by LEWIS,EVAN",1
02:58,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
02:58,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
02:35,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
02:19,"MISS LAYUP by RUDAK,MATTY",,,,,,,"MISS LAYUP by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
01:54,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",1
01:54,,19,,35 (+16),"GOOD FT by LITTLEFIELD,GEAREN",HENDRIX 19-35 (+16),,"GOOD FT by LITTLEFIELD,GEAREN",1
01:54,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
01:54,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
01:54,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
01:41,"GOOD LAYUP by THOM,IAN(in the paint)",21,,35 (+14),,16BSC-M 21-35 (+14),,"GOOD LAYUP by THOM,IAN(in the paint)",1
--,"ASSIST  by GRAHAM,CHRIS",,,,,,,"ASSIST  by GRAHAM,CHRIS",1
01:28,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
01:27,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",1
01:24,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
01:24,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:24,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",1
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",1
01:24,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
01:24,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
01:21,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",23,,35 (+12),,16BSC-M 23-35 (+12),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
01:09,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
01:09,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:09,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
01:09,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
01:09,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
00:53,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",25,,35 (+10),,16BSC-M 25-35 (+10),,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
00:41,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:33,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1
00:33,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:33,,25,,36 (+11),"GOOD FT by STEELE,AARON",HENDRIX 25-36 (+11),,"GOOD FT by STEELE,AARON",1
00:09,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",1
00:04,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",27,,36 (+9),,16BSC-M 27-36 (+9),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
00:01,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
00:00,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",1
00:00,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
19:37,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
