Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:41,,0,,2 (+2),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 0-2 (-2),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
19:27,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
19:25,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
19:09,,0,,4 (+4),"GOOD JUMPER by BORN,LEO",SEWANEE 0-4 (-4),,"GOOD JUMPER by BORN,LEO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:45,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
18:21,,0,,6 (+6),"GOOD JUMPER by STONE,BRODY",SEWANEE 0-6 (-6),,"GOOD JUMPER by STONE,BRODY",1
18:05,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:59,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:36,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
17:22,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
17:17,,0,,8 (+8),"GOOD LAYUP by BORN,LEO(in the paint)",SEWANEE 0-8 (-8),,"GOOD LAYUP by BORN,LEO(in the paint)",1
16:53,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
16:53,"GOOD FT by ALDOUS,HANK",1,,8 (+7),,HENDRIX 1-8 (-7),,"GOOD FT by ALDOUS,HANK",1
16:53,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
16:53,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
16:53,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
16:31,,,,,"MISS JUMPER by BORN,CLAY",,,"MISS JUMPER by BORN,CLAY",1
16:31,"BLOCK  by ALDOUS,HANK",,,,,,,"BLOCK  by ALDOUS,HANK",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
16:20,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
16:09,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
16:04,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
16:04,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:04,,1,,9 (+8),"GOOD FT by CALDWELL,CAM",SEWANEE 1-9 (-8),,"GOOD FT by CALDWELL,CAM",1
15:46,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
15:16,,,,,"MISS LAYUP by BORN,LEO",,,"MISS LAYUP by BORN,LEO",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
15:08,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
14:58,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",1
14:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:58,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
14:58,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
14:58,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
14:58,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
14:58,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
14:58,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
14:39,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
14:39,,,,,"SUB IN by HOWELL,TAYLOR",,,"SUB IN by HOWELL,TAYLOR",1
14:39,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
14:27,"GOOD JUMPER by ALDOUS,HANK",3,,9 (+6),,HENDRIX 3-9 (-6),,"GOOD JUMPER by ALDOUS,HANK",1
14:04,,,,,"MISS 3PTR by CRUMLY,JONNY",,,"MISS 3PTR by CRUMLY,JONNY",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
13:50,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
