Time Remaining,RUSTMB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:51,,0,,2 (+2),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 0-2 (+2),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
19:31,"GOOD JUMPER by POTTS,ALLEN",2,,2,,RUSTMB 2-2 (0),,"GOOD JUMPER by POTTS,ALLEN",1
--,"ASSIST  by JACKSON,JARVIS",,,,,,,"ASSIST  by JACKSON,JARVIS",1
19:12,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND DEF by JACKSON,JARVIS",,,,,,,"REBOUND DEF by JACKSON,JARVIS",1
18:54,"GOOD LAYUP by JONES,ANTONIO(in the paint)",4 (+2),,2,,RUSTMB 4-2 (-2),,"GOOD LAYUP by JONES,ANTONIO(in the paint)",1
18:29,,4,,4,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 4-4 (0),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
18:03,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1
--,"REBOUND OFF by JONES,ANTONIO",,,,,,,"REBOUND OFF by JONES,ANTONIO",1
17:48,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
17:35,,4,,7 (+3),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 4-7 (+3),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
17:16,"MISS 3PTR by JACKSON,JARVIS",,,,,,,"MISS 3PTR by JACKSON,JARVIS",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
17:05,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by JONES,ANTONIO",,,,,,,"REBOUND DEF by JONES,ANTONIO",1
16:33,"GOOD JUMPER by BROWN,DOMINIQUE",6,,7 (+1),,RUSTMB 6-7 (+1),,"GOOD JUMPER by BROWN,DOMINIQUE",1
--,"ASSIST  by HARRIS,ARTEZ",,,,,,,"ASSIST  by HARRIS,ARTEZ",1
16:16,,6,,9 (+3),"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 6-9 (+3),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",1
16:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:51,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
15:46,"FOUL  by JONES,ANTONIO",,,,,,,"FOUL  by JONES,ANTONIO",1
15:29,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
15:29,"BLOCK  by JACKSON,JARVIS",,,,,,,"BLOCK  by JACKSON,JARVIS",1
--,"REBOUND DEF by JONES,ANTONIO",,,,,,,"REBOUND DEF by JONES,ANTONIO",1
15:18,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
15:08,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by JONES,ANTONIO",,,,,,,"REBOUND DEF by JONES,ANTONIO",1
14:55,"GOOD LAYUP by POTTS,ALLEN(in the paint)",8,,9 (+1),,RUSTMB 8-9 (+1),,"GOOD LAYUP by POTTS,ALLEN(in the paint)",1
--,"ASSIST  by BROWN,DOMINIQUE",,,,,,,"ASSIST  by BROWN,DOMINIQUE",1
14:26,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
14:25,"STEAL  by HARRIS,ARTEZ",,,,,,,"STEAL  by HARRIS,ARTEZ",1
14:16,"MISS 3PTR by BROWN,DOMINIQUE",,,,,,,"MISS 3PTR by BROWN,DOMINIQUE",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
14:07,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",1
14:05,,8,,11 (+3),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 8-11 (+3),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
13:51,"SUB IN by FOWLER,DEWAUN",,,,,,,"SUB IN by FOWLER,DEWAUN",1
13:51,"SUB OUT by JACKSON,JARVIS",,,,,,,"SUB OUT by JACKSON,JARVIS",1
13:39,"GOOD 3PTR by BROWN,DOMINIQUE",11,,11,,RUSTMB 11-11 (0),,"GOOD 3PTR by BROWN,DOMINIQUE",1
--,"ASSIST  by JONES,ANTONIO",,,,,,,"ASSIST  by JONES,ANTONIO",1
13:27,"FOUL  by POTTS,ALLEN",,,,,,,"FOUL  by POTTS,ALLEN",1
13:27,"SUB IN by WRIGHT,OMAR",,,,,,,"SUB IN by WRIGHT,OMAR",1
13:27,"SUB IN by CATER,ROMEO",,,,,,,"SUB IN by CATER,ROMEO",1
13:27,"SUB OUT by POTTS,ALLEN",,,,,,,"SUB OUT by POTTS,ALLEN",1
13:27,"SUB OUT by HARRIS,ARTEZ",,,,,,,"SUB OUT by HARRIS,ARTEZ",1
13:27,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
13:27,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
13:27,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
13:27,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
13:26,,11,,13 (+2),"GOOD LAYUP by STEELE,AARON(in the paint)",HENDRIX 11-13 (+2),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
12:55,"GOOD LAYUP by JONES,ANTONIO(in the paint)",13,,13,,RUSTMB 13-13 (0),,"GOOD LAYUP by JONES,ANTONIO(in the paint)",1
--,"ASSIST  by FOWLER,DEWAUN",,,,,,,"ASSIST  by FOWLER,DEWAUN",1
12:42,,13,,16 (+3),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 13-16 (+3),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
12:33,"MISS 3PTR by BROWN,DOMINIQUE",,,,,,,"MISS 3PTR by BROWN,DOMINIQUE",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
12:13,,13,,18 (+5),"GOOD JUMPER by GARRETT,TRAVIS(in the paint)",HENDRIX 13-18 (+5),,"GOOD JUMPER by GARRETT,TRAVIS(in the paint)",1
11:49,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
11:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:49,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
11:49,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
11:39,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
11:39,"MISS FT by WRIGHT,OMAR",,,,,,,"MISS FT by WRIGHT,OMAR",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:39,"GOOD FT by WRIGHT,OMAR",14,,18 (+4),,RUSTMB 14-18 (+4),,"GOOD FT by WRIGHT,OMAR",1
11:39,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
11:39,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
11:24,,14,,20 (+6),"GOOD LAYUP by PARKER,BRYCE(in the paint)",HENDRIX 14-20 (+6),,"GOOD LAYUP by PARKER,BRYCE(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
11:01,"MISS LAYUP by JONES,ANTONIO",,,,,,,"MISS LAYUP by JONES,ANTONIO",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
10:48,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:46,"FOUL  by CATER,ROMEO",,,,,,,"FOUL  by CATER,ROMEO",1
10:44,,14,,22 (+8),"GOOD JUMPER by STEELE,AARON",HENDRIX 14-22 (+8),,"GOOD JUMPER by STEELE,AARON",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
10:26,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
10:26,"MISS FT by BROWN,DOMINIQUE",,,,,,,"MISS FT by BROWN,DOMINIQUE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:26,"GOOD FT by BROWN,DOMINIQUE",15,,22 (+7),,RUSTMB 15-22 (+7),,"GOOD FT by BROWN,DOMINIQUE",1
10:26,"SUB IN by POTTS,ALLEN",,,,,,,"SUB IN by POTTS,ALLEN",1
10:26,"SUB OUT by BROWN,DOMINIQUE",,,,,,,"SUB OUT by BROWN,DOMINIQUE",1
10:21,,15,,25 (+10),"GOOD 3PTR by BATCHELOR,BRYCE",HENDRIX 15-25 (+10),,"GOOD 3PTR by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
09:59,"GOOD JUMPER by POTTS,ALLEN",17,,25 (+8),,RUSTMB 17-25 (+8),,"GOOD JUMPER by POTTS,ALLEN",1
--,"ASSIST  by WRIGHT,OMAR",,,,,,,"ASSIST  by WRIGHT,OMAR",1
09:42,,17,,27 (+10),"GOOD LAYUP by STEELE,AARON(in the paint)",HENDRIX 17-27 (+10),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
09:29,"MISS JUMPER by JONES,ANTONIO",,,,,,,"MISS JUMPER by JONES,ANTONIO",1
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",1
09:09,,,,,"MISS LAYUP by PARKER,BRYCE",,,"MISS LAYUP by PARKER,BRYCE",1
09:09,"BLOCK  by JONES,ANTONIO",,,,,,,"BLOCK  by JONES,ANTONIO",1
--,,,,,"REBOUND OFF by PARKER,BRYCE",,,"REBOUND OFF by PARKER,BRYCE",1
09:03,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
09:03,"STEAL  by FOWLER,DEWAUN",,,,,,,"STEAL  by FOWLER,DEWAUN",1
08:45,"GOOD LAYUP by JONES,ANTONIO(in the paint)",19,,27 (+8),,RUSTMB 19-27 (+8),,"GOOD LAYUP by JONES,ANTONIO(in the paint)",1
--,"ASSIST  by FOWLER,DEWAUN",,,,,,,"ASSIST  by FOWLER,DEWAUN",1
08:29,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by WRIGHT,OMAR",,,,,,,"REBOUND DEF by WRIGHT,OMAR",1
08:11,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1
--,"REBOUND OFF by JONES,ANTONIO",,,,,,,"REBOUND OFF by JONES,ANTONIO",1
08:05,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",1
08:05,"SUB IN by JACKSON,JARVIS",,,,,,,"SUB IN by JACKSON,JARVIS",1
08:05,"SUB OUT by WRIGHT,OMAR",,,,,,,"SUB OUT by WRIGHT,OMAR",1
08:05,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
08:05,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
08:05,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
08:05,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
07:55,"GOOD LAYUP by POTTS,ALLEN(in the paint)",21,,27 (+6),,RUSTMB 21-27 (+6),,"GOOD LAYUP by POTTS,ALLEN(in the paint)",1
--,"ASSIST  by FOWLER,DEWAUN",,,,,,,"ASSIST  by FOWLER,DEWAUN",1
07:42,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by JACKSON,JARVIS",,,,,,,"REBOUND DEF by JACKSON,JARVIS",1
07:38,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
07:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:21,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:19,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
07:15,"MISS JUMPER by JACKSON,JARVIS",,,,,,,"MISS JUMPER by JACKSON,JARVIS",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
07:09,,21,,29 (+8),"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HENDRIX 21-29 (+8),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
06:37,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
06:37,"GOOD FT by CATER,ROMEO",22,,29 (+7),,RUSTMB 22-29 (+7),,"GOOD FT by CATER,ROMEO",1
06:37,"MISS FT by CATER,ROMEO",,,,,,,"MISS FT by CATER,ROMEO",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
06:37,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
06:37,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
06:37,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
06:37,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
06:16,"FOUL  by JONES,ANTONIO",,,,,,,"FOUL  by JONES,ANTONIO",1
06:16,,22,,30 (+8),"GOOD FT by ALDOUS,HANK",HENDRIX 22-30 (+8),,"GOOD FT by ALDOUS,HANK",1
06:16,,22,,31 (+9),"GOOD FT by ALDOUS,HANK",HENDRIX 22-31 (+9),,"GOOD FT by ALDOUS,HANK",1
06:16,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
06:16,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
05:59,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
05:50,,22,,33 (+11),"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HENDRIX 22-33 (+11),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
05:37,"MISS 3PTR by JACKSON,JARVIS",,,,,,,"MISS 3PTR by JACKSON,JARVIS",1
