Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,NPU,Game Score,Team Indicator,Play,Period
19:46,,,,,"MISS LAYUP by VANLANDINGHAM,KOLDEN(in the paint)",,,"MISS LAYUP by VANLANDINGHAM,KOLDEN(in the paint)",1
--,,,,,"REBOUND OFF by VANLANDINGHAM,KOLDEN",,,"REBOUND OFF by VANLANDINGHAM,KOLDEN",1
19:28,,,,,"MISS JUMPER by VANLANDINGHAM,KOLDEN(in the paint)",,,"MISS JUMPER by VANLANDINGHAM,KOLDEN(in the paint)",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
19:03,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:36,,0,,2 (+2),"GOOD LAYUP by BOYD,JORDAN(in the paint)",NPU 0-2 (-2),,"GOOD LAYUP by BOYD,JORDAN(in the paint)",1
17:58,"GOOD LAYUP by KAHL,COLIN(in the paint)",2,,2,,Sewan 2-2 (0),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
17:46,,2,,5 (+3),"GOOD 3PTR by BOYD,JALEN",NPU 2-5 (-3),,"GOOD 3PTR by BOYD,JALEN",1
17:30,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by VANLANDINGHAM,KOLDEN",,,"REBOUND DEF by VANLANDINGHAM,KOLDEN",1
17:15,,2,,7 (+5),"GOOD LAYUP by BOYD,JORDAN(in the paint)",NPU 2-7 (-5),,"GOOD LAYUP by BOYD,JORDAN(in the paint)",1
--,,,,,"ASSIST  by JACKSON,MARQUISE",,,"ASSIST  by JACKSON,MARQUISE",1
17:05,,,,,"FOUL  by BOYD,JALEN",,,"FOUL  by BOYD,JALEN",1
16:49,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",1
--,,,,,"REBOUND DEF by PUMPHREY,SHAMAR",,,"REBOUND DEF by PUMPHREY,SHAMAR",1
16:40,,2,,10 (+8),"GOOD 3PTR by VANLANDINGHAM,KOLDEN",NPU 2-10 (-8),,"GOOD 3PTR by VANLANDINGHAM,KOLDEN",1
--,,,,,"ASSIST  by BOYD,JORDAN",,,"ASSIST  by BOYD,JORDAN",1
16:22,"GOOD LAYUP by KAHL,COLIN(in the paint)",4,,10 (+6),,Sewan 4-10 (-6),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
16:11,,,,,"MISS LAYUP by BOYD,JORDAN(in the paint)",,,"MISS LAYUP by BOYD,JORDAN(in the paint)",1
16:11,"BLOCK  by MARR,RUSS",,,,,,,"BLOCK  by MARR,RUSS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:11,,,,,"SUB OUT by BOYD,JORDAN",,,"SUB OUT by BOYD,JORDAN",1
16:11,,,,,"SUB IN by BULWA,ADAM",,,"SUB IN by BULWA,ADAM",1
16:02,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1
16:02,,,,,"MISS FT by BULWA,ADAM",,,"MISS FT by BULWA,ADAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:02,,4,,11 (+7),"GOOD FT by BULWA,ADAM",NPU 4-11 (-7),,"GOOD FT by BULWA,ADAM",1
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:37,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:33,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
15:33,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
15:11,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
15:11,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
15:01,"GOOD LAYUP by CRUMP,JOHN(in the paint)",6,,11 (+5),,Sewan 6-11 (-5),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
14:58,,,,,"MISS LAYUP by JACKSON,MARQUISE(in the paint)",,,"MISS LAYUP by JACKSON,MARQUISE(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:56,,,,,"SUB OUT by BOYD,JALEN",,,"SUB OUT by BOYD,JALEN",1
14:56,,,,,"SUB IN by DIXON,QUILLIN",,,"SUB IN by DIXON,QUILLIN",1
14:38,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
14:23,,6,,13 (+7),"GOOD LAYUP by PUMPHREY,SHAMAR(in the paint)",NPU 6-13 (-7),,"GOOD LAYUP by PUMPHREY,SHAMAR(in the paint)",1
--,,,,,"ASSIST  by BULWA,ADAM",,,"ASSIST  by BULWA,ADAM",1
14:13,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
14:06,,,,,"MISS 3PTR by DIXON,QUILLIN",,,"MISS 3PTR by DIXON,QUILLIN",1
--,,,,,"REBOUND OFF by JACKSON,MARQUISE",,,"REBOUND OFF by JACKSON,MARQUISE",1
13:46,,,,,"FOUL  by BULWA,ADAM",,,"FOUL  by BULWA,ADAM",1
13:46,,,,,"SUB OUT by BULWA,ADAM",,,"SUB OUT by BULWA,ADAM",1
13:46,,,,,"SUB IN by BOYD,JORDAN",,,"SUB IN by BOYD,JORDAN",1
13:46,,,,,"SUB OUT by VANLANDINGHAM,KOLDEN",,,"SUB OUT by VANLANDINGHAM,KOLDEN",1
13:46,,,,,"SUB IN by ROBINSON,DAVANTE",,,"SUB IN by ROBINSON,DAVANTE",1
13:38,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
13:21,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",1
13:21,,,,,"SUB OUT by PUMPHREY,SHAMAR",,,"SUB OUT by PUMPHREY,SHAMAR",1
13:21,,,,,"SUB IN by NELSON,LANCE",,,"SUB IN by NELSON,LANCE",1
13:21,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
13:21,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
13:21,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
13:21,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",1
13:19,,6,,15 (+9),"GOOD LAYUP by BOYD,JORDAN(in the paint)",NPU 6-15 (-9),,"GOOD LAYUP by BOYD,JORDAN(in the paint)",1
--,,,,,"ASSIST  by JACKSON,MARQUISE",,,"ASSIST  by JACKSON,MARQUISE",1
12:55,"MISS JUMPER by KAHL,COLIN",,,,,,,"MISS JUMPER by KAHL,COLIN",1
--,,,,,"REBOUND DEF by ROBINSON,DAVANTE",,,"REBOUND DEF by ROBINSON,DAVANTE",1
12:42,,,,,"MISS JUMPER by BOYD,JORDAN",,,"MISS JUMPER by BOYD,JORDAN",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
12:31,"MISS JUMPER by CRUMP,JOHN(in the paint)",,,,,,,"MISS JUMPER by CRUMP,JOHN(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:29,,,,,"SUB OUT by JACKSON,MARQUISE",,,"SUB OUT by JACKSON,MARQUISE",1
12:29,,,,,"SUB IN by PUMPHREY,SHAMAR",,,"SUB IN by PUMPHREY,SHAMAR",1
12:27,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by PUMPHREY,SHAMAR",,,"REBOUND DEF by PUMPHREY,SHAMAR",1
12:14,,6,,17 (+11),"GOOD LAYUP by BOYD,JORDAN(in the paint)",NPU 6-17 (-11),,"GOOD LAYUP by BOYD,JORDAN(in the paint)",1
--,,,,,"ASSIST  by PUMPHREY,SHAMAR",,,"ASSIST  by PUMPHREY,SHAMAR",1
11:48,,,,,"FOUL  by DIXON,QUILLIN",,,"FOUL  by DIXON,QUILLIN",1
11:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:48,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
11:48,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
11:48,"MISS FT by KAHL,COLIN",,,,,,,"MISS FT by KAHL,COLIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:48,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
11:48,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",1
11:48,"GOOD FT by KAHL,COLIN",7,,17 (+10),,Sewan 7-17 (-10),,"GOOD FT by KAHL,COLIN",1
11:39,,7,,20 (+13),"GOOD 3PTR by ROBINSON,DAVANTE",NPU 7-20 (-13),,"GOOD 3PTR by ROBINSON,DAVANTE",1
--,,,,,"ASSIST  by NELSON,LANCE",,,"ASSIST  by NELSON,LANCE",1
11:08,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
11:08,,,,,"STEAL  by PUMPHREY,SHAMAR",,,"STEAL  by PUMPHREY,SHAMAR",1
11:05,"FOUL  by WILLIAMS,RASHAUN",,,,,,,"FOUL  by WILLIAMS,RASHAUN",1
10:59,,,,,"MISS JUMPER by DIXON,QUILLIN(in the paint)",,,"MISS JUMPER by DIXON,QUILLIN(in the paint)",1
--,"REBOUND DEF by SMITH,GRAHAM",,,,,,,"REBOUND DEF by SMITH,GRAHAM",1
10:47,"MISS 3PTR by WILLIAMS,RASHAUN",,,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:44,,,,,"SUB OUT by ROBINSON,DAVANTE",,,"SUB OUT by ROBINSON,DAVANTE",1
10:44,,,,,"SUB OUT by NELSON,LANCE",,,"SUB OUT by NELSON,LANCE",1
10:44,,,,,"SUB OUT by DIXON,QUILLIN",,,"SUB OUT by DIXON,QUILLIN",1
10:44,,,,,"SUB IN by VANLANDINGHAM,KOLDEN",,,"SUB IN by VANLANDINGHAM,KOLDEN",1
10:44,,,,,"SUB IN by JACKSON,MARQUISE",,,"SUB IN by JACKSON,MARQUISE",1
10:44,,,,,"SUB IN by BOYD,JALEN",,,"SUB IN by BOYD,JALEN",1
10:28,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",1
10:20,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1
10:20,,7,,21 (+14),"GOOD FT by BOYD,JORDAN",NPU 7-21 (-14),,"GOOD FT by BOYD,JORDAN",1
10:20,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
10:20,"SUB OUT by WILLIAMS,RASHAUN",,,,,,,"SUB OUT by WILLIAMS,RASHAUN",1
10:20,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
10:20,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
10:20,,7,,22 (+15),"GOOD FT by BOYD,JORDAN",NPU 7-22 (-15),,"GOOD FT by BOYD,JORDAN",1
10:08,,,,,"FOUL  by JACKSON,MARQUISE",,,"FOUL  by JACKSON,MARQUISE",1
09:52,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
09:46,,,,,"MISS 3PTR by PUMPHREY,SHAMAR",,,"MISS 3PTR by PUMPHREY,SHAMAR",1
--,,,,,"REBOUND OFF by BOYD,JORDAN",,,"REBOUND OFF by BOYD,JORDAN",1
09:41,,,,,"FOUL  by BOYD,JORDAN",,,"FOUL  by BOYD,JORDAN",1
09:41,,,,,"TURNOVER  by BOYD,JORDAN",,,"TURNOVER  by BOYD,JORDAN",1
09:41,,,,,"SUB OUT by BOYD,JORDAN",,,"SUB OUT by BOYD,JORDAN",1
09:41,,,,,"SUB IN by POLK, JR.,KARL",,,"SUB IN by POLK, JR.,KARL",1
09:12,"TURNOVER  by HOLLAND,ELI",,,,,,,"TURNOVER  by HOLLAND,ELI",1
09:12,,,,,"STEAL  by VANLANDINGHAM,KOLDEN",,,"STEAL  by VANLANDINGHAM,KOLDEN",1
09:08,,,,,"TURNOVER  by VANLANDINGHAM,KOLDEN",,,"TURNOVER  by VANLANDINGHAM,KOLDEN",1
08:56,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:54,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
08:40,,,,,"TURNOVER  by VANLANDINGHAM,KOLDEN",,,"TURNOVER  by VANLANDINGHAM,KOLDEN",1
08:29,"GOOD LAYUP by HOLLAND,ELI(in the paint)",9,,22 (+13),,Sewan 9-22 (-13),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",1
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",1
08:21,,9,,24 (+15),"GOOD LAYUP by JACKSON,MARQUISE(fastbreak)(in the paint)",NPU 9-24 (-15),,"GOOD LAYUP by JACKSON,MARQUISE(fastbreak)(in the paint)",1
07:58,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",11,,24 (+13),,Sewan 11-24 (-13),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
--,"ASSIST  by HOLLAND,ELI",,,,,,,"ASSIST  by HOLLAND,ELI",1
07:39,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
07:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:38,,,,,"MISS FT by JACKSON,MARQUISE",,,"MISS FT by JACKSON,MARQUISE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:38,,11,,25 (+14),"GOOD FT by JACKSON,MARQUISE",NPU 11-25 (-14),,"GOOD FT by JACKSON,MARQUISE",1
07:13,"MISS JUMPER by MARR,RUSS(in the paint)",,,,,,,"MISS JUMPER by MARR,RUSS(in the paint)",1
--,,,,,"REBOUND DEF by BOYD,JALEN",,,"REBOUND DEF by BOYD,JALEN",1
07:02,,,,,"SUB OUT by POLK, JR.,KARL",,,"SUB OUT by POLK, JR.,KARL",1
07:02,,,,,"SUB IN by BULWA,ADAM",,,"SUB IN by BULWA,ADAM",1
06:56,,,,,"MISS 3PTR by BOYD,JALEN",,,"MISS 3PTR by BOYD,JALEN",1
--,,,,,"REBOUND OFF by PUMPHREY,SHAMAR",,,"REBOUND OFF by PUMPHREY,SHAMAR",1
06:40,,,,,"TURNOVER  by VANLANDINGHAM,KOLDEN",,,"TURNOVER  by VANLANDINGHAM,KOLDEN",1
06:40,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",1
06:39,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by BOYD,JALEN",,,"REBOUND DEF by BOYD,JALEN",1
06:34,,,,,"TURNOVER  by BOYD,JALEN",,,"TURNOVER  by BOYD,JALEN",1
06:34,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",1
06:29,"GOOD LAYUP by AVALIANI,LUKA(fastbreak)(in the paint)",13,,25 (+12),,Sewan 13-25 (-12),,"GOOD LAYUP by AVALIANI,LUKA(fastbreak)(in the paint)",1
06:20,,,,,"MISS 3PTR by VANLANDINGHAM,KOLDEN",,,"MISS 3PTR by VANLANDINGHAM,KOLDEN",1
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",1
06:01,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",1
05:57,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",1
--,,,,,"REBOUND DEF by BULWA,ADAM",,,"REBOUND DEF by BULWA,ADAM",1
05:43,,13,,27 (+14),"GOOD JUMPER by JACKSON,MARQUISE(in the paint)",NPU 13-27 (-14),,"GOOD JUMPER by JACKSON,MARQUISE(in the paint)",1
05:27,,,,,"FOUL  by JACKSON,MARQUISE",,,"FOUL  by JACKSON,MARQUISE",1
05:27,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:27,,,,,"SUB OUT by VANLANDINGHAM,KOLDEN",,,"SUB OUT by VANLANDINGHAM,KOLDEN",1
05:27,,,,,"SUB OUT by JACKSON,MARQUISE",,,"SUB OUT by JACKSON,MARQUISE",1
05:27,,,,,"SUB OUT by BOYD,JALEN",,,"SUB OUT by BOYD,JALEN",1
05:27,,,,,"SUB OUT by BULWA,ADAM",,,"SUB OUT by BULWA,ADAM",1
05:27,,,,,"SUB IN by ROBINSON,DAVANTE",,,"SUB IN by ROBINSON,DAVANTE",1
05:27,,,,,"SUB IN by NELSON,LANCE",,,"SUB IN by NELSON,LANCE",1
05:27,,,,,"SUB IN by DIXON,QUILLIN",,,"SUB IN by DIXON,QUILLIN",1
05:27,,,,,"SUB IN by BOYD,JORDAN",,,"SUB IN by BOYD,JORDAN",1
05:27,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
05:27,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
05:27,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",1
--,,,,,"REBOUND DEF by BOYD,JORDAN",,,"REBOUND DEF by BOYD,JORDAN",1
05:21,,,,,"MISS JUMPER by PUMPHREY,SHAMAR",,,"MISS JUMPER by PUMPHREY,SHAMAR",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
05:04,"GOOD LAYUP by KAHL,COLIN(in the paint)",15,,27 (+12),,Sewan 15-27 (-12),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
04:53,,,,,"MISS 3PTR by ROBINSON,DAVANTE",,,"MISS 3PTR by ROBINSON,DAVANTE",1
04:53,"BLOCK  by MARR,RUSS",,,,,,,"BLOCK  by MARR,RUSS",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
04:46,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by DIXON,QUILLIN",,,"REBOUND DEF by DIXON,QUILLIN",1
04:38,,15,,30 (+15),"GOOD 3PTR by ROBINSON,DAVANTE(fastbreak)",NPU 15-30 (-15),,"GOOD 3PTR by ROBINSON,DAVANTE(fastbreak)",1
--,,,,,"ASSIST  by DIXON,QUILLIN",,,"ASSIST  by DIXON,QUILLIN",1
04:17,,,,,"FOUL  by BOYD,JORDAN",,,"FOUL  by BOYD,JORDAN",1
04:17,"GOOD FT by KAHL,COLIN",16,,30 (+14),,Sewan 16-30 (-14),,"GOOD FT by KAHL,COLIN",1
04:17,,,,,"SUB OUT by BOYD,JORDAN",,,"SUB OUT by BOYD,JORDAN",1
04:17,,,,,"SUB IN by POLK, JR.,KARL",,,"SUB IN by POLK, JR.,KARL",1
04:17,"GOOD FT by KAHL,COLIN",17,,30 (+13),,Sewan 17-30 (-13),,"GOOD FT by KAHL,COLIN",1
04:05,,,,,"TURNOVER  by DIXON,QUILLIN",,,"TURNOVER  by DIXON,QUILLIN",1
04:05,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",1
03:51,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
03:51,,,,,"STEAL  by POLK, JR.,KARL",,,"STEAL  by POLK, JR.,KARL",1
03:41,,,,,"MISS 3PTR by NELSON,LANCE",,,"MISS 3PTR by NELSON,LANCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:37,,,,,"SUB OUT by ROBINSON,DAVANTE",,,"SUB OUT by ROBINSON,DAVANTE",1
03:37,,,,,"SUB IN by VANLANDINGHAM,KOLDEN",,,"SUB IN by VANLANDINGHAM,KOLDEN",1
03:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:32,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
03:32,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
03:32,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",1
