Time Remaining,M-30236,Away Team Score,Play Team Indicator,Home Team Score,M-652,Game Score,Team Indicator,Play,Period
19:49,"MISS JUMPER by GOODINE,DASHAWN",,,,,,,"MISS JUMPER by GOODINE,DASHAWN",1
19:49,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
19:41,"FOUL  by BANUELOS,ANTONIO",,,,,,,"FOUL  by BANUELOS,ANTONIO",1
19:32,,0,,3 (+3),"GOOD 3PTR by MARR,RUSS",M-652 0-3 (+3),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
19:22,"MISS JUMPER by DAYE,JEREMIAH",,,,,,,"MISS JUMPER by DAYE,JEREMIAH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:10,,0,,6 (+6),"GOOD 3PTR by MARR,RUSS",M-652 0-6 (+6),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",1
18:57,"MISS JUMPER by GOODINE,DASHAWN(in the paint)",,,,,,,"MISS JUMPER by GOODINE,DASHAWN(in the paint)",1
18:57,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",1
--,"REBOUND OFF by DAYE,JEREMIAH",,,,,,,"REBOUND OFF by DAYE,JEREMIAH",1
18:51,"MISS 3PTR by COTTON,NASIR",,,,,,,"MISS 3PTR by COTTON,NASIR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:51,"SUB OUT by WHEATLEY,DYLAN",,,,,,,"SUB OUT by WHEATLEY,DYLAN",1
18:51,"SUB OUT by BANUELOS,ANTONIO",,,,,,,"SUB OUT by BANUELOS,ANTONIO",1
18:51,"SUB OUT by GOODINE,DASHAWN",,,,,,,"SUB OUT by GOODINE,DASHAWN",1
18:51,"SUB OUT by DAYE,JEREMIAH",,,,,,,"SUB OUT by DAYE,JEREMIAH",1
18:51,"SUB OUT by COTTON,NASIR",,,,,,,"SUB OUT by COTTON,NASIR",1
18:51,"SUB IN by NACICKAS,NEDAS",,,,,,,"SUB IN by NACICKAS,NEDAS",1
18:51,"SUB IN by CROCKER,BRAXTON",,,,,,,"SUB IN by CROCKER,BRAXTON",1
18:51,"SUB IN by KING,ADONIS",,,,,,,"SUB IN by KING,ADONIS",1
18:51,"SUB IN by KAISER,TARIQUE",,,,,,,"SUB IN by KAISER,TARIQUE",1
18:51,"SUB IN by CADE,O'DARIUS",,,,,,,"SUB IN by CADE,O'DARIUS",1
18:47,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
18:43,"GOOD 3PTR by NACICKAS,NEDAS",3,,6 (+3),,M-30236 3-6 (+3),,"GOOD 3PTR by NACICKAS,NEDAS",1
--,"ASSIST  by CADE,O'DARIUS",,,,,,,"ASSIST  by CADE,O'DARIUS",1
18:27,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
18:27,"STEAL  by NACICKAS,NEDAS",,,,,,,"STEAL  by NACICKAS,NEDAS",1
18:18,"MISS JUMPER by KAISER,TARIQUE(in the paint)",,,,,,,"MISS JUMPER by KAISER,TARIQUE(in the paint)",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
18:04,"FOUL  by NACICKAS,NEDAS",,,,,,,"FOUL  by NACICKAS,NEDAS",1
18:04,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
18:04,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
18:04,"SUB OUT by CROCKER,BRAXTON",,,,,,,"SUB OUT by CROCKER,BRAXTON",1
18:04,"SUB OUT by KING,ADONIS",,,,,,,"SUB OUT by KING,ADONIS",1
18:04,"SUB OUT by KAISER,TARIQUE",,,,,,,"SUB OUT by KAISER,TARIQUE",1
18:04,"SUB OUT by CADE,O'DARIUS",,,,,,,"SUB OUT by CADE,O'DARIUS",1
18:04,"SUB IN by GOODINE,DASHAWN",,,,,,,"SUB IN by GOODINE,DASHAWN",1
18:04,"SUB IN by DAYE,JEREMIAH",,,,,,,"SUB IN by DAYE,JEREMIAH",1
18:04,"SUB IN by RUTHERFORD,WAYLON",,,,,,,"SUB IN by RUTHERFORD,WAYLON",1
18:04,"SUB IN by COTTON,NASIR",,,,,,,"SUB IN by COTTON,NASIR",1
17:55,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
17:55,"STEAL  by RUTHERFORD,WAYLON",,,,,,,"STEAL  by RUTHERFORD,WAYLON",1
17:52,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
17:52,"SUB OUT by NACICKAS,NEDAS",,,,,,,"SUB OUT by NACICKAS,NEDAS",1
17:52,"SUB IN by BANUELOS,ANTONIO",,,,,,,"SUB IN by BANUELOS,ANTONIO",1
17:52,"GOOD FT by BANUELOS,ANTONIO(fastbreak)",4,,6 (+2),,M-30236 4-6 (+2),,"GOOD FT by BANUELOS,ANTONIO(fastbreak)",1
17:52,"MISS FT by BANUELOS,ANTONIO(fastbreak)",,,,,,,"MISS FT by BANUELOS,ANTONIO(fastbreak)",1
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",1
17:47,,,,,"MISS 3PTR by AVALIANI,LUKA",,,"MISS 3PTR by AVALIANI,LUKA",1
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",1
17:46,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:38,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
17:38,"STEAL  by GOODINE,DASHAWN",,,,,,,"STEAL  by GOODINE,DASHAWN",1
17:32,"TURNOVER  by BANUELOS,ANTONIO",,,,,,,"TURNOVER  by BANUELOS,ANTONIO",1
17:32,,,,,"STEAL  by AVALIANI,LUKA",,,"STEAL  by AVALIANI,LUKA",1
17:20,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
17:20,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
17:20,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
17:08,"MISS LAYUP by DAYE,JEREMIAH(in the paint)",,,,,,,"MISS LAYUP by DAYE,JEREMIAH(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:05,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
17:05,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
17:05,"SUB OUT by BANUELOS,ANTONIO",,,,,,,"SUB OUT by BANUELOS,ANTONIO",1
17:05,"SUB OUT by GOODINE,DASHAWN",,,,,,,"SUB OUT by GOODINE,DASHAWN",1
17:05,"SUB OUT by RUTHERFORD,WAYLON",,,,,,,"SUB OUT by RUTHERFORD,WAYLON",1
17:05,"SUB OUT by COTTON,NASIR",,,,,,,"SUB OUT by COTTON,NASIR",1
17:05,"SUB IN by NACICKAS,NEDAS",,,,,,,"SUB IN by NACICKAS,NEDAS",1
17:05,"SUB IN by CROCKER,BRAXTON",,,,,,,"SUB IN by CROCKER,BRAXTON",1
17:05,"SUB IN by KING,ADONIS",,,,,,,"SUB IN by KING,ADONIS",1
17:05,"SUB IN by CADE,O'DARIUS",,,,,,,"SUB IN by CADE,O'DARIUS",1
17:05,"SUB OUT by DAYE,JEREMIAH",,,,,,,"SUB OUT by DAYE,JEREMIAH",1
17:05,"SUB IN by KAISER,TARIQUE",,,,,,,"SUB IN by KAISER,TARIQUE",1
17:05,"FOUL  by CROCKER,BRAXTON",,,,,,,"FOUL  by CROCKER,BRAXTON",1
16:55,"FOUL  by KAISER,TARIQUE",,,,,,,"FOUL  by KAISER,TARIQUE",1
16:41,,4,,9 (+5),"GOOD 3PTR by MARR,RUSS",M-652 4-9 (+5),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
16:32,"MISS JUMPER by CADE,O'DARIUS(in the paint)",,,,,,,"MISS JUMPER by CADE,O'DARIUS(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",1
16:22,,4,,12 (+8),"GOOD 3PTR by MARR,RUSS",M-652 4-12 (+8),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
16:09,"MISS 3PTR by NACICKAS,NEDAS",,,,,,,"MISS 3PTR by NACICKAS,NEDAS",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
15:59,,4,,14 (+10),"GOOD LAYUP by AVALIANI,LUKA(in the paint)",M-652 4-14 (+10),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
15:47,"FOUL  by CADE,O'DARIUS",,,,,,,"FOUL  by CADE,O'DARIUS",1
15:47,"TURNOVER  by CADE,O'DARIUS",,,,,,,"TURNOVER  by CADE,O'DARIUS",1
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:47,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
15:47,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
15:47,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
15:47,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
15:47,,,,,"SUB IN by FOLK,BEN",,,"SUB IN by FOLK,BEN",1
15:47,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
15:47,"SUB OUT by NACICKAS,NEDAS",,,,,,,"SUB OUT by NACICKAS,NEDAS",1
15:47,"SUB OUT by CROCKER,BRAXTON",,,,,,,"SUB OUT by CROCKER,BRAXTON",1
15:47,"SUB OUT by KING,ADONIS",,,,,,,"SUB OUT by KING,ADONIS",1
15:47,"SUB OUT by KAISER,TARIQUE",,,,,,,"SUB OUT by KAISER,TARIQUE",1
15:47,"SUB OUT by CADE,O'DARIUS",,,,,,,"SUB OUT by CADE,O'DARIUS",1
15:47,"SUB IN by WHEATLEY,DYLAN",,,,,,,"SUB IN by WHEATLEY,DYLAN",1
15:47,"SUB IN by BANUELOS,ANTONIO",,,,,,,"SUB IN by BANUELOS,ANTONIO",1
15:47,"SUB IN by GOODINE,DASHAWN",,,,,,,"SUB IN by GOODINE,DASHAWN",1
15:47,"SUB IN by DAYE,JEREMIAH",,,,,,,"SUB IN by DAYE,JEREMIAH",1
15:47,"SUB IN by COTTON,NASIR",,,,,,,"SUB IN by COTTON,NASIR",1
15:46,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
15:30,"MISS 3PTR by WHEATLEY,DYLAN",,,,,,,"MISS 3PTR by WHEATLEY,DYLAN",1
--,"REBOUND OFF by BANUELOS,ANTONIO",,,,,,,"REBOUND OFF by BANUELOS,ANTONIO",1
15:28,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
15:28,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
15:28,,,,,"SUB IN by ROWE,GRANT",,,"SUB IN by ROWE,GRANT",1
15:28,"TURNOVER  by DAYE,JEREMIAH",,,,,,,"TURNOVER  by DAYE,JEREMIAH",1
15:19,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:09,,,,,"MISS 3PTR by FOLK,BEN",,,"MISS 3PTR by FOLK,BEN",1
--,"REBOUND DEF by BANUELOS,ANTONIO",,,,,,,"REBOUND DEF by BANUELOS,ANTONIO",1
14:59,"TURNOVER  by BANUELOS,ANTONIO",,,,,,,"TURNOVER  by BANUELOS,ANTONIO",1
14:59,"SUB OUT by WHEATLEY,DYLAN",,,,,,,"SUB OUT by WHEATLEY,DYLAN",1
14:59,"SUB OUT by BANUELOS,ANTONIO",,,,,,,"SUB OUT by BANUELOS,ANTONIO",1
14:59,"SUB OUT by GOODINE,DASHAWN",,,,,,,"SUB OUT by GOODINE,DASHAWN",1
14:59,"SUB OUT by DAYE,JEREMIAH",,,,,,,"SUB OUT by DAYE,JEREMIAH",1
14:59,"SUB OUT by COTTON,NASIR",,,,,,,"SUB OUT by COTTON,NASIR",1
14:59,"SUB IN by FAUNTLEROY-MCDANEIL,",,,,,,,"SUB IN by FAUNTLEROY-MCDANEIL,",1
14:59,"SUB IN by NACICKAS,NEDAS",,,,,,,"SUB IN by NACICKAS,NEDAS",1
14:59,"SUB IN by CROCKER,BRAXTON",,,,,,,"SUB IN by CROCKER,BRAXTON",1
14:59,"SUB IN by KAISER,TARIQUE",,,,,,,"SUB IN by KAISER,TARIQUE",1
14:59,"SUB IN by CADE,O'DARIUS",,,,,,,"SUB IN by CADE,O'DARIUS",1
14:46,,4,,16 (+12),"GOOD JUMPER by KAHL,COLIN(in the paint)",M-652 4-16 (+12),,"GOOD JUMPER by KAHL,COLIN(in the paint)",1
14:33,"GOOD LAYUP by CADE,O'DARIUS(in the paint)",6,,16 (+10),,M-30236 6-16 (+10),,"GOOD LAYUP by CADE,O'DARIUS(in the paint)",1
--,"ASSIST  by FAUNTLEROY-MCDANEIL,",,,,,,,"ASSIST  by FAUNTLEROY-MCDANEIL,",1
14:16,,,,,"TURNOVER  by CRUMP,JOHN",,,"TURNOVER  by CRUMP,JOHN",1
14:16,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
14:16,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
14:09,"MISS LAYUP by CADE,O'DARIUS(in the paint)",,,,,,,"MISS LAYUP by CADE,O'DARIUS(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:07,"SUB OUT by FAUNTLEROY-MCDANEIL,",,,,,,,"SUB OUT by FAUNTLEROY-MCDANEIL,",1
14:07,"SUB OUT by NACICKAS,NEDAS",,,,,,,"SUB OUT by NACICKAS,NEDAS",1
14:07,"SUB OUT by CROCKER,BRAXTON",,,,,,,"SUB OUT by CROCKER,BRAXTON",1
14:07,"SUB OUT by KAISER,TARIQUE",,,,,,,"SUB OUT by KAISER,TARIQUE",1
14:07,"SUB OUT by CADE,O'DARIUS",,,,,,,"SUB OUT by CADE,O'DARIUS",1
14:07,"SUB IN by BANUELOS,ANTONIO",,,,,,,"SUB IN by BANUELOS,ANTONIO",1
14:07,"SUB IN by GOODINE,DASHAWN",,,,,,,"SUB IN by GOODINE,DASHAWN",1
14:07,"SUB IN by DAYE,JEREMIAH",,,,,,,"SUB IN by DAYE,JEREMIAH",1
14:07,"SUB IN by RUTHERFORD,WAYLON",,,,,,,"SUB IN by RUTHERFORD,WAYLON",1
14:07,"SUB IN by COTTON,NASIR",,,,,,,"SUB IN by COTTON,NASIR",1
14:04,"FOUL  by BANUELOS,ANTONIO",,,,,,,"FOUL  by BANUELOS,ANTONIO",1
14:04,,,,,"MISS LAYUP by FOLK,BEN(in the paint)",,,"MISS LAYUP by FOLK,BEN(in the paint)",1
14:04,"BLOCK  by DAYE,JEREMIAH",,,,,,,"BLOCK  by DAYE,JEREMIAH",1
--,,,,,"REBOUND OFF by ROWE,GRANT",,,"REBOUND OFF by ROWE,GRANT",1
14:04,,,,,"MISS 3PTR by FOLK,BEN",,,"MISS 3PTR by FOLK,BEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:52,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
13:42,"MISS JUMPER by DAYE,JEREMIAH",,,,,,,"MISS JUMPER by DAYE,JEREMIAH",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
13:34,,,,,"TURNOVER  by FOLK,BEN",,,"TURNOVER  by FOLK,BEN",1
13:34,,,,,"SUB OUT by FOLK,BEN",,,"SUB OUT by FOLK,BEN",1
13:34,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
13:23,"MISS JUMPER by DAYE,JEREMIAH(in the paint)",,,,,,,"MISS JUMPER by DAYE,JEREMIAH(in the paint)",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
13:13,,6,,18 (+12),"GOOD DUNK by SMITH,GRAHAM(in the paint)",M-652 6-18 (+12),,"GOOD DUNK by SMITH,GRAHAM(in the paint)",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
13:02,"GOOD 3PTR by DAYE,JEREMIAH",9,,18 (+9),,M-30236 9-18 (+9),,"GOOD 3PTR by DAYE,JEREMIAH",1
--,"ASSIST  by GOODINE,DASHAWN",,,,,,,"ASSIST  by GOODINE,DASHAWN",1
12:51,,9,,20 (+11),"GOOD LAYUP by SMITH,GRAHAM(in the paint)",M-652 9-20 (+11),,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
12:50,"FOUL  by COTTON,NASIR",,,,,,,"FOUL  by COTTON,NASIR",1
12:50,,9,,21 (+12),"GOOD FT by SMITH,GRAHAM",M-652 9-21 (+12),,"GOOD FT by SMITH,GRAHAM",1
12:43,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
12:43,,,,,"SUB OUT by ROWE,GRANT",,,"SUB OUT by ROWE,GRANT",1
12:43,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
12:43,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
12:43,"SUB OUT by BANUELOS,ANTONIO",,,,,,,"SUB OUT by BANUELOS,ANTONIO",1
12:43,"SUB OUT by GOODINE,DASHAWN",,,,,,,"SUB OUT by GOODINE,DASHAWN",1
12:43,"SUB OUT by DAYE,JEREMIAH",,,,,,,"SUB OUT by DAYE,JEREMIAH",1
12:43,"SUB OUT by RUTHERFORD,WAYLON",,,,,,,"SUB OUT by RUTHERFORD,WAYLON",1
12:43,"SUB OUT by COTTON,NASIR",,,,,,,"SUB OUT by COTTON,NASIR",1
12:43,"SUB IN by NACICKAS,NEDAS",,,,,,,"SUB IN by NACICKAS,NEDAS",1
12:43,"SUB IN by CROCKER,BRAXTON",,,,,,,"SUB IN by CROCKER,BRAXTON",1
12:43,"SUB IN by KING,ADONIS",,,,,,,"SUB IN by KING,ADONIS",1
12:43,"SUB IN by KAISER,TARIQUE",,,,,,,"SUB IN by KAISER,TARIQUE",1
12:43,"SUB IN by CADE,O'DARIUS",,,,,,,"SUB IN by CADE,O'DARIUS",1
12:39,"MISS JUMPER by KAISER,TARIQUE",,,,,,,"MISS JUMPER by KAISER,TARIQUE",1
--,"REBOUND OFF by CADE,O'DARIUS",,,,,,,"REBOUND OFF by CADE,O'DARIUS",1
12:29,"MISS DUNK by CADE,O'DARIUS(in the paint)",,,,,,,"MISS DUNK by CADE,O'DARIUS(in the paint)",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
12:23,,9,,24 (+15),"GOOD 3PTR by MARR,RUSS",M-652 9-24 (+15),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
12:16,"GOOD JUMPER by CADE,O'DARIUS",11,,24 (+13),,M-30236 11-24 (+13),,"GOOD JUMPER by CADE,O'DARIUS",1
11:58,,11,,27 (+16),"GOOD 3PTR by SMITH,GRAHAM",M-652 11-27 (+16),,"GOOD 3PTR by SMITH,GRAHAM",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
11:45,"FOUL  by KAISER,TARIQUE",,,,,,,"FOUL  by KAISER,TARIQUE",1
11:45,"TURNOVER  by KAISER,TARIQUE",,,,,,,"TURNOVER  by KAISER,TARIQUE",1
11:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:45,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
