Time Remaining,EU,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
18:08,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,"REBOUND DEF by JOHNSON,MASON",,,,,,,"REBOUND DEF by JOHNSON,MASON",1
17:50,"MISS 3PTR by PEARCE,BENJAMIN",,,,,,,"MISS 3PTR by PEARCE,BENJAMIN",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
17:34,,5,,5,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",Sewan 5-5 (0),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
17:22,"GOOD 3PTR by PEARCE,BENJAMIN",8 (+3),,5,,EU 8-5 (-3),,"GOOD 3PTR by PEARCE,BENJAMIN",1
--,"ASSIST  by JOHNSON,MASON",,,,,,,"ASSIST  by JOHNSON,MASON",1
17:08,,8 (+1),,7,"GOOD JUMPER by CRUMP,JOHN(in the paint)",Sewan 8-7 (-1),,"GOOD JUMPER by CRUMP,JOHN(in the paint)",1
16:56,"FOUL  by MARTENS,CALE",,,,,,,"FOUL  by MARTENS,CALE",1
16:56,"TURNOVER  by MARTENS,CALE",,,,,,,"TURNOVER  by MARTENS,CALE",1
16:56,"SUB OUT by FRIED,MAX",,,,,,,"SUB OUT by FRIED,MAX",1
16:56,"SUB OUT by JOHNSON,MASON",,,,,,,"SUB OUT by JOHNSON,MASON",1
16:56,"SUB IN by WHELTON,MATTEO",,,,,,,"SUB IN by WHELTON,MATTEO",1
16:56,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",1
16:36,,8,,10 (+2),"GOOD 3PTR by CORRIGAN,TRE",Sewan 8-10 (+2),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
16:17,"MISS 3PTR by SHANAHAN,LOGAN",,,,,,,"MISS 3PTR by SHANAHAN,LOGAN",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
16:04,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",1
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",1
15:57,"GOOD LAYUP by SHANAHAN,LOGAN(fastbreak)(in the paint)",10,,10,,EU 10-10 (0),,"GOOD LAYUP by SHANAHAN,LOGAN(fastbreak)(in the paint)",1
--,"ASSIST  by PEARCE,BENJAMIN",,,,,,,"ASSIST  by PEARCE,BENJAMIN",1
15:46,,10,,13 (+3),"GOOD 3PTR by KAHL,COLIN",Sewan 10-13 (+3),,"GOOD 3PTR by KAHL,COLIN",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
15:28,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
15:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:28,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
15:28,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
15:28,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
15:28,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
15:28,"SUB OUT by PEARCE,BENJAMIN",,,,,,,"SUB OUT by PEARCE,BENJAMIN",1
15:28,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",1
15:28,"SUB IN by JOHNSON,MASON",,,,,,,"SUB IN by JOHNSON,MASON",1
15:28,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",1
15:26,"MISS JUMPER by MARTENS,CALE(in the paint)",,,,,,,"MISS JUMPER by MARTENS,CALE(in the paint)",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
15:14,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",1
15:00,"GOOD 3PTR by FALLAS,ALBERT",13,,13,,EU 13-13 (0),,"GOOD 3PTR by FALLAS,ALBERT",1
--,"ASSIST  by WHELTON,MATTEO",,,,,,,"ASSIST  by WHELTON,MATTEO",1
14:46,,,,,"TURNOVER  by CRUMP,JOHN",,,"TURNOVER  by CRUMP,JOHN",1
14:46,"STEAL  by KNIGHT,JAIR",,,,,,,"STEAL  by KNIGHT,JAIR",1
14:41,"GOOD DUNK by KNIGHT,JAIR(fastbreak)(in the paint)",15 (+2),,13,,EU 15-13 (-2),,"GOOD DUNK by KNIGHT,JAIR(fastbreak)(in the paint)",1
14:30,,,,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",1
14:30,"BLOCK  by JOHNSON,MASON",,,,,,,"BLOCK  by JOHNSON,MASON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:15,,,,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",1
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",1
14:09,"MISS JUMPER by FALLAS,ALBERT(in the paint)",,,,,,,"MISS JUMPER by FALLAS,ALBERT(in the paint)",1
--,"REBOUND OFF by FALLAS,ALBERT",,,,,,,"REBOUND OFF by FALLAS,ALBERT",1
14:02,"MISS 3PTR by WHELTON,MATTEO",,,,,,,"MISS 3PTR by WHELTON,MATTEO",1
--,"REBOUND OFF by KNIGHT,JAIR",,,,,,,"REBOUND OFF by KNIGHT,JAIR",1
13:51,"MISS JUMPER by JOHNSON,MASON",,,,,,,"MISS JUMPER by JOHNSON,MASON",1
--,"REBOUND OFF by JOHNSON,MASON",,,,,,,"REBOUND OFF by JOHNSON,MASON",1
13:48,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",1
13:48,"GOOD FT by JOHNSON,MASON",16 (+3),,13,,EU 16-13 (-3),,"GOOD FT by JOHNSON,MASON",1
13:48,"GOOD JUMPER by JOHNSON,MASON(in the paint)",18 (+5),,13,,EU 18-13 (-5),,"GOOD JUMPER by JOHNSON,MASON(in the paint)",1
13:47,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
13:47,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
13:47,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",1
13:47,"SUB IN by ADELMAN,MAX",,,,,,,"SUB IN by ADELMAN,MAX",1
13:44,,,,,"TURNOVER  by HOLLAND,ELI",,,"TURNOVER  by HOLLAND,ELI",1
13:36,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
13:36,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
13:19,"MISS LAYUP by KNIGHT,JAIR(in the paint)",,,,,,,"MISS LAYUP by KNIGHT,JAIR(in the paint)",1
--,"REBOUND OFF by KNIGHT,JAIR",,,,,,,"REBOUND OFF by KNIGHT,JAIR",1
13:09,"GOOD LAYUP by KNIGHT,JAIR(in the paint)",20 (+7),,13,,EU 20-13 (-7),,"GOOD LAYUP by KNIGHT,JAIR(in the paint)",1
13:01,,20 (+4),,16,"GOOD 3PTR by SMITH,GRAHAM",Sewan 20-16 (-4),,"GOOD 3PTR by SMITH,GRAHAM",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
12:41,"TURNOVER  by ADELMAN,MAX",,,,,,,"TURNOVER  by ADELMAN,MAX",1
12:41,"SUB OUT by WHELTON,MATTEO",,,,,,,"SUB OUT by WHELTON,MATTEO",1
12:41,"SUB OUT by FALLAS,ALBERT",,,,,,,"SUB OUT by FALLAS,ALBERT",1
12:41,"SUB IN by PEARCE,BENJAMIN",,,,,,,"SUB IN by PEARCE,BENJAMIN",1
12:41,"SUB IN by THOMAS,TYSON",,,,,,,"SUB IN by THOMAS,TYSON",1
12:39,,,,,"MISS 3PTR by KAHL,COLIN",,,"MISS 3PTR by KAHL,COLIN",1
--,"REBOUND DEF by PEARCE,BENJAMIN",,,,,,,"REBOUND DEF by PEARCE,BENJAMIN",1
12:27,"GOOD 3PTR by SHANAHAN,LOGAN",23 (+7),,16,,EU 23-16 (-7),,"GOOD 3PTR by SHANAHAN,LOGAN",1
--,"ASSIST  by JOHNSON,MASON",,,,,,,"ASSIST  by JOHNSON,MASON",1
12:27,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",1
12:27,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",1
12:02,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",1
12:02,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",1
11:55,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
11:55,,,,,"SUB IN by WILLIAMS,RASHAWN",,,"SUB IN by WILLIAMS,RASHAWN",1
11:54,"FOUL  by THOMAS,TYSON",,,,,,,"FOUL  by THOMAS,TYSON",1
11:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:52,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
11:52,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
11:52,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
11:52,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
11:52,,23 (+6),,17,"GOOD FT by WILLIAMS,RASHAWN",Sewan 23-17 (-6),,"GOOD FT by WILLIAMS,RASHAWN",1
11:52,,23 (+5),,18,"GOOD FT by WILLIAMS,RASHAWN",Sewan 23-18 (-5),,"GOOD FT by WILLIAMS,RASHAWN",1
11:52,,23 (+4),,19,"GOOD FT by WILLIAMS,RASHAWN",Sewan 23-19 (-4),,"GOOD FT by WILLIAMS,RASHAWN",1
11:42,"MISS JUMPER by PEARCE,BENJAMIN(in the paint)",,,,,,,"MISS JUMPER by PEARCE,BENJAMIN(in the paint)",1
11:42,,,,,"BLOCK  by WILLIAMS,RASHAWN",,,"BLOCK  by WILLIAMS,RASHAWN",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
11:33,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
11:31,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",1
11:31,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",1
11:30,"MISS 3PTR by SHANAHAN,LOGAN",,,,,,,"MISS 3PTR by SHANAHAN,LOGAN",1
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",1
11:15,,,,,"TURNOVER  by SMITH,GRAHAM",,,"TURNOVER  by SMITH,GRAHAM",1
11:15,"STEAL  by PEARCE,BENJAMIN",,,,,,,"STEAL  by PEARCE,BENJAMIN",1
11:15,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",1
11:15,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",1
11:14,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",1
11:14,"SUB OUT by PEARCE,BENJAMIN",,,,,,,"SUB OUT by PEARCE,BENJAMIN",1
11:14,"SUB IN by MARTENS,CALE",,,,,,,"SUB IN by MARTENS,CALE",1
11:14,"SUB OUT by THOMAS,TYSON",,,,,,,"SUB OUT by THOMAS,TYSON",1
11:14,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",1
11:10,"GOOD JUMPER by MARTENS,CALE",25 (+6),,19,,EU 25-19 (-6),,"GOOD JUMPER by MARTENS,CALE",1
--,"ASSIST  by THOMAS,TYSON",,,,,,,"ASSIST  by THOMAS,TYSON",1
11:10,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",1
11:10,"SUB IN by THOMAS,TYSON",,,,,,,"SUB IN by THOMAS,TYSON",1
10:40,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",1
10:40,"SUB OUT by FRIED,MAX",,,,,,,"SUB OUT by FRIED,MAX",1
10:40,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",1
10:40,"SUB IN by PEARCE,BENJAMIN",,,,,,,"SUB IN by PEARCE,BENJAMIN",1
10:21,,,,,"MISS 3PTR by KAHL,COLIN",,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND OFF by AVALIANI,LUKA",,,"REBOUND OFF by AVALIANI,LUKA",1
10:17,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",1
10:17,"SUB IN by PEARCE,BENJAMIN",,,,,,,"SUB IN by PEARCE,BENJAMIN",1
10:16,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
10:16,"STEAL  by PEARCE,BENJAMIN",,,,,,,"STEAL  by PEARCE,BENJAMIN",1
10:11,"GOOD LAYUP by THOMAS,TYSON(fastbreak)(in the paint)",27 (+8),,19,,EU 27-19 (-8),,"GOOD LAYUP by THOMAS,TYSON(fastbreak)(in the paint)",1
--,"ASSIST  by PEARCE,BENJAMIN",,,,,,,"ASSIST  by PEARCE,BENJAMIN",1
09:59,,,,,"FOUL  by WILLIAMS,RASHAWN",,,"FOUL  by WILLIAMS,RASHAWN",1
09:48,,,,,"SUB OUT by WILLIAMS,RASHAWN",,,"SUB OUT by WILLIAMS,RASHAWN",1
09:48,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
09:48,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
09:48,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
09:48,"SUB OUT by THOMAS,TYSON",,,,,,,"SUB OUT by THOMAS,TYSON",1
09:48,"SUB OUT by JOHNSON,MASON",,,,,,,"SUB OUT by JOHNSON,MASON",1
09:48,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",1
09:48,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",1
09:48,"SUB IN by FALLAS,ALBERT",,,,,,,"SUB IN by FALLAS,ALBERT",1
09:48,"SUB IN by MARTENS,CALE",,,,,,,"SUB IN by MARTENS,CALE",1
09:39,"GOOD JUMPER by SHANAHAN,LOGAN",29 (+10),,19,,EU 29-19 (-10),,"GOOD JUMPER by SHANAHAN,LOGAN",1
--,"ASSIST  by FALLAS,ALBERT",,,,,,,"ASSIST  by FALLAS,ALBERT",1
09:20,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by SHANAHAN,LOGAN",,,,,,,"REBOUND DEF by SHANAHAN,LOGAN",1
09:11,"MISS JUMPER by PEARCE,BENJAMIN",,,,,,,"MISS JUMPER by PEARCE,BENJAMIN",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
08:52,,29 (+7),,22,"GOOD 3PTR by KAHL,COLIN",Sewan 29-22 (-7),,"GOOD 3PTR by KAHL,COLIN",1
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",1
08:37,"GOOD LAYUP by SHANAHAN,LOGAN(in the paint)",31 (+9),,22,,EU 31-22 (-9),,"GOOD LAYUP by SHANAHAN,LOGAN(in the paint)",1
--,"ASSIST  by FALLAS,ALBERT",,,,,,,"ASSIST  by FALLAS,ALBERT",1
08:32,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
08:32,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",1
08:32,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",1
08:14,"GOOD LAYUP by PEARCE,BENJAMIN(in the paint)",33 (+11),,22,,EU 33-22 (-11),,"GOOD LAYUP by PEARCE,BENJAMIN(in the paint)",1
07:47,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",1
07:47,"BLOCK  by FALLAS,ALBERT",,,,,,,"BLOCK  by FALLAS,ALBERT",1
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",1
07:40,"TURNOVER  by FALLAS,ALBERT",,,,,,,"TURNOVER  by FALLAS,ALBERT",1
07:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:40,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
07:40,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
07:40,"SUB OUT by FRIED,MAX",,,,,,,"SUB OUT by FRIED,MAX",1
07:40,"SUB IN by JOHNSON,MASON",,,,,,,"SUB IN by JOHNSON,MASON",1
07:34,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",1
07:25,"GOOD 3PTR by FALLAS,ALBERT",36 (+14),,22,,EU 36-22 (-14),,"GOOD 3PTR by FALLAS,ALBERT",1
--,"ASSIST  by MARTENS,CALE",,,,,,,"ASSIST  by MARTENS,CALE",1
07:02,,36 (+12),,24,"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 36-24 (-12),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
06:53,"MISS 3PTR by PEARCE,BENJAMIN",,,,,,,"MISS 3PTR by PEARCE,BENJAMIN",1
--,,,,,"REBOUND DEF by HOLLAND,ELI",,,"REBOUND DEF by HOLLAND,ELI",1
06:41,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,"MISS LAYUP by HOLLAND,ELI(in the paint)",1
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",1
06:26,"GOOD JUMPER by JOHNSON,MASON(in the paint)",38 (+14),,24,,EU 38-24 (-14),,"GOOD JUMPER by JOHNSON,MASON(in the paint)",1
06:02,,38 (+12),,26,"GOOD JUMPER by HOLLAND,ELI(in the paint)",Sewan 38-26 (-12),,"GOOD JUMPER by HOLLAND,ELI(in the paint)",1
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",1
05:55,"GOOD LAYUP by MARTENS,CALE(fastbreak)(in the paint)",40 (+14),,26,,EU 40-26 (-14),,"GOOD LAYUP by MARTENS,CALE(fastbreak)(in the paint)",1
--,"ASSIST  by FALLAS,ALBERT",,,,,,,"ASSIST  by FALLAS,ALBERT",1
05:37,,40 (+12),,28,"GOOD JUMPER by HOLLAND,ELI(in the paint)",Sewan 40-28 (-12),,"GOOD JUMPER by HOLLAND,ELI(in the paint)",1
05:30,"GOOD JUMPER by PEARCE,BENJAMIN",42 (+14),,28,,EU 42-28 (-14),,"GOOD JUMPER by PEARCE,BENJAMIN",1
05:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:26,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
05:26,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
05:26,"SUB OUT by FALLAS,ALBERT",,,,,,,"SUB OUT by FALLAS,ALBERT",1
05:26,"SUB OUT by JOHNSON,MASON",,,,,,,"SUB OUT by JOHNSON,MASON",1
05:26,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",1
05:26,"SUB IN by WHELTON,MATTEO",,,,,,,"SUB IN by WHELTON,MATTEO",1
05:26,"SUB IN by LAWRENCE,GREG",,,,,,,"SUB IN by LAWRENCE,GREG",1
05:26,"SUB IN by ADELMAN,MAX",,,,,,,"SUB IN by ADELMAN,MAX",1
05:14,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:09,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
04:56,"MISS JUMPER by PEARCE,BENJAMIN(in the paint)",,,,,,,"MISS JUMPER by PEARCE,BENJAMIN(in the paint)",1
--,"REBOUND OFF by KNIGHT,JAIR",,,,,,,"REBOUND OFF by KNIGHT,JAIR",1
04:51,"GOOD 3PTR by THOMAS,TYSON",45 (+17),,28,,EU 45-28 (-17),,"GOOD 3PTR by THOMAS,TYSON",1
--,"ASSIST  by MARTENS,CALE",,,,,,,"ASSIST  by MARTENS,CALE",1
04:51,"SUB OUT by ADELMAN,MAX",,,,,,,"SUB OUT by ADELMAN,MAX",1
04:51,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",1
04:51,"SUB IN by THOMAS,TYSON",,,,,,,"SUB IN by THOMAS,TYSON",1
04:51,"SUB IN by MARTENS,CALE",,,,,,,"SUB IN by MARTENS,CALE",1
04:47,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
04:47,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
04:47,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
04:47,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",1
04:47,"SUB IN by THOMAS,TYSON",,,,,,,"SUB IN by THOMAS,TYSON",1
04:47,"SUB OUT by THOMAS,TYSON",,,,,,,"SUB OUT by THOMAS,TYSON",1
04:47,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",1
04:47,"SUB IN by ADELMAN,MAX",,,,,,,"SUB IN by ADELMAN,MAX",1
04:47,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",1
04:24,"TURNOVER  by PEARCE,BENJAMIN",,,,,,,"TURNOVER  by PEARCE,BENJAMIN",1
04:07,"FOUL  by ADELMAN,MAX",,,,,,,"FOUL  by ADELMAN,MAX",1
04:00,,,,,"MISS JUMPER by CRUMP,JOHN",,,"MISS JUMPER by CRUMP,JOHN",1
04:00,"BLOCK  by LAWRENCE,GREG",,,,,,,"BLOCK  by LAWRENCE,GREG",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:58,"SUB OUT by PEARCE,BENJAMIN",,,,,,,"SUB OUT by PEARCE,BENJAMIN",1
03:58,"SUB OUT by LAWRENCE,GREG",,,,,,,"SUB OUT by LAWRENCE,GREG",1
03:58,"SUB IN by JOHNSON,MASON",,,,,,,"SUB IN by JOHNSON,MASON",1
03:58,"SUB IN by MARTENS,CALE",,,,,,,"SUB IN by MARTENS,CALE",1
03:52,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",1
03:41,"GOOD JUMPER by ADELMAN,MAX(in the paint)",47 (+19),,28,,EU 47-28 (-19),,"GOOD JUMPER by ADELMAN,MAX(in the paint)",1
03:22,,47 (+17),,30,"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 47-30 (-17),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
03:12,"MISS 3PTR by THOMAS,TYSON",,,,,,,"MISS 3PTR by THOMAS,TYSON",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
02:59,"FOUL  by ADELMAN,MAX",,,,,,,"FOUL  by ADELMAN,MAX",1
02:46,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
