Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
16:37,"MISS 3PTR by MINTER,TREY",,,,,,,"MISS 3PTR by MINTER,TREY",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
16:27,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
16:27,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",1
16:27,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",1
16:13,"MISS JUMPER by BOGGS,TYLER(in the paint)",,,,,,,"MISS JUMPER by BOGGS,TYLER(in the paint)",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
15:54,,2,,7 (+5),"GOOD JUMPER by MARR,RUSS(in the paint)",Sewan 2-7 (+5),,"GOOD JUMPER by MARR,RUSS(in the paint)",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
15:40,"MISS JUMPER by MINTER,TREY(in the paint)",,,,,,,"MISS JUMPER by MINTER,TREY(in the paint)",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
15:32,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",1
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",1
15:25,"GOOD 3PTR by CAUDILL,ISAAC(fastbreak)",5,,7 (+2),,BEREA 5-7 (+2),,"GOOD 3PTR by CAUDILL,ISAAC(fastbreak)",1
--,"ASSIST  by MONTGOMERY,JAREL",,,,,,,"ASSIST  by MONTGOMERY,JAREL",1
15:11,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND OFF by CRUMP,JOHN",,,"REBOUND OFF by CRUMP,JOHN",1
15:03,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",1
14:42,"GOOD LAYUP by BOGGS,TYLER(in the paint)",7,,7,,BEREA 7-7 (0),,"GOOD LAYUP by BOGGS,TYLER(in the paint)",1
--,"ASSIST  by MINTER,TREY",,,,,,,"ASSIST  by MINTER,TREY",1
14:28,,7,,10 (+3),"GOOD 3PTR by CORRIGAN,TRE",Sewan 7-10 (+3),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
14:11,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:11,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
14:11,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
14:11,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
14:11,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
14:11,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",1
14:11,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",1
14:11,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",1
14:11,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
14:04,"MISS 3PTR by JONES,ANDREW",,,,,,,"MISS 3PTR by JONES,ANDREW",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
13:52,,7,,12 (+5),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 7-12 (+5),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
13:33,"FOUL  by JONES,ANDREW",,,,,,,"FOUL  by JONES,ANDREW",1
13:33,"TURNOVER  by JONES,ANDREW",,,,,,,"TURNOVER  by JONES,ANDREW",1
13:33,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",1
13:33,"SUB IN by RILEY,BRYCE",,,,,,,"SUB IN by RILEY,BRYCE",1
13:17,,7,,15 (+8),"GOOD 3PTR by CORRIGAN,TRE",Sewan 7-15 (+8),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
13:00,"MISS JUMPER by MINTER,TREY(in the paint)",,,,,,,"MISS JUMPER by MINTER,TREY(in the paint)",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
12:45,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",1
--,"REBOUND DEF by CAUDILL,ISAAC",,,,,,,"REBOUND DEF by CAUDILL,ISAAC",1
12:33,"GOOD JUMPER by MINTER,TREY(in the paint)",9,,15 (+6),,BEREA 9-15 (+6),,"GOOD JUMPER by MINTER,TREY(in the paint)",1
12:22,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:19,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",1
12:19,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",1
12:09,"MISS 3PTR by RILEY,BRYCE",,,,,,,"MISS 3PTR by RILEY,BRYCE",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
12:01,,9,,17 (+8),"GOOD LAYUP by HOLLAND,ELI(fastbreak)(in the paint)",Sewan 9-17 (+8),,"GOOD LAYUP by HOLLAND,ELI(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
11:40,"GOOD 3PTR by MINTER,TREY",12,,17 (+5),,BEREA 12-17 (+5),,"GOOD 3PTR by MINTER,TREY",1
11:23,,12,,19 (+7),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 12-19 (+7),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
--,,,,,"ASSIST  by HOLLAND,ELI",,,"ASSIST  by HOLLAND,ELI",1
11:06,"MISS JUMPER by CAUDILL,ISAAC(in the paint)",,,,,,,"MISS JUMPER by CAUDILL,ISAAC(in the paint)",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
10:58,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",1
10:58,,,,,"TURNOVER  by HOLLAND,ELI",,,"TURNOVER  by HOLLAND,ELI",1
10:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:58,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
10:58,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
10:58,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
10:58,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
10:58,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
10:58,,,,,"SUB IN by WILLIAMS,RASHAWN",,,"SUB IN by WILLIAMS,RASHAWN",1
10:58,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",1
10:58,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",1
10:58,"SUB IN by MONTGOMERY,JAREL",,,,,,,"SUB IN by MONTGOMERY,JAREL",1
10:58,"SUB IN by BOGGS,TYLER",,,,,,,"SUB IN by BOGGS,TYLER",1
10:46,"MISS JUMPER by RILEY,BRYCE(in the paint)",,,,,,,"MISS JUMPER by RILEY,BRYCE(in the paint)",1
--,"REBOUND OFF by RILEY,BRYCE",,,,,,,"REBOUND OFF by RILEY,BRYCE",1
10:40,"GOOD LAYUP by RILEY,BRYCE(in the paint)",14,,19 (+5),,BEREA 14-19 (+5),,"GOOD LAYUP by RILEY,BRYCE(in the paint)",1
10:24,,14,,22 (+8),"GOOD 3PTR by KAHL,COLIN",Sewan 14-22 (+8),,"GOOD 3PTR by KAHL,COLIN",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
09:55,"MISS 3PTR by MONTGOMERY,JAREL",,,,,,,"MISS 3PTR by MONTGOMERY,JAREL",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
09:38,,14,,25 (+11),"GOOD 3PTR by WILLIAMS,RASHAWN",Sewan 14-25 (+11),,"GOOD 3PTR by WILLIAMS,RASHAWN",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
09:21,"GOOD 3PTR by CAUDILL,ISAAC",17,,25 (+8),,BEREA 17-25 (+8),,"GOOD 3PTR by CAUDILL,ISAAC",1
09:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:18,"SUB OUT by BLACK,JAYLEN",,,,,,,"SUB OUT by BLACK,JAYLEN",1
09:18,"SUB IN by MINTER,TREY",,,,,,,"SUB IN by MINTER,TREY",1
09:02,"FOUL  by RILEY,BRYCE",,,,,,,"FOUL  by RILEY,BRYCE",1
09:02,,17,,26 (+9),"GOOD FT by SMITH,GRAHAM",Sewan 17-26 (+9),,"GOOD FT by SMITH,GRAHAM",1
09:02,,17,,27 (+10),"GOOD FT by SMITH,GRAHAM",Sewan 17-27 (+10),,"GOOD FT by SMITH,GRAHAM",1
08:49,"MISS JUMPER by MONTGOMERY,JAREL(in the paint)",,,,,,,"MISS JUMPER by MONTGOMERY,JAREL(in the paint)",1
--,"REBOUND OFF by MONTGOMERY,JAREL",,,,,,,"REBOUND OFF by MONTGOMERY,JAREL",1
08:46,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
08:46,"GOOD FT by MONTGOMERY,JAREL",18,,27 (+9),,BEREA 18-27 (+9),,"GOOD FT by MONTGOMERY,JAREL",1
08:46,"SUB OUT by RILEY,BRYCE",,,,,,,"SUB OUT by RILEY,BRYCE",1
08:46,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",1
08:46,"GOOD FT by MONTGOMERY,JAREL",19,,27 (+8),,BEREA 19-27 (+8),,"GOOD FT by MONTGOMERY,JAREL",1
08:46,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",1
08:46,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",1
08:37,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
08:37,"STEAL  by MINTER,TREY",,,,,,,"STEAL  by MINTER,TREY",1
08:28,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",,,,,,,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",1
--,"REBOUND OFF by BOGGS,TYLER",,,,,,,"REBOUND OFF by BOGGS,TYLER",1
08:19,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",1
08:19,"GOOD FT by MINTER,TREY",20,,27 (+7),,BEREA 20-27 (+7),,"GOOD FT by MINTER,TREY",1
08:19,"GOOD FT by MINTER,TREY",21,,27 (+6),,BEREA 21-27 (+6),,"GOOD FT by MINTER,TREY",1
08:10,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
07:59,"TURNOVER  by HAMM,ANTHONY",,,,,,,"TURNOVER  by HAMM,ANTHONY",1
07:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:59,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
07:59,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
07:59,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
07:59,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
07:59,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
07:59,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
07:40,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",1
--,"REBOUND DEF by CAUDILL,ISAAC",,,,,,,"REBOUND DEF by CAUDILL,ISAAC",1
07:38,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",1
07:38,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
07:38,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
07:24,"MISS JUMPER by MINTER,TREY",,,,,,,"MISS JUMPER by MINTER,TREY",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
07:13,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",1
--,"REBOUND DEF by CAUDILL,ISAAC",,,,,,,"REBOUND DEF by CAUDILL,ISAAC",1
07:02,,,,,"FOUL  by WILLIAMS,RASHAWN",,,"FOUL  by WILLIAMS,RASHAWN",1
07:02,"MISS FT by BOGGS,TYLER",,,,,,,"MISS FT by BOGGS,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:01,"MISS FT by BOGGS,TYLER",,,,,,,"MISS FT by BOGGS,TYLER",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
06:55,,21,,30 (+9),"GOOD 3PTR by WILLIAMS,RASHAWN",Sewan 21-30 (+9),,"GOOD 3PTR by WILLIAMS,RASHAWN",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
06:35,"MISS JUMPER by BOGGS,TYLER(in the paint)",,,,,,,"MISS JUMPER by BOGGS,TYLER(in the paint)",1
06:35,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
06:26,,,,,"FOUL  by CRUMP,JOHN",,,"FOUL  by CRUMP,JOHN",1
06:26,,,,,"TURNOVER  by CRUMP,JOHN",,,"TURNOVER  by CRUMP,JOHN",1
06:16,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",1
06:16,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",1
06:16,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",1
06:16,"SUB IN by MONTGOMERY,JAREL",,,,,,,"SUB IN by MONTGOMERY,JAREL",1
06:16,"SUB IN by RILEY,BRYCE",,,,,,,"SUB IN by RILEY,BRYCE",1
06:16,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
06:05,"MISS LAYUP by MINTER,TREY(in the paint)",,,,,,,"MISS LAYUP by MINTER,TREY(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:55,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",1
05:55,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",1
05:55,"FOUL  by JONES,ANDREW",,,,,,,"FOUL  by JONES,ANDREW",1
05:55,"FOUL  by MINTER,TREY",,,,,,,"FOUL  by MINTER,TREY",1
05:46,,21,,32 (+11),"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 21-32 (+11),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
05:16,"GOOD 3PTR by JONES,ANDREW",24,,32 (+8),,BEREA 24-32 (+8),,"GOOD 3PTR by JONES,ANDREW",1
--,"ASSIST  by MONTGOMERY,JAREL",,,,,,,"ASSIST  by MONTGOMERY,JAREL",1
05:02,,,,,"SUB OUT by WILLIAMS,RASHAWN",,,"SUB OUT by WILLIAMS,RASHAWN",1
05:02,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
05:02,"FOUL  by BLACK,JAYLEN",,,,,,,"FOUL  by BLACK,JAYLEN",1
04:59,,24,,34 (+10),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 24-34 (+10),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
04:59,"FOUL  by BLACK,JAYLEN",,,,,,,"FOUL  by BLACK,JAYLEN",1
04:59,"SUB OUT by BLACK,JAYLEN",,,,,,,"SUB OUT by BLACK,JAYLEN",1
04:59,"SUB IN by MINTER,TREY",,,,,,,"SUB IN by MINTER,TREY",1
04:59,,,,,"MISS FT by MARR,RUSS",,,"MISS FT by MARR,RUSS",1
--,"REBOUND DEF by JONES,ANDREW",,,,,,,"REBOUND DEF by JONES,ANDREW",1
04:45,"GOOD JUMPER by JONES,ANDREW(in the paint)",26,,34 (+8),,BEREA 26-34 (+8),,"GOOD JUMPER by JONES,ANDREW(in the paint)",1
--,"ASSIST  by MINTER,TREY",,,,,,,"ASSIST  by MINTER,TREY",1
04:16,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",1
