Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
19:34,"TURNOVER  by DEAN,NOLAN",,,,,,,"TURNOVER  by DEAN,NOLAN",1
19:34,,,,,"STEAL  by MARR,RUSS",,,"STEAL  by MARR,RUSS",1
19:15,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
19:15,"STEAL  by DEAN,NOLAN",,,,,,,"STEAL  by DEAN,NOLAN",1
19:08,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
18:39,,0,,3 (+3),"GOOD 3PTR by MARR,RUSS",Sewan 0-3 (+3),,"GOOD 3PTR by MARR,RUSS",1
18:19,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,"REBOUND OFF by DEAN,NOLAN",,,,,,,"REBOUND OFF by DEAN,NOLAN",1
18:14,"GOOD LAYUP by DEAN,NOLAN(in the paint)",2,,3 (+1),,BSC 2-3 (+1),,"GOOD LAYUP by DEAN,NOLAN(in the paint)",1
17:56,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
17:48,"MISS JUMPER by GILLISPIE,JAY",,,,,,,"MISS JUMPER by GILLISPIE,JAY",1
17:48,,,,,"BLOCK  by KAHL,COLIN",,,"BLOCK  by KAHL,COLIN",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
17:42,,2,,5 (+3),"GOOD DUNK by MARR,RUSS(fastbreak)(in the paint)",Sewan 2-5 (+3),,"GOOD DUNK by MARR,RUSS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
17:25,"GOOD JUMPER by GREEN,KALEB(in the paint)",4,,5 (+1),,BSC 4-5 (+1),,"GOOD JUMPER by GREEN,KALEB(in the paint)",1
16:57,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
16:57,"STEAL  by CHILDERS,JOSH",,,,,,,"STEAL  by CHILDERS,JOSH",1
16:51,"GOOD LAYUP by GREEN,KALEB(in the paint)",6 (+1),,5,,BSC 6-5 (-1),,"GOOD LAYUP by GREEN,KALEB(in the paint)",1
16:51,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
16:51,"GOOD FT by GREEN,KALEB",7 (+2),,5,,BSC 7-5 (-2),,"GOOD FT by GREEN,KALEB",1
16:31,,,,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",1
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",1
16:28,,7,,7,"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 7-7 (0),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
16:16,"GOOD JUMPER by DEAN,NOLAN(in the paint)",9 (+2),,7,,BSC 9-7 (-2),,"GOOD JUMPER by DEAN,NOLAN(in the paint)",1
15:57,,,,,"MISS 3PTR by KAHL,COLIN",,,"MISS 3PTR by KAHL,COLIN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
15:50,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
15:50,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
15:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:50,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
15:50,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
15:50,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",1
15:50,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
15:50,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
15:50,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
15:50,"SUB OUT by DEAN,NOLAN",,,,,,,"SUB OUT by DEAN,NOLAN",1
15:50,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
