Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by REED,CHARLES",,,"REBOUND DEF by REED,CHARLES",1
12:55,,,,,"FOUL  by BOYETTE,LB",,,"FOUL  by BOYETTE,LB",1
12:55,,,,,"TURNOVER  by BOYETTE,LB",,,"TURNOVER  by BOYETTE,LB",1
12:55,,,,,"SUB IN by CARTER,QUINCY",,,"SUB IN by CARTER,QUINCY",1
12:55,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
12:55,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
12:55,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
12:55,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
12:55,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
12:55,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",1
12:55,,,,,"SUB OUT by BOYETTE,LB",,,"SUB OUT by BOYETTE,LB",1
12:43,"TURNOVER  by WILLIAMS,RASHAUN",,,,,,,"TURNOVER  by WILLIAMS,RASHAUN",1
12:43,,,,,"STEAL  by CARNES,JADON",,,"STEAL  by CARNES,JADON",1
12:37,,19 (+5),,14,"GOOD LAYUP by REED,CHARLES(in the paint)",BREV 19-14 (+5),,"GOOD LAYUP by REED,CHARLES(in the paint)",1
--,,,,,"ASSIST  by HORTON,KAVAN",,,"ASSIST  by HORTON,KAVAN",1
12:36,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
12:27,,19 (+2),,17,"GOOD 3PTR by HORTON,KAVAN",BREV 19-17 (+2),,"GOOD 3PTR by HORTON,KAVAN",1
--,,,,,"ASSIST  by CRAWFORD,PARIS",,,"ASSIST  by CRAWFORD,PARIS",1
11:52,"MISS LAYUP by SMITH,GRAHAM(in the paint)",,,,,,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",1
--,,,,,"REBOUND DEF by CRAWFORD,PARIS",,,"REBOUND DEF by CRAWFORD,PARIS",1
11:38,,19,,20 (+1),"GOOD 3PTR by CARTER,QUINCY",BREV 19-20 (-1),,"GOOD 3PTR by CARTER,QUINCY",1
--,,,,,"ASSIST  by CARNES,JADON",,,"ASSIST  by CARNES,JADON",1
11:16,"GOOD LAYUP by KAHL,COLIN(in the paint)",21 (+1),,20,,Sewan 21-20 (+1),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
10:59,,,,,"TURNOVER  by CARNES,JADON",,,"TURNOVER  by CARNES,JADON",1
10:59,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",1
10:55,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
10:55,,,,,"STEAL  by CARTER,QUINCY",,,"STEAL  by CARTER,QUINCY",1
10:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:55,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
10:55,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
10:55,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
10:55,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",1
10:40,,21,,23 (+2),"GOOD 3PTR by CARNES,JADON",BREV 21-23 (-2),,"GOOD 3PTR by CARNES,JADON",1
--,,,,,"ASSIST  by CRAWFORD,PARIS",,,"ASSIST  by CRAWFORD,PARIS",1
10:19,"MISS 3PTR by WILLIAMS,RASHAUN",,,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",1
--,,,,,"REBOUND DEF by REED,CHARLES",,,"REBOUND DEF by REED,CHARLES",1
10:11,,,,,"MISS LAYUP by REED,CHARLES(in the paint)",,,"MISS LAYUP by REED,CHARLES(in the paint)",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
09:48,"GOOD LAYUP by MARR,RUSS(in the paint)",23,,23,,Sewan 23-23 (0),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
09:26,,,,,"MISS LAYUP by CARTER,QUINCY(in the paint)",,,"MISS LAYUP by CARTER,QUINCY(in the paint)",1
09:26,"BLOCK  by MARR,RUSS",,,,,,,"BLOCK  by MARR,RUSS",1
--,,,,,"REBOUND OFF by CARNES,JADON",,,"REBOUND OFF by CARNES,JADON",1
09:25,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
09:25,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
09:15,,,,,"MISS 3PTR by HORTON,KAVAN",,,"MISS 3PTR by HORTON,KAVAN",1
--,,,,,"REBOUND OFF by REED,CHARLES",,,"REBOUND OFF by REED,CHARLES",1
09:08,,,,,"FOUL  by CARTER,QUINCY",,,"FOUL  by CARTER,QUINCY",1
09:08,,,,,"TURNOVER  by CARTER,QUINCY",,,"TURNOVER  by CARTER,QUINCY",1
09:08,,,,,"SUB OUT by CARNES,JADON",,,"SUB OUT by CARNES,JADON",1
09:08,,,,,"SUB IN by WHITE,SLY",,,"SUB IN by WHITE,SLY",1
08:53,"GOOD 3PTR by MARR,RUSS",26 (+3),,23,,Sewan 26-23 (+3),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by HOLLAND,ELI",,,,,,,"ASSIST  by HOLLAND,ELI",1
08:33,"FOUL  by WILLIAMS,RASHAUN",,,,,,,"FOUL  by WILLIAMS,RASHAUN",1
08:33,"SUB OUT by WILLIAMS,RASHAUN",,,,,,,"SUB OUT by WILLIAMS,RASHAUN",1
08:33,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
08:24,,,,,"MISS 3PTR by CRAWFORD,PARIS",,,"MISS 3PTR by CRAWFORD,PARIS",1
--,,,,,"REBOUND OFF by REED,CHARLES",,,"REBOUND OFF by REED,CHARLES",1
08:19,,26 (+1),,25,"GOOD LAYUP by REED,CHARLES(in the paint)",BREV 26-25 (+1),,"GOOD LAYUP by REED,CHARLES(in the paint)",1
08:00,,,,,"FOUL  by HORTON,KAVAN",,,"FOUL  by HORTON,KAVAN",1
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
08:00,"GOOD FT by MARR,RUSS",27 (+2),,25,,Sewan 27-25 (+2),,"GOOD FT by MARR,RUSS",1
08:00,"GOOD FT by MARR,RUSS",28 (+3),,25,,Sewan 28-25 (+3),,"GOOD FT by MARR,RUSS",1
08:00,"MISS FT by MARR,RUSS",,,,,,,"MISS FT by MARR,RUSS",1
--,,,,,"REBOUND DEF by CARTER,QUINCY",,,"REBOUND DEF by CARTER,QUINCY",1
07:49,,28 (+1),,27,"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 28-27 (+1),,"GOOD LAYUP by WHITE,SLY(in the paint)",1
--,,,,,"ASSIST  by CARTER,QUINCY",,,"ASSIST  by CARTER,QUINCY",1
07:30,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",1
--,,,,,"REBOUND DEF by REED,CHARLES",,,"REBOUND DEF by REED,CHARLES",1
07:02,,,,,"MISS LAYUP by REED,CHARLES(in the paint)",,,"MISS LAYUP by REED,CHARLES(in the paint)",1
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",1
06:53,,,,,"FOUL  by CARTER,QUINCY",,,"FOUL  by CARTER,QUINCY",1
06:53,"GOOD FT by CORRIGAN,TRE",29 (+2),,27,,Sewan 29-27 (+2),,"GOOD FT by CORRIGAN,TRE",1
06:53,,,,,"SUB OUT by CARTER,QUINCY",,,"SUB OUT by CARTER,QUINCY",1
06:53,,,,,"SUB OUT by HORTON,KAVAN",,,"SUB OUT by HORTON,KAVAN",1
06:53,,,,,"SUB IN by SEALY,DAVID",,,"SUB IN by SEALY,DAVID",1
06:53,,,,,"SUB IN by WATSON,CHANCEY",,,"SUB IN by WATSON,CHANCEY",1
06:53,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
06:53,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
06:50,"GOOD FT by CORRIGAN,TRE",30 (+3),,27,,Sewan 30-27 (+3),,"GOOD FT by CORRIGAN,TRE",1
06:31,,30 (+1),,29,"GOOD JUMPER by WATSON,CHANCEY",BREV 30-29 (+1),,"GOOD JUMPER by WATSON,CHANCEY",1
--,,,,,"ASSIST  by SEALY,DAVID",,,"ASSIST  by SEALY,DAVID",1
06:13,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
06:13,,,,,"STEAL  by WATSON,CHANCEY",,,"STEAL  by WATSON,CHANCEY",1
05:55,,,,,"MISS LAYUP by SEALY,DAVID(in the paint)",,,"MISS LAYUP by SEALY,DAVID(in the paint)",1
05:55,"BLOCK  by CORRIGAN,TRE",,,,,,,"BLOCK  by CORRIGAN,TRE",1
--,,,,,"REBOUND OFF by SEALY,DAVID",,,"REBOUND OFF by SEALY,DAVID",1
05:52,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",1
05:36,,,,,"TURNOVER  by WATSON,CHANCEY",,,"TURNOVER  by WATSON,CHANCEY",1
05:23,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",1
05:22,,,,,"FOUL  by REED,CHARLES",,,"FOUL  by REED,CHARLES",1
05:22,"MISS FT by KAHL,COLIN",,,,,,,"MISS FT by KAHL,COLIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:22,"GOOD FT by KAHL,COLIN",31 (+2),,29,,Sewan 31-29 (+2),,"GOOD FT by KAHL,COLIN",1
05:04,,31,,31,"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",BREV 31-31 (0),,"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",1
04:50,"GOOD LAYUP by KAHL,COLIN(in the paint)",33 (+2),,31,,Sewan 33-31 (+2),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
04:31,,33,,34 (+1),"GOOD 3PTR by WHITE,SLY",BREV 33-34 (-1),,"GOOD 3PTR by WHITE,SLY",1
--,,,,,"ASSIST  by SEALY,DAVID",,,"ASSIST  by SEALY,DAVID",1
04:13,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",1
03:48,,,,,"FOUL  by CRAWFORD,PARIS",,,"FOUL  by CRAWFORD,PARIS",1
03:48,,,,,"TURNOVER  by CRAWFORD,PARIS",,,"TURNOVER  by CRAWFORD,PARIS",1
03:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:48,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
03:48,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
03:33,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,,,,,"REBOUND DEF by REED,CHARLES",,,"REBOUND DEF by REED,CHARLES",1
03:33,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1
03:04,,,,,"MISS 3PTR by SEALY,DAVID",,,"MISS 3PTR by SEALY,DAVID",1
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",1
02:49,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,,,,,"REBOUND DEF by REED,CHARLES",,,"REBOUND DEF by REED,CHARLES",1
02:40,,,,,"MISS 3PTR by CRAWFORD,PARIS",,,"MISS 3PTR by CRAWFORD,PARIS",1
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",1
02:31,,,,,"FOUL  by WATSON,CHANCEY",,,"FOUL  by WATSON,CHANCEY",1
02:31,,,,,"SUB OUT by SEALY,DAVID",,,"SUB OUT by SEALY,DAVID",1
02:31,,,,,"SUB OUT by WHITE,SLY",,,"SUB OUT by WHITE,SLY",1
02:31,,,,,"SUB IN by EVANS,CARSON",,,"SUB IN by EVANS,CARSON",1
02:31,,,,,"SUB IN by SMITH,RYAN",,,"SUB IN by SMITH,RYAN",1
02:31,"GOOD FT by SMITH,GRAHAM",34,,34,,Sewan 34-34 (0),,"GOOD FT by SMITH,GRAHAM",1
02:31,"GOOD FT by SMITH,GRAHAM",35 (+1),,34,,Sewan 35-34 (+1),,"GOOD FT by SMITH,GRAHAM",1
02:18,,,,,"TURNOVER  by WATSON,CHANCEY",,,"TURNOVER  by WATSON,CHANCEY",1
02:18,"STEAL  by SMITH,GRAHAM",,,,,,,"STEAL  by SMITH,GRAHAM",1
02:12,"TURNOVER  by SMITH,GRAHAM",,,,,,,"TURNOVER  by SMITH,GRAHAM",1
02:12,,,,,"STEAL  by CRAWFORD,PARIS",,,"STEAL  by CRAWFORD,PARIS",1
02:07,,35,,36 (+1),"GOOD JUMPER by EVANS,CARSON(fastbreak)",BREV 35-36 (-1),,"GOOD JUMPER by EVANS,CARSON(fastbreak)",1
01:54,,,,,"FOUL  by EVANS,CARSON",,,"FOUL  by EVANS,CARSON",1
01:54,"GOOD FT by SMITH,GRAHAM",36,,36,,Sewan 36-36 (0),,"GOOD FT by SMITH,GRAHAM",1
01:54,"GOOD FT by SMITH,GRAHAM",37 (+1),,36,,Sewan 37-36 (+1),,"GOOD FT by SMITH,GRAHAM",1
01:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:54,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
01:54,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
01:25,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1
01:25,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
01:25,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
01:15,,,,,"TURNOVER  by SMITH,RYAN",,,"TURNOVER  by SMITH,RYAN",1
01:15,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
01:15,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
01:13,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
01:13,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
01:13,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
01:12,,37,,38 (+1),"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",BREV 37-38 (-1),,"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",1
01:09,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
01:09,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
01:09,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
01:09,,37,,39 (+2),"GOOD FT by CRAWFORD,PARIS",BREV 37-39 (-2),,"GOOD FT by CRAWFORD,PARIS",1
00:38,,,,,"FOUL  by SMITH,RYAN",,,"FOUL  by SMITH,RYAN",1
00:38,"MISS FT by HOLLAND,ELI",,,,,,,"MISS FT by HOLLAND,ELI",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:38,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
00:38,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
00:38,"MISS FT by HOLLAND,ELI",,,,,,,"MISS FT by HOLLAND,ELI",1
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",1
00:24,,,,,"MISS 3PTR by SMITH,RYAN",,,"MISS 3PTR by SMITH,RYAN",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
00:10,"MISS LAYUP by CRUMP,JOHN(in the paint)",,,,,,,"MISS LAYUP by CRUMP,JOHN(in the paint)",1
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",1
00:05,"GOOD LAYUP by HOLLAND,ELI(in the paint)",39,,39,,Sewan 39-39 (0),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",1
20:00,,,,,"SUB OUT by CRAWFORD,PARIS",,,"SUB OUT by CRAWFORD,PARIS",2
20:00,,,,,"SUB OUT by REED,CHARLES",,,"SUB OUT by REED,CHARLES",2
20:00,,,,,"SUB IN by CARTER,QUINCY",,,"SUB IN by CARTER,QUINCY",2
20:00,,,,,"SUB IN by BOYETTE,LB",,,"SUB IN by BOYETTE,LB",2
20:00,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
20:00,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
20:00,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
20:00,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
19:51,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
19:51,,,,,"STEAL  by SMITH,RYAN",,,"STEAL  by SMITH,RYAN",2
19:31,,,,,"MISS LAYUP by BOYETTE,LB(in the paint)",,,"MISS LAYUP by BOYETTE,LB(in the paint)",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
19:23,"MISS LAYUP by CRUMP,JOHN(in the paint)",,,,,,,"MISS LAYUP by CRUMP,JOHN(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,RYAN",,,"REBOUND DEF by SMITH,RYAN",2
19:14,,,,,"FOUL  by BOYETTE,LB",,,"FOUL  by BOYETTE,LB",2
19:14,,,,,"TURNOVER  by BOYETTE,LB",,,"TURNOVER  by BOYETTE,LB",2
19:03,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
