Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,LAGRANGE,Game Score,Team Indicator,Play,Period
10:45,,,,,"MISS JUMPER by EDWARDS,BERSHARD",,,"MISS JUMPER by EDWARDS,BERSHARD",1
--,,,,,"REBOUND OFF by SMITH,KYLE",,,"REBOUND OFF by SMITH,KYLE",1
10:36,,,,,"TURNOVER  by SMITH,KYLE",,,"TURNOVER  by SMITH,KYLE",1
10:25,"GOOD 3PTR by CRUMP,JOHN",27 (+3),,24,,SEW 27-24 (+3),,"GOOD 3PTR by CRUMP,JOHN",1
10:04,,27,,27,"GOOD 3PTR by SMITH,KYLE",LAGRANGE 27-27 (0),,"GOOD 3PTR by SMITH,KYLE",1
--,,,,,"ASSIST ASSIST by SCOTT,BRODIE",,,"ASSIST ASSIST by SCOTT,BRODIE",1
09:48,,,,,"FOUL  by SMITH,KYLE",,,"FOUL  by SMITH,KYLE",1
09:35,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",1
09:13,,,,,"FOUL  by SMITH,KYLE",,,"FOUL  by SMITH,KYLE",1
09:13,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",1
09:13,"GOOD FT by AVALIANI,LUKA",28 (+1),,27,,SEW 28-27 (+1),,"GOOD FT by AVALIANI,LUKA",1
09:02,,28,,29 (+1),"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 28-29 (-1),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
08:45,"MISS JUMPER by AVALIANI,LUKA",,,,,,,"MISS JUMPER by AVALIANI,LUKA",1
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",1
08:37,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",1
--,,,,,"REBOUND DEF by SCOTT,BRODIE",,,"REBOUND DEF by SCOTT,BRODIE",1
08:27,,28,,31 (+3),"GOOD JUMPER by SMITH,KYLE",LAGRANGE 28-31 (-3),,"GOOD JUMPER by SMITH,KYLE",1
08:08,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",1
--,"REBOUND OFF by AVALIANI,LUKA",,,,,,,"REBOUND OFF by AVALIANI,LUKA",1
07:56,"GOOD LAYUP by CRUMP,JOHN(in the paint)",30,,31 (+1),,SEW 30-31 (-1),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
--,"ASSIST ASSIST by AVALIANI,LUKA",,,,,,,"ASSIST ASSIST by AVALIANI,LUKA",1
07:33,,30,,33 (+3),"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 30-33 (-3),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
--,,,,,"ASSIST ASSIST by LYONS,CAMERIN",,,"ASSIST ASSIST by LYONS,CAMERIN",1
07:16,"GOOD JUMPER by AVALIANI,LUKA",32,,33 (+1),,SEW 32-33 (-1),,"GOOD JUMPER by AVALIANI,LUKA",1
07:07,,,,,"MISS LAYUP by EDWARDS,BERSHARD",,,"MISS LAYUP by EDWARDS,BERSHARD",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
06:57,"MISS LAYUP by CORRIGAN,TRE",,,,,,,"MISS LAYUP by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",1
06:47,,32,,35 (+3),"GOOD JUMPER by LYONS,CAMERIN",LAGRANGE 32-35 (-3),,"GOOD JUMPER by LYONS,CAMERIN",1
06:33,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",1
06:33,,,,,"FOUL  by SMITH,KYLE",,,"FOUL  by SMITH,KYLE",1
06:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:33,"GOOD FT by KAHL,COLIN",33,,35 (+2),,SEW 33-35 (-2),,"GOOD FT by KAHL,COLIN",1
06:33,"GOOD FT by KAHL,COLIN",34,,35 (+1),,SEW 34-35 (-1),,"GOOD FT by KAHL,COLIN",1
06:33,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
06:33,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
06:33,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
06:33,,,,,"SUB IN by COFIELD,GABE",,,"SUB IN by COFIELD,GABE",1
06:33,,,,,"SUB OUT by SMITH,KYLE",,,"SUB OUT by SMITH,KYLE",1
06:10,,,,,"MISS LAYUP by HILL,ZAC",,,"MISS LAYUP by HILL,ZAC",1
06:00,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",1
05:55,"MISS FT by CRUMP,JOHN",,,,,,,"MISS FT by CRUMP,JOHN",1
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",1
05:39,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",1
05:21,,,,,"TURNOVER  by EDWARDS,BERSHARD",,,"TURNOVER  by EDWARDS,BERSHARD",1
05:21,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",1
05:21,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
05:00,"GOOD JUMPER by AVALIANI,LUKA",36 (+1),,35,,SEW 36-35 (+1),,"GOOD JUMPER by AVALIANI,LUKA",1
04:49,,,,,"MISS JUMPER by LYONS,CAMERIN",,,"MISS JUMPER by LYONS,CAMERIN",1
04:49,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
04:49,,,,,"MISS 3PTR by COFIELD,GABE",,,"MISS 3PTR by COFIELD,GABE",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
04:49,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
04:49,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
04:45,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by EDWARDS,BERSHARD",,,"REBOUND DEF by EDWARDS,BERSHARD",1
04:38,,36,,37 (+1),"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 36-37 (-1),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
--,,,,,"ASSIST ASSIST by EDWARDS,BERSHARD",,,"ASSIST ASSIST by EDWARDS,BERSHARD",1
04:26,,,,,"STEAL  by EDWARDS,BERSHARD",,,"STEAL  by EDWARDS,BERSHARD",1
04:20,,,,,"TURNOVER  by EDWARDS,BERSHARD",,,"TURNOVER  by EDWARDS,BERSHARD",1
04:04,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by SCOTT,BRODIE",,,"REBOUND DEF by SCOTT,BRODIE",1
03:47,,,,,"MISS 3PTR by COFIELD,GABE",,,"MISS 3PTR by COFIELD,GABE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:22,"MISS LAYUP by CRUMP,JOHN",,,,,,,"MISS LAYUP by CRUMP,JOHN",1
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",1
03:10,,,,,"TURNOVER  by LYONS,CAMERIN",,,"TURNOVER  by LYONS,CAMERIN",1
03:03,"GOOD LAYUP by CRUMP,JOHN(in the paint)",38 (+1),,37,,SEW 38-37 (+1),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
02:40,,38,,39 (+1),"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",LAGRANGE 38-39 (-1),,"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",1
02:26,"MISS 3PTR by WILLIAMS,RASHAUN",,,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",1
--,,,,,"REBOUND DEF by SCOTT,BRODIE",,,"REBOUND DEF by SCOTT,BRODIE",1
02:15,,,,,"MISS LAYUP by EDWARDS,BERSHARD",,,"MISS LAYUP by EDWARDS,BERSHARD",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
02:06,"MISS LAYUP by MARR,RUSS",,,,,,,"MISS LAYUP by MARR,RUSS",1
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",1
01:59,,,,,"MISS LAYUP by LYONS,CAMERIN",,,"MISS LAYUP by LYONS,CAMERIN",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
01:49,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
01:26,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",1
01:01,,,,,"MISS LAYUP by EDWARDS,BERSHARD",,,"MISS LAYUP by EDWARDS,BERSHARD",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
00:27,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",1
00:27,,,,,"BLOCK  by COFIELD,GABE",,,"BLOCK  by COFIELD,GABE",1
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",1
00:09,,,,,"MISS JUMPER by LYONS,CAMERIN",,,"MISS JUMPER by LYONS,CAMERIN",1
--,,,,,"REBOUND OFF by SCOTT,BRODIE",,,"REBOUND OFF by SCOTT,BRODIE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:00,,38,,41 (+3),"GOOD JUMPER by LYONS,CAMERIN",LAGRANGE 38-41 (-3),,"GOOD JUMPER by LYONS,CAMERIN",1
19:50,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",2
19:35,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
19:28,,,,,"MISS LAYUP by LYONS,CAMERIN",,,"MISS LAYUP by LYONS,CAMERIN",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
19:20,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",2
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",2
19:12,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
18:47,,,,,"MISS 3PTR by EDWARDS,BERSHARD",,,"MISS 3PTR by EDWARDS,BERSHARD",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:22,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by LYONS,CAMERIN",,,"REBOUND DEF by LYONS,CAMERIN",2
17:45,,,,,"MISS LAYUP by EDWARDS,BERSHARD",,,"MISS LAYUP by EDWARDS,BERSHARD",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
17:33,"GOOD LAYUP by CRUMP,JOHN(in the paint)",40,,41 (+1),,SEW 40-41 (-1),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
17:24,,,,,"FOUL  by COFIELD,GABE",,,"FOUL  by COFIELD,GABE",2
17:24,"GOOD FT by CRUMP,JOHN",41,,41,,SEW 41-41 (0),,"GOOD FT by CRUMP,JOHN",2
17:11,,,,,"MISS LAYUP by LYONS,CAMERIN",,,"MISS LAYUP by LYONS,CAMERIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:53,,,,,"STEAL  by DOLHANCYK,COOPER",,,"STEAL  by DOLHANCYK,COOPER",2
16:46,,41,,43 (+2),"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",LAGRANGE 41-43 (-2),,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",2
16:41,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
16:32,,,,,"MISS JUMPER by EDWARDS,BERSHARD",,,"MISS JUMPER by EDWARDS,BERSHARD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:16,,41,,45 (+4),"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 41-45 (-4),,"GOOD LAYUP by HILL,ZAC(in the paint)",2
--,,,,,"ASSIST ASSIST by EDWARDS,BERSHARD",,,"ASSIST ASSIST by EDWARDS,BERSHARD",2
16:04,"GOOD 3PTR by KAHL,COLIN",44,,45 (+1),,SEW 44-45 (-1),,"GOOD 3PTR by KAHL,COLIN",2
15:48,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",2
15:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:48,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
15:48,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
15:48,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
15:48,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
15:48,,,,,"SUB IN by PETTIGREW,ISAIAH",,,"SUB IN by PETTIGREW,ISAIAH",2
15:48,,,,,"SUB IN by SMITH,KYLE",,,"SUB IN by SMITH,KYLE",2
15:48,,,,,"SUB OUT by HILL,ZAC",,,"SUB OUT by HILL,ZAC",2
15:48,,,,,"SUB OUT by DOLHANCYK,COOPER",,,"SUB OUT by DOLHANCYK,COOPER",2
15:17,"GOOD 3PTR by MARR,RUSS",47 (+2),,45,,SEW 47-45 (+2),,"GOOD 3PTR by MARR,RUSS",2
15:01,,,,,"MISS LAYUP by SMITH,KYLE",,,"MISS LAYUP by SMITH,KYLE",2
--,,,,,"REBOUND OFF by EDWARDS,BERSHARD",,,"REBOUND OFF by EDWARDS,BERSHARD",2
14:54,,,,,"MISS LAYUP by SMITH,KYLE",,,"MISS LAYUP by SMITH,KYLE",2
14:54,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
14:54,,,,,"MISS FT by SMITH,KYLE",,,"MISS FT by SMITH,KYLE",2
14:54,,47 (+1),,46,"GOOD FT by SMITH,KYLE",LAGRANGE 47-46 (+1),,"GOOD FT by SMITH,KYLE",2
14:54,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
14:54,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
14:54,,,,,"SUB IN by SCOTT,BRODIE",,,"SUB IN by SCOTT,BRODIE",2
14:54,,,,,"SUB OUT by COFIELD,GABE",,,"SUB OUT by COFIELD,GABE",2
14:27,,,,,"FOUL  by SMITH,KYLE",,,"FOUL  by SMITH,KYLE",2
14:27,,,,,"SUB IN by HILL,ZAC",,,"SUB IN by HILL,ZAC",2
14:27,,,,,"SUB IN by DOLHANCYK,COOPER",,,"SUB IN by DOLHANCYK,COOPER",2
14:27,,,,,"SUB OUT by PETTIGREW,ISAIAH",,,"SUB OUT by PETTIGREW,ISAIAH",2
14:27,,,,,"SUB OUT by SMITH,KYLE",,,"SUB OUT by SMITH,KYLE",2
14:11,"MISS 3PTR by SMITH,GRAHAM",,,,,,,"MISS 3PTR by SMITH,GRAHAM",2
--,,,,,"REBOUND DEF by EDWARDS,BERSHARD",,,"REBOUND DEF by EDWARDS,BERSHARD",2
13:58,,47,,49 (+2),"GOOD 3PTR by LYONS,CAMERIN",LAGRANGE 47-49 (-2),,"GOOD 3PTR by LYONS,CAMERIN",2
--,,,,,"ASSIST ASSIST by HILL,ZAC",,,"ASSIST ASSIST by HILL,ZAC",2
13:33,,,,,"FOUL  by SCOTT,BRODIE",,,"FOUL  by SCOTT,BRODIE",2
13:25,"GOOD FT by AVALIANI,LUKA",48,,49 (+1),,SEW 48-49 (-1),,"GOOD FT by AVALIANI,LUKA",2
13:10,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",2
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",2
13:04,"GOOD LAYUP by KAHL,COLIN(in the paint)",50 (+1),,49,,SEW 50-49 (+1),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
12:52,,,,,"TURNOVER  by LYONS,CAMERIN",,,"TURNOVER  by LYONS,CAMERIN",2
12:52,,,,,"SUB IN by EVANS,GRANT",,,"SUB IN by EVANS,GRANT",2
12:52,,,,,"SUB OUT by DOLHANCYK,COOPER",,,"SUB OUT by DOLHANCYK,COOPER",2
12:25,"GOOD LAYUP by KAHL,COLIN(in the paint)",52 (+3),,49,,SEW 52-49 (+3),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST ASSIST by SMITH,GRAHAM",,,,,,,"ASSIST ASSIST by SMITH,GRAHAM",2
--,,,,,"ASSIST ASSIST by EDWARDS,BERSHARD",,,"ASSIST ASSIST by EDWARDS,BERSHARD",2
11:58,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
11:58,,52,,52,"GOOD 3PTR by SCOTT,BRODIE",LAGRANGE 52-52 (0),,"GOOD 3PTR by SCOTT,BRODIE",2
11:49,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",54 (+2),,52,,SEW 54-52 (+2),,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",2
