Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
08:49,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
08:49,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
08:49,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
08:49,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
08:49,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
08:49,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
08:49,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
08:41,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
08:20,"FOUL  by WILLIAMS,RASHAUN",,,,,,,"FOUL  by WILLIAMS,RASHAUN",1
08:20,,22 (+4),,18,"GOOD FT by STEPHEN,SETH",Mill 22-18 (+4),,"GOOD FT by STEPHEN,SETH",1
08:20,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",1
08:20,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
08:20,,,,,"MISS FT by STEPHEN,SETH",,,"MISS FT by STEPHEN,SETH",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
08:05,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
07:56,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:55,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
07:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:55,"SUB OUT by WILLIAMS,RASHAUN",,,,,,,"SUB OUT by WILLIAMS,RASHAUN",1
07:55,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",1
07:38,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
07:16,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
07:04,,,,,"FOUL  by BUSH,RODREEKAS",,,"FOUL  by BUSH,RODREEKAS",1
07:04,"GOOD FT by MARR,RUSS",23 (+5),,18,,Sewan 23-18 (+5),,"GOOD FT by MARR,RUSS",1
07:04,"GOOD FT by MARR,RUSS",24 (+6),,18,,Sewan 24-18 (+6),,"GOOD FT by MARR,RUSS",1
07:04,"GOOD FT by MARR,RUSS",25 (+7),,18,,Sewan 25-18 (+7),,"GOOD FT by MARR,RUSS",1
06:41,,,,,"MISS JUMPER by STEPHEN,SETH(in the paint)",,,"MISS JUMPER by STEPHEN,SETH(in the paint)",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
06:18,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",27 (+9),,18,,Sewan 27-18 (+9),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
05:59,,27 (+6),,21,"GOOD 3PTR by GASCA,DAKOTA",Mill 27-21 (+6),,"GOOD 3PTR by GASCA,DAKOTA",1
05:42,,,,,"FOUL  by UGHOVWA,NICHOLAS",,,"FOUL  by UGHOVWA,NICHOLAS",1
05:42,"MISS FT by KAHL,COLIN",,,,,,,"MISS FT by KAHL,COLIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:42,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
05:42,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
05:42,"GOOD FT by KAHL,COLIN",28 (+7),,21,,Sewan 28-21 (+7),,"GOOD FT by KAHL,COLIN",1
05:42,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
05:42,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
05:42,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
05:42,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
05:42,"SUB IN by ROWE,GRANT",,,,,,,"SUB IN by ROWE,GRANT",1
05:42,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
05:30,,28 (+4),,24,"GOOD 3PTR by GASCA,DAKOTA",Mill 28-24 (+4),,"GOOD 3PTR by GASCA,DAKOTA",1
05:06,,,,,"FOUL  by GASCA,DAKOTA",,,"FOUL  by GASCA,DAKOTA",1
05:06,"GOOD FT by CORRIGAN,TRE",29 (+5),,24,,Sewan 29-24 (+5),,"GOOD FT by CORRIGAN,TRE",1
05:06,"GOOD FT by CORRIGAN,TRE",30 (+6),,24,,Sewan 30-24 (+6),,"GOOD FT by CORRIGAN,TRE",1
04:50,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",1
04:50,,30 (+5),,25,"GOOD FT by PHILLIPS JR,RODNEY",Mill 30-25 (+5),,"GOOD FT by PHILLIPS JR,RODNEY",1
04:50,,30 (+4),,26,"GOOD FT by PHILLIPS JR,RODNEY",Mill 30-26 (+4),,"GOOD FT by PHILLIPS JR,RODNEY",1
04:31,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by BUSH,RODREEKAS",,,"REBOUND DEF by BUSH,RODREEKAS",1
04:22,,30 (+2),,28,"GOOD JUMPER by GASCA,DAKOTA(in the paint)",Mill 30-28 (+2),,"GOOD JUMPER by GASCA,DAKOTA(in the paint)",1
04:08,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",1
04:01,"GOOD LAYUP by HOLLAND,ELI(in the paint)",32 (+4),,28,,Sewan 32-28 (+4),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",1
03:49,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",,,"MISS 3PTR by PHILLIPS JR,RODNEY",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
03:40,"GOOD 3PTR by MARR,RUSS",35 (+7),,28,,Sewan 35-28 (+7),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
03:24,,,,,"MISS JUMPER by BUSH,RODREEKAS",,,"MISS JUMPER by BUSH,RODREEKAS",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
03:14,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by PHILLIPS JR,RODNEY",,,"REBOUND DEF by PHILLIPS JR,RODNEY",1
02:58,,35 (+4),,31,"GOOD 3PTR by GASCA,DAKOTA",Mill 35-31 (+4),,"GOOD 3PTR by GASCA,DAKOTA",1
02:41,"MISS 3PTR by ROWE,GRANT",,,,,,,"MISS 3PTR by ROWE,GRANT",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
02:31,,35 (+2),,33,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",Mill 35-33 (+2),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,,,,,"ASSIST  by GASCA,DAKOTA",,,"ASSIST  by GASCA,DAKOTA",1
02:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:30,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
02:30,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
02:30,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
02:30,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
02:30,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
02:30,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
02:30,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
02:30,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
02:30,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
02:30,"SUB OUT by ROWE,GRANT",,,,,,,"SUB OUT by ROWE,GRANT",1
02:30,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
02:30,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
02:30,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",1
02:30,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
02:10,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
02:10,,,,,"STEAL  by RUCKER,CAM",,,"STEAL  by RUCKER,CAM",1
02:02,,35,,35,"GOOD LAYUP by ROTH,DREW(fastbreak)(in the paint)",Mill 35-35 (0),,"GOOD LAYUP by ROTH,DREW(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",1
01:52,,,,,"FOUL  by UGHOVWA,NICHOLAS",,,"FOUL  by UGHOVWA,NICHOLAS",1
01:52,"GOOD FT by KAHL,COLIN",36 (+1),,35,,Sewan 36-35 (+1),,"GOOD FT by KAHL,COLIN",1
01:52,"MISS FT by KAHL,COLIN",,,,,,,"MISS FT by KAHL,COLIN",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
01:33,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
01:33,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
01:33,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
01:32,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",1
01:32,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",1
01:28,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1
01:28,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
01:06,,36,,37 (+1),"GOOD JUMPER by HOGAN,TJ(in the paint)",Mill 36-37 (-1),,"GOOD JUMPER by HOGAN,TJ(in the paint)",1
00:52,"GOOD LAYUP by KAHL,COLIN(in the paint)",38 (+1),,37,,Sewan 38-37 (+1),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
00:21,,,,,"MISS 3PTR by GASCA,DAKOTA",,,"MISS 3PTR by GASCA,DAKOTA",1
00:21,"BLOCK  by CORRIGAN,TRE",,,,,,,"BLOCK  by CORRIGAN,TRE",1
00:17,,,,,"FOUL  by GASCA,DAKOTA",,,"FOUL  by GASCA,DAKOTA",1
00:17,"MISS FT by CRUMP,JOHN(fastbreak)",,,,,,,"MISS FT by CRUMP,JOHN(fastbreak)",1
--,,,,,"REBOUND DEF by ROTH,DREW",,,"REBOUND DEF by ROTH,DREW",1
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",1
00:07,,38,,39 (+1),"GOOD JUMPER by GORTON,MACK(in the paint)",Mill 38-39 (-1),,"GOOD JUMPER by GORTON,MACK(in the paint)",1
00:01,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",2
