Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
--,"ASSIST  by HOLLAND,ELI",,,,,,,"ASSIST  by HOLLAND,ELI",2
14:05,,,,,"MISS 3PTR by EVANS,CARSON",,,"MISS 3PTR by EVANS,CARSON",2
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",2
13:52,"MISS LAYUP by CORRIGAN,TRE",,,,,,,"MISS LAYUP by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by CARTER,QUINCY",,,"REBOUND DEF by CARTER,QUINCY",2
13:46,,60 (+19),,41,"GOOD LAYUP by BOYETTE,LB(fastbreak)(in the paint)",BREV 60-41 (+19),,"GOOD LAYUP by BOYETTE,LB(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by CARTER,QUINCY",,,"ASSIST  by CARTER,QUINCY",2
13:31,"MISS LAYUP by HOLLAND,ELI",,,,,,,"MISS LAYUP by HOLLAND,ELI",2
--,,,,,"REBOUND DEF by CARNES,JADON",,,"REBOUND DEF by CARNES,JADON",2
13:15,,60 (+17),,43,"GOOD LAYUP by BOYETTE,LB(in the paint)",BREV 60-43 (+17),,"GOOD LAYUP by BOYETTE,LB(in the paint)",2
--,,,,,"ASSIST  by CARNES,JADON",,,"ASSIST  by CARNES,JADON",2
13:13,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
13:13,,60 (+16),,44,"GOOD FT by BOYETTE,LB",BREV 60-44 (+16),,"GOOD FT by BOYETTE,LB",2
13:13,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",2
13:13,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
13:13,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
13:13,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
13:13,,,,,"SUB IN by WHITE,SLY",,,"SUB IN by WHITE,SLY",2
13:13,,,,,"SUB OUT by CARNES,JADON",,,"SUB OUT by CARNES,JADON",2
12:59,,,,,"FOUL  by BOYETTE,LB",,,"FOUL  by BOYETTE,LB",2
12:53,"MISS 3PTR by WILLIAMS,RASHAUN",,,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",2
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",2
12:47,,,,,"MISS JUMPER by EVANS,CARSON",,,"MISS JUMPER by EVANS,CARSON",2
--,,,,,"REBOUND OFF by WHITE,SLY",,,"REBOUND OFF by WHITE,SLY",2
12:43,,60 (+14),,46,"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 60-46 (+14),,"GOOD LAYUP by WHITE,SLY(in the paint)",2
12:28,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by CARTER,QUINCY",,,"REBOUND DEF by CARTER,QUINCY",2
12:15,,,,,"MISS 3PTR by WATSON,CHANCEY",,,"MISS 3PTR by WATSON,CHANCEY",2
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",2
11:59,,,,,"FOUL  by WHITE,SLY",,,"FOUL  by WHITE,SLY",2
11:59,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
11:59,"GOOD FT by HOLLAND,ELI",61 (+15),,46,,SEW 61-46 (+15),,"GOOD FT by HOLLAND,ELI",2
11:59,"GOOD FT by HOLLAND,ELI",62 (+16),,46,,SEW 62-46 (+16),,"GOOD FT by HOLLAND,ELI",2
11:59,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
11:59,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
11:59,,,,,"SUB IN by REED,CHARLES",,,"SUB IN by REED,CHARLES",2
11:59,,,,,"SUB IN by SUTHERLAND,GARRETT",,,"SUB IN by SUTHERLAND,GARRETT",2
11:59,,,,,"SUB IN by HORTON,KAVAN",,,"SUB IN by HORTON,KAVAN",2
11:59,,,,,"SUB IN by CRAWFORD,PARIS",,,"SUB IN by CRAWFORD,PARIS",2
11:59,,,,,"SUB OUT by CARTER,QUINCY",,,"SUB OUT by CARTER,QUINCY",2
11:59,,,,,"SUB OUT by BOYETTE,LB",,,"SUB OUT by BOYETTE,LB",2
11:59,,,,,"SUB OUT by EVANS,CARSON",,,"SUB OUT by EVANS,CARSON",2
11:59,,,,,"SUB OUT by WATSON,CHANCEY",,,"SUB OUT by WATSON,CHANCEY",2
11:46,,62 (+14),,48,"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 62-48 (+14),,"GOOD LAYUP by WHITE,SLY(in the paint)",2
--,,,,,"ASSIST  by HORTON,KAVAN",,,"ASSIST  by HORTON,KAVAN",2
11:28,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",64 (+16),,48,,SEW 64-48 (+16),,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",2
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",2
11:08,,64 (+14),,50,"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 64-50 (+14),,"GOOD LAYUP by WHITE,SLY(in the paint)",2
--,,,,,"ASSIST  by HORTON,KAVAN",,,"ASSIST  by HORTON,KAVAN",2
10:45,"TURNOVER  by WILLIAMS,RASHAUN",,,,,,,"TURNOVER  by WILLIAMS,RASHAUN",2
10:45,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
10:45,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
10:31,,64 (+12),,52,"GOOD LAYUP by HORTON,KAVAN(in the paint)",BREV 64-52 (+12),,"GOOD LAYUP by HORTON,KAVAN(in the paint)",2
10:07,"GOOD LAYUP by KAHL,COLIN(in the paint)",66 (+14),,52,,SEW 66-52 (+14),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
09:51,"FOUL  by WILLIAMS,RASHAUN",,,,,,,"FOUL  by WILLIAMS,RASHAUN",2
09:51,,66 (+13),,53,"GOOD FT by CRAWFORD,PARIS",BREV 66-53 (+13),,"GOOD FT by CRAWFORD,PARIS",2
09:51,,66 (+12),,54,"GOOD FT by CRAWFORD,PARIS",BREV 66-54 (+12),,"GOOD FT by CRAWFORD,PARIS",2
09:51,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
09:51,"SUB OUT by WILLIAMS,RASHAUN",,,,,,,"SUB OUT by WILLIAMS,RASHAUN",2
09:39,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
09:39,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
09:39,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
09:24,,,,,"FOUL  by WHITE,SLY",,,"FOUL  by WHITE,SLY",2
09:24,,,,,"TURNOVER  by WHITE,SLY",,,"TURNOVER  by WHITE,SLY",2
09:17,,,,,"FOUL  by REED,CHARLES",,,"FOUL  by REED,CHARLES",2
08:58,"GOOD LAYUP by CRUMP,JOHN(in the paint)",68 (+14),,54,,SEW 68-54 (+14),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
08:35,,,,,"MISS LAYUP by WHITE,SLY",,,"MISS LAYUP by WHITE,SLY",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
08:23,,,,,"FOUL  by SUTHERLAND,GARRETT",,,"FOUL  by SUTHERLAND,GARRETT",2
08:04,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by CRAWFORD,PARIS",,,"REBOUND DEF by CRAWFORD,PARIS",2
07:54,,,,,"MISS JUMPER by SUTHERLAND,GARRETT",,,"MISS JUMPER by SUTHERLAND,GARRETT",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
07:45,"MISS JUMPER by AVALIANI,LUKA",,,,,,,"MISS JUMPER by AVALIANI,LUKA",2
--,,,,,"REBOUND DEF by SUTHERLAND,GARRETT",,,"REBOUND DEF by SUTHERLAND,GARRETT",2
07:33,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
07:21,,,,,"MISS LAYUP by CRAWFORD,PARIS",,,"MISS LAYUP by CRAWFORD,PARIS",2
--,,,,,"REBOUND OFF by REED,CHARLES",,,"REBOUND OFF by REED,CHARLES",2
07:19,,,,,"MISS LAYUP by REED,CHARLES",,,"MISS LAYUP by REED,CHARLES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:17,,,,,"MISS LAYUP by CRAWFORD,PARIS",,,"MISS LAYUP by CRAWFORD,PARIS",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
07:05,"GOOD LAYUP by KAHL,COLIN(in the paint)",70 (+16),,54,,SEW 70-54 (+16),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
07:04,,,,,"FOUL  by SUTHERLAND,GARRETT",,,"FOUL  by SUTHERLAND,GARRETT",2
07:04,"GOOD FT by KAHL,COLIN",71 (+17),,54,,SEW 71-54 (+17),,"GOOD FT by KAHL,COLIN",2
07:04,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
07:04,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
06:53,,71 (+14),,57,"GOOD 3PTR by HORTON,KAVAN",BREV 71-57 (+14),,"GOOD 3PTR by HORTON,KAVAN",2
--,,,,,"ASSIST  by CRAWFORD,PARIS",,,"ASSIST  by CRAWFORD,PARIS",2
06:30,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by HORTON,KAVAN",,,"REBOUND DEF by HORTON,KAVAN",2
06:15,,,,,"FOUL  by CRAWFORD,PARIS",,,"FOUL  by CRAWFORD,PARIS",2
06:15,,,,,"TURNOVER  by CRAWFORD,PARIS",,,"TURNOVER  by CRAWFORD,PARIS",2
06:09,"GOOD LAYUP by KAHL,COLIN(in the paint)",73 (+16),,57,,SEW 73-57 (+16),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
05:56,,,,,"TURNOVER  by REED,CHARLES",,,"TURNOVER  by REED,CHARLES",2
05:55,"STEAL  by SMITH,GRAHAM",,,,,,,"STEAL  by SMITH,GRAHAM",2
05:50,,,,,"FOUL  by SUTHERLAND,GARRETT",,,"FOUL  by SUTHERLAND,GARRETT",2
05:50,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:50,"GOOD FT by AVALIANI,LUKA",74 (+17),,57,,SEW 74-57 (+17),,"GOOD FT by AVALIANI,LUKA",2
05:50,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
05:50,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
05:39,,,,,"TURNOVER  by HORTON,KAVAN",,,"TURNOVER  by HORTON,KAVAN",2
05:37,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",2
05:32,"GOOD 3PTR by MARR,RUSS",77 (+20),,57,,SEW 77-57 (+20),,"GOOD 3PTR by MARR,RUSS",2
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",2
05:08,,77 (+18),,59,"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 77-59 (+18),,"GOOD LAYUP by WHITE,SLY(in the paint)",2
--,,,,,"ASSIST  by CRAWFORD,PARIS",,,"ASSIST  by CRAWFORD,PARIS",2
05:07,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",2
05:07,,77 (+17),,60,"GOOD FT by WHITE,SLY",BREV 77-60 (+17),,"GOOD FT by WHITE,SLY",2
05:07,,,,,"SUB IN by CARTER,QUINCY",,,"SUB IN by CARTER,QUINCY",2
05:07,,,,,"SUB IN by WATSON,CHANCEY",,,"SUB IN by WATSON,CHANCEY",2
05:07,,,,,"SUB IN by CARNES,JADON",,,"SUB IN by CARNES,JADON",2
05:07,,,,,"SUB IN by BOYETTE,LB",,,"SUB IN by BOYETTE,LB",2
05:07,,,,,"SUB OUT by REED,CHARLES",,,"SUB OUT by REED,CHARLES",2
05:07,,,,,"SUB OUT by SUTHERLAND,GARRETT",,,"SUB OUT by SUTHERLAND,GARRETT",2
05:07,,,,,"SUB OUT by WHITE,SLY",,,"SUB OUT by WHITE,SLY",2
05:07,,,,,"SUB OUT by CRAWFORD,PARIS",,,"SUB OUT by CRAWFORD,PARIS",2
04:44,"MISS LAYUP by MARR,RUSS",,,,,,,"MISS LAYUP by MARR,RUSS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:14,,,,,"MISS JUMPER by WATSON,CHANCEY",,,"MISS JUMPER by WATSON,CHANCEY",2
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",2
03:56,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",2
--,,,,,"REBOUND DEF by HORTON,KAVAN",,,"REBOUND DEF by HORTON,KAVAN",2
03:42,,77 (+15),,62,"GOOD LAYUP by CARTER,QUINCY(in the paint)",BREV 77-62 (+15),,"GOOD LAYUP by CARTER,QUINCY(in the paint)",2
03:41,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
03:41,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
03:41,,77 (+14),,63,"GOOD FT by CARTER,QUINCY",BREV 77-63 (+14),,"GOOD FT by CARTER,QUINCY",2
03:41,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
03:41,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
03:41,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
03:41,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
03:41,,,,,"SUB IN by SMITH,ANDREW",,,"SUB IN by SMITH,ANDREW",2
03:41,,,,,"SUB IN by REED,CHARLES",,,"SUB IN by REED,CHARLES",2
03:41,,,,,"SUB IN by SEALY,DAVID",,,"SUB IN by SEALY,DAVID",2
03:25,"GOOD LAYUP by MARR,RUSS(in the paint)",79 (+16),,63,,SEW 79-63 (+16),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
03:01,,79 (+13),,66,"GOOD 3PTR by CARNES,JADON",BREV 79-66 (+13),,"GOOD 3PTR by CARNES,JADON",2
02:48,"GOOD LAYUP by KAHL,COLIN(in the paint)",81 (+15),,66,,SEW 81-66 (+15),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
02:47,,,,,"FOUL  by CARNES,JADON",,,"FOUL  by CARNES,JADON",2
02:47,"GOOD FT by KAHL,COLIN",82 (+16),,66,,SEW 82-66 (+16),,"GOOD FT by KAHL,COLIN",2
02:28,,,,,"MISS LAYUP by BOYETTE,LB",,,"MISS LAYUP by BOYETTE,LB",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
02:08,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",2
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",2
01:53,,,,,"MISS 3PTR by CARTER,QUINCY",,,"MISS 3PTR by CARTER,QUINCY",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
01:33,"GOOD LAYUP by CRUMP,JOHN(in the paint)",84 (+18),,66,,SEW 84-66 (+18),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",2
01:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:27,"SUB IN by FOLK,BEN",,,,,,,"SUB IN by FOLK,BEN",2
01:27,"SUB IN by ROWE,GRANT",,,,,,,"SUB IN by ROWE,GRANT",2
01:27,"SUB IN by MITCHELL,JIMMY",,,,,,,"SUB IN by MITCHELL,JIMMY",2
01:27,"SUB IN by DAMM,QUINN",,,,,,,"SUB IN by DAMM,QUINN",2
01:27,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",2
01:27,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
01:27,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
01:27,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
01:27,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
01:27,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
01:27,,,,,"SUB IN by CAUDLE,ZANE",,,"SUB IN by CAUDLE,ZANE",2
01:27,,,,,"SUB IN by JOHNSON,RALPH",,,"SUB IN by JOHNSON,RALPH",2
01:27,,,,,"SUB IN by SMITH,RYAN",,,"SUB IN by SMITH,RYAN",2
01:27,,,,,"SUB OUT by BOYETTE,LB",,,"SUB OUT by BOYETTE,LB",2
01:27,,,,,"SUB OUT by HORTON,KAVAN",,,"SUB OUT by HORTON,KAVAN",2
01:27,,,,,"SUB OUT by CARNES,JADON",,,"SUB OUT by CARNES,JADON",2
01:27,,,,,"SUB OUT by CARTER,QUINCY",,,"SUB OUT by CARTER,QUINCY",2
01:27,,,,,"SUB OUT by WATSON,CHANCEY",,,"SUB OUT by WATSON,CHANCEY",2
01:11,,,,,"TURNOVER  by SMITH,RYAN",,,"TURNOVER  by SMITH,RYAN",2
01:07,"MISS 3PTR by DAMM,QUINN",,,,,,,"MISS 3PTR by DAMM,QUINN",2
--,,,,,"REBOUND DEF by SMITH,RYAN",,,"REBOUND DEF by SMITH,RYAN",2
00:46,,84 (+16),,68,"GOOD JUMPER by SEALY,DAVID",BREV 84-68 (+16),,"GOOD JUMPER by SEALY,DAVID",2
00:20,"MISS 3PTR by DAMM,QUINN",,,,,,,"MISS 3PTR by DAMM,QUINN",2
--,,,,,"REBOUND DEF by SEALY,DAVID",,,"REBOUND DEF by SEALY,DAVID",2
00:13,,,,,"MISS LAYUP by SMITH,RYAN",,,"MISS LAYUP by SMITH,RYAN",2
--,,,,,"REBOUND OFF by SMITH,RYAN",,,"REBOUND OFF by SMITH,RYAN",2
00:09,,,,,"MISS LAYUP by SMITH,RYAN",,,"MISS LAYUP by SMITH,RYAN",2
--,"REBOUND DEF by BOULDIN,BLAKE",,,,,,,"REBOUND DEF by BOULDIN,BLAKE",2
00:06,,,,,"FOUL  by SMITH,RYAN",,,"FOUL  by SMITH,RYAN",2
00:06,"GOOD FT by BOULDIN,BLAKE",85 (+17),,68,,SEW 85-68 (+17),,"GOOD FT by BOULDIN,BLAKE",2
00:06,"MISS FT by BOULDIN,BLAKE",,,,,,,"MISS FT by BOULDIN,BLAKE",2
--,,,,,"REBOUND DEF by SMITH,ANDREW",,,"REBOUND DEF by SMITH,ANDREW",2
00:02,,,,,"MISS 3PTR by SEALY,DAVID",,,"MISS 3PTR by SEALY,DAVID",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
