Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by CARNES,JADON",,,"REBOUND DEF by CARNES,JADON",1
12:31,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
12:31,,13,,14 (+1),"GOOD FT by BOYETTE,LB",BREV 13-14 (-1),,"GOOD FT by BOYETTE,LB",1
12:31,,,,,"MISS FT by BOYETTE,LB",,,"MISS FT by BOYETTE,LB",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
12:31,,,,,"SUB IN by WHITE,SLY",,,"SUB IN by WHITE,SLY",1
12:31,,,,,"SUB OUT by CARNES,JADON",,,"SUB OUT by CARNES,JADON",1
12:07,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",15 (+1),,14,,SEW 15-14 (+1),,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",1
11:45,,15,,16 (+1),"GOOD JUMPER by WATSON,CHANCEY",BREV 15-16 (-1),,"GOOD JUMPER by WATSON,CHANCEY",1
11:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:31,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
11:31,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",1
11:31,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
11:31,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
11:31,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
11:31,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
11:31,,,,,"SUB IN by CRAWFORD,PARIS",,,"SUB IN by CRAWFORD,PARIS",1
11:31,,,,,"SUB IN by SUTHERLAND,GARRETT",,,"SUB IN by SUTHERLAND,GARRETT",1
11:31,,,,,"SUB OUT by CARTER,QUINCY",,,"SUB OUT by CARTER,QUINCY",1
11:31,,,,,"SUB OUT by BOYETTE,LB",,,"SUB OUT by BOYETTE,LB",1
11:26,"MISS LAYUP by MARR,RUSS",,,,,,,"MISS LAYUP by MARR,RUSS",1
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",1
11:05,,,,,"MISS 3PTR by WHITE,SLY",,,"MISS 3PTR by WHITE,SLY",1
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",1
10:52,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",1
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",1
10:45,,,,,"MISS LAYUP by WATSON,CHANCEY",,,"MISS LAYUP by WATSON,CHANCEY",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
10:35,"MISS LAYUP by WILLIAMS,RASHAUN",,,,,,,"MISS LAYUP by WILLIAMS,RASHAUN",1
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",1
10:30,,,,,"FOUL  by SUTHERLAND,GARRETT",,,"FOUL  by SUTHERLAND,GARRETT",1
10:30,"GOOD FT by MARR,RUSS",16,,16,,SEW 16-16 (0),,"GOOD FT by MARR,RUSS",1
10:30,"GOOD FT by MARR,RUSS",17 (+1),,16,,SEW 17-16 (+1),,"GOOD FT by MARR,RUSS",1
10:30,,,,,"SUB IN by HORTON,KAVAN",,,"SUB IN by HORTON,KAVAN",1
10:30,,,,,"SUB IN by REED,CHARLES",,,"SUB IN by REED,CHARLES",1
10:30,,,,,"SUB OUT by EVANS,CARSON",,,"SUB OUT by EVANS,CARSON",1
10:30,,,,,"SUB OUT by WATSON,CHANCEY",,,"SUB OUT by WATSON,CHANCEY",1
10:15,,,,,"MISS 3PTR by SUTHERLAND,GARRETT",,,"MISS 3PTR by SUTHERLAND,GARRETT",1
--,,,,,"REBOUND OFF by CRAWFORD,PARIS",,,"REBOUND OFF by CRAWFORD,PARIS",1
10:11,,17,,18 (+1),"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 17-18 (-1),,"GOOD LAYUP by WHITE,SLY(in the paint)",1
--,,,,,"ASSIST  by CRAWFORD,PARIS",,,"ASSIST  by CRAWFORD,PARIS",1
