Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:40,,0,,2 (+2),"GOOD LAYUP by MARR,RUSS(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
19:20,"MISS 3PTR by LINVILLE,AUSTIN",,,,,,,"MISS 3PTR by LINVILLE,AUSTIN",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
19:00,,0,,5 (+5),"GOOD 3PTR by CORRIGAN,TRE",SEWANEE 0-5 (+5),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
18:49,"MISS LAYUP by GOOLESBY,TATE",,,,,,,"MISS LAYUP by GOOLESBY,TATE",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
18:43,,,,,"MISS LAYUP by MARR,RUSS",,,"MISS LAYUP by MARR,RUSS",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
18:35,"MISS 3PTR by JOHNS,NATE",,,,,,,"MISS 3PTR by JOHNS,NATE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:20,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
18:09,"MISS LAYUP by GARDNER,MAX",,,,,,,"MISS LAYUP by GARDNER,MAX",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
17:58,"FOUL  by GOOLESBY,TATE",,,,,,,"FOUL  by GOOLESBY,TATE",1
17:58,,0,,6 (+6),"GOOD FT by AVALIANI,LUKA",SEWANEE 0-6 (+6),,"GOOD FT by AVALIANI,LUKA",1
17:58,,0,,7 (+7),"GOOD FT by AVALIANI,LUKA",SEWANEE 0-7 (+7),,"GOOD FT by AVALIANI,LUKA",1
17:52,"TURNOVER  by GARDNER,MAX",,,,,,,"TURNOVER  by GARDNER,MAX",1
17:32,,,,,"MISS LAYUP by CRUMP,JOHN",,,"MISS LAYUP by CRUMP,JOHN",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
17:19,"MISS LAYUP by JOHNS,NATE",,,,,,,"MISS LAYUP by JOHNS,NATE",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
17:05,,0,,9 (+9),"GOOD LAYUP by CORRIGAN,TRE(in the paint)",SEWANEE 0-9 (+9),,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",1
17:05,"FOUL  by PAGE,SAM",,,,,,,"FOUL  by PAGE,SAM",1
17:05,,0,,10 (+10),"GOOD FT by CORRIGAN,TRE",SEWANEE 0-10 (+10),,"GOOD FT by CORRIGAN,TRE",1
16:57,"GOOD 3PTR by LINVILLE,AUSTIN",3,,10 (+7),,HUNTINGD 3-10 (+7),,"GOOD 3PTR by LINVILLE,AUSTIN",1
--,"ASSIST  by PAGE,SAM",,,,,,,"ASSIST  by PAGE,SAM",1
16:36,,3,,12 (+9),"GOOD LAYUP by AVALIANI,LUKA(in the paint)",SEWANEE 3-12 (+9),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
16:24,"TURNOVER  by PAGE,SAM",,,,,,,"TURNOVER  by PAGE,SAM",1
16:17,,3,,14 (+11),"GOOD LAYUP by KAHL,COLIN(in the paint)",SEWANEE 3-14 (+11),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
16:04,"TURNOVER  by LINVILLE,AUSTIN",,,,,,,"TURNOVER  by LINVILLE,AUSTIN",1
