Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,MVILLE,Game Score,Team Indicator,Play,Period
19:42,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",1
19:42,,,,,"BLOCK  by RASNICK,MYLES",,,"BLOCK  by RASNICK,MYLES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:19,"GOOD LAYUP by KAHL,COLIN(in the paint)",2 (+2),,0,,Sewan 2-0 (+2),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",1
19:02,,2,,2,"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",MVILLE 2-2 (0),,"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",1
--,,,,,"ASSIST  by RICE,DARYL",,,"ASSIST  by RICE,DARYL",1
18:32,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",4 (+2),,2,,Sewan 4-2 (+2),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
18:14,,4,,4,"GOOD LAYUP by KAH,KORDELL(in the paint)",MVILLE 4-4 (0),,"GOOD LAYUP by KAH,KORDELL(in the paint)",1
18:02,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",1
18:02,,,,,"STEAL  by RASNICK,MYLES",,,"STEAL  by RASNICK,MYLES",1
17:55,,,,,"MISS LAYUP by RASNICK,MYLES(in the paint)",,,"MISS LAYUP by RASNICK,MYLES(in the paint)",1
--,,,,,"REBOUND OFF by RIDENOUR,CHASE",,,"REBOUND OFF by RIDENOUR,CHASE",1
17:55,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
17:55,,4,,5 (+1),"GOOD FT by RASNICK,MYLES(fastbreak)",MVILLE 4-5 (-1),,"GOOD FT by RASNICK,MYLES(fastbreak)",1
17:55,,4,,6 (+2),"GOOD FT by RASNICK,MYLES(fastbreak)",MVILLE 4-6 (-2),,"GOOD FT by RASNICK,MYLES(fastbreak)",1
17:44,"GOOD 3PTR by MARR,RUSS",7 (+1),,6,,Sewan 7-6 (+1),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",1
17:26,,7,,8 (+1),"GOOD JUMPER by RASNICK,MYLES",MVILLE 7-8 (-1),,"GOOD JUMPER by RASNICK,MYLES",1
17:11,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",9 (+1),,8,,Sewan 9-8 (+1),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",1
16:47,,,,,"MISS 3PTR by RICE,DARYL",,,"MISS 3PTR by RICE,DARYL",1
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",1
16:34,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by RASNICK,MYLES",,,"REBOUND DEF by RASNICK,MYLES",1
16:11,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",1
16:11,,9,,9,"GOOD FT by RICE,DARYL",MVILLE 9-9 (0),,"GOOD FT by RICE,DARYL",1
16:11,,,,,"SUB OUT by RIDENOUR,CHASE",,,"SUB OUT by RIDENOUR,CHASE",1
16:11,,,,,"SUB IN by GARNER,JACKSON",,,"SUB IN by GARNER,JACKSON",1
