Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
11:56,"STEAL  by DOLHANCYK,COOPER",,,,,,,"STEAL  by DOLHANCYK,COOPER",1
11:53,"GOOD LAYUP by SCOTT,BRODIE(fastbreak)(in the paint)",21 (+9),,12,,LCM 21-12 (-9),,"GOOD LAYUP by SCOTT,BRODIE(fastbreak)(in the paint)",1
--,"ASSIST  by DOLHANCYK,COOPER",,,,,,,"ASSIST  by DOLHANCYK,COOPER",1
11:44,,,,,"MISS LAYUP by SMITH,GRAHAM",,,"MISS LAYUP by SMITH,GRAHAM",1
--,"REBOUND DEF by EDWARDS,BERSHARD",,,,,,,"REBOUND DEF by EDWARDS,BERSHARD",1
11:36,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
11:36,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:36,"GOOD FT by DOLHANCYK,COOPER",22 (+10),,12,,LCM 22-12 (-10),,"GOOD FT by DOLHANCYK,COOPER",1
11:36,"MISS FT by DOLHANCYK,COOPER",,,,,,,"MISS FT by DOLHANCYK,COOPER",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
11:36,"SUB IN by HILL,ZAC",,,,,,,"SUB IN by HILL,ZAC",1
11:36,"SUB IN by PENDLETON,TAYSHAWN",,,,,,,"SUB IN by PENDLETON,TAYSHAWN",1
11:36,"SUB IN by LYONS,CAMERIN",,,,,,,"SUB IN by LYONS,CAMERIN",1
11:36,"SUB OUT by PETTIGREW,ISAIAH",,,,,,,"SUB OUT by PETTIGREW,ISAIAH",1
11:36,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
11:36,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
11:36,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
11:36,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
11:20,,22 (+7),,15,"GOOD 3PTR by WILLIAMS,RASHAUN",SEW 22-15 (-7),,"GOOD 3PTR by WILLIAMS,RASHAUN",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
11:05,"MISS LAYUP by SCOTT,BRODIE",,,,,,,"MISS LAYUP by SCOTT,BRODIE",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
10:44,,22 (+4),,18,"GOOD 3PTR by CORRIGAN,TRE",SEW 22-18 (-4),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
10:32,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
10:32,"SUB IN by SMITH,KYLE",,,,,,,"SUB IN by SMITH,KYLE",1
10:32,"SUB OUT by DOLHANCYK,COOPER",,,,,,,"SUB OUT by DOLHANCYK,COOPER",1
10:24,"FOUL  by LYONS,CAMERIN",,,,,,,"FOUL  by LYONS,CAMERIN",1
