Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
19:48,,,,,"MISS JUMPER by JAMES,JORDAN",,,"MISS JUMPER by JAMES,JORDAN",1
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",1
19:29,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",1
19:23,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",1
--,,,,,"REBOUND OFF by JENEI,RYAN",,,"REBOUND OFF by JENEI,RYAN",1
18:59,,0,,2 (+2),"GOOD LAYUP by JENEI,RYAN(in the paint)",OGL-M 0-2 (-2),,"GOOD LAYUP by JENEI,RYAN(in the paint)",1
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",1
18:49,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
18:49,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",1
18:45,,,,,"MISS DUNK by EZIGBO,UBA",,,"MISS DUNK by EZIGBO,UBA",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
18:39,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2,,2,,SEW 2-2 (0),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
18:24,,2,,5 (+3),"GOOD 3PTR by EZIGBO,UBA",OGL-M 2-5 (-3),,"GOOD 3PTR by EZIGBO,UBA",1
--,,,,,"ASSIST  by DOOLEY,MALACHI",,,"ASSIST  by DOOLEY,MALACHI",1
18:05,"GOOD 3PTR by KAHL,COLIN",5,,5,,SEW 5-5 (0),,"GOOD 3PTR by KAHL,COLIN",1
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",1
17:40,,5,,7 (+2),"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",OGL-M 5-7 (-2),,"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",1
17:26,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",1
17:17,,,,,"FOUL  by JAMES,JORDAN",,,"FOUL  by JAMES,JORDAN",1
17:17,,,,,"TURNOVER  by JAMES,JORDAN",,,"TURNOVER  by JAMES,JORDAN",1
17:07,"GOOD LAYUP by CRUMP,JOHN(in the paint)",7,,7,,SEW 7-7 (0),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
16:48,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
16:31,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",9 (+2),,7,,SEW 9-7 (+2),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",1
16:19,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
16:06,"GOOD LAYUP by MARR,RUSS(in the paint)",11 (+4),,7,,SEW 11-7 (+4),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
16:05,,,,,"FOUL  by DOOLEY,MALACHI",,,"FOUL  by DOOLEY,MALACHI",1
16:05,"GOOD FT by MARR,RUSS",12 (+5),,7,,SEW 12-7 (+5),,"GOOD FT by MARR,RUSS",1
15:58,,,,,"FOUL  by DOOLEY,MALACHI",,,"FOUL  by DOOLEY,MALACHI",1
15:58,,,,,"TURNOVER  by DOOLEY,MALACHI",,,"TURNOVER  by DOOLEY,MALACHI",1
15:58,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
15:58,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
15:58,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
15:58,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
15:58,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
15:58,,,,,"SUB IN by BENNIFIELD,DYLAN",,,"SUB IN by BENNIFIELD,DYLAN",1
15:58,,,,,"SUB OUT by DOOLEY,MALACHI",,,"SUB OUT by DOOLEY,MALACHI",1
15:42,"MISS LAYUP by CORRIGAN,TRE",,,,,,,"MISS LAYUP by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
15:29,,,,,"MISS LAYUP by BENNIFIELD,DYLAN",,,"MISS LAYUP by BENNIFIELD,DYLAN",1
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",1
15:02,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
