Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
19:45,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by HONROTH,OWEN",,,"REBOUND DEF by HONROTH,OWEN",1
19:27,,0,,2 (+2),"GOOD LAYUP by CLARK,BRYCE(in the paint)",Berry 0-2 (-2),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,MICHAEL",,,"ASSIST  by JOHNSON,MICHAEL",1
19:10,"GOOD LAYUP by KAHL,COLIN(in the paint)",2,,2,,Sewan 2-2 (0),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
18:58,,2,,4 (+2),"GOOD LAYUP by CLARK,BRYCE(in the paint)",Berry 2-4 (-2),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
--,,,,,"ASSIST  by COSTAS,RILEY",,,"ASSIST  by COSTAS,RILEY",1
18:42,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
18:23,,,,,"TURNOVER  by CLARK,BRYCE",,,"TURNOVER  by CLARK,BRYCE",1
18:23,"STEAL  by KAHL,COLIN",,,,,,,"STEAL  by KAHL,COLIN",1
18:12,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by HONROTH,OWEN",,,"REBOUND DEF by HONROTH,OWEN",1
18:03,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1
18:00,,2,,6 (+4),"GOOD LAYUP by ELLIS,CHASE(in the paint)",Berry 2-6 (-4),,"GOOD LAYUP by ELLIS,CHASE(in the paint)",1
17:49,"GOOD LAYUP by MARR,RUSS(in the paint)",4,,6 (+2),,Sewan 4-6 (-2),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
17:35,,4,,9 (+5),"GOOD 3PTR by HONROTH,OWEN",Berry 4-9 (-5),,"GOOD 3PTR by HONROTH,OWEN",1
--,,,,,"ASSIST  by COSTAS,RILEY",,,"ASSIST  by COSTAS,RILEY",1
17:19,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
17:13,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
17:07,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",1
17:07,"GOOD FT by AVALIANI,LUKA(fastbreak)",5,,9 (+4),,Sewan 5-9 (-4),,"GOOD FT by AVALIANI,LUKA(fastbreak)",1
17:07,,,,,"SUB OUT by ELLIS,CHASE",,,"SUB OUT by ELLIS,CHASE",1
17:07,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
17:07,,,,,"SUB IN by CAMPBELL,BLAKE",,,"SUB IN by CAMPBELL,BLAKE",1
17:07,,,,,"SUB IN by SEGALL,RYAN",,,"SUB IN by SEGALL,RYAN",1
17:07,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
17:07,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",1
17:07,"GOOD FT by AVALIANI,LUKA(fastbreak)",6,,9 (+3),,Sewan 6-9 (-3),,"GOOD FT by AVALIANI,LUKA(fastbreak)",1
16:46,,6,,11 (+5),"GOOD LAYUP by SEGALL,RYAN(in the paint)",Berry 6-11 (-5),,"GOOD LAYUP by SEGALL,RYAN(in the paint)",1
--,,,,,"ASSIST  by HONROTH,OWEN",,,"ASSIST  by HONROTH,OWEN",1
