Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:46,"GOOD LAYUP by MARSHALL,JORDAN(in the paint)",2 (+2),,0,,BU 2-0 (-2),,"GOOD LAYUP by MARSHALL,JORDAN(in the paint)",1
19:28,,2,,2,"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 2-2 (0),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
19:16,"MISS JUMPER by GIVENS,DONOVAN",,,,,,,"MISS JUMPER by GIVENS,DONOVAN",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
18:55,,2,,4 (+2),"GOOD JUMPER by ESSICK,JALEN",Rhodes 2-4 (+2),,"GOOD JUMPER by ESSICK,JALEN",1
18:53,"FOUL  by GIVENS,DONOVAN",,,,,,,"FOUL  by GIVENS,DONOVAN",1
18:53,,,,,"MISS FT by ESSICK,JALEN",,,"MISS FT by ESSICK,JALEN",1
--,"REBOUND DEF by MARSHALL,JORDAN",,,,,,,"REBOUND DEF by MARSHALL,JORDAN",1
18:39,"MISS LAYUP by MARSHALL,JORDAN(in the paint)",,,,,,,"MISS LAYUP by MARSHALL,JORDAN(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
18:30,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
18:30,"BLOCK  by WHEATON,DAMIEN",,,,,,,"BLOCK  by WHEATON,DAMIEN",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
18:23,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,"REBOUND DEF by GIVENS,DONOVAN",,,,,,,"REBOUND DEF by GIVENS,DONOVAN",1
18:07,"GOOD JUMPER by GIVENS,DONOVAN(in the paint)",4,,4,,BU 4-4 (0),,"GOOD JUMPER by GIVENS,DONOVAN(in the paint)",1
17:45,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:39,"TURNOVER  by MARSHALL,JORDAN",,,,,,,"TURNOVER  by MARSHALL,JORDAN",1
17:39,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",1
17:31,,4,,6 (+2),"GOOD JUMPER by WILEY,KOKI(fastbreak)(in the paint)",Rhodes 4-6 (+2),,"GOOD JUMPER by WILEY,KOKI(fastbreak)(in the paint)",1
17:21,"GOOD JUMPER by MARSHALL,JORDAN(in the paint)",6,,6,,BU 6-6 (0),,"GOOD JUMPER by MARSHALL,JORDAN(in the paint)",1
16:52,,6,,8 (+2),"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",Rhodes 6-8 (+2),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1
16:40,"GOOD JUMPER by MARSHALL,JORDAN(in the paint)",8,,8,,BU 8-8 (0),,"GOOD JUMPER by MARSHALL,JORDAN(in the paint)",1
16:40,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
16:40,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
16:40,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
16:40,"GOOD FT by MARSHALL,JORDAN",9 (+1),,8,,BU 9-8 (-1),,"GOOD FT by MARSHALL,JORDAN",1
16:33,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
16:33,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
16:21,,,,,"TURNOVER  by RAMBERG,CASS",,,"TURNOVER  by RAMBERG,CASS",1
16:21,"STEAL  by MARSHALL,JORDAN",,,,,,,"STEAL  by MARSHALL,JORDAN",1
16:18,,,,,"FOUL  by LAMEY,HAYDEN",,,"FOUL  by LAMEY,HAYDEN",1
16:18,"GOOD FT by MARSHALL,JORDAN(fastbreak)",10 (+2),,8,,BU 10-8 (-2),,"GOOD FT by MARSHALL,JORDAN(fastbreak)",1
16:18,"MISS FT by MARSHALL,JORDAN(fastbreak)",,,,,,,"MISS FT by MARSHALL,JORDAN(fastbreak)",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
15:55,,10,,10,"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 10-10 (0),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
15:32,"TURNOVER  by MARSHALL,JORDAN",,,,,,,"TURNOVER  by MARSHALL,JORDAN",1
15:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:24,,10,,12 (+2),"GOOD LAYUP by ESSICK,JALEN(fastbreak)(in the paint)",Rhodes 10-12 (+2),,"GOOD LAYUP by ESSICK,JALEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
14:58,"MISS JUMPER by WHEATON,DAMIEN(in the paint)",,,,,,,"MISS JUMPER by WHEATON,DAMIEN(in the paint)",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
14:48,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by MARSHALL,JORDAN",,,,,,,"REBOUND DEF by MARSHALL,JORDAN",1
14:43,"FOUL  by MARSHALL,JORDAN",,,,,,,"FOUL  by MARSHALL,JORDAN",1
