Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:44,"FOUL  by DENNIS,DEANTE'",,,,,,,"FOUL  by DENNIS,DEANTE'",1
19:43,,0,,1 (+1),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 0-1 (+1),,"GOOD FT by GEORGETOWN II,ARNESS",1
19:43,,0,,2 (+2),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 0-2 (+2),,"GOOD FT by GEORGETOWN II,ARNESS",1
19:24,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
19:11,,0,,4 (+4),"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",Rhodes 0-4 (+4),,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",1
19:04,"TURNOVER  by DENNIS,DEANTE'",,,,,,,"TURNOVER  by DENNIS,DEANTE'",1
19:04,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
18:54,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
18:48,,0,,6 (+6),"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 0-6 (+6),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
18:36,"MISS JUMPER by RUEGG,SCOTT",,,,,,,"MISS JUMPER by RUEGG,SCOTT",1
--,"REBOUND OFF by PRICE,ADRIAN",,,,,,,"REBOUND OFF by PRICE,ADRIAN",1
18:26,"MISS 3PTR by CRAWFORD,TREY",,,,,,,"MISS 3PTR by CRAWFORD,TREY",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:07,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
18:07,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
17:55,"TURNOVER  by DENNIS,DEANTE'",,,,,,,"TURNOVER  by DENNIS,DEANTE'",1
