Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:48,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",,,"TURNOVER  by GEORGETOWN II,ARNESS",1
19:30,"MISS 3PTR by PAGE,SAM",,,,,,,"MISS 3PTR by PAGE,SAM",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
19:21,,0,,2 (+2),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 0-2 (+2),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
19:11,"TURNOVER  by GARDNER,MAX",,,,,,,"TURNOVER  by GARDNER,MAX",1
19:11,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",1
19:05,,0,,4 (+4),"GOOD JUMPER by ESSICK,JALEN",Rhodes 0-4 (+4),,"GOOD JUMPER by ESSICK,JALEN",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
18:58,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
18:48,"MISS 3PTR by GOOLESBY,TATE",,,,,,,"MISS 3PTR by GOOLESBY,TATE",1
--,"REBOUND OFF by JOHNS,NATE",,,,,,,"REBOUND OFF by JOHNS,NATE",1
18:44,"GOOD LAYUP by JOHNS,NATE(in the paint)",2,,4 (+2),,Hunt 2-4 (+2),,"GOOD LAYUP by JOHNS,NATE(in the paint)",1
18:30,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
18:05,"MISS JUMPER by JOHNS,NATE",,,,,,,"MISS JUMPER by JOHNS,NATE",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
17:50,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
17:45,"TURNOVER  by JOHNS,NATE",,,,,,,"TURNOVER  by JOHNS,NATE",1
17:45,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
17:43,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
17:43,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",1
17:23,"TURNOVER  by GOOLESBY,TATE",,,,,,,"TURNOVER  by GOOLESBY,TATE",1
17:15,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
17:12,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
17:12,"FOUL  by GOOLESBY,TATE",,,,,,,"FOUL  by GOOLESBY,TATE",1
17:12,,,,,"MISS FT by GEORGETOWN II,ARNESS",,,"MISS FT by GEORGETOWN II,ARNESS",1
