Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
14:27,,5,,12 (+7),"GOOD FT by DOTSON,PHIL",Rhodes 5-12 (+7),,"GOOD FT by DOTSON,PHIL",1
14:27,"SUB OUT by CROWDEN,LUKE",,,,,,,"SUB OUT by CROWDEN,LUKE",1
14:27,"SUB IN by HESTER,CHARLIE",,,,,,,"SUB IN by HESTER,CHARLIE",1
14:27,,,,,"MISS FT by DOTSON,PHIL",,,"MISS FT by DOTSON,PHIL",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
14:08,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
14:08,"MISS FT by IGBANU,PROMISE",,,,,,,"MISS FT by IGBANU,PROMISE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:08,"MISS FT by IGBANU,PROMISE",,,,,,,"MISS FT by IGBANU,PROMISE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:08,"GOOD FT by IGBANU,PROMISE",6,,12 (+6),,COV 6-12 (+6),,"GOOD FT by IGBANU,PROMISE",1
13:52,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:48,"SUB OUT by MATHIS,WALKER",,,,,,,"SUB OUT by MATHIS,WALKER",1
13:48,"SUB IN by PEARLMAN,LOGAN",,,,,,,"SUB IN by PEARLMAN,LOGAN",1
13:39,,6,,14 (+8),"GOOD JUMPER by ESSICK,JALEN",Rhodes 6-14 (+8),,"GOOD JUMPER by ESSICK,JALEN",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
13:13,"GOOD 3PTR by PEARLMAN,LOGAN",9,,14 (+5),,COV 9-14 (+5),,"GOOD 3PTR by PEARLMAN,LOGAN",1
--,"ASSIST  by NOEL,MALCOLM",,,,,,,"ASSIST  by NOEL,MALCOLM",1
12:48,,9,,16 (+7),"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",Rhodes 9-16 (+7),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
12:42,"TURNOVER  by NOEL,MALCOLM",,,,,,,"TURNOVER  by NOEL,MALCOLM",1
12:42,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",1
12:36,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
12:26,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
12:26,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
12:26,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
12:26,"SUB OUT by NOEL,MALCOLM",,,,,,,"SUB OUT by NOEL,MALCOLM",1
12:26,"SUB OUT by GERNATT,JONATHAN",,,,,,,"SUB OUT by GERNATT,JONATHAN",1
12:26,"SUB IN by CROWDEN,LUKE",,,,,,,"SUB IN by CROWDEN,LUKE",1
12:26,"SUB IN by ST. GERMAIN,MICHAEL",,,,,,,"SUB IN by ST. GERMAIN,MICHAEL",1
12:25,"MISS JUMPER by IGBANU,PROMISE",,,,,,,"MISS JUMPER by IGBANU,PROMISE",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
12:14,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
12:14,"BLOCK  by IGBANU,PROMISE",,,,,,,"BLOCK  by IGBANU,PROMISE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
